日時	"USD/ZAR(始値, 買い)"	"USD/ZAR(高値, 買い)"	"USD/ZAR(安値, 買い)"	"USD/ZAR(終値, 買い)"	"USD/ZAR(始値, 売り)*"	"USD/ZAR(高値, 売り)*"	"USD/ZAR(安値, 売り)*"	"USD/ZAR(終値, 売り)*"
2016/12/29 12:15:00	13.63470	13.63640	13.61980	13.63050	13.62650	13.62660	13.61130	13.62080
2016/12/29 12:00:00	13.63010	13.63550	13.61610	13.63470	13.62450	13.62650	13.60790	13.62650
2016/12/29 11:45:00	13.62796	13.64750	13.62610	13.63010	13.62200	13.64130	13.61880	13.62450
2016/12/29 11:30:00	13.60920	13.63171	13.60100	13.62796	13.60330	13.62636	13.59936	13.62200
2016/12/29 11:15:00	13.65262	13.65262	13.60740	13.60920	13.64610	13.64666	13.59991	13.60330
2016/12/29 11:00:00	13.66046	13.66582	13.63534	13.65262	13.65512	13.65982	13.62930	13.64610
2016/12/29 10:45:00	13.69929	13.69974	13.64727	13.66046	13.69635	13.69653	13.64127	13.65512
2016/12/29 10:30:00	13.67059	13.70032	13.66496	13.69929	13.66600	13.69751	13.65994	13.69635
2016/12/29 10:15:00	13.68587	13.68637	13.66762	13.67059	13.68011	13.68091	13.66351	13.66600
2016/12/29 10:00:00	13.68370	13.69072	13.68355	13.68587	13.67917	13.68673	13.67886	13.68011
2016/12/29 09:45:00	13.68936	13.69063	13.68242	13.68370	13.68336	13.68644	13.67727	13.67917
2016/12/29 09:30:00	13.68946	13.69245	13.68207	13.68936	13.68500	13.68874	13.67770	13.68336
2016/12/29 09:15:00	13.68786	13.69120	13.68403	13.68946	13.68186	13.68820	13.67910	13.68500
2016/12/29 09:00:00	13.67840	13.69030	13.67790	13.68786	13.67464	13.68618	13.67418	13.68186
2016/12/29 08:45:00	13.67643	13.68249	13.67341	13.67840	13.67043	13.67810	13.66970	13.67464
2016/12/29 08:30:00	13.68070	13.68681	13.67430	13.67643	13.66990	13.68040	13.66880	13.67043
2016/12/29 08:15:00	13.67378	13.68950	13.67275	13.68070	13.67040	13.68523	13.66879	13.66990
2016/12/29 08:00:00	13.67937	13.68480	13.67150	13.67378	13.67337	13.68000	13.66440	13.67040
2016/12/29 07:45:00	13.67944	13.68749	13.67278	13.67937	13.67250	13.68199	13.66870	13.67337
2016/12/29 07:30:00	13.66728	13.68430	13.66259	13.67944	13.66173	13.67791	13.66048	13.67250
2016/12/29 07:15:00	13.66887	13.67274	13.65798	13.66728	13.66533	13.66731	13.65210	13.66173
2016/12/29 07:00:00	13.66780	13.67450	13.65500	13.66887	13.66138	13.66824	13.65470	13.66533
2016/12/29 06:45:00	13.67496	13.68697	13.66039	13.66780	13.66940	13.68107	13.65890	13.66138
2016/12/29 06:30:00	13.66996	13.68020	13.66886	13.67496	13.66502	13.67498	13.66260	13.66940
2016/12/29 06:15:00	13.66460	13.66996	13.66209	13.66996	13.65911	13.66651	13.65483	13.66502
2016/12/29 06:00:00	13.67440	13.67790	13.65829	13.66460	13.66726	13.67240	13.65500	13.65911
2016/12/29 05:45:00	13.69158	13.69158	13.66881	13.67440	13.68656	13.68757	13.66280	13.66726
2016/12/29 05:30:00	13.67880	13.69583	13.67313	13.69158	13.67040	13.69048	13.66750	13.68656
2016/12/29 05:15:00	13.67520	13.68170	13.67254	13.67880	13.66950	13.67443	13.66750	13.67040
2016/12/29 05:00:00	13.67321	13.68590	13.67231	13.67520	13.66750	13.67780	13.66651	13.66950
2016/12/29 04:45:00	13.68000	13.68720	13.66569	13.67321	13.67320	13.68141	13.66021	13.66750
2016/12/29 04:30:00	13.68669	13.69750	13.67258	13.68000	13.68207	13.69204	13.66870	13.67320
2016/12/29 04:15:00	13.69470	13.70089	13.68507	13.68669	13.69092	13.69730	13.68207	13.68207
2016/12/29 04:00:00	13.72123	13.72302	13.69159	13.69470	13.71732	13.71785	13.68720	13.69092
2016/12/29 03:45:00	13.73710	13.73951	13.71844	13.72123	13.73350	13.73623	13.71339	13.71732
2016/12/29 03:30:00	13.72609	13.74996	13.72392	13.73710	13.72090	13.74568	13.72009	13.73350
2016/12/29 03:15:00	13.72282	13.73347	13.71020	13.72609	13.71957	13.72816	13.70523	13.72090
2016/12/29 03:00:00	13.72400	13.72711	13.71973	13.72282	13.71973	13.72250	13.71373	13.71957
2016/12/29 02:45:00	13.70810	13.73080	13.70809	13.72400	13.70395	13.72685	13.70346	13.71973
2016/12/29 02:30:00	13.73970	13.74413	13.70810	13.70810	13.73813	13.73813	13.70261	13.70395
2016/12/29 02:15:00	13.75680	13.76620	13.73970	13.73970	13.74977	13.76084	13.73764	13.73813
2016/12/29 02:00:00	13.77710	13.77840	13.75280	13.75680	13.76740	13.76940	13.74470	13.74977
2016/12/29 01:45:00	13.77710	13.78010	13.76920	13.77710	13.77060	13.77206	13.76280	13.76740
2016/12/29 01:30:00	13.77810	13.78450	13.77540	13.77710	13.77160	13.77927	13.76890	13.77060
2016/12/29 01:15:00	13.77740	13.77810	13.77130	13.77810	13.77090	13.77160	13.76480	13.77160
2016/12/29 01:00:00	13.77730	13.77890	13.77430	13.77740	13.77010	13.77220	13.76890	13.77090
2016/12/29 00:45:00	13.78140	13.78180	13.77730	13.77730	13.77490	13.77530	13.77010	13.77010
2016/12/29 00:30:00	13.78230	13.78340	13.77960	13.78140	13.77600	13.77630	13.77360	13.77490
2016/12/29 00:15:00	13.78260	13.78500	13.78080	13.78230	13.77540	13.77850	13.77380	13.77600
2016/12/29 00:00:00	13.78350	13.78550	13.78020	13.78260	13.77550	13.77740	13.77260	13.77540
2016/12/28 23:45:00	13.77280	13.78550	13.76990	13.78350	13.76410	13.77750	13.76020	13.77550
2016/12/28 23:30:00	13.76740	13.77730	13.76720	13.77280	13.75700	13.76850	13.75700	13.76410
2016/12/28 23:15:00	13.79920	13.79940	13.76620	13.76740	13.79310	13.79310	13.75640	13.75700
2016/12/28 23:00:00	13.82920	13.82920	13.79680	13.79920	13.82320	13.82460	13.78997	13.79310
2016/12/28 22:45:00	13.82940	13.83000	13.82900	13.82920	13.82430	13.82580	13.82270	13.82320
2016/12/28 22:30:00	13.82760	13.83030	13.82720	13.82940	13.82140	13.82550	13.82070	13.82430
2016/12/28 22:15:00	13.83210	13.83450	13.82670	13.82760	13.82560	13.82800	13.82020	13.82140
2016/12/28 22:00:00	13.84010	13.84010	13.83110	13.83210	13.83360	13.83360	13.82450	13.82560
2016/12/28 21:45:00	13.84290	13.84870	13.84000	13.84010	13.83610	13.84220	13.83350	13.83360
2016/12/28 21:30:00	13.83820	13.84290	13.83650	13.84290	13.82680	13.83640	13.82500	13.83610
2016/12/28 21:15:00	13.83000	13.83980	13.82690	13.83820	13.82410	13.82920	13.82040	13.82680
2016/12/28 21:00:00	13.83900	13.83900	13.82990	13.83000	13.83180	13.83180	13.82310	13.82410
2016/12/28 20:45:00	13.82910	13.84009	13.82910	13.83900	13.82380	13.83290	13.82380	13.83180
2016/12/28 20:30:00	13.84020	13.84309	13.82720	13.82910	13.83210	13.83520	13.82000	13.82380
2016/12/28 20:15:00	13.83480	13.86580	13.83480	13.84020	13.82830	13.84120	13.82029	13.83210
2016/12/28 20:00:00	13.85010	13.85640	13.83480	13.83480	13.83180	13.84100	13.82830	13.82830
2016/12/28 19:45:00	13.84430	13.86020	13.83590	13.85010	13.82680	13.84530	13.82670	13.83180
2016/12/28 19:30:00	13.87670	13.88090	13.83350	13.84430	13.84510	13.84550	13.82360	13.82680
2016/12/28 19:15:00	13.87510	13.88020	13.87510	13.87670	13.84510	13.84570	13.84470	13.84510
2016/12/28 19:00:00	13.87910	13.87980	13.87510	13.87510	13.84890	13.84890	13.84420	13.84510
2016/12/28 18:45:00	13.87960	13.88790	13.87690	13.87910	13.85010	13.85010	13.84510	13.84890
2016/12/28 18:30:00	13.87970	13.88760	13.87950	13.87960	13.85010	13.85010	13.84590	13.85010
2016/12/28 18:15:00	13.88120	13.88890	13.87890	13.87970	13.85020	13.85110	13.84520	13.85010
2016/12/28 18:00:00	13.88359	13.88890	13.87760	13.88120	13.84180	13.85090	13.84170	13.85020
2016/12/28 17:45:00	13.88514	13.88514	13.88359	13.88359	13.84000	13.84180	13.84000	13.84180
2016/12/28 17:30:00	13.88514	13.88514	13.88514	13.88514	13.83749	13.84417	13.83749	13.84000
2016/12/28 17:15:00	13.88743	13.90870	13.88507	13.88514	13.82109	13.87210	13.82053	13.83749
2016/12/28 17:00:00	13.89700	13.89830	13.88743	13.88743	13.82170	13.82750	13.81820	13.82109
2016/12/28 16:45:00	13.84890	13.89760	13.84230	13.89700	13.83310	13.84201	13.82170	13.82170
2016/12/28 16:30:00	13.85070	13.89355	13.83289	13.84890	13.83890	13.84290	13.82140	13.83310
2016/12/28 16:15:00	13.85630	13.85720	13.84805	13.85070	13.84370	13.84370	13.83510	13.83890
2016/12/28 16:00:00	13.86350	13.86350	13.84282	13.85630	13.85330	13.85418	13.83660	13.84370
2016/12/28 15:45:00	13.86308	13.86674	13.86259	13.86350	13.85490	13.85650	13.85150	13.85330
2016/12/28 15:30:00	13.85570	13.86389	13.85500	13.86308	13.84430	13.85650	13.84320	13.85490
2016/12/28 15:15:00	13.86010	13.86200	13.85179	13.85570	13.85201	13.85221	13.84120	13.84430
2016/12/28 15:00:00	13.86710	13.86959	13.85709	13.86010	13.85780	13.85910	13.84670	13.85201
2016/12/28 14:45:00	13.86660	13.87180	13.86339	13.86710	13.85681	13.86080	13.85400	13.85780
2016/12/28 14:30:00	13.88150	13.88299	13.86389	13.86660	13.87030	13.87160	13.85359	13.85681
2016/12/28 14:15:00	13.88500	13.88590	13.86289	13.88150	13.87450	13.87550	13.85600	13.87030
2016/12/28 14:00:00	13.88740	13.89950	13.88190	13.88500	13.87571	13.88311	13.87210	13.87450
2016/12/28 13:45:00	13.88540	13.89570	13.87960	13.88740	13.87830	13.88150	13.86780	13.87571
2016/12/28 13:30:00	13.90180	13.90210	13.88150	13.88540	13.89460	13.89620	13.87410	13.87830
2016/12/28 13:15:00	13.90080	13.90220	13.89870	13.90180	13.89380	13.89710	13.89300	13.89460
2016/12/28 13:00:00	13.89037	13.90100	13.88970	13.90080	13.88570	13.89590	13.88235	13.89380
2016/12/28 12:45:00	13.88610	13.89170	13.88340	13.89037	13.87940	13.88845	13.87620	13.88570
2016/12/28 12:30:00	13.88310	13.88700	13.88190	13.88610	13.87600	13.88030	13.87510	13.87940
2016/12/28 12:15:00	13.87838	13.88980	13.87780	13.88310	13.87180	13.88422	13.87180	13.87600
2016/12/28 12:00:00	13.86848	13.87980	13.86848	13.87838	13.86349	13.87321	13.86290	13.87180
2016/12/28 11:45:00	13.85308	13.88030	13.85308	13.86848	13.84939	13.87682	13.84750	13.86349
2016/12/28 11:30:00	13.85231	13.86030	13.84244	13.85308	13.84820	13.85664	13.83700	13.84939
2016/12/28 11:15:00	13.85576	13.85640	13.85117	13.85231	13.85220	13.85220	13.84565	13.84820
2016/12/28 11:00:00	13.85191	13.85695	13.84864	13.85576	13.84672	13.85310	13.84430	13.85220
2016/12/28 10:45:00	13.85010	13.86047	13.84648	13.85191	13.84410	13.85677	13.84150	13.84672
2016/12/28 10:30:00	13.85087	13.85882	13.84500	13.85010	13.84579	13.85500	13.84072	13.84410
2016/12/28 10:15:00	13.84919	13.85700	13.84125	13.85087	13.84370	13.85244	13.83720	13.84579
2016/12/28 10:00:00	13.84482	13.85926	13.84168	13.84919	13.84235	13.85460	13.83661	13.84370
2016/12/28 09:45:00	13.85432	13.86640	13.84400	13.84482	13.85000	13.86100	13.83867	13.84235
2016/12/28 09:30:00	13.86641	13.87259	13.85296	13.85432	13.86150	13.86722	13.84785	13.85000
2016/12/28 09:15:00	13.86420	13.87250	13.86249	13.86641	13.85889	13.86686	13.85800	13.86150
2016/12/28 09:00:00	13.86889	13.87428	13.85340	13.86420	13.86288	13.86779	13.84863	13.85889
2016/12/28 08:45:00	13.87319	13.88414	13.86034	13.86889	13.86805	13.88053	13.85520	13.86288
2016/12/28 08:30:00	13.87229	13.87409	13.87021	13.87319	13.86723	13.86910	13.86460	13.86805
2016/12/28 08:15:00	13.89687	13.90115	13.86427	13.87229	13.89106	13.89615	13.85950	13.86723
2016/12/28 08:00:00	13.90161	13.90209	13.88273	13.89687	13.89561	13.89739	13.87817	13.89106
2016/12/28 07:45:00	13.88500	13.90500	13.88130	13.90161	13.87770	13.89996	13.87454	13.89561
2016/12/28 07:30:00	13.87931	13.89730	13.87767	13.88500	13.87250	13.89226	13.87030	13.87770
2016/12/28 07:15:00	13.88857	13.88973	13.87786	13.87931	13.88426	13.88584	13.87250	13.87250
2016/12/28 07:00:00	13.89327	13.89751	13.86750	13.88857	13.88784	13.89307	13.86470	13.88426
2016/12/28 06:45:00	13.90653	13.90813	13.89116	13.89327	13.90261	13.90408	13.88677	13.88784
2016/12/28 06:30:00	13.91703	13.91835	13.90450	13.90653	13.91127	13.91359	13.90001	13.90261
2016/12/28 06:15:00	13.90110	13.92030	13.89631	13.91703	13.89340	13.91568	13.88950	13.91127
2016/12/28 06:00:00	13.89154	13.91372	13.88416	13.90110	13.88690	13.90800	13.87920	13.89340
2016/12/28 05:45:00	13.89285	13.89950	13.88140	13.89154	13.88720	13.89250	13.87581	13.88690
2016/12/28 05:30:00	13.89625	13.89820	13.88700	13.89285	13.88920	13.89268	13.88105	13.88720
2016/12/28 05:15:00	13.90550	13.90919	13.89498	13.89625	13.90219	13.90568	13.88860	13.88920
2016/12/28 05:00:00	13.91475	13.91475	13.90153	13.90550	13.91025	13.91073	13.89720	13.90219
