日時	AUD/CAD(始値, 買い)	AUD/CAD(高値, 買い)	AUD/CAD(安値, 買い)	AUD/CAD(終値, 買い)	AUD/CAD(始値, 売り)	AUD/CAD(高値, 売り)	AUD/CAD(安値, 売り)	AUD/CAD(終値, 売り)	
2014-02-01T07:00:00	0.97500	0.99031	0.96969	0.98548	0.97417	0.99008	0.96947	0.98522	
2014-01-01T07:00:00	0.94982	0.99018	0.94133	0.97500	0.94947	0.98992	0.94106	0.97417	
2013-12-01T07:00:00	0.96757	0.97486	0.94242	0.94982	0.96565	0.97469	0.94216	0.94947	
2013-11-01T06:00:00	0.98660	0.99682	0.95869	0.96757	0.98599	0.99661	0.95845	0.96565	
2013-10-01T06:00:00	0.96138	1.00493	0.95970	0.98660	0.96067	1.00467	0.95927	0.98599	
2013-09-01T06:00:00	0.93920	0.97425	0.94038	0.96138	0.93755	0.97393	0.93979	0.96067	
2013-08-01T06:00:00	0.92357	0.95370	0.91757	0.93920	0.92309	0.95343	0.91677	0.93755	
2013-07-01T06:00:00	0.96055	0.97164	0.92012	0.92357	0.95886	0.97137	0.91977	0.92309	
2013-06-01T06:00:00	0.99276	1.00660	0.94840	0.96055	0.99197	1.00641	0.94817	0.95886	
2013-05-01T06:00:00	1.04491	1.04559	0.98873	0.99276	1.04446	1.04496	0.98848	0.99197	
2013-04-01T06:00:00	1.06103	1.07168	1.04322	1.04491	1.06011	1.07146	1.04306	1.04446	
2013-03-01T07:00:00	1.05303	1.07189	1.04269	1.06103	1.05263	1.07166	1.04246	1.06011	
2013-02-01T07:00:00	1.04000	1.05805	1.02423	1.05303	1.03971	1.05780	1.02397	1.05263	
2013-01-01T07:00:00	1.03414	1.05530	1.02874	1.04000	1.03411	1.05460	1.02854	1.03971	
2012-12-01T07:00:00	1.03737	1.04301	1.02719	1.03414	1.03639	1.04279	1.02689	1.03411	
2012-11-01T06:00:00	1.03764	1.04720	1.02867	1.03737	1.03730	1.04691	1.02820	1.03639	
2012-10-01T06:00:00	1.02113	1.03916	0.99319	1.03764	1.02059	1.03894	0.99220	1.03730	
2012-09-01T06:00:00	1.01861	1.02746	1.00558	1.02113	1.01741	1.02724	1.00477	1.02059	
2012-08-01T06:00:00	1.05399	1.06010	1.01733	1.01861	1.05341	1.05978	1.01706	1.01741	
2012-07-01T06:00:00	1.04270	1.05570	1.03229	1.05399	1.04100	1.05525	1.03200	1.05341	
2012-06-01T06:00:00	1.00579	1.04577	0.99968	1.04270	1.00485	1.04550	0.99941	1.04100	
2012-05-01T06:00:00	1.03010	1.03042	0.99577	1.00579	1.02912	1.03009	0.99550	1.00485	
2012-04-01T06:00:00	1.03372	1.04167	1.01580	1.03010	1.03162	1.04084	1.01549	1.02912	
2012-03-01T07:00:00	1.06240	1.06633	1.03132	1.03372	1.06199	1.06568	1.03102	1.03162	
2012-02-01T07:00:00	1.06516	1.07856	1.06000	1.06240	1.06440	1.07831	1.05972	1.06199	
2012-01-01T07:00:00	1.04448	1.06907	1.03953	1.06516	1.04020	1.06876	1.03878	1.06440	
2011-12-01T07:00:00	1.04695	1.04791	1.02583	1.04448	1.04583	1.04706	1.02544	1.04020	
2011-11-01T06:00:00	1.05403	1.06094	1.01113	1.04695	1.05343	1.05998	1.01087	1.04583	
2011-10-01T06:00:00	1.01488	1.06673	0.99410	1.05403	1.01437	1.06639	0.99378	1.05343	
2011-09-01T06:00:00	1.04718	1.05228	0.99840	1.01488	1.04656	1.05162	0.99804	1.01437	
2011-08-01T06:00:00	1.05000	1.05378	0.99193	1.04718	1.04933	1.05343	0.99141	1.04656	
2011-07-01T06:00:00	1.03317	1.05235	1.01288	1.05000	1.03271	1.05201	1.01249	1.04933	
2011-06-01T06:00:00	1.03398	1.05585	1.02368	1.03317	1.03291	1.05552	1.02333	1.03271	
2011-05-01T06:00:00	1.03768	1.04998	1.01961	1.03398	1.03721	1.04878	1.01921	1.03291	
2011-04-01T06:00:00	1.00308	1.04468	0.99438	1.03768	1.00211	1.04442	0.99385	1.03721	
2011-03-01T07:00:00	0.99033	1.01231	0.96421	1.00308	0.98916	1.01188	0.96061	1.00211	
2011-02-01T07:00:00	0.99829	1.01295	0.98361	0.99033	0.99785	1.01260	0.98329	0.98916	
2011-01-01T07:00:00	1.01812	1.01957	0.97079	0.99829	1.01777	1.01777	0.97021	0.99785	
2010-12-01T07:00:00	0.98428	1.02073	0.97403	1.01813	0.98376	1.02021	0.97359	1.01766	
2010-11-01T06:00:00	1.00006	1.02281	0.97788	0.98428	0.99933	1.02046	0.97733	0.98376	
2010-10-01T06:00:00	0.99570	1.01591	0.97916	1.00006	0.99513	1.01546	0.97871	0.99933	
2010-09-01T06:00:00	0.94926	1.00267	0.94613	0.99570	0.94876	1.00221	0.94575	0.99513	
2010-08-01T06:00:00	0.92989	0.95019	0.92155	0.94926	0.92942	0.94975	0.92111	0.94876	
2010-07-01T06:00:00	0.89473	0.93604	0.88740	0.92989	0.89415	0.93555	0.88685	0.92942	
2010-06-01T06:00:00	0.88378	0.91157	0.85760	0.89473	0.88321	0.91106	0.85765	0.89415	
