日時	AUD/CHF(始値, 買い)	AUD/CHF(高値, 買い)	AUD/CHF(安値, 買い)	AUD/CHF(終値, 買い)	AUD/CHF(始値, 売り)	AUD/CHF(高値, 売り)	AUD/CHF(安値, 売り)	AUD/CHF(終値, 売り)	
2014-02-01T07:00:00	0.79383	0.80930	0.78726	0.80380	0.79271	0.80907	0.78703	0.80352	
2014-01-01T07:00:00	0.79514	0.82052	0.77248	0.79383	0.79471	0.82028	0.77221	0.79271	
2013-12-01T07:00:00	0.82620	0.83261	0.78394	0.79514	0.82427	0.83234	0.78362	0.79471	
2013-11-01T06:00:00	0.85777	0.87580	0.81971	0.82620	0.85719	0.87556	0.81943	0.82427	
2013-10-01T06:00:00	0.84338	0.87452	0.84124	0.85777	0.84334	0.87428	0.84101	0.85719	
2013-09-01T06:00:00	0.82872	0.87123	0.83157	0.84338	0.82734	0.87091	0.83092	0.84334	
2013-08-01T06:00:00	0.83221	0.85890	0.81761	0.82872	0.83181	0.85865	0.81737	0.82734	
2013-07-01T06:00:00	0.86243	0.89683	0.82954	0.83221	0.86121	0.89637	0.82889	0.83181	
2013-06-01T06:00:00	0.91545	0.92933	0.85101	0.86243	0.91410	0.92911	0.85074	0.86121	
2013-05-01T06:00:00	0.96412	0.96618	0.91248	0.91545	0.96367	0.96590	0.91221	0.91410	
2013-04-01T06:00:00	0.99069	0.99647	0.95457	0.96412	0.98951	0.99624	0.95432	0.96367	
2013-03-01T07:00:00	0.95688	0.99789	0.95374	0.99069	0.95641	0.99764	0.95346	0.98951	
2013-02-01T07:00:00	0.94930	0.96318	0.93588	0.95688	0.94896	0.96296	0.93565	0.95641	
2013-01-01T07:00:00	0.95168	0.98782	0.94377	0.94930	0.95130	0.98752	0.94356	0.94896	
2012-12-01T07:00:00	0.96839	0.98339	0.94352	0.95168	0.96703	0.98316	0.94318	0.95130	
2012-11-01T06:00:00	0.96697	0.99067	0.96447	0.96839	0.96647	0.99046	0.96421	0.96703	
2012-10-01T06:00:00	0.97607	0.97748	0.94460	0.96697	0.97548	0.97715	0.94367	0.96647	
2012-09-01T06:00:00	0.98622	0.99037	0.96418	0.97607	0.98514	0.99013	0.96391	0.97548	
2012-08-01T06:00:00	1.02617	1.03509	0.98194	0.98622	1.02514	1.03479	0.98164	0.98514	
2012-07-01T06:00:00	0.97319	1.03139	0.97196	1.02617	0.97142	1.03111	0.97091	1.02514	
2012-06-01T06:00:00	0.94600	0.97530	0.93290	0.97319	0.94470	0.97503	0.93191	0.97142	
2012-05-01T06:00:00	0.94670	0.94826	0.92190	0.94600	0.94589	0.94797	0.92150	0.94470	
2012-04-01T06:00:00	0.93468	0.95648	0.93468	0.94670	0.93304	0.95614	0.93304	0.94589	
2012-03-01T07:00:00	0.97086	0.98399	0.93417	0.93468	0.97043	0.98374	0.93296	0.93304	
2012-02-01T07:00:00	0.97764	0.99463	0.95473	0.97086	0.97683	0.99436	0.95435	0.97043	
