日時	AUD/JPY(始値, 買い)	AUD/JPY(高値, 買い)	AUD/JPY(安値, 買い)	AUD/JPY(終値, 買い)	AUD/JPY(始値, 売り)	AUD/JPY(高値, 売り)	AUD/JPY(安値, 売り)	AUD/JPY(終値, 売り)	
2014-02-01T07:00:00	89.369	90.907	88.249	90.180	89.293	90.896	88.235	90.168	
2014-01-01T07:00:00	88.898	91.123	88.491	89.369	88.761	91.110	88.439	89.293	
2013-12-01T07:00:00	93.324	94.234	91.077	93.969	93.167	94.223	91.049	93.944	
2013-11-01T06:00:00	93.018	94.614	92.258	93.324	92.978	94.608	92.245	93.167	
2013-10-01T06:00:00	91.620	95.692	90.807	93.018	91.568	95.682	90.794	92.978	
2013-09-01T06:00:00	87.495	94.494	87.766	91.620	87.340	94.444	87.740	91.568	
2013-08-01T06:00:00	87.976	90.138	86.414	87.495	87.954	90.125	86.403	87.340	
2013-07-01T06:00:00	90.501	93.081	87.866	87.976	90.419	93.068	87.812	87.954	
2013-06-01T06:00:00	96.216	97.375	88.942	90.501	96.091	97.364	88.918	90.419	
2013-05-01T06:00:00	101.051	102.347	96.072	96.216	101.015	102.325	96.056	96.091	
2013-04-01T06:00:00	98.257	105.438	96.924	101.051	98.204	105.429	96.905	101.015	
2013-03-01T07:00:00	94.563	99.983	94.438	98.257	94.528	99.976	94.424	98.204	
2013-02-01T07:00:00	95.664	97.785	92.976	94.563	95.612	97.714	92.957	94.528	
2013-01-01T07:00:00	90.029	95.687	90.029	95.664	90.003	95.666	90.003	95.612	
2012-12-01T07:00:00	86.016	90.053	85.394	90.029	85.969	90.031	85.381	90.003	
2012-11-01T06:00:00	82.836	86.445	81.978	86.016	82.811	86.433	81.966	85.969	
2012-10-01T06:00:00	80.908	83.490	79.415	82.836	80.869	83.477	79.403	82.811	
2012-09-01T06:00:00	80.944	83.085	79.684	80.908	80.836	83.077	79.673	80.869	
2012-08-01T06:00:00	82.065	83.580	80.661	80.944	82.043	83.570	80.649	80.836	
2012-07-01T06:00:00	81.857	82.477	79.544	82.065	81.728	82.466	79.478	82.043	
2012-06-01T06:00:00	76.254	81.955	74.479	81.857	76.178	81.924	74.454	81.728	
2012-05-01T06:00:00	83.276	83.315	75.762	76.254	83.202	83.300	75.750	76.178	
2012-04-01T06:00:00	85.793	86.851	82.502	83.276	85.694	86.808	82.485	83.202	
2012-03-01T07:00:00	87.122	88.643	84.614	85.793	87.052	88.627	84.601	85.694	
2012-02-01T07:00:00	81.038	87.550	80.579	87.122	80.964	87.535	80.564	87.052	
2012-01-01T07:00:00	78.532	82.856	78.101	81.038	78.340	82.842	78.086	80.964	
2011-12-01T07:00:00	79.840	80.549	76.993	78.532	79.775	80.528	76.978	78.340	
2011-11-01T06:00:00	82.325	83.218	74.793	79.840	82.304	83.187	74.776	79.775	
2011-10-01T06:00:00	74.601	83.973	72.066	82.325	74.584	83.970	72.047	82.304	
2011-09-01T06:00:00	82.098	82.836	73.399	74.601	82.058	82.823	73.381	74.584	
2011-08-01T06:00:00	84.494	86.195	76.533	82.098	84.466	86.177	76.508	82.058	
2011-07-01T06:00:00	86.400	87.879	83.214	84.494	86.372	87.730	83.147	84.466	
2011-06-01T06:00:00	87.020	87.619	84.069	86.400	86.977	87.604	84.044	86.372	
2011-05-01T06:00:00	88.968	89.322	84.333	87.020	88.945	89.301	84.318	86.977	
2011-04-01T06:00:00	85.883	90.041	85.843	88.968	85.826	90.023	85.814	88.945	
2011-03-01T07:00:00	83.351	86.129	74.503	85.883	83.260	86.114	74.032	85.826	
2011-02-01T07:00:00	81.877	84.483	81.768	83.351	81.787	84.468	81.739	83.260	
2011-01-01T07:00:00	83.032	83.389	80.990	81.877	83.012	83.369	80.977	81.787	
2010-12-01T07:00:00	80.252	83.699	79.765	83.025	80.217	83.683	79.750	83.005	
2010-11-01T06:00:00	78.873	83.015	78.873	80.252	78.836	83.000	78.836	80.217	
2010-10-01T06:00:00	80.787	81.837	78.193	78.873	80.761	81.823	78.181	78.836	
2010-09-01T06:00:00	75.006	81.432	74.947	80.787	74.971	81.421	74.917	80.761	
2010-08-01T06:00:00	78.159	79.316	73.581	75.006	78.129	79.309	73.566	74.971	
2010-07-01T06:00:00	74.366	79.441	72.695	78.159	74.339	79.426	72.679	78.129	
2010-06-01T06:00:00	77.219	80.877	73.650	74.366	77.186	80.856	73.665	74.339	
2010-05-01T06:00:00	86.869	87.975	71.912	77.219	86.852	87.952	71.881	77.186	
2010-04-01T06:00:00	85.731	88.084	83.963	86.869	85.700	88.055	83.938	86.852	
2010-03-01T07:00:00	79.643	85.865	79.210	85.731	79.612	85.836	79.181	85.700	
2010-02-01T07:00:00	79.833	82.837	76.223	79.643	79.803	82.806	76.191	79.612	
2010-01-01T07:00:00	83.574	86.232	79.685	79.833	83.538	86.203	79.659	79.803	
2009-12-01T07:00:00	79.110	83.855	78.594	83.574	79.071	83.826	78.577	83.538	
2009-11-01T06:00:00	81.041	84.245	76.585	79.110	81.004	84.216	76.526	79.071	
2009-10-01T06:00:00	79.278	85.354	76.370	81.041	79.141	85.316	76.336	81.004	
2009-09-01T06:00:00	78.663	80.094	76.433	79.278	78.616	80.044	76.399	79.141	
2009-08-01T06:00:00	79.164	82.037	76.713	78.663	79.123	82.002	76.686	78.616	
2009-07-01T06:00:00	77.748	79.569	70.783	79.164	77.671	79.533	70.744	79.123	
2009-06-01T06:00:00	76.339	80.548	74.058	77.748	76.281	80.442	74.030	77.671	
2009-05-01T06:00:00	71.593	76.936	70.531	76.339	71.516	76.901	70.506	76.281	
2009-04-01T06:00:00	68.453	73.533	66.865	71.593	68.376	73.490	66.826	71.516	
2009-03-01T07:00:00	62.437	69.656	61.060	68.453	62.392	69.622	61.022	68.376	
2009-02-01T07:00:00	57.109	64.611	55.579	62.437	57.067	64.584	55.552	62.392	
2009-01-01T07:00:00	64.176	68.309	56.302	57.109	64.145	68.261	56.257	57.067	
2008-12-01T07:00:00	62.615	64.264	57.732	64.176	62.560	64.205	57.528	64.145	
2008-11-01T06:00:00	65.702	70.562	56.917	62.615	65.617	70.527	56.851	62.560	
2008-10-01T06:00:00	84.154	85.192	55.192	65.702	84.042	85.157	54.919	65.617	
2008-09-01T06:00:00	93.469	93.469	81.452	84.154	93.434	93.434	81.417	84.042	
2008-08-01T06:00:00	101.722	101.781	92.982	93.469	101.662	101.662	92.957	93.434	
2008-07-01T06:00:00	101.862	104.506	100.275	101.722	101.777	104.467	100.242	101.662	
2008-06-01T06:00:00	100.774	103.727	99.292	101.862	100.739	103.692	99.257	101.777	
2008-05-01T06:00:00	98.119	101.101	96.327	100.774	97.970	101.066	96.297	100.739	
2008-04-01T06:00:00	91.072	98.812	90.551	98.119	91.017	98.760	90.516	97.970	
2008-03-01T07:00:00	96.799	97.602	88.192	91.072	96.764	97.567	88.157	91.017	
2008-02-01T07:00:00	95.352	100.552	94.202	96.799	95.317	100.517	94.160	96.764	
2008-01-01T07:00:00	98.056	99.079	90.162	95.352	98.001	98.994	90.110	95.317	
2007-12-01T07:00:00	98.138	100.202	95.291	98.056	98.117	100.167	95.257	98.001	
2007-11-01T06:00:00	107.872	107.872	93.052	98.138	107.807	107.839	92.964	98.117	
2007-10-01T06:00:00	102.002	107.932	99.402	107.872	101.917	107.857	99.359	107.807	
2007-09-01T06:00:00	94.782	102.042	92.242	102.002	94.747	101.960	92.197	101.917	
2007-08-01T06:00:00	101.042	103.672	86.062	94.782	100.997	103.647	85.977	94.747	
2007-07-01T06:00:00	104.462	107.772	100.032	101.042	104.397	107.727	99.977	100.997	
2007-06-01T06:00:00	100.822	105.432	100.712	104.462	100.757	105.367	100.647	104.397	
2007-05-01T06:00:00	99.262	100.982	98.362	100.822	99.197	100.917	98.297	100.757	
2007-04-01T06:00:00	95.372	100.082	95.062	99.262	95.307	100.017	94.997	99.197	
2007-03-01T07:00:00	93.422	95.852	88.562	95.372	93.357	95.787	88.497	95.307	
2007-02-01T07:00:00	93.892	95.982	92.672	93.422	93.827	95.917	92.607	93.357	
2007-01-01T07:00:00	94.002	96.412	91.992	93.892	93.937	96.427	92.007	93.827	
2006-12-01T07:00:00	91.342	94.262	90.112	94.002	91.277	94.197	90.047	93.937	
2006-11-01T07:00:00	90.502	91.652	89.822	91.342	90.437	91.587	89.757	91.277	
2006-10-01T06:00:00	88.062	90.902	87.572	90.502	87.997	90.837	87.507	90.437	
2006-09-01T06:00:00	89.712	89.922	87.332	88.062	89.647	89.857	87.267	87.997	
2006-08-01T06:00:00	87.832	89.722	87.152	89.712	87.847	89.657	87.167	89.647	
2006-07-01T06:00:00	85.002	88.952	84.842	87.832	85.017	88.887	84.777	87.847	
2006-06-01T06:00:00	84.782	85.652	83.532	85.002	84.717	85.667	83.467	85.017	
2006-05-01T06:00:00	86.302	87.822	83.612	84.782	86.237	87.757	83.547	84.717	
2006-04-01T07:00:00	84.282	87.892	83.852	86.302	84.217	87.827	83.787	86.237	
2006-03-01T07:00:00	86.002	87.482	82.132	84.282	85.937	87.497	82.067	84.217	
2006-02-01T07:00:00	88.982	89.442	85.492	86.002	88.917	89.377	85.427	85.937	
2006-01-01T07:00:00	86.492	89.032	85.592	88.982	86.427	88.967	85.527	88.917	
2005-12-01T07:00:00	88.652	91.392	84.582	86.492	88.587	91.327	84.517	86.427	
2005-11-01T07:00:00	87.162	88.702	85.882	88.652	87.097	88.637	85.817	88.587	
2005-10-01T06:00:00	86.622	87.662	85.642	87.162	86.557	87.597	85.577	87.097	
2005-09-01T06:00:00	83.612	86.802	83.422	86.622	83.547	86.737	83.357	86.557	
2005-08-01T06:00:00	85.142	86.432	82.672	83.612	85.077	86.367	82.607	83.547	
2005-07-01T06:00:00	84.592	85.742	82.712	85.142	84.527	85.677	82.647	85.077	
2005-06-01T06:00:00	82.082	85.082	81.172	84.592	82.017	85.017	81.107	84.527	
2005-05-01T06:00:00	81.902	82.482	80.672	82.082	81.837	82.417	80.607	82.017	
2005-04-01T07:00:00	82.852	83.982	81.832	81.902	82.787	83.917	81.767	81.837	
2005-03-01T07:00:00	82.772	83.732	81.542	82.852	82.707	83.667	81.477	82.787	
2005-02-01T07:00:00	80.362	83.612	79.682	82.772	80.297	83.547	79.617	82.707	
2005-01-01T07:00:00	80.202	80.522	77.022	80.362	80.137	80.457	76.957	80.297	
2004-12-01T07:00:00	79.712	80.782	78.592	80.202	79.647	80.717	78.527	80.137	
2004-11-01T07:00:00	79.342	81.782	79.052	79.712	79.277	81.717	78.987	79.647	
2004-10-01T06:00:00	80.112	81.052	78.642	79.342	80.047	80.987	78.577	79.277	
2004-09-01T06:00:00	76.912	80.212	75.252	80.112	76.847	80.147	75.187	80.047	
2004-08-01T06:00:00	78.072	79.742	76.712	76.912	78.007	79.677	76.647	76.847	
2004-07-01T06:00:00	76.072	79.992	75.272	78.072	76.007	79.927	75.207	78.007	
2004-06-01T06:00:00	78.362	78.632	74.242	76.072	78.277	78.547	74.157	76.007	
2004-05-01T06:00:00	79.822	80.262	77.762	78.362	79.737	80.177	77.677	78.277	
2004-04-01T07:00:00	79.752	81.382	78.542	79.822	79.767	81.397	78.557	79.737	
2004-03-01T07:00:00	84.182	85.252	77.922	79.752	84.197	85.267	77.937	79.767	
2004-02-01T07:00:00	80.742	84.992	79.762	84.182	80.757	85.007	79.777	84.197	
2004-01-01T07:00:00	80.602	83.702	79.802	80.742	80.617	83.717	79.817	80.757	
2003-12-01T07:00:00	79.402	80.752	78.712	80.602	79.417	80.767	78.727	80.617	
2003-11-01T07:00:00	77.742	79.442	76.522	79.402	77.757	79.457	76.537	79.417	
2003-10-01T06:00:00	75.762	78.102	74.372	77.742	75.777	78.117	74.387	77.757	
2003-09-01T06:00:00	75.592	78.252	73.762	75.762	75.607	78.267	73.777	75.777	
2003-08-01T06:00:00	78.142	79.112	74.592	75.592	78.157	79.127	74.607	75.607	
2003-07-01T06:00:00	80.622	81.072	76.052	78.142	80.637	81.087	76.067	78.157	
2003-06-01T06:00:00	78.012	80.692	76.962	80.622	78.027	80.707	76.977	80.637	
2003-05-01T06:00:00	74.492	78.062	73.662	78.012	74.507	78.077	73.677	78.027	
2003-04-01T07:00:00	71.292	74.752	71.062	74.492	71.307	74.767	71.077	74.507	
2003-03-01T07:00:00	71.772	72.522	69.382	71.292	71.787	72.537	69.397	71.307	
2003-02-01T07:00:00	70.312	71.922	69.922	71.772	70.327	71.937	69.937	71.787	
2003-01-01T07:00:00	66.402	70.462	66.402	70.312	66.417	70.477	66.417	70.327	
2002-12-01T07:00:00	68.672	70.462	66.212	66.402	68.687	70.477	66.227	66.417	
2002-11-01T07:00:00	67.892	69.482	66.712	68.672	67.907	69.497	66.727	68.687	
2002-10-01T06:00:00	66.002	69.662	65.732	67.892	66.017	69.677	65.747	67.907	
2002-09-01T06:00:00	65.122	67.642	63.632	66.002	65.137	67.657	63.647	66.017	
2002-08-01T06:00:00	65.082	65.982	62.412	65.122	65.097	65.997	62.427	65.137	
2002-07-01T06:00:00	67.532	67.852	62.252	65.082	67.447	67.767	62.267	65.097	
2002-06-01T06:00:00	70.582	71.932	66.712	67.532	70.497	71.847	66.627	67.447	
2002-05-01T06:00:00	69.252	70.672	68.202	70.582	69.167	70.587	68.117	70.497	
2002-04-01T07:00:00	70.932	71.642	68.852	69.252	70.847	71.557	68.767	69.167	
2002-03-01T07:00:00	69.142	71.122	66.542	70.932	69.057	71.037	66.457	70.847	
2002-02-01T07:00:00	68.472	69.542	67.102	69.142	68.387	69.457	67.017	69.057	
