日時	AUD/NZD(始値, 買い)	AUD/NZD(高値, 買い)	AUD/NZD(安値, 買い)	AUD/NZD(終値, 買い)	AUD/NZD(始値, 売り)	AUD/NZD(高値, 売り)	AUD/NZD(安値, 売り)	AUD/NZD(終値, 売り)	
2014-02-01T07:00:00	1.08387	1.09491	1.07748	1.08294	1.08192	1.09467	1.07728	1.08270	
2014-01-01T07:00:00	1.08512	1.09087	1.04941	1.08387	1.08435	1.09054	1.04913	1.08192	
2013-12-01T07:00:00	1.11955	1.12001	1.07356	1.08512	1.11589	1.11885	1.07295	1.08435	
2013-11-01T06:00:00	1.14478	1.15014	1.11165	1.11955	1.14372	1.14910	1.11140	1.11589	
2013-10-01T06:00:00	1.12299	1.15986	1.12265	1.14478	1.12194	1.15793	1.12176	1.14372	
2013-09-01T06:00:00	1.15362	1.16615	1.12155	1.12299	1.15067	1.16592	1.11965	1.12194	
2013-08-01T06:00:00	1.12527	1.16097	1.12027	1.15362	1.12489	1.15906	1.11974	1.15067	
2013-07-01T06:00:00	1.18292	1.18486	1.12397	1.12527	1.17905	1.18337	1.12355	1.12489	
2013-06-01T06:00:00	1.20590	1.21065	1.17562	1.18292	1.20356	1.21001	1.17361	1.17905	
2013-05-01T06:00:00	1.21144	1.21688	1.18204	1.20590	1.21005	1.21666	1.18175	1.20356	
2013-04-01T06:00:00	1.24651	1.24748	1.20543	1.21144	1.24507	1.24654	1.20503	1.21005	
2013-03-01T07:00:00	1.23852	1.26846	1.23121	1.24651	1.23811	1.26816	1.22999	1.24507	
2013-02-01T07:00:00	1.24298	1.24502	1.21447	1.23852	1.24204	1.24313	1.21414	1.23811	
2013-01-01T07:00:00	1.25721	1.26834	1.24016	1.24298	1.25668	1.26804	1.23987	1.24204	
2012-12-01T07:00:00	1.27197	1.27402	1.24563	1.25721	1.27134	1.27300	1.24503	1.25668	
2012-11-01T06:00:00	1.26167	1.28331	1.25294	1.27197	1.26128	1.28317	1.25238	1.27134	
2012-10-01T06:00:00	1.25147	1.27009	1.23724	1.26167	1.25082	1.26988	1.23699	1.26128	
2012-09-01T06:00:00	1.28552	1.29205	1.25001	1.25147	1.28456	1.29182	1.24893	1.25082	
2012-08-01T06:00:00	1.29901	1.30467	1.28077	1.28552	1.29813	1.30435	1.28047	1.28456	
2012-07-01T06:00:00	1.27981	1.30816	1.27438	1.29901	1.27852	1.30786	1.27340	1.29813	
2012-06-01T06:00:00	1.29217	1.29495	1.26762	1.27981	1.29095	1.29453	1.26727	1.27852	
2012-05-01T06:00:00	1.27476	1.30504	1.26625	1.29217	1.27332	1.30484	1.26581	1.29095	
2012-04-01T06:00:00	1.26690	1.27845	1.25222	1.27476	1.26509	1.27800	1.25173	1.27332	
2012-03-01T07:00:00	1.28645	1.30659	1.26245	1.26690	1.28568	1.30610	1.26202	1.26509	
2012-02-01T07:00:00	1.28497	1.29651	1.27681	1.28645	1.28443	1.29619	1.27650	1.28568	
2012-01-01T07:00:00	1.31332	1.32148	1.28372	1.28497	1.31169	1.31804	1.28332	1.28443	
2011-12-01T07:00:00	1.31754	1.32801	1.30577	1.31332	1.31582	1.32763	1.30535	1.31169	
2011-11-01T06:00:00	1.30567	1.32743	1.29401	1.31754	1.30428	1.32704	1.29357	1.31582	
2011-10-01T06:00:00	1.27029	1.31290	1.25271	1.30567	1.26941	1.31252	1.25207	1.30428	
2011-09-01T06:00:00	1.25357	1.28365	1.23651	1.27029	1.25227	1.28321	1.23581	1.26941	
2011-08-01T06:00:00	1.25025	1.27441	1.23210	1.25357	1.24939	1.27353	1.23151	1.25227	
2011-07-01T06:00:00	1.29342	1.30383	1.24857	1.25025	1.29272	1.30251	1.24826	1.24939	
2011-06-01T06:00:00	1.29569	1.31853	1.28057	1.29342	1.29442	1.31822	1.28007	1.29272	
2011-05-01T06:00:00	1.35521	1.37072	1.29306	1.29569	1.35446	1.37030	1.29243	1.29442	
2011-04-01T06:00:00	1.35687	1.36447	1.32009	1.35521	1.35574	1.36438	1.31805	1.35446	
2011-03-01T07:00:00	1.35452	1.37973	1.34444	1.35687	1.35267	1.37943	1.34354	1.35574	
2011-02-01T07:00:00	1.29157	1.35617	1.28894	1.35452	1.29068	1.35559	1.28682	1.35267	
2011-01-01T07:00:00	1.31587	1.32196	1.27834	1.29157	1.31437	1.32121	1.27769	1.29068	
2010-12-01T07:00:00	1.29157	1.35320	1.28224	1.31542	1.29098	1.35152	1.28171	1.31453	
2010-11-01T06:00:00	1.28631	1.30819	1.26443	1.29157	1.28533	1.30723	1.26350	1.29098	
2010-10-01T06:00:00	1.31749	1.32232	1.28033	1.28631	1.31652	1.32188	1.27977	1.28533	
2010-09-01T06:00:00	1.27451	1.31851	1.26160	1.31749	1.27328	1.31789	1.26084	1.31652	
2010-08-01T06:00:00	1.24694	1.27780	1.24026	1.27451	1.24596	1.27726	1.23966	1.27328	
2010-07-01T06:00:00	1.22777	1.25096	1.21043	1.24694	1.22662	1.25042	1.20959	1.24596	
2010-06-01T06:00:00	1.24375	1.24531	1.22102	1.22777	1.24260	1.24500	1.21999	1.22662	
2010-05-01T06:00:00	1.27297	1.27297	1.21378	1.24375	1.27240	1.27240	1.21190	1.24260	
2010-04-01T06:00:00	1.29123	1.32378	1.27005	1.27297	1.29008	1.32324	1.26952	1.27240	
2010-03-01T07:00:00	1.28422	1.31297	1.28224	1.29123	1.28310	1.31242	1.27956	1.29008	
2010-02-01T07:00:00	1.26059	1.29354	1.24182	1.28422	1.25962	1.29273	1.24100	1.28310	
2010-01-01T07:00:00	1.23730	1.27692	1.23730	1.26059	1.23675	1.27626	1.23675	1.25962	
2009-12-01T07:00:00	1.28051	1.28453	1.23291	1.23730	1.27916	1.28419	1.23226	1.23675	
2009-11-01T06:00:00	1.25554	1.28263	1.24412	1.28051	1.25470	1.28196	1.24361	1.27916	
2009-10-01T06:00:00	1.22198	1.25620	1.19361	1.25554	1.21871	1.25519	1.19306	1.25470	
2009-09-01T06:00:00	1.23302	1.24396	1.19991	1.22198	1.23061	1.24335	1.19830	1.21871	
2009-08-01T06:00:00	1.26405	1.26776	1.21299	1.23302	1.26249	1.26669	1.21156	1.23061	
2009-07-01T06:00:00	1.24988	1.27149	1.23413	1.26405	1.24756	1.27104	1.23368	1.26249	
2009-06-01T06:00:00	1.25019	1.28525	1.23888	1.24988	1.24854	1.28283	1.23791	1.24756	
2009-05-01T06:00:00	1.28518	1.29316	1.24865	1.25019	1.28211	1.29199	1.24698	1.24854	
2009-04-01T06:00:00	1.23678	1.29472	1.20376	1.28518	1.23436	1.29351	1.20225	1.28211	
2009-03-01T07:00:00	1.27847	1.29489	1.20727	1.23678	1.27518	1.29355	1.20560	1.23436	
