日時	AUD/USD(始値, 買い)	AUD/USD(高値, 買い)	AUD/USD(安値, 買い)	AUD/USD(終値, 買い)	AUD/USD(始値, 売り)	AUD/USD(高値, 売り)	AUD/USD(安値, 売り)	AUD/USD(終値, 売り)	
2014-02-01T07:00:00	0.87578	0.89425	0.87310	0.88911	0.87522	0.89409	0.87295	0.88892	
2014-01-01T07:00:00	0.89297	0.90868	0.86613	0.87578	0.89268	0.90852	0.86592	0.87522	
2013-12-01T07:00:00	0.91097	0.91692	0.88227	0.89297	0.90989	0.91673	0.88200	0.89268	
2013-11-01T06:00:00	0.94568	0.95437	0.90568	0.91097	0.94532	0.95427	0.90549	0.90989	
2013-10-01T06:00:00	0.93281	0.97587	0.92907	0.94568	0.93232	0.97571	0.92871	0.94532	
2013-09-01T06:00:00	0.89128	0.95295	0.89256	0.93281	0.88993	0.95276	0.89224	0.93232	
2013-08-01T06:00:00	0.89862	0.92339	0.88488	0.89128	0.89836	0.92326	0.88470	0.88993	
2013-07-01T06:00:00	0.91209	0.93198	0.89372	0.89862	0.91082	0.93174	0.89348	0.89836	
2013-06-01T06:00:00	0.95764	0.97927	0.91128	0.91209	0.95700	0.97910	0.91057	0.91082	
2013-05-01T06:00:00	1.03729	1.03830	0.95290	0.95764	1.03699	1.03810	0.95274	0.95700	
2013-04-01T06:00:00	1.04248	1.05830	1.02220	1.03729	1.04141	1.05815	1.02202	1.03699	
2013-03-01T07:00:00	1.02159	1.04980	1.01163	1.04248	1.02129	1.04961	1.01143	1.04141	
2013-02-01T07:00:00	1.04269	1.04615	1.01842	1.02159	1.04245	1.04568	1.01824	1.02129	
2013-01-01T07:00:00	1.03947	1.06024	1.03811	1.04269	1.03923	1.05973	1.03794	1.04245	
2012-12-01T07:00:00	1.04303	1.05863	1.03462	1.03947	1.04239	1.05847	1.03438	1.03923	
2012-11-01T06:00:00	1.03781	1.04908	1.02884	1.04303	1.03752	1.04890	1.02866	1.04239	
2012-10-01T06:00:00	1.03847	1.04120	1.01506	1.03781	1.03786	1.04103	1.01485	1.03752	
2012-09-01T06:00:00	1.03315	1.06254	1.01674	1.03847	1.03104	1.06239	1.01634	1.03786	
2012-08-01T06:00:00	1.05057	1.06142	1.02773	1.03315	1.05011	1.06122	1.02755	1.03104	
2012-07-01T06:00:00	1.02528	1.05390	1.01010	1.05057	1.02401	1.05375	1.00996	1.05011	
2012-06-01T06:00:00	0.97361	1.02592	0.95818	1.02528	0.97298	1.02565	0.95802	1.02401	
2012-05-01T06:00:00	1.04315	1.04317	0.96745	0.97361	1.04248	1.04291	0.96725	0.97298	
2012-04-01T06:00:00	1.03531	1.04792	1.02272	1.04315	1.03431	1.04736	1.02250	1.04248	
2012-03-01T07:00:00	1.07346	1.08189	1.03056	1.03531	1.07288	1.08164	1.03036	1.03431	
2012-02-01T07:00:00	1.06236	1.08572	1.05704	1.07346	1.06183	1.08554	1.05683	1.07288	
2012-01-01T07:00:00	1.02113	1.06886	1.01465	1.06236	1.01921	1.06868	1.01443	1.06183	
2011-12-01T07:00:00	1.02846	1.03815	0.98626	1.02113	1.02791	1.03791	0.98605	1.01921	
2011-11-01T06:00:00	1.05314	1.05678	0.96647	1.02846	1.05292	1.05658	0.96629	1.02791	
2011-10-01T06:00:00	0.96801	1.07541	0.93886	1.05314	0.96785	1.07522	0.93866	1.05292	
2011-09-01T06:00:00	1.07082	1.07655	0.96237	0.96801	1.07055	1.07638	0.96212	0.96785	
2011-08-01T06:00:00	1.09884	1.10660	0.99289	1.07082	1.09856	1.10642	0.99259	1.07055	
2011-07-01T06:00:00	1.07226	1.10814	1.05266	1.09884	1.07203	1.10794	1.05247	1.09856	
2011-06-01T06:00:00	1.06739	1.07758	1.03916	1.07226	1.06697	1.07740	1.03895	1.07203	
2011-05-01T06:00:00	1.09685	1.10131	1.04417	1.06739	1.09661	1.10110	1.04396	1.06697	
2011-04-01T06:00:00	1.03302	1.09786	1.02894	1.09685	1.03277	1.09764	1.02873	1.09661	
2011-03-01T07:00:00	1.01875	1.03739	0.97098	1.03302	1.01844	1.03723	0.97018	1.03277	
2011-02-01T07:00:00	0.99740	1.02011	0.99444	1.01875	0.99717	1.01995	0.99431	1.01844	
2011-01-01T07:00:00	1.02353	1.02353	0.98055	0.99740	1.02334	1.02334	0.98030	0.99717	
2010-12-01T07:00:00	0.95881	1.02580	0.95385	1.02354	0.95859	1.02565	0.95361	1.02331	
2010-11-01T06:00:00	0.98021	1.01837	0.95450	0.95881	0.97985	1.01821	0.95429	0.95859	
2010-10-01T06:00:00	0.96725	1.00045	0.95423	0.98021	0.96695	1.00025	0.95407	0.97985	
2010-09-01T06:00:00	0.89073	0.97346	0.89023	0.96725	0.89046	0.97332	0.88996	0.96695	
2010-08-01T06:00:00	0.90462	0.92230	0.87718	0.89073	0.90437	0.92213	0.87703	0.89046	
2010-07-01T06:00:00	0.84097	0.90699	0.83170	0.90462	0.84055	0.90684	0.83149	0.90437	
2010-06-01T06:00:00	0.84606	0.88603	0.80806	0.84097	0.84568	0.88583	0.80811	0.84055	
2010-05-01T06:00:00	0.92518	0.92764	0.80673	0.84606	0.92495	0.92741	0.80648	0.84568	
2010-04-01T06:00:00	0.91740	0.93918	0.91365	0.92518	0.91703	0.93851	0.91346	0.92495	
2010-03-01T07:00:00	0.89628	0.92533	0.89368	0.91740	0.89601	0.92511	0.89342	0.91703	
2010-02-01T07:00:00	0.88433	0.90722	0.85796	0.89628	0.88409	0.90700	0.85771	0.89601	
2010-01-01T07:00:00	0.89777	0.93315	0.88428	0.88433	0.89739	0.93291	0.88402	0.88409	
