日時	CAD/CHF(始値, 買い)	CAD/CHF(高値, 買い)	CAD/CHF(安値, 買い)	CAD/CHF(終値, 買い)	CAD/CHF(始値, 売り)	CAD/CHF(高値, 売り)	CAD/CHF(安値, 売り)	CAD/CHF(終値, 売り)	
2014-02-01T07:00:00	0.81442	0.81944	0.81037	0.81577	0.81341	0.81913	0.80928	0.81546	
2014-01-01T07:00:00	0.83741	0.85399	0.79987	0.81442	0.83703	0.85367	0.79954	0.81341	
2013-12-01T07:00:00	0.85472	0.85667	0.82532	0.83741	0.85260	0.85635	0.82489	0.83703	
2013-11-01T06:00:00	0.86973	0.88591	0.85146	0.85472	0.86906	0.88561	0.85111	0.85260	
2013-10-01T06:00:00	0.87799	0.88684	0.85294	0.86973	0.87744	0.88654	0.85262	0.86906	
2013-09-01T06:00:00	0.88356	0.90677	0.87455	0.87799	0.88118	0.90649	0.87423	0.87744	
2013-08-01T06:00:00	0.90145	0.90856	0.87238	0.88356	0.90102	0.90827	0.87209	0.88118	
2013-07-01T06:00:00	0.89942	0.92582	0.89695	0.90145	0.89699	0.92551	0.89625	0.90102	
2013-06-01T06:00:00	0.92272	0.92988	0.88486	0.89942	0.92102	0.92966	0.88449	0.89699	
2013-05-01T06:00:00	0.92289	0.95450	0.91762	0.92272	0.92228	0.95426	0.91733	0.92102	
2013-04-01T06:00:00	0.93405	0.93873	0.89872	0.92289	0.93291	0.93841	0.89840	0.92228	
2013-03-01T07:00:00	0.90882	0.93995	0.90781	0.93405	0.90830	0.93962	0.90749	0.93291	
2013-02-01T07:00:00	0.91292	0.92362	0.90255	0.90882	0.91237	0.92336	0.90227	0.90830	
2013-01-01T07:00:00	0.92042	0.95170	0.90622	0.91292	0.92018	0.95125	0.90587	0.91237	
2012-12-01T07:00:00	0.93376	0.94980	0.91617	0.92042	0.93314	0.94947	0.91519	0.92018	
2012-11-01T06:00:00	0.93202	0.95446	0.93030	0.93376	0.93148	0.95417	0.92998	0.93314	
