日時	CAD/JPY(始値, 買い)	CAD/JPY(高値, 買い)	CAD/JPY(安値, 買い)	CAD/JPY(終値, 買い)	CAD/JPY(始値, 売り)	CAD/JPY(高値, 売り)	CAD/JPY(安値, 売り)	CAD/JPY(終値, 売り)	
2014-02-01T07:00:00	91.715	92.230	90.826	91.529	91.607	92.210	90.787	91.505	
2014-01-01T07:00:00	92.329	93.245	91.085	91.715	92.211	93.222	91.061	91.607	
2013-12-01T07:00:00	96.561	99.101	95.190	98.962	96.390	99.074	95.165	98.944	
2013-11-01T06:00:00	94.315	96.865	93.472	96.561	94.277	96.843	93.451	96.390	
2013-10-01T06:00:00	95.304	95.872	92.909	94.315	95.267	95.844	92.885	94.277	
2013-09-01T06:00:00	93.204	97.508	93.249	95.304	93.066	97.449	93.190	95.267	
2013-08-01T06:00:00	95.281	96.341	92.292	93.204	95.252	96.313	92.258	93.066	
2013-07-01T06:00:00	94.298	97.674	94.220	95.281	94.218	97.651	94.198	95.252	
2013-06-01T06:00:00	96.928	97.420	91.809	94.298	96.867	97.398	91.786	94.218	
2013-05-01T06:00:00	96.735	101.064	96.202	96.928	96.683	101.042	96.179	96.867	
2013-04-01T06:00:00	92.654	98.896	91.207	96.735	92.580	98.872	91.177	96.683	
2013-03-01T07:00:00	89.811	94.383	89.662	92.654	89.777	94.360	89.637	92.580	
2013-02-01T07:00:00	91.978	94.521	88.520	89.811	91.957	94.498	88.494	89.777	
2013-01-01T07:00:00	87.060	92.030	87.060	91.978	87.065	91.985	87.065	91.957	
2012-12-01T07:00:00	82.951	87.111	82.240	87.060	82.923	87.072	82.215	87.065	
2012-11-01T06:00:00	79.841	83.361	78.894	82.951	79.810	83.340	78.872	82.923	
2012-10-01T06:00:00	79.251	81.142	79.064	79.841	79.206	81.119	79.034	79.810	
2012-09-01T06:00:00	79.499	81.452	78.809	79.251	79.438	81.428	78.787	79.206	
2012-08-01T06:00:00	77.893	80.697	77.512	79.499	77.847	80.675	77.485	79.438	
2012-07-01T06:00:00	78.570	79.135	76.345	77.893	78.450	79.109	76.316	77.847	
2012-06-01T06:00:00	75.857	78.681	74.424	78.570	75.786	78.655	74.395	78.450	
2012-05-01T06:00:00	80.879	81.881	75.478	75.857	80.818	81.856	75.447	75.786	
2012-04-01T06:00:00	83.065	83.706	80.197	80.879	82.959	83.676	80.165	80.818	
2012-03-01T07:00:00	82.045	84.983	80.400	83.065	81.906	84.956	80.375	82.959	
2012-02-01T07:00:00	76.083	82.297	75.784	82.045	76.040	82.270	75.755	81.906	
2012-01-01T07:00:00	75.452	77.627	74.549	76.083	75.239	77.596	74.518	76.040	
2011-12-01T07:00:00	76.335	77.388	74.753	75.452	76.222	77.356	74.726	75.239	
2011-11-01T06:00:00	78.139	79.303	73.503	76.335	78.100	79.060	73.481	76.222	
2011-10-01T06:00:00	73.535	79.671	72.171	78.139	73.501	79.633	72.141	78.100	
2011-09-01T06:00:00	78.433	79.130	73.328	73.535	78.381	79.106	73.299	73.501	
2011-08-01T06:00:00	80.515	82.708	76.824	78.433	80.467	82.677	76.786	78.381	
2011-07-01T06:00:00	83.660	85.152	80.433	80.515	83.610	85.071	80.402	80.467	
2011-06-01T06:00:00	84.198	84.275	81.246	83.660	84.141	84.246	81.214	83.610	
2011-05-01T06:00:00	85.798	86.108	82.323	84.198	85.754	86.076	82.284	84.141	
2011-04-01T06:00:00	85.665	89.550	84.606	85.798	85.601	89.516	84.575	85.754	
2011-03-01T07:00:00	84.228	85.834	77.193	85.665	84.121	85.806	76.728	85.601	
2011-02-01T07:00:00	81.981	85.253	81.611	84.228	81.943	85.165	81.461	84.121	
2011-01-01T07:00:00	81.572	84.708	81.422	81.981	81.542	84.677	81.277	81.943	
2010-12-01T07:00:00	81.573	84.222	81.225	81.580	81.513	84.191	81.176	81.543	
2010-11-01T06:00:00	78.898	83.158	78.805	81.573	78.852	83.113	78.482	81.513	
2010-10-01T06:00:00	81.167	82.350	78.702	78.898	81.133	82.317	78.653	78.852	
2010-09-01T06:00:00	79.058	84.088	78.953	81.167	78.953	84.055	78.878	81.133	
2010-08-01T06:00:00	84.082	85.274	78.435	79.058	84.040	85.211	78.403	78.953	
2010-07-01T06:00:00	83.153	86.484	81.625	84.082	83.107	86.444	81.587	84.040	
2010-06-01T06:00:00	87.407	90.065	83.008	83.153	87.350	90.031	82.971	83.107	
2010-05-01T06:00:00	92.459	93.950	82.268	87.407	92.416	93.910	82.096	87.350	
2010-04-01T06:00:00	92.062	94.510	89.997	92.459	91.987	94.471	89.951	92.416	
2010-03-01T07:00:00	84.475	92.163	84.448	92.062	84.416	92.111	84.351	91.987	
2010-02-01T07:00:00	84.441	88.498	82.417	84.475	84.394	88.441	82.360	84.416	
2010-01-01T07:00:00	88.982	90.668	83.694	84.441	88.935	90.611	83.643	84.394	
2009-12-01T07:00:00	81.786	89.014	81.658	88.982	81.711	88.969	81.591	88.935	
2009-11-01T06:00:00	83.221	86.384	79.991	81.786	83.168	86.341	79.859	81.711	
2009-10-01T06:00:00	83.973	88.347	81.348	83.221	83.816	88.290	81.297	83.168	
2009-09-01T06:00:00	85.188	86.591	80.698	83.973	85.141	86.541	80.616	83.816	
2009-08-01T06:00:00	87.868	90.356	83.828	85.188	87.801	90.302	83.771	85.141	
2009-07-01T06:00:00	82.963	89.017	78.588	87.868	82.846	88.927	78.534	87.801	
2009-06-01T06:00:00	87.290	89.449	82.107	82.963	87.231	89.391	82.057	82.846	
2009-05-01T06:00:00	82.763	87.694	80.176	87.290	82.656	87.641	80.102	87.231	
2009-04-01T06:00:00	78.573	83.095	77.472	82.763	78.491	83.046	77.418	82.656	
2009-03-01T07:00:00	76.747	80.707	74.092	78.573	76.682	80.644	74.033	78.491	
2009-02-01T07:00:00	73.293	79.434	71.507	76.747	73.222	79.382	71.453	76.682	
2009-01-01T07:00:00	74.589	80.496	68.422	73.293	74.514	80.424	68.363	73.222	
2008-12-01T07:00:00	77.361	77.362	70.626	74.589	77.221	77.257	70.562	74.514	
2008-11-01T06:00:00	82.197	87.533	72.209	77.361	82.102	87.482	72.094	77.221	
2008-10-01T06:00:00	99.732	100.713	71.033	82.197	99.647	100.652	70.931	82.102	
2008-09-01T06:00:00	102.509	103.497	96.547	99.732	102.444	103.435	96.479	99.647	
2008-08-01T06:00:00	105.348	105.500	101.543	102.509	105.287	105.442	101.498	102.444	
2008-07-01T06:00:00	104.002	107.182	103.179	105.348	103.945	107.142	103.135	105.287	
2008-06-01T06:00:00	106.160	107.116	102.563	104.002	106.085	107.072	102.498	103.945	
2008-05-01T06:00:00	103.114	107.146	101.619	106.160	103.057	107.103	101.551	106.085	
2008-04-01T06:00:00	97.277	104.140	97.107	103.114	97.192	104.095	97.042	103.057	
2008-03-01T07:00:00	105.584	105.752	95.730	97.277	105.529	105.707	95.685	97.192	
2008-02-01T07:00:00	105.918	109.697	104.768	105.584	105.883	109.643	104.708	105.529	
2008-01-01T07:00:00	113.046	113.311	101.869	105.918	112.961	113.256	101.824	105.883	
2007-12-01T07:00:00	111.147	116.897	107.915	113.046	111.102	116.832	107.870	112.961	
2007-11-01T06:00:00	122.442	125.610	108.125	111.147	122.347	125.550	108.087	111.102	
2007-10-01T06:00:00	115.597	122.557	115.440	122.442	115.462	122.468	115.382	122.347	
2007-09-01T06:00:00	109.667	116.100	106.577	115.597	109.622	116.056	106.502	115.462	
2007-08-01T06:00:00	111.257	114.377	103.427	109.667	111.192	114.332	103.362	109.622	
2007-07-01T06:00:00	115.737	118.277	110.547	111.257	115.642	118.212	110.502	111.192	
2007-06-01T06:00:00	113.957	117.857	113.497	115.737	113.862	117.762	113.402	115.642	
2007-05-01T06:00:00	107.767	114.147	107.237	113.957	107.672	114.052	107.142	113.862	
2007-04-01T06:00:00	102.117	108.247	101.787	107.767	102.022	108.152	101.692	107.672	
2007-03-01T07:00:00	101.367	102.857	97.587	102.117	101.272	102.762	97.492	102.022	
2007-02-01T07:00:00	102.777	104.887	100.777	101.367	102.682	104.792	100.682	101.272	
2007-01-01T07:00:00	102.147	103.667	100.217	102.777	102.052	103.672	100.222	102.682	
2006-12-01T07:00:00	101.507	103.407	100.057	102.147	101.412	103.312	99.962	102.052	
