日時	CHF/JPY(始値, 買い)	CHF/JPY(高値, 買い)	CHF/JPY(安値, 買い)	CHF/JPY(終値, 買い)	CHF/JPY(始値, 売り)	CHF/JPY(高値, 売り)	CHF/JPY(安値, 売り)	CHF/JPY(終値, 売り)	
2014-02-01T07:00:00	112.681	112.923	111.707	112.217	112.576	112.910	111.686	112.197	
2014-01-01T07:00:00	114.441	115.147	112.558	112.681	114.270	115.026	112.533	112.576	
2013-12-01T07:00:00	113.159	119.206	112.863	118.214	112.984	119.182	112.847	118.188	
2013-11-01T06:00:00	108.484	113.408	106.778	113.159	108.447	113.393	106.773	112.984	
2013-10-01T06:00:00	108.587	109.756	106.669	108.484	108.526	109.742	106.656	108.447	
2013-09-01T06:00:00	105.644	109.414	105.048	108.587	105.489	109.404	104.984	108.526	
2013-08-01T06:00:00	105.721	107.299	104.066	105.644	105.673	107.283	104.031	105.489	
2013-07-01T06:00:00	104.985	107.224	103.120	105.721	104.818	107.184	103.094	105.673	
2013-06-01T06:00:00	105.131	106.093	101.834	104.985	105.080	106.053	101.821	104.818	
2013-05-01T06:00:00	104.842	106.668	104.058	105.131	104.798	106.650	104.042	105.080	
2013-04-01T06:00:00	99.267	107.453	97.970	104.842	99.163	107.444	97.954	104.798	
2013-03-01T07:00:00	98.853	102.305	98.217	99.267	98.814	102.292	98.174	99.163	
2013-02-01T07:00:00	100.796	103.671	97.448	98.853	100.724	103.651	97.404	98.814	
2013-01-01T07:00:00	94.644	100.830	93.946	100.796	94.619	100.810	93.922	100.724	
2012-12-01T07:00:00	88.867	94.916	87.814	94.644	88.838	94.888	87.800	94.619	
2012-11-01T06:00:00	85.685	89.389	83.290	88.867	85.658	89.379	83.276	88.838	
2012-10-01T06:00:00	82.915	86.390	82.572	85.685	82.888	86.371	82.553	85.658	
2012-09-01T06:00:00	82.113	85.547	81.586	82.915	81.995	85.538	81.572	82.888	
2012-08-01T06:00:00	80.044	82.575	79.039	82.113	79.950	82.562	79.025	81.995	
2012-07-01T06:00:00	84.184	84.416	78.379	80.044	84.069	84.298	78.363	79.950	
2012-06-01T06:00:00	80.672	84.629	79.618	84.184	80.575	84.611	79.601	84.069	
2012-05-01T06:00:00	87.974	88.679	80.363	80.672	87.924	88.661	80.348	80.575	
2012-04-01T06:00:00	91.871	92.309	87.045	87.974	91.769	92.288	87.025	87.924	
2012-03-01T07:00:00	89.748	92.429	87.678	91.871	89.680	92.409	87.663	91.769	
2012-02-01T07:00:00	82.914	91.317	82.403	89.748	82.871	91.254	82.383	89.680	
2012-01-01T07:00:00	81.967	84.690	80.054	82.914	81.866	84.672	80.027	82.871	
2011-12-01T07:00:00	85.042	85.665	81.777	81.967	84.948	85.630	81.754	81.866	
2011-11-01T06:00:00	89.177	89.944	83.205	85.042	89.114	89.889	83.186	84.948	
2011-10-01T06:00:00	85.024	91.416	82.427	89.177	85.000	91.402	82.392	89.114	
2011-09-01T06:00:00	95.183	99.396	83.093	85.024	95.047	99.375	83.063	85.000	
2011-08-01T06:00:00	97.703	108.763	93.252	95.183	97.651	108.716	93.236	95.047	
2011-07-01T06:00:00	95.848	98.171	94.700	97.703	95.834	98.153	94.576	97.651	
2011-06-01T06:00:00	95.503	97.693	94.149	95.848	95.426	97.678	94.126	95.834	
