日時	EUR/AUD(始値, 買い)	EUR/AUD(高値, 買い)	EUR/AUD(安値, 買い)	EUR/AUD(終値, 買い)	EUR/AUD(始値, 売り)	EUR/AUD(高値, 売り)	EUR/AUD(安値, 売り)	EUR/AUD(終値, 売り)	
2014-02-01T07:00:00	1.54150	1.54844	1.51136	1.51984	1.54033	1.54824	1.51110	1.51957	
2014-01-01T07:00:00	1.57587	1.57742	1.53629	1.54150	1.57420	1.57713	1.53605	1.54033	
2013-12-01T07:00:00	1.49361	1.56000	1.48011	1.54342	1.49181	1.55962	1.47991	1.54286	
2013-11-01T06:00:00	1.43695	1.50332	1.40518	1.49361	1.43638	1.50305	1.40492	1.49181	
2013-10-01T06:00:00	1.45069	1.45558	1.41258	1.43695	1.44986	1.45507	1.41230	1.43638	
2013-09-01T06:00:00	1.48541	1.48077	1.41952	1.45069	1.48403	1.48039	1.41912	1.44986	
2013-08-01T06:00:00	1.48055	1.50322	1.44448	1.48541	1.48026	1.50297	1.44422	1.48403	
2013-07-01T06:00:00	1.42861	1.48601	1.38642	1.48055	1.42681	1.48514	1.38605	1.48026	
2013-06-01T06:00:00	1.35808	1.44180	1.33721	1.42861	1.35678	1.44151	1.33693	1.42681	
2013-05-01T06:00:00	1.26987	1.35926	1.26824	1.35808	1.26946	1.35908	1.26798	1.35678	
2013-04-01T06:00:00	1.22952	1.27771	1.22203	1.26987	1.22873	1.27749	1.22183	1.26946	
2013-03-01T07:00:00	1.27849	1.28672	1.22229	1.22952	1.27814	1.28650	1.22204	1.22873	
2013-02-01T07:00:00	1.30250	1.31919	1.26782	1.27849	1.30217	1.31897	1.26753	1.27814	
2013-01-01T07:00:00	1.26882	1.30758	1.23588	1.30250	1.26842	1.30736	1.23563	1.30217	
2012-12-01T07:00:00	1.24602	1.28083	1.22883	1.26882	1.24489	1.28052	1.22854	1.26842	
2012-11-01T06:00:00	1.24900	1.25103	1.21602	1.24602	1.24863	1.25080	1.21577	1.24489	
2012-10-01T06:00:00	1.23845	1.28380	1.23671	1.24900	1.23826	1.28234	1.23648	1.24863	
2012-09-01T06:00:00	1.21893	1.25539	1.21893	1.23845	1.21749	1.25522	1.21749	1.23826	
2012-08-01T06:00:00	1.17176	1.22324	1.16070	1.21893	1.17133	1.22302	1.16044	1.21749	
2012-07-01T06:00:00	1.23631	1.23655	1.16469	1.17176	1.23432	1.23630	1.16445	1.17133	
2012-06-01T06:00:00	1.27057	1.28831	1.23287	1.23631	1.27000	1.28731	1.23262	1.23432	
2012-05-01T06:00:00	1.27014	1.30324	1.26687	1.27057	1.26906	1.30293	1.26661	1.27000	
2012-04-01T06:00:00	1.29020	1.29020	1.25731	1.27014	1.28824	1.28824	1.25709	1.26906	
2012-03-01T07:00:00	1.24191	1.29026	1.22629	1.29020	1.24129	1.28915	1.22607	1.28824	
2012-02-01T07:00:00	1.23196	1.26197	1.21346	1.24191	1.23147	1.26179	1.21322	1.24129	
2012-01-01T07:00:00	1.27215	1.27215	1.22295	1.23196	1.27006	1.27051	1.22261	1.23147	
2011-12-01T07:00:00	1.30817	1.32328	1.26341	1.27215	1.30718	1.32298	1.26305	1.27006	
