日時	EUR/CAD(始値, 買い)	EUR/CAD(高値, 買い)	EUR/CAD(安値, 買い)	EUR/CAD(終値, 買い)	EUR/CAD(始値, 売り)	EUR/CAD(高値, 売り)	EUR/CAD(安値, 売り)	EUR/CAD(終値, 売り)	
2014-02-01T07:00:00	1.50215	1.50475	1.49088	1.49753	1.50120	1.50392	1.49065	1.49732	
2014-01-01T07:00:00	1.51667	1.53084	1.49688	1.50215	1.51567	1.53060	1.49654	1.50120	
2013-12-01T07:00:00	1.44369	1.48199	1.43855	1.46563	1.44198	1.48169	1.43830	1.46530	
2013-11-01T06:00:00	1.41728	1.44570	1.38881	1.44369	1.41669	1.44544	1.38860	1.44198	
2013-10-01T06:00:00	1.39415	1.44422	1.39415	1.41728	1.39344	1.44399	1.39344	1.41669	
2013-09-01T06:00:00	1.39402	1.39963	1.36498	1.39415	1.39244	1.39940	1.36474	1.39344	
2013-08-01T06:00:00	1.36718	1.41285	1.35993	1.39402	1.36683	1.41262	1.35981	1.39244	
2013-07-01T06:00:00	1.37128	1.37705	1.34321	1.36718	1.36951	1.37685	1.34294	1.36683	
2013-06-01T06:00:00	1.34773	1.38185	1.34276	1.37128	1.34707	1.38158	1.34239	1.36951	
2013-05-01T06:00:00	1.32654	1.35065	1.30689	1.34773	1.32615	1.35039	1.30664	1.34707	
2013-04-01T06:00:00	1.30411	1.35256	1.29551	1.32654	1.30309	1.35233	1.29512	1.32615	
2013-03-01T07:00:00	1.34608	1.35406	1.29677	1.30411	1.34568	1.35381	1.29654	1.30309	
2013-02-01T07:00:00	1.35446	1.37105	1.33313	1.34608	1.35411	1.37081	1.33286	1.34568	
2013-01-01T07:00:00	1.31192	1.36418	1.28480	1.35446	1.31183	1.36397	1.28455	1.35411	
2012-12-01T07:00:00	1.29142	1.31880	1.27174	1.31192	1.29098	1.31850	1.27141	1.31183	
2012-11-01T06:00:00	1.29581	1.29782	1.26496	1.29142	1.29545	1.29758	1.26469	1.29098	
2012-10-01T06:00:00	1.26452	1.30248	1.25773	1.29581	1.26424	1.30223	1.25743	1.29545	
