日時	EUR/CHF(始値, 買い)	EUR/CHF(高値, 買い)	EUR/CHF(安値, 買い)	EUR/CHF(終値, 買い)	EUR/CHF(始値, 売り)	EUR/CHF(高値, 売り)	EUR/CHF(安値, 売り)	EUR/CHF(終値, 売り)	
2014-02-01T07:00:00	1.22272	1.22433	1.21858	1.22166	1.22189	1.22413	1.21837	1.22143	
2014-01-01T07:00:00	1.22353	1.22984	1.22117	1.22272	1.22291	1.22968	1.22102	1.22189	
2013-12-01T07:00:00	1.23208	1.23249	1.21680	1.22707	1.23107	1.23229	1.21657	1.22682	
2013-11-01T06:00:00	1.23207	1.23525	1.22843	1.23208	1.23176	1.23504	1.22822	1.23107	
2013-10-01T06:00:00	1.22388	1.23764	1.22182	1.23207	1.22334	1.23746	1.22162	1.23176	
2013-09-01T06:00:00	1.23006	1.24158	1.22160	1.22388	1.22900	1.24138	1.22141	1.22334	
2013-08-01T06:00:00	1.23231	1.24355	1.22686	1.23006	1.23192	1.24343	1.22665	1.22900	
2013-07-01T06:00:00	1.23147	1.24679	1.22788	1.23231	1.23020	1.24653	1.22754	1.23192	
2013-06-01T06:00:00	1.24251	1.24877	1.22200	1.23147	1.24177	1.24859	1.22182	1.23020	
2013-05-01T06:00:00	1.22392	1.26507	1.21978	1.24251	1.22356	1.26490	1.21955	1.24177	
2013-04-01T06:00:00	1.21761	1.23497	1.21316	1.22392	1.21642	1.23478	1.21248	1.22356	
2013-03-01T07:00:00	1.22292	1.23917	1.21577	1.21761	1.22261	1.23896	1.21558	1.21642	
2013-02-01T07:00:00	1.23624	1.24158	1.21194	1.22292	1.23587	1.24135	1.21181	1.22261	
2013-01-01T07:00:00	1.20737	1.25703	1.20737	1.23624	1.20715	1.25684	1.20715	1.23587	
2012-12-01T07:00:00	1.20534	1.21695	1.20508	1.20737	1.20491	1.21675	1.20439	1.20715	
2012-11-01T06:00:00	1.20747	1.20942	1.20311	1.20534	1.20702	1.20908	1.20294	1.20491	
2012-10-01T06:00:00	1.20867	1.21441	1.20614	1.20747	1.20824	1.21420	1.20573	1.20702	
2012-09-01T06:00:00	1.20158	1.21857	1.20085	1.20867	1.20024	1.21836	1.19927	1.20824	
2012-08-01T06:00:00	1.20227	1.20949	1.20082	1.20158	1.20102	1.20827	1.19983	1.20024	
2012-07-01T06:00:00	1.20186	1.20240	1.19939	1.20227	1.20047	1.20200	1.19944	1.20102	
2012-06-01T06:00:00	1.20120	1.20392	1.20073	1.20186	1.20090	1.20375	1.20005	1.20047	
2012-05-01T06:00:00	1.20149	1.20770	1.20068	1.20120	1.20119	1.20748	1.20014	1.20090	
2012-04-01T06:00:00	1.20482	1.20509	1.19966	1.20149	1.20343	1.20476	1.19854	1.20119	
