日時	EUR/GBP(始値, 買い)	EUR/GBP(高値, 買い)	EUR/GBP(安値, 買い)	EUR/GBP(終値, 買い)	EUR/GBP(始値, 売り)	EUR/GBP(高値, 売り)	EUR/GBP(安値, 売り)	EUR/GBP(終値, 売り)	
2014-02-01T07:00:00	0.82081	0.83275	0.82034	0.82699	0.82016	0.83256	0.81982	0.82679	
2014-01-01T07:00:00	0.83004	0.83070	0.81890	0.82081	0.82941	0.83052	0.81875	0.82016	
2013-12-01T07:00:00	0.83058	0.84675	0.82534	0.83157	0.82979	0.84661	0.82517	0.83131	
2013-11-01T06:00:00	0.84725	0.84784	0.82985	0.83058	0.84686	0.84761	0.82967	0.82979	
2013-10-01T06:00:00	0.83575	0.85861	0.83338	0.84725	0.83544	0.85845	0.83317	0.84686	
2013-09-01T06:00:00	0.85358	0.85347	0.83412	0.83575	0.85207	0.85272	0.83389	0.83544	
2013-08-01T06:00:00	0.87480	0.87701	0.85057	0.85358	0.87447	0.87685	0.85042	0.85207	
2013-07-01T06:00:00	0.85666	0.87709	0.84831	0.87480	0.85527	0.87648	0.84813	0.87447	
2013-06-01T06:00:00	0.85551	0.85929	0.84698	0.85666	0.85477	0.85900	0.84676	0.85527	
2013-05-01T06:00:00	0.84784	0.85996	0.84019	0.85551	0.84754	0.85977	0.83998	0.85477	
2013-04-01T06:00:00	0.84375	0.86378	0.83989	0.84784	0.84254	0.86361	0.83971	0.84754	
2013-03-01T07:00:00	0.86125	0.87944	0.84166	0.84375	0.86098	0.87929	0.84146	0.84254	
2013-02-01T07:00:00	0.85620	0.88156	0.84474	0.86125	0.85614	0.88142	0.84450	0.86098	
2013-01-01T07:00:00	0.81090	0.86077	0.80865	0.85620	0.81068	0.86055	0.80847	0.85614	
2012-12-01T07:00:00	0.81132	0.82258	0.80365	0.81090	0.81091	0.82242	0.80347	0.81068	
2012-11-01T06:00:00	0.80367	0.81333	0.79615	0.81132	0.80345	0.81317	0.79597	0.81091	
2012-10-01T06:00:00	0.79587	0.81652	0.79436	0.80367	0.79555	0.81637	0.79414	0.80345	
