日時	EUR/NZD(始値, 買い)	EUR/NZD(高値, 買い)	EUR/NZD(安値, 買い)	EUR/NZD(終値, 買い)	EUR/NZD(始値, 売り)	EUR/NZD(高値, 売り)	EUR/NZD(安値, 売り)	EUR/NZD(終値, 売り)	
2014-02-01T07:00:00	1.66989	1.67900	1.63720	1.64638	1.66762	1.67867	1.63590	1.64608	
2014-01-01T07:00:00	1.66226	1.67500	1.64291	1.66989	1.66130	1.67472	1.64256	1.66762	
2013-12-01T07:00:00	1.67228	1.69998	1.64458	1.67466	1.66992	1.69954	1.64422	1.67380	
2013-11-01T06:00:00	1.64471	1.68449	1.59157	1.67228	1.64349	1.68427	1.59134	1.66992	
2013-10-01T06:00:00	1.62868	1.67278	1.60209	1.64471	1.62773	1.67263	1.60167	1.64349	
2013-09-01T06:00:00	1.71207	1.70789	1.60743	1.62868	1.70965	1.70751	1.60707	1.62773	
2013-08-01T06:00:00	1.66641	1.72816	1.63285	1.71207	1.66553	1.72740	1.63248	1.70965	
2013-07-01T06:00:00	1.68581	1.68774	1.62302	1.66641	1.68377	1.68586	1.62248	1.66553	
2013-06-01T06:00:00	1.63724	1.71167	1.61266	1.68581	1.63491	1.71127	1.61234	1.68377	
2013-05-01T06:00:00	1.53787	1.63775	1.53112	1.63724	1.53672	1.63603	1.53071	1.63491	
2013-04-01T06:00:00	1.53216	1.56173	1.50822	1.53787	1.53044	1.56102	1.50798	1.53672	
2013-03-01T07:00:00	1.58337	1.59209	1.52301	1.53216	1.58260	1.59181	1.52271	1.53044	
2013-02-01T07:00:00	1.61869	1.62807	1.55974	1.58337	1.61783	1.62775	1.55927	1.58260	
2013-01-01T07:00:00	1.59511	1.63615	1.55098	1.61869	1.59453	1.63591	1.55064	1.61783	
2012-12-01T07:00:00	1.58409	1.62230	1.54478	1.59511	1.58280	1.62192	1.54451	1.59453	
2012-11-01T06:00:00	1.57588	1.58878	1.53938	1.58409	1.57531	1.58851	1.53905	1.58280	
2012-10-01T06:00:00	1.55022	1.60660	1.54698	1.57588	1.54881	1.60588	1.54650	1.57531	
2012-09-01T06:00:00	1.56629	1.59075	1.54711	1.55022	1.56380	1.59042	1.54611	1.54881	
2012-08-01T06:00:00	1.52191	1.57418	1.49692	1.56629	1.52118	1.57388	1.49651	1.56380	
2012-07-01T06:00:00	1.58161	1.58394	1.51198	1.52191	1.57946	1.58214	1.51145	1.52118	
2012-06-01T06:00:00	1.64142	1.65492	1.56845	1.58161	1.64023	1.65457	1.56795	1.57946	
2012-05-01T06:00:00	1.61779	1.69792	1.61578	1.64142	1.61712	1.69728	1.61526	1.64023	
2012-04-01T06:00:00	1.63201	1.63201	1.58226	1.61779	1.62960	1.63072	1.58186	1.61712	
2012-03-01T07:00:00	1.59783	1.64007	1.58327	1.63201	1.59696	1.63954	1.58284	1.62960	
2012-02-01T07:00:00	1.58418	1.61442	1.55934	1.59783	1.58291	1.61386	1.55876	1.59696	
2012-01-01T07:00:00	1.66773	1.67704	1.58231	1.58418	1.66551	1.66613	1.58165	1.58291	
2011-12-01T07:00:00	1.72335	1.74283	1.66067	1.66773	1.72167	1.74231	1.65931	1.66551	
2011-11-01T06:00:00	1.71845	1.81369	1.70887	1.72335	1.71744	1.81308	1.70803	1.72167	
2011-10-01T06:00:00	1.75767	1.76893	1.71058	1.71845	1.75635	1.76824	1.70990	1.71744	
2011-09-01T06:00:00	1.68288	1.77547	1.65098	1.75767	1.68171	1.77483	1.64930	1.75635	
2011-08-01T06:00:00	1.63581	1.77846	1.62099	1.68288	1.63398	1.77722	1.62035	1.68171	
2011-07-01T06:00:00	1.74948	1.75978	1.63456	1.63581	1.74851	1.75900	1.63364	1.63398	
2011-06-01T06:00:00	1.74808	1.80038	1.74087	1.74948	1.74681	1.79975	1.74020	1.74851	
2011-05-01T06:00:00	1.83044	1.88905	1.73628	1.74808	1.82971	1.88845	1.73559	1.74681	
2011-04-01T06:00:00	1.85958	1.86845	1.79858	1.83044	1.85891	1.86758	1.79791	1.82971	
2011-03-01T07:00:00	1.83511	1.95989	1.83263	1.85958	1.83421	1.95644	1.83141	1.85891	
2011-02-01T07:00:00	1.77372	1.85052	1.75097	1.83511	1.77271	1.85002	1.75017	1.83421	
2011-01-01T07:00:00	1.72212	1.80128	1.69408	1.77372	1.72007	1.79779	1.69221	1.77271	
2010-12-01T07:00:00	1.74862	1.80557	1.71674	1.72183	1.74824	1.80495	1.71605	1.72005	
2010-11-01T06:00:00	1.82681	1.82927	1.74348	1.74862	1.82548	1.82736	1.74279	1.74824	
2010-10-01T06:00:00	1.85777	1.87403	1.81608	1.82681	1.85605	1.87042	1.81563	1.82548	
2010-09-01T06:00:00	1.81503	1.86028	1.73802	1.85777	1.81260	1.85893	1.73533	1.85605	
2010-08-01T06:00:00	1.79699	1.83165	1.78102	1.81503	1.79574	1.83113	1.78027	1.81260	
2010-07-01T06:00:00	1.78819	1.84437	1.75870	1.79699	1.78586	1.84372	1.75726	1.79574	
2010-06-01T06:00:00	1.80874	1.81864	1.71912	1.78819	1.80775	1.81869	1.71834	1.78586	
2010-05-01T06:00:00	1.83237	1.88783	1.73746	1.80874	1.83179	1.88653	1.73671	1.80775	
2010-04-01T06:00:00	1.90204	1.92476	1.81395	1.83237	1.90011	1.92389	1.81333	1.83179	
2010-03-01T07:00:00	1.95130	1.98770	1.88069	1.90204	1.94937	1.98683	1.87985	1.90011	
2010-02-01T07:00:00	1.97656	2.00657	1.92726	1.95130	1.97596	2.00544	1.92434	1.94937	
2010-01-01T07:00:00	1.97593	2.00236	1.93104	1.97656	1.97506	2.00152	1.93017	1.97596	
2009-12-01T07:00:00	2.09868	2.10198	1.97042	1.97593	2.09455	2.10053	1.96955	1.97506	
2009-11-01T06:00:00	2.05196	2.12226	1.99347	2.09868	2.05065	2.12071	1.99244	2.09455	
2009-10-01T06:00:00	2.02688	2.05695	1.97073	2.05196	2.02341	2.05595	1.96966	2.05065	
2009-09-01T06:00:00	2.09244	2.12450	2.01896	2.02688	2.09096	2.12364	2.01811	2.02341	
2009-08-01T06:00:00	2.15344	2.16628	2.07592	2.09244	2.15181	2.16411	2.07481	2.09096	
2009-07-01T06:00:00	2.17508	2.25157	2.13668	2.15344	2.17211	2.25113	2.13391	2.15181	
2009-06-01T06:00:00	2.20631	2.26376	2.15633	2.17508	2.20447	2.26276	2.15487	2.17211	
2009-05-01T06:00:00	2.34218	2.35698	2.20598	2.20631	2.33921	2.35147	2.20111	2.20447	
2009-04-01T06:00:00	2.36988	2.38412	2.24570	2.34218	2.36701	2.38268	2.24221	2.33921	
2009-03-01T07:00:00	2.53212	2.56753	2.32170	2.36988	2.52947	2.56625	2.32006	2.36701	
2009-02-01T07:00:00	2.52257	2.58100	2.39856	2.53212	2.52032	2.58045	2.39719	2.52947	
2009-01-01T07:00:00	2.38793	2.54969	2.25029	2.52257	2.38636	2.54859	2.24892	2.52032	
2008-12-01T07:00:00	2.31255	2.48141	2.31255	2.38793	2.31160	2.47995	2.31160	2.38636	
2008-11-01T06:00:00	2.18036	2.40947	2.10668	2.31255	2.17771	2.40722	2.10513	2.31160	
2008-10-01T06:00:00	2.10517	2.35193	2.06927	2.18036	2.10297	2.34945	2.06672	2.17771	
2008-09-01T06:00:00	2.09687	2.19677	2.09127	2.10517	2.09502	2.19502	2.09008	2.10297	
