日時	EUR/TRY(始値, 買い)	EUR/TRY(高値, 買い)	EUR/TRY(安値, 買い)	EUR/TRY(終値, 買い)	EUR/TRY(始値, 売り)	EUR/TRY(高値, 売り)	EUR/TRY(安値, 売り)	EUR/TRY(終値, 売り)	
2014-02-01T07:00:00	3.05182	3.09903	3.01878	3.03058	3.03876	3.09286	3.01677	3.02833	
2014-01-01T07:00:00	3.20050	3.27414	2.95638	3.05182	3.18734	3.27272	2.95284	3.03876	
2013-12-01T07:00:00	2.74848	3.02013	2.74562	2.96346	2.74166	3.01462	2.74205	2.95727	
2013-11-01T06:00:00	2.71548	2.76946	2.69511	2.74848	2.71291	2.76777	2.69048	2.74166	
2013-10-01T06:00:00	2.73223	2.74835	2.66308	2.71548	2.72891	2.74730	2.66171	2.71291	
2013-09-01T06:00:00	2.69992	2.76163	2.62073	2.73223	2.68962	2.76041	2.61581	2.72891	
2013-08-01T06:00:00	2.57511	2.77313	2.54905	2.69992	2.57219	2.76901	2.53719	2.68962	
2013-07-01T06:00:00	2.51696	2.59132	2.47773	2.57511	2.50899	2.58376	2.47581	2.57219	
2013-06-01T06:00:00	2.44088	2.57922	2.44088	2.51696	2.43664	2.57741	2.43664	2.50899	
2013-05-01T06:00:00	2.36078	2.46056	2.33533	2.44088	2.35941	2.45980	2.33426	2.43664	
2013-04-01T06:00:00	2.32358	2.36623	2.30668	2.36078	2.31371	2.36561	2.30620	2.35941	
2013-03-01T07:00:00	2.34965	2.37038	2.31523	2.32358	2.34842	2.36901	2.31261	2.31371	
2013-02-01T07:00:00	2.38988	2.40213	2.34859	2.34965	2.38831	2.40151	2.34768	2.34842	
2013-01-01T07:00:00	2.35508	2.40496	2.31748	2.38988	2.35281	2.40393	2.31600	2.38831	
2012-12-01T07:00:00	2.32246	2.38206	2.30538	2.35508	2.31937	2.38122	2.29336	2.35281	
2012-11-01T06:00:00	2.32418	2.33810	2.26850	2.32246	2.32244	2.33516	2.26741	2.31937	
2012-10-01T06:00:00	2.31315	2.36618	2.30288	2.32418	2.30829	2.36571	2.29185	2.32244	
2012-09-01T06:00:00	2.29604	2.37346	2.28194	2.31315	2.27565	2.36588	2.27565	2.30829	
2012-08-01T06:00:00	2.21088	2.29696	2.18193	2.29604	2.20751	2.29610	2.17603	2.27565	
2012-07-01T06:00:00	2.30087	2.30338	2.19733	2.21088	2.28467	2.29091	2.18698	2.20751	
2012-06-01T06:00:00	2.31248	2.32498	2.25834	2.30087	2.30971	2.32341	2.25621	2.28467	
2012-05-01T06:00:00	2.32888	2.35348	2.28300	2.31248	2.32581	2.35057	2.28114	2.30971	
2012-04-01T06:00:00	2.37984	2.38578	2.31840	2.32888	2.37732	2.38173	2.31761	2.32581	
2012-03-01T07:00:00	2.33448	2.42338	2.32597	2.37984	2.32781	2.42034	2.32391	2.37732	
2012-02-01T07:00:00	2.32588	2.38860	2.29396	2.33448	2.32361	2.38766	2.29167	2.32781	
2012-01-01T07:00:00	2.45839	2.46878	2.31961	2.32588	2.44066	2.46071	2.31691	2.32361	
2011-12-01T07:00:00	2.46054	2.49976	2.40228	2.45839	2.45420	2.48881	2.39951	2.44066	
2011-11-01T06:00:00	2.45669	2.54900	2.41461	2.46054	2.45264	2.51361	2.40737	2.45420	
2011-10-01T06:00:00	2.49468	2.58678	2.43558	2.45669	2.48451	2.58481	2.43411	2.45264	
2011-09-01T06:00:00	2.46658	2.56534	2.41378	2.49468	2.46381	2.53471	2.40631	2.48451	
2011-08-01T06:00:00	2.43518	2.61388	2.39388	2.46658	2.42161	2.59101	2.39241	2.46381	
2011-07-01T06:00:00	2.35778	2.49998	2.29398	2.43518	2.34961	2.49891	2.29211	2.42161	
2011-06-01T06:00:00	2.29578	2.36798	2.24798	2.35778	2.29311	2.36581	2.23671	2.34961	
2011-05-01T06:00:00	2.25608	2.31818	2.20798	2.29578	2.25151	2.30221	2.19711	2.29311	
2011-04-01T06:00:00	2.18988	2.26968	2.15528	2.25608	2.18731	2.26461	2.15401	2.25151	
2011-03-01T07:00:00	2.20958	2.25038	2.18078	2.18988	2.20381	2.24934	2.17011	2.18731	
2011-02-01T07:00:00	2.20068	2.22343	2.12837	2.20958	2.19471	2.22131	2.12721	2.20381	
2011-01-01T07:00:00	2.08335	2.20888	2.01737	2.20068	2.08191	2.20205	2.01231	2.19471	
2010-12-01T07:00:00	1.95425	2.10168	1.95128	2.06440	1.95219	2.07621	1.94901	2.06197	
2010-11-01T06:00:00	1.99782	2.01728	1.94436	1.95425	1.99535	2.00011	1.94321	1.95219	
2010-10-01T06:00:00	1.97518	2.02529	1.96165	1.99782	1.97171	2.01285	1.95518	1.99535	
2010-09-01T06:00:00	1.93768	2.01288	1.90206	1.97518	1.93441	1.99701	1.89328	1.97171	
2010-08-01T06:00:00	1.96618	1.99153	1.92188	1.93768	1.96301	1.98851	1.91831	1.93441	
2010-07-01T06:00:00	1.93998	2.00248	1.93357	1.96618	1.93751	2.00145	1.93033	1.96301	
2010-06-01T06:00:00	1.94318	1.95898	1.90346	1.93998	1.92791	1.95373	1.90351	1.93751	
2010-05-01T06:00:00	1.98295	2.06298	1.86898	1.94318	1.98216	2.03651	1.83421	1.92791	
2010-04-01T06:00:00	2.05398	2.06662	1.96218	1.98295	2.05111	2.06281	1.96001	1.98216	
2010-03-01T07:00:00	2.10838	2.12511	2.04626	2.05398	2.10001	2.11631	2.04541	2.05111	
2010-02-01T07:00:00	2.07768	2.11466	2.05157	2.10838	2.07411	2.11285	2.04201	2.10001	
2010-01-01T07:00:00	2.14568	2.16068	2.06948	2.07768	2.14161	2.14401	2.06161	2.07411	
2009-12-01T07:00:00	2.29628	2.30718	2.14528	2.14568	2.28941	2.29661	2.13551	2.14161	
2009-11-01T06:00:00	2.21608	2.32118	2.20008	2.29628	2.21221	2.31121	2.18521	2.28941	
2009-10-01T06:00:00	2.17638	2.23028	2.15088	2.21608	2.17041	2.22781	2.13811	2.21221	
2009-09-01T06:00:00	2.15408	2.20428	2.12858	2.17638	2.14871	2.19931	2.12341	2.17041	
2009-08-01T06:00:00	2.09908	2.16678	2.07528	2.15408	2.09481	2.16191	2.06091	2.14871	
2009-07-01T06:00:00	2.16528	2.18108	2.07558	2.09908	2.15961	2.17781	2.07261	2.09481	
2009-06-01T06:00:00	2.17168	2.21768	2.13378	2.16528	2.16701	2.21451	2.12751	2.15961	
2009-05-01T06:00:00	2.12108	2.19648	2.04628	2.17168	2.10771	2.18991	2.04121	2.16701	
2009-04-01T06:00:00	2.21028	2.22058	2.05668	2.12108	2.20351	2.21521	2.04651	2.10771	
2009-03-01T07:00:00	2.15807	2.36118	2.14377	2.21028	2.15352	2.35821	2.12972	2.20351	
2009-02-01T07:00:00	2.10737	2.20757	2.07417	2.15807	2.10242	2.20112	2.06842	2.15352	
2009-01-01T07:00:00	2.14257	2.19817	2.02417	2.10737	2.13562	2.18012	2.02172	2.10242	
2008-12-01T07:00:00	1.98727	2.25217	1.98137	2.14257	1.98462	2.24752	1.96642	2.13562	
2008-11-01T06:00:00	1.96877	2.19567	1.90967	1.98727	1.96312	2.19052	1.89782	1.98462	
2008-10-01T06:00:00	2.14347	2.16597	1.92887	1.96877	2.13372	2.15002	1.91882	1.96312	
2008-06-01T06:00:00	1.88867	1.98027	1.88867	1.98017	1.88872	1.97372	1.88872	1.97362	
2008-05-01T06:00:00	1.99291	2.00142	1.86747	1.88867	1.99296	2.00147	1.86752	1.88872	
2008-04-01T06:00:00	2.06594	2.13332	1.99140	1.99291	2.06599	2.13337	1.99145	1.99296	
