日時	EUR/USD(始値, 買い)	EUR/USD(高値, 買い)	EUR/USD(安値, 買い)	EUR/USD(終値, 買い)	EUR/USD(始値, 売り)	EUR/USD(高値, 売り)	EUR/USD(安値, 売り)	EUR/USD(終値, 売り)	
2014-02-01T07:00:00	1.34900	1.35393	1.34774	1.35144	1.34881	1.35385	1.34768	1.35138	
2014-01-01T07:00:00	1.36813	1.37169	1.34795	1.34900	1.36746	1.37163	1.34789	1.34881	
2013-12-01T07:00:00	1.35943	1.38939	1.35248	1.37784	1.35886	1.38932	1.35240	1.37776	
2013-11-01T06:00:00	1.35837	1.36220	1.32956	1.35943	1.35828	1.36214	1.32955	1.35886	
2013-10-01T06:00:00	1.35259	1.38326	1.34732	1.35837	1.35241	1.38322	1.34730	1.35828	
2013-09-01T06:00:00	1.32253	1.35689	1.31052	1.35259	1.32208	1.35683	1.31045	1.35241	
2013-08-01T06:00:00	1.33029	1.34523	1.31737	1.32253	1.33013	1.34517	1.31729	1.32208	
2013-07-01T06:00:00	1.30193	1.33453	1.27558	1.33029	1.30087	1.33444	1.27549	1.33013	
2013-06-01T06:00:00	1.29982	1.34206	1.29557	1.30193	1.29953	1.34164	1.29552	1.30087	
2013-05-01T06:00:00	1.31682	1.32429	1.27967	1.29982	1.31661	1.32426	1.27961	1.29953	
2013-04-01T06:00:00	1.28104	1.32020	1.27455	1.31682	1.28031	1.32013	1.27446	1.31661	
2013-03-01T07:00:00	1.30580	1.31348	1.27509	1.28104	1.30571	1.31342	1.27505	1.28031	
2013-02-01T07:00:00	1.35781	1.37113	1.30187	1.30580	1.35766	1.37106	1.30179	1.30571	
2013-01-01T07:00:00	1.31855	1.35947	1.29980	1.35781	1.31845	1.35942	1.29971	1.35766	
2012-12-01T07:00:00	1.29872	1.33087	1.28767	1.31855	1.29851	1.33080	1.28759	1.31845	
2012-11-01T06:00:00	1.29596	1.30279	1.26620	1.29872	1.29581	1.30275	1.26599	1.29851	
2012-10-01T06:00:00	1.28576	1.31399	1.28043	1.29596	1.28559	1.31392	1.28034	1.29581	
2012-09-01T06:00:00	1.25796	1.31725	1.25022	1.28576	1.25671	1.31716	1.25013	1.28559	
2012-08-01T06:00:00	1.23049	1.26379	1.21339	1.25796	1.23037	1.26371	1.21334	1.25671	
2012-07-01T06:00:00	1.26645	1.26879	1.20426	1.23049	1.26544	1.26777	1.20419	1.23037	
2012-06-01T06:00:00	1.23663	1.27483	1.22885	1.26645	1.23651	1.27471	1.22874	1.26544	
2012-05-01T06:00:00	1.32396	1.32844	1.23369	1.23663	1.32384	1.32841	1.23361	1.23651	
2012-04-01T06:00:00	1.33468	1.33810	1.29954	1.32396	1.33395	1.33802	1.29945	1.32384	
