日時	GBP/AUD(始値, 買い)	GBP/AUD(高値, 買い)	GBP/AUD(安値, 買い)	GBP/AUD(終値, 買い)	GBP/AUD(始値, 売り)	GBP/AUD(高値, 売り)	GBP/AUD(安値, 売り)	GBP/AUD(終値, 売り)	
2014-02-01T07:00:00	1.87982	1.87986	1.82426	1.83788	1.87774	1.87952	1.82397	1.83757	
2014-01-01T07:00:00	1.89911	1.90146	1.86942	1.87982	1.89720	1.90117	1.86907	1.87774	
2013-12-01T07:00:00	1.79785	1.86509	1.78957	1.85616	1.79574	1.86481	1.78927	1.85570	
2013-11-01T06:00:00	1.69629	1.80630	1.67636	1.79785	1.69571	1.80601	1.67608	1.79574	
2013-10-01T06:00:00	1.73609	1.74249	1.66468	1.69629	1.73501	1.74192	1.66435	1.69571	
2013-09-01T06:00:00	1.74236	1.74169	1.68753	1.73609	1.74046	1.74121	1.68723	1.73501	
2013-08-01T06:00:00	1.69275	1.74863	1.68038	1.74236	1.69235	1.74825	1.68011	1.74046	
2013-07-01T06:00:00	1.66919	1.69633	1.61444	1.69275	1.66709	1.69586	1.61421	1.69235	
2013-06-01T06:00:00	1.58813	1.68791	1.56736	1.66919	1.58670	1.68761	1.56690	1.66709	
2013-05-01T06:00:00	1.49772	1.58913	1.49642	1.58813	1.49731	1.58891	1.49611	1.58670	
2013-04-01T06:00:00	1.45888	1.50769	1.44118	1.49772	1.45740	1.50741	1.44092	1.49731	
2013-03-01T07:00:00	1.48479	1.48615	1.43828	1.45888	1.48432	1.48583	1.43800	1.45740	
2013-02-01T07:00:00	1.52115	1.53572	1.46210	1.48479	1.52066	1.53543	1.46077	1.48432	
2013-01-01T07:00:00	1.56488	1.56488	1.49657	1.52115	1.56449	1.56449	1.49631	1.52066	
2012-12-01T07:00:00	1.53621	1.56793	1.52686	1.56488	1.53469	1.56750	1.52662	1.56449	
2012-11-01T06:00:00	1.55429	1.56010	1.51848	1.53621	1.55392	1.55981	1.51816	1.53469	
2012-10-01T06:00:00	1.55697	1.58972	1.54528	1.55429	1.55674	1.58834	1.54490	1.55392	
2012-09-01T06:00:00	1.53800	1.56437	1.52804	1.55697	1.53659	1.56408	1.52772	1.55674	
2012-08-01T06:00:00	1.49276	1.54013	1.47125	1.53800	1.49170	1.53981	1.47093	1.53659	
2012-07-01T06:00:00	1.53336	1.53458	1.48707	1.49276	1.53244	1.53428	1.48672	1.49170	
2012-06-01T06:00:00	1.58416	1.59605	1.52862	1.53336	1.58216	1.59567	1.52831	1.53244	
2012-05-01T06:00:00	1.55741	1.61872	1.55670	1.58416	1.55576	1.61843	1.55569	1.58216	
2012-04-01T06:00:00	1.54823	1.57310	1.52621	1.55741	1.54626	1.57272	1.52585	1.55576	
2012-03-01T07:00:00	1.48344	1.54823	1.47219	1.54823	1.48292	1.54711	1.47191	1.54626	
2012-02-01T07:00:00	1.48392	1.48938	1.45574	1.48344	1.48375	1.48903	1.45538	1.48292	
2012-01-01T07:00:00	1.52383	1.52383	1.46880	1.48392	1.52273	1.52273	1.46844	1.48375	
2011-12-01T07:00:00	1.52785	1.56805	1.51195	1.52383	1.52626	1.56767	1.51136	1.52273	
2011-11-01T06:00:00	1.52775	1.60581	1.52180	1.52785	1.52738	1.60547	1.52045	1.52626	
2011-10-01T06:00:00	1.61113	1.63613	1.49978	1.52775	1.61050	1.63573	1.49918	1.52738	
2011-09-01T06:00:00	1.51813	1.61312	1.49891	1.61113	1.51693	1.61290	1.49859	1.61050	
2011-08-01T06:00:00	1.49500	1.63929	1.47954	1.51813	1.49388	1.63866	1.47922	1.51693	
2011-07-01T06:00:00	1.49736	1.52118	1.47619	1.49500	1.49700	1.52082	1.47588	1.49388	
2011-06-01T06:00:00	1.54148	1.55560	1.48896	1.49736	1.54081	1.55523	1.48863	1.49700	
2011-05-01T06:00:00	1.52355	1.55295	1.50438	1.54148	1.52301	1.55262	1.50409	1.54081	
2011-04-01T06:00:00	1.55228	1.58028	1.51951	1.52355	1.55131	1.57990	1.51901	1.52301	
2011-03-01T07:00:00	1.59624	1.65009	1.54858	1.55228	1.59550	1.64897	1.54827	1.55131	
2011-02-01T07:00:00	1.60607	1.62602	1.57628	1.59624	1.60588	1.62569	1.57597	1.59550	
2011-01-01T07:00:00	1.52412	1.62142	1.51432	1.60607	1.52362	1.62048	1.51382	1.60588	
2010-12-01T07:00:00	1.62375	1.63274	1.51534	1.52420	1.62293	1.63241	1.51489	1.52397	
2010-11-01T06:00:00	1.63535	1.64287	1.58376	1.62375	1.63431	1.64243	1.58349	1.62293	
