日時	GBP/CAD(始値, 買い)	GBP/CAD(高値, 買い)	GBP/CAD(安値, 買い)	GBP/CAD(終値, 買い)	GBP/CAD(始値, 売り)	GBP/CAD(高値, 売り)	GBP/CAD(安値, 売り)	GBP/CAD(終値, 売り)	
2014-02-01T07:00:00	1.83125	1.83125	1.79862	1.81087	1.82915	1.82935	1.79831	1.81053	
2014-01-01T07:00:00	1.82814	1.85643	1.82283	1.83125	1.82664	1.85616	1.82256	1.82915	
2013-12-01T07:00:00	1.73916	1.76836	1.71956	1.76271	1.73671	1.76799	1.71923	1.76228	
2013-11-01T06:00:00	1.67315	1.73979	1.65811	1.73916	1.67244	1.73962	1.65781	1.73671	
2013-10-01T06:00:00	1.66852	1.69644	1.64471	1.67315	1.66740	1.69614	1.64441	1.67244	
2013-09-01T06:00:00	1.63453	1.66927	1.62094	1.66852	1.63232	1.66874	1.62067	1.66740	
2013-08-01T06:00:00	1.56308	1.65135	1.55766	1.63453	1.56266	1.65106	1.55741	1.63232	
2013-07-01T06:00:00	1.60138	1.61241	1.55821	1.56308	1.59917	1.61150	1.55800	1.56266	
2013-06-01T06:00:00	1.57630	1.62722	1.57411	1.60138	1.57519	1.62694	1.57312	1.59917	
2013-05-01T06:00:00	1.56481	1.57733	1.54400	1.57630	1.56425	1.57631	1.54372	1.57519	
2013-04-01T06:00:00	1.54731	1.58250	1.52706	1.56481	1.54569	1.58216	1.52679	1.56425	
2013-03-01T07:00:00	1.56321	1.56408	1.52461	1.54731	1.56272	1.56382	1.52431	1.54569	
2013-02-01T07:00:00	1.58183	1.58850	1.54127	1.56321	1.58138	1.58823	1.53977	1.56272	
2013-01-01T07:00:00	1.61806	1.61806	1.56669	1.58183	1.61803	1.61803	1.56638	1.58138	
2012-12-01T07:00:00	1.59205	1.62166	1.58130	1.61806	1.59150	1.62121	1.58080	1.61803	
2012-11-01T06:00:00	1.61267	1.61818	1.58185	1.59205	1.61225	1.61792	1.58154	1.59150	
2012-10-01T06:00:00	1.58923	1.61375	1.56176	1.61267	1.58911	1.61352	1.56145	1.61225	
2012-09-01T06:00:00	1.56578	1.59908	1.55674	1.58923	1.56407	1.59877	1.55640	1.58911	
2012-08-01T06:00:00	1.57324	1.57837	1.54700	1.56578	1.57194	1.57799	1.54662	1.56407	
2012-07-01T06:00:00	1.59770	1.60049	1.56753	1.57324	1.59521	1.60011	1.56714	1.57194	
2012-06-01T06:00:00	1.59208	1.60895	1.58498	1.59770	1.59065	1.60811	1.58400	1.59521	
2012-05-01T06:00:00	1.60422	1.62083	1.58995	1.59208	1.60163	1.62031	1.58953	1.59065	
2012-04-01T06:00:00	1.59960	1.60671	1.56915	1.60422	1.59694	1.60636	1.56871	1.60163	
2012-03-01T07:00:00	1.57571	1.59988	1.54661	1.59960	1.57516	1.59948	1.54626	1.59694	
2012-02-01T07:00:00	1.58026	1.59444	1.55939	1.57571	1.57988	1.59403	1.55897	1.57516	
2012-01-01T07:00:00	1.59008	1.59150	1.55488	1.58026	1.58500	1.59109	1.55375	1.57988	
2011-12-01T07:00:00	1.59895	1.61726	1.57027	1.59008	1.59628	1.61680	1.56952	1.58500	
2011-11-01T06:00:00	1.61016	1.63571	1.59517	1.59895	1.60953	1.63530	1.59477	1.59628	
2011-10-01T06:00:00	1.63476	1.63925	1.58790	1.61016	1.63437	1.63893	1.58749	1.60953	
2011-09-01T06:00:00	1.58929	1.63556	1.54178	1.63476	1.58764	1.63509	1.54107	1.63437	
2011-08-01T06:00:00	1.56906	1.63897	1.55466	1.58929	1.56824	1.63858	1.55414	1.58764	
2011-07-01T06:00:00	1.54679	1.57487	1.52512	1.56906	1.54614	1.57454	1.52467	1.56824	
2011-06-01T06:00:00	1.59358	1.61274	1.54298	1.54679	1.59201	1.61228	1.54256	1.54614	
2011-05-01T06:00:00	1.58046	1.61549	1.56117	1.59358	1.57981	1.61369	1.56074	1.59201	
2011-04-01T06:00:00	1.55608	1.58935	1.54298	1.58046	1.55531	1.58895	1.54257	1.57981	
