日時	GBP/CHF(始値, 買い)	GBP/CHF(高値, 買い)	GBP/CHF(安値, 買い)	GBP/CHF(終値, 買い)	GBP/CHF(始値, 売り)	GBP/CHF(高値, 売り)	GBP/CHF(安値, 売り)	GBP/CHF(終値, 売り)	
2014-02-01T07:00:00	1.49083	1.49194	1.46495	1.47743	1.48873	1.49162	1.46461	1.47709	
2014-01-01T07:00:00	1.47547	1.49328	1.47227	1.49083	1.47362	1.49301	1.47196	1.48873	
2013-12-01T07:00:00	1.48416	1.49252	1.43808	1.47587	1.48214	1.49224	1.43778	1.47545	
2013-11-01T06:00:00	1.45469	1.48490	1.45164	1.48416	1.45403	1.48421	1.45123	1.48214	
2013-10-01T06:00:00	1.46473	1.47013	1.43768	1.45469	1.46389	1.46977	1.43738	1.45403	
2013-09-01T06:00:00	1.44230	1.48137	1.44453	1.46473	1.44042	1.48113	1.44242	1.46389	
2013-08-01T06:00:00	1.40881	1.45957	1.40474	1.44230	1.40836	1.45908	1.40442	1.44042	
2013-07-01T06:00:00	1.43857	1.45076	1.40572	1.40881	1.43695	1.45052	1.40435	1.40836	
2013-06-01T06:00:00	1.45333	1.46676	1.43129	1.43857	1.45181	1.46652	1.43095	1.43695	
2013-05-01T06:00:00	1.44381	1.48219	1.44155	1.45333	1.44321	1.48198	1.44119	1.45181	
2013-04-01T06:00:00	1.44470	1.46472	1.40752	1.44381	1.44274	1.46447	1.40728	1.44321	
2013-03-01T07:00:00	1.42046	1.44767	1.40315	1.44470	1.41992	1.44742	1.40289	1.44274	
2013-02-01T07:00:00	1.44336	1.45527	1.39680	1.42046	1.44332	1.45380	1.39650	1.41992	
2013-01-01T07:00:00	1.48914	1.50067	1.43633	1.44336	1.48880	1.50031	1.43603	1.44332	
2012-12-01T07:00:00	1.48624	1.50688	1.46953	1.48914	1.48563	1.50658	1.46924	1.48880	
2012-11-01T06:00:00	1.50266	1.52051	1.48237	1.48624	1.50211	1.51550	1.48217	1.48563	
2012-10-01T06:00:00	1.51922	1.52147	1.48232	1.50266	1.51824	1.52114	1.48196	1.50211	
2012-09-01T06:00:00	1.51588	1.52981	1.49944	1.51922	1.51465	1.52964	1.49902	1.51824	
2012-08-01T06:00:00	1.53187	1.53742	1.50862	1.51588	1.52997	1.53714	1.50823	1.51465	
2012-07-01T06:00:00	1.49100	1.54913	1.48723	1.53187	1.48975	1.54761	1.48644	1.52997	
2012-06-01T06:00:00	1.49702	1.50506	1.47304	1.49100	1.49583	1.50408	1.47181	1.48975	
2012-05-01T06:00:00	1.47395	1.51095	1.46547	1.49702	1.47244	1.51059	1.46502	1.49583	
2012-04-01T06:00:00	1.44540	1.47954	1.44029	1.47395	1.44429	1.47918	1.43982	1.47244	
2012-03-01T07:00:00	1.44000	1.46233	1.43153	1.44540	1.43939	1.46204	1.43109	1.44429	
2012-02-01T07:00:00	1.45079	1.45991	1.41793	1.44000	1.44932	1.45951	1.41762	1.43939	
2012-01-01T07:00:00	1.46041	1.48030	1.43432	1.45079	1.45911	1.47992	1.43364	1.44932	
2011-12-01T07:00:00	1.43468	1.47642	1.42632	1.46041	1.43314	1.47582	1.42596	1.45911	
2011-11-01T06:00:00	1.41110	1.45743	1.40480	1.43468	1.41033	1.45694	1.40431	1.43314	
2011-10-01T06:00:00	1.41369	1.44419	1.38108	1.41110	1.41309	1.44301	1.38062	1.41033	
2011-09-01T06:00:00	1.31048	1.41725	1.25246	1.41369	1.30941	1.41678	1.25153	1.41309	
2011-08-01T06:00:00	1.29310	1.35399	1.14701	1.31048	1.29205	1.35342	1.14616	1.30941	
2011-07-01T06:00:00	1.34967	1.37019	1.29010	1.29310	1.34881	1.36977	1.28966	1.29205	
2011-06-01T06:00:00	1.40518	1.40653	1.32654	1.34967	1.40431	1.40611	1.32617	1.34881	
2011-05-01T06:00:00	1.44544	1.45542	1.39891	1.40518	1.44485	1.45506	1.39771	1.40431	
2011-04-01T06:00:00	1.47328	1.51858	1.43095	1.44544	1.47251	1.51821	1.42988	1.44485	
2011-03-01T07:00:00	1.51078	1.52045	1.43150	1.47328	1.50911	1.52008	1.42736	1.47251	
