日時	GBP/JPY(始値, 買い)	GBP/JPY(高値, 買い)	GBP/JPY(安値, 買い)	GBP/JPY(終値, 買い)	GBP/JPY(始値, 売り)	GBP/JPY(高値, 売り)	GBP/JPY(安値, 売り)	GBP/JPY(終値, 売り)	
2014-02-01T07:00:00	167.852	168.237	163.900	165.762	167.671	168.216	163.872	165.736	
2014-01-01T07:00:00	168.649	171.481	167.596	167.852	168.460	171.452	167.575	167.671	
2013-12-01T07:00:00	167.804	174.540	165.891	174.432	167.617	174.508	165.862	174.402	
2013-11-01T06:00:00	157.778	167.914	156.649	167.804	157.708	167.885	156.620	167.617	
2013-10-01T06:00:00	159.011	159.983	154.736	157.778	158.917	159.939	154.711	157.708	
2013-09-01T06:00:00	152.264	160.014	152.433	159.011	152.075	159.966	152.375	158.917	
2013-08-01T06:00:00	148.912	154.715	147.643	152.264	148.866	154.660	147.589	152.075	
2013-07-01T06:00:00	150.989	154.067	148.311	148.912	150.832	154.037	148.283	148.866	
2013-06-01T06:00:00	152.694	154.287	147.126	150.989	152.614	154.213	147.090	150.832	
2013-05-01T06:00:00	151.331	156.789	150.875	152.694	151.272	156.776	150.840	152.614	
2013-04-01T06:00:00	143.306	153.883	140.411	151.331	143.169	153.858	140.371	151.272	
2013-03-01T07:00:00	140.365	145.891	139.131	143.306	140.322	145.864	139.101	143.169	
2013-02-01T07:00:00	145.453	147.999	137.854	140.365	145.394	147.960	137.817	140.322	
2013-01-01T07:00:00	140.913	145.578	139.280	145.453	140.863	145.510	139.247	145.394	
2012-12-01T07:00:00	132.043	140.970	131.577	140.913	131.992	140.918	131.549	140.863	
2012-11-01T06:00:00	128.732	132.818	125.697	132.043	128.691	132.787	125.665	131.992	
2012-10-01T06:00:00	125.928	129.663	124.762	128.732	125.879	129.640	124.733	128.691	
2012-09-01T06:00:00	124.398	128.848	123.980	125.928	124.323	128.823	123.948	125.879	
2012-08-01T06:00:00	122.492	125.536	121.110	124.398	122.439	125.509	121.078	124.323	
2012-07-01T06:00:00	125.454	125.510	120.848	122.492	125.250	125.475	120.821	122.439	
2012-06-01T06:00:00	120.737	125.848	118.813	125.454	120.560	125.821	118.772	125.250	
2012-05-01T06:00:00	129.657	130.795	120.174	120.737	129.530	130.763	120.147	120.560	
2012-04-01T06:00:00	132.771	133.280	127.130	129.657	132.567	133.245	127.090	129.530	
2012-03-01T07:00:00	129.180	133.509	126.566	132.771	129.139	133.482	126.538	132.567	
2012-02-01T07:00:00	120.235	129.855	119.611	129.180	120.190	129.761	119.582	129.139	
2012-01-01T07:00:00	119.619	122.066	117.296	120.235	119.525	122.039	117.274	120.190	
2011-12-01T07:00:00	121.933	122.791	119.290	119.619	121.816	122.760	119.254	119.525	
2011-11-01T06:00:00	125.775	126.835	119.394	121.933	125.736	126.807	119.348	121.816	
2011-10-01T06:00:00	120.171	127.350	116.996	125.775	120.129	127.311	116.953	125.736	
2011-09-01T06:00:00	124.594	125.379	116.861	120.171	124.500	125.332	116.827	120.129	
2011-08-01T06:00:00	126.297	130.861	123.321	124.594	126.243	130.838	123.293	124.500	
2011-07-01T06:00:00	129.354	130.862	124.934	126.297	129.313	130.837	124.835	126.243	
2011-06-01T06:00:00	134.123	134.392	128.255	129.354	134.049	134.359	128.137	129.313	
2011-05-01T06:00:00	135.559	136.134	130.310	134.123	135.510	136.106	130.269	134.049	
2011-04-01T06:00:00	133.258	140.041	133.017	135.559	133.208	140.015	132.982	135.510	
2011-03-01T07:00:00	133.014	135.287	122.585	133.258	132.900	135.216	122.294	133.208	
2011-02-01T07:00:00	131.414	135.585	130.954	133.014	131.367	135.506	130.750	132.900	
2011-01-01T07:00:00	126.524	132.688	125.792	131.414	126.495	132.667	125.760	131.367	
2010-12-01T07:00:00	130.225	133.086	125.521	126.541	130.197	133.045	125.484	126.493	
2010-11-01T06:00:00	128.941	134.241	128.811	130.225	128.896	134.212	128.735	130.197	
2010-10-01T06:00:00	131.275	133.048	126.475	128.941	131.245	133.015	126.436	128.896	
2010-09-01T06:00:00	129.263	135.079	127.661	131.275	129.220	135.048	127.628	131.245	
2010-08-01T06:00:00	135.583	137.798	128.678	129.263	135.533	137.770	128.648	129.220	
2010-07-01T06:00:00	132.243	137.570	130.861	135.583	132.185	137.548	130.826	135.533	
2010-06-01T06:00:00	132.779	136.407	130.398	132.243	132.729	136.418	130.409	132.185	
2010-05-01T06:00:00	143.743	144.945	126.752	132.779	143.700	144.901	126.725	132.729	
2010-04-01T06:00:00	141.954	146.003	139.401	143.743	141.855	145.965	139.375	143.700	
2010-03-01T07:00:00	135.522	142.056	132.051	141.954	135.468	142.027	132.000	141.855	
2010-02-01T07:00:00	144.310	145.316	134.684	135.522	144.257	145.278	134.643	135.468	
2010-01-01T07:00:00	150.488	150.743	143.666	144.310	150.445	150.706	143.631	144.257	
2009-12-01T07:00:00	142.124	150.721	141.663	150.488	142.010	150.681	141.624	150.445	
2009-11-01T06:00:00	147.743	151.652	139.334	142.124	147.692	151.612	139.276	142.010	
2009-10-01T06:00:00	143.489	153.269	139.743	147.743	143.295	153.234	139.705	147.692	
2009-09-01T06:00:00	151.709	153.286	139.786	143.489	151.615	153.254	139.714	143.295	
2009-08-01T06:00:00	158.094	163.131	150.085	151.709	158.044	163.084	150.043	151.615	
2009-07-01T06:00:00	158.649	160.011	146.783	158.094	158.535	159.979	146.740	158.044	
2009-06-01T06:00:00	154.054	162.629	153.524	158.649	154.005	162.582	153.475	158.535	
2009-05-01T06:00:00	145.939	155.777	143.074	154.054	145.845	155.733	143.026	154.005	
2009-04-01T06:00:00	141.749	151.556	139.042	145.939	141.714	151.524	139.009	145.845	
2009-03-01T07:00:00	139.739	145.099	131.508	141.749	139.710	145.075	131.467	141.714	
2009-02-01T07:00:00	130.204	141.809	125.344	139.739	130.170	141.775	125.317	139.710	
2009-01-01T07:00:00	132.182	141.599	118.839	130.204	132.130	141.570	118.805	130.170	
2008-12-01T07:00:00	147.276	147.276	129.914	132.182	147.184	147.184	129.852	132.130	
2008-11-01T06:00:00	158.695	163.393	137.699	147.276	158.631	163.306	137.668	147.184	
2008-10-01T06:00:00	189.024	190.030	139.274	158.695	188.895	189.861	139.110	158.631	
2008-09-01T06:00:00	198.391	198.391	184.532	189.024	198.332	198.332	184.465	188.895	
2008-08-01T06:00:00	214.157	214.219	197.662	198.391	214.104	214.104	197.611	198.332	
2008-07-01T06:00:00	211.645	215.925	208.044	214.157	211.586	215.882	207.985	214.104	
2008-06-01T06:00:00	208.853	213.962	204.029	211.645	208.808	213.909	203.975	211.586	
2008-05-01T06:00:00	206.489	209.091	199.834	208.853	206.418	209.025	199.767	208.808	
2008-04-01T06:00:00	197.802	209.053	197.064	206.489	197.735	209.003	196.993	206.418	
2008-03-01T07:00:00	206.473	208.034	192.644	197.802	206.414	207.983	192.475	197.735	
2008-02-01T07:00:00	211.492	213.920	205.949	206.473	211.435	213.874	205.880	206.414	
2008-01-01T07:00:00	221.767	221.924	204.665	211.492	221.628	221.865	204.606	211.435	
2007-12-01T07:00:00	228.477	230.423	221.636	221.767	228.418	230.345	221.537	221.628	
2007-11-01T06:00:00	240.144	241.430	221.339	228.477	240.045	241.371	221.271	228.418	
2007-10-01T06:00:00	234.884	240.764	230.357	240.144	234.745	240.685	230.269	240.045	
2007-09-01T06:00:00	233.484	235.111	228.262	234.884	233.425	235.055	228.203	234.745	
2007-08-01T06:00:00	240.994	244.134	219.414	233.484	240.905	244.075	219.275	233.425	
2007-07-01T06:00:00	247.314	251.164	238.364	240.994	247.235	251.105	238.265	240.905	
2007-06-01T06:00:00	241.034	248.014	237.734	247.314	240.955	247.935	237.655	247.235	
2007-05-01T06:00:00	239.014	241.944	236.494	241.034	238.935	241.865	236.415	240.955	
2007-04-01T06:00:00	231.934	239.514	231.294	239.014	231.855	239.435	231.215	238.935	
2007-03-01T07:00:00	232.704	233.574	221.164	231.934	232.625	233.495	221.085	231.855	
2007-02-01T07:00:00	237.474	238.964	230.694	232.704	237.395	238.885	230.615	232.625	
2007-01-01T07:00:00	233.134	241.484	228.044	237.474	233.055	241.495	228.055	237.395	
2006-12-01T07:00:00	227.554	233.964	225.764	233.134	227.475	233.885	225.685	233.055	
2006-11-01T07:00:00	223.044	227.894	222.424	227.554	222.965	227.815	222.345	227.475	
2006-10-01T06:00:00	221.194	224.434	220.514	223.044	221.115	224.355	220.435	222.965	
2006-09-01T06:00:00	223.644	223.664	217.444	221.194	223.565	223.585	217.365	221.115	
2006-08-01T06:00:00	214.094	223.894	213.544	223.644	214.105	223.815	213.555	223.565	
2006-07-01T06:00:00	211.594	216.524	209.524	214.094	211.605	216.535	209.535	214.105	
2006-06-01T06:00:00	210.684	213.694	209.634	211.594	210.605	213.705	209.555	211.605	
2006-05-01T06:00:00	207.404	211.524	205.474	210.684	207.325	211.445	205.395	210.605	
2006-04-01T07:00:00	204.534	210.864	203.864	207.404	204.455	210.785	203.785	207.325	
2006-03-01T07:00:00	203.094	206.144	202.564	204.534	203.015	206.155	202.485	204.455	
2006-02-01T07:00:00	208.584	211.204	201.734	203.094	208.505	211.125	201.655	203.015	
2006-01-01T07:00:00	203.004	209.084	200.634	208.584	202.925	209.005	200.555	208.505	
2005-12-01T07:00:00	207.234	213.084	201.204	203.004	207.155	213.005	201.125	202.925	
2005-11-01T07:00:00	206.184	208.194	203.554	207.234	206.105	208.115	203.475	207.155	
2005-10-01T06:00:00	200.244	206.664	199.244	206.184	200.165	206.585	199.165	206.105	
2005-09-01T06:00:00	199.644	203.554	198.914	200.244	199.565	203.475	198.835	200.165	
2005-08-01T06:00:00	197.774	200.324	196.844	199.644	197.695	200.245	196.765	199.565	
2005-07-01T06:00:00	198.774	199.014	192.714	197.774	198.695	198.935	192.635	197.695	
2005-06-01T06:00:00	197.324	200.434	194.204	198.774	197.245	200.355	194.125	198.695	
2005-05-01T06:00:00	199.994	200.874	195.664	197.324	199.915	200.795	195.585	197.245	
2005-04-01T07:00:00	202.564	205.374	199.794	199.994	202.485	205.295	199.715	199.915	
2005-03-01T07:00:00	200.834	202.774	197.584	202.564	200.755	202.695	197.505	202.485	
2005-02-01T07:00:00	195.254	202.064	194.544	200.834	195.175	201.985	194.465	200.755	
2005-01-01T07:00:00	196.914	197.404	189.614	195.254	196.835	197.325	189.535	195.175	
2004-12-01T07:00:00	196.784	203.764	196.284	196.914	196.705	203.685	196.205	196.835	
2004-11-01T07:00:00	194.684	198.044	190.994	196.784	194.595	197.955	190.905	196.705	
2004-10-01T06:00:00	199.444	199.774	193.854	194.684	199.355	199.685	193.765	194.595	
2004-09-01T06:00:00	196.794	202.554	193.734	199.444	196.705	202.465	193.645	199.355	
2004-08-01T06:00:00	202.534	204.854	195.764	196.794	202.445	204.765	195.675	196.705	
2004-07-01T06:00:00	198.034	204.254	195.924	202.534	197.945	204.165	195.835	202.445	
2004-06-01T06:00:00	200.724	205.384	194.674	198.034	200.635	205.295	194.585	197.945	
2004-05-01T06:00:00	196.494	204.074	194.104	200.724	196.405	203.985	194.015	200.635	
2004-04-01T07:00:00	192.144	196.774	190.044	196.494	192.155	196.685	190.055	196.405	
2004-03-01T07:00:00	203.504	208.054	189.634	192.144	203.515	208.065	189.645	192.155	
2004-02-01T07:00:00	192.934	205.824	191.474	203.504	192.945	205.835	191.485	203.515	
2004-01-01T07:00:00	191.054	198.134	190.194	192.934	191.065	198.145	190.205	192.945	
2003-12-01T07:00:00	188.954	191.924	185.534	191.054	188.965	191.935	185.545	191.065	
2003-11-01T07:00:00	186.194	189.004	180.324	188.954	186.205	189.015	180.335	188.965	
2003-10-01T06:00:00	185.244	186.974	179.374	186.194	185.255	186.985	179.385	186.205	
2003-09-01T06:00:00	184.144	188.864	181.234	185.244	184.155	188.875	181.245	185.255	
2003-08-01T06:00:00	194.124	194.424	183.324	184.144	194.135	194.435	183.335	184.155	
2003-07-01T06:00:00	198.144	198.924	186.214	194.124	198.155	198.935	186.225	194.135	
2003-06-01T06:00:00	195.164	199.604	192.744	198.144	195.175	199.615	192.755	198.155	
2003-05-01T06:00:00	190.134	196.124	185.024	195.164	190.145	196.135	185.035	195.175	
2003-04-01T07:00:00	186.744	192.374	185.464	190.134	186.755	192.385	185.475	190.145	
2003-03-01T07:00:00	185.844	190.574	184.664	186.744	185.855	190.585	184.675	186.755	
2003-02-01T07:00:00	197.384	198.514	183.954	185.844	197.395	198.525	183.965	185.855	
2003-01-01T07:00:00	191.124	197.564	188.664	197.384	191.135	197.575	188.675	197.395	
2002-12-01T07:00:00	190.724	197.214	189.704	191.124	190.735	197.225	189.715	191.135	
2002-11-01T07:00:00	191.724	194.404	187.604	190.724	191.735	194.415	187.615	190.735	
2002-10-01T06:00:00	190.874	194.964	190.624	191.724	190.885	194.975	190.635	191.735	
2002-09-01T06:00:00	183.444	193.224	182.354	190.874	183.455	193.235	182.365	190.885	
2002-08-01T06:00:00	187.524	187.554	179.094	183.444	187.535	187.565	179.105	183.455	
2002-07-01T06:00:00	183.554	189.244	180.424	187.524	183.465	189.255	180.435	187.535	
2002-06-01T06:00:00	180.964	185.814	180.364	183.554	180.875	185.725	180.275	183.465	
2002-05-01T06:00:00	187.474	188.464	180.144	180.964	187.385	188.375	180.055	180.875	
2002-04-01T07:00:00	189.594	192.544	185.944	187.474	189.505	192.455	185.855	187.385	
2002-03-01T07:00:00	188.934	190.414	180.114	189.594	188.845	190.325	180.025	189.505	
2002-02-01T07:00:00	190.124	192.374	187.714	188.934	190.035	192.285	187.625	188.845	
2002-01-01T07:00:00	191.734	192.364	186.954	190.124	191.645	192.275	186.865	190.035	
2001-12-01T07:00:00	175.944	191.734	175.364	191.734	175.855	191.645	175.275	191.645	
2001-11-01T07:00:00	178.224	178.704	173.564	175.944	178.135	178.615	173.475	175.855	
2001-10-01T06:00:00	176.004	179.084	173.194	177.224	175.915	178.995	173.105	177.135	
2001-09-01T06:00:00	174.144	177.964	169.214	176.004	174.055	177.875	169.125	175.915	
2001-08-01T06:00:00	178.564	179.044	171.344	174.144	178.475	178.955	171.255	174.055	
2001-07-01T06:00:00	176.654	178.894	173.644	178.564	176.565	178.805	173.555	178.475	
2001-06-01T06:00:00	171.794	177.234	165.524	176.654	171.705	177.145	165.435	176.565	
2001-05-01T06:00:00	178.014	178.434	168.004	171.794	177.925	178.345	167.915	171.705	
2001-04-01T07:00:00	178.954	181.894	173.704	178.014	178.865	181.805	173.615	177.925	
2001-03-01T07:00:00	168.034	179.224	167.264	178.954	167.945	179.135	167.175	178.865	
2001-02-01T07:00:00	169.564	171.874	165.614	168.034	169.475	171.785	165.525	167.945	
2001-01-01T07:00:00	170.974	177.724	169.104	169.564	170.885	177.635	169.015	169.475	
2000-12-01T07:00:00	158.364	171.934	157.004	170.974	158.275	171.845	156.915	170.885	
2000-11-01T07:00:00	158.074	158.864	151.674	158.364	157.985	158.775	151.585	158.275	
2000-10-01T06:00:00	159.754	160.224	153.614	158.074	159.665	160.135	153.525	157.985	
2000-09-01T06:00:00	155.464	159.894	148.384	159.754	155.375	159.805	148.295	159.665	
2000-08-01T06:00:00	164.804	165.944	153.054	155.464	164.715	165.855	152.965	155.375	
2000-07-01T06:00:00	159.974	166.354	158.604	164.804	159.885	166.265	158.515	164.715	
2000-06-01T06:00:00	159.684	163.834	156.394	159.974	159.595	163.745	156.305	159.885	
2000-05-01T06:00:00	167.634	170.914	156.604	159.684	167.545	170.825	156.515	159.595	
