日時	GBP/NZD(始値, 買い)	GBP/NZD(高値, 買い)	GBP/NZD(安値, 買い)	GBP/NZD(終値, 買い)	GBP/NZD(始値, 売り)	GBP/NZD(高値, 売り)	GBP/NZD(安値, 売り)	GBP/NZD(終値, 売り)	
2014-02-01T07:00:00	2.03419	2.03419	1.97770	1.99047	2.03222	2.03222	1.97611	1.99002	
2014-01-01T07:00:00	2.00451	2.04362	1.99614	2.03419	2.00421	2.04322	1.99532	2.03222	
2013-12-01T07:00:00	2.01322	2.03007	1.96356	2.01413	2.01235	2.02930	1.96311	2.01308	
2013-11-01T06:00:00	1.94173	2.02420	1.91105	2.01322	1.94014	2.02388	1.91070	2.01235	
2013-10-01T06:00:00	1.94908	1.97443	1.88726	1.94173	1.94771	1.97408	1.88685	1.94014	
2013-09-01T06:00:00	2.00849	2.00569	1.90512	1.94908	2.00625	2.00521	1.90470	1.94771	
2013-08-01T06:00:00	1.90546	2.00907	1.89975	2.00849	1.90364	2.00750	1.89940	2.00625	
2013-07-01T06:00:00	1.96944	1.97559	1.88649	1.90546	1.96745	1.97516	1.88600	1.90364	
2013-06-01T06:00:00	1.91404	2.00590	1.88998	1.96944	1.91191	2.00533	1.88968	1.96745	
2013-05-01T06:00:00	1.81403	1.91458	1.81018	1.91404	1.81238	1.91272	1.80984	1.91191	
2013-04-01T06:00:00	1.81793	1.82798	1.77101	1.81403	1.81532	1.82780	1.77068	1.81238	
2013-03-01T07:00:00	1.83885	1.84591	1.79933	1.81793	1.83804	1.84564	1.79895	1.81532	
2013-02-01T07:00:00	1.89068	1.89783	1.79605	1.83885	1.88940	1.89742	1.79565	1.83804	
2013-01-01T07:00:00	1.96737	1.96737	1.87458	1.89068	1.96667	1.96667	1.87418	1.88940	
2012-12-01T07:00:00	1.95342	1.97880	1.90677	1.96737	1.95087	1.97811	1.90636	1.96667	
2012-11-01T06:00:00	1.96122	1.96691	1.92725	1.95342	1.96030	1.96646	1.92681	1.95087	
2012-10-01T06:00:00	1.94820	1.98510	1.93732	1.96122	1.94657	1.98459	1.93683	1.96030	
2012-09-01T06:00:00	1.97611	2.00707	1.93691	1.94820	1.97370	2.00674	1.93654	1.94657	
2012-08-01T06:00:00	1.93887	1.98408	1.89655	1.97611	1.93766	1.98375	1.89609	1.97370	
2012-07-01T06:00:00	1.96218	1.98446	1.92849	1.93887	1.95991	1.98412	1.92806	1.93766	
2012-06-01T06:00:00	2.04549	2.05398	1.95070	1.96218	2.04342	2.05353	1.95021	1.95991	
2012-05-01T06:00:00	1.98425	2.10577	1.98309	2.04549	1.98273	2.10552	1.98074	2.04342	
2012-04-01T06:00:00	1.95746	1.99542	1.91727	1.98425	1.95511	1.99478	1.91672	1.98273	
2012-03-01T07:00:00	1.90875	1.96752	1.89888	1.95746	1.90762	1.96700	1.89836	1.95511	
2012-02-01T07:00:00	1.90703	1.91503	1.86393	1.90875	1.90617	1.91442	1.86321	1.90762	
2012-01-01T07:00:00	1.99792	1.99941	1.90045	1.90703	1.99600	1.99724	1.89979	1.90617	
2011-12-01T07:00:00	2.01263	2.07145	1.98753	1.99792	2.01051	2.07102	1.98638	1.99600	
2011-11-01T06:00:00	1.99490	2.10532	1.98348	2.01263	1.99323	2.10441	1.98200	2.01051	
2011-10-01T06:00:00	2.04620	2.05959	1.95193	1.99490	2.04457	2.05874	1.95115	1.99323	
2011-09-01T06:00:00	1.90350	2.04938	1.89627	2.04620	1.90126	2.04830	1.89535	2.04457	
2011-08-01T06:00:00	1.86850	2.04384	1.85484	1.90350	1.86710	2.04222	1.85421	1.90126	
2011-07-01T06:00:00	1.93637	1.95239	1.86753	1.86850	1.93555	1.95111	1.86664	1.86710	
2011-06-01T06:00:00	1.99718	2.02234	1.92748	1.93637	1.99561	2.02101	1.92670	1.93555	
2011-05-01T06:00:00	2.06418	2.10127	1.99237	1.99718	2.06311	2.10048	1.99162	1.99561	
2011-04-01T06:00:00	2.10508	2.12528	2.03760	2.06418	2.10441	2.12422	2.03651	2.06311	
2011-03-01T07:00:00	2.16089	2.25387	2.09867	2.10508	2.15947	2.25253	2.09806	2.10441	
2011-02-01T07:00:00	2.07473	2.18157	2.06220	2.16089	2.07341	2.18087	2.06141	2.15947	
2011-01-01T07:00:00	2.00537	2.11636	1.98677	2.07473	2.00322	2.11501	1.98592	2.07341	
2010-12-01T07:00:00	2.09638	2.12438	1.99359	2.00457	2.09552	2.12326	1.99181	2.00272	
2010-11-01T06:00:00	2.10268	2.10371	2.03088	2.09638	2.10041	2.10218	2.02963	2.09552	
2010-10-01T06:00:00	2.14114	2.14888	2.07425	2.10268	2.13935	2.14769	2.07352	2.10041	
2010-09-01T06:00:00	2.19651	2.19772	2.09932	2.14114	2.19448	2.19529	2.09701	2.13935	
2010-08-01T06:00:00	2.16308	2.22630	2.15232	2.19651	2.16111	2.22513	2.15084	2.19448	
2010-07-01T06:00:00	2.18417	2.21710	2.09911	2.16308	2.18116	2.21546	2.09801	2.16111	
2010-06-01T06:00:00	2.13680	2.20239	2.07498	2.18417	2.13543	2.20244	2.07375	2.18116	
2010-05-01T06:00:00	2.10591	2.18314	2.03453	2.13680	2.10470	2.18162	2.03279	2.13543	
2010-04-01T06:00:00	2.13787	2.18068	2.08611	2.10591	2.13476	2.17950	2.08520	2.10470	
2010-03-01T07:00:00	2.18586	2.19671	2.09210	2.13787	2.18333	2.19553	2.09122	2.13476	
2010-02-01T07:00:00	2.27887	2.30015	2.17091	2.18586	2.27797	2.29829	2.16829	2.18333	
2010-01-01T07:00:00	2.22915	2.30098	2.16185	2.27887	2.22688	2.29782	2.15933	2.27797	
2009-12-01T07:00:00	2.29926	2.31028	2.20704	2.22915	2.29471	2.30878	2.20571	2.22688	
2009-11-01T06:00:00	2.28912	2.33223	2.23345	2.29926	2.28777	2.32978	2.23191	2.29471	
2009-10-01T06:00:00	2.21198	2.29783	2.13046	2.28912	2.20851	2.29658	2.12901	2.28777	
2009-09-01T06:00:00	2.37719	2.42459	2.19720	2.21198	2.37524	2.42322	2.19443	2.20851	
2009-08-01T06:00:00	2.52384	2.54950	2.36299	2.37719	2.52201	2.54801	2.36110	2.37524	
2009-07-01T06:00:00	2.55048	2.61150	2.48679	2.52384	2.54751	2.60971	2.48410	2.52201	
2009-06-01T06:00:00	2.52374	2.61728	2.50988	2.55048	2.52041	2.61537	2.50818	2.54751	
2009-05-01T06:00:00	2.61888	2.62967	2.48646	2.52374	2.61541	2.62748	2.48482	2.52041	
2009-04-01T06:00:00	2.56148	2.64971	2.49258	2.61888	2.55891	2.64731	2.48771	2.61541	
2009-03-01T07:00:00	2.86112	2.89469	2.49316	2.56148	2.85576	2.89230	2.49151	2.55891	
