日時	GBP/USD(始値, 買い)	GBP/USD(高値, 買い)	GBP/USD(安値, 買い)	GBP/USD(終値, 買い)	GBP/USD(始値, 売り)	GBP/USD(高値, 売り)	GBP/USD(安値, 売り)	GBP/USD(終値, 売り)	
2014-02-01T07:00:00	1.64454	1.64454	1.62576	1.63414	1.64345	1.64405	1.62563	1.63400	
2014-01-01T07:00:00	1.64834	1.66268	1.64280	1.64454	1.64815	1.66251	1.64269	1.64345	
2013-12-01T07:00:00	1.63744	1.65789	1.62163	1.65714	1.63620	1.65778	1.62166	1.65704	
2013-11-01T06:00:00	1.60381	1.63849	1.58550	1.63744	1.60349	1.63842	1.58538	1.63620	
2013-10-01T06:00:00	1.61872	1.62610	1.58948	1.60381	1.61825	1.62600	1.58933	1.60349	
2013-09-01T06:00:00	1.55093	1.62034	1.55066	1.61872	1.54957	1.62019	1.55049	1.61825	
2013-08-01T06:00:00	1.52094	1.57185	1.51030	1.55093	1.52074	1.57172	1.51021	1.54957	
2013-07-01T06:00:00	1.52112	1.54348	1.48144	1.52094	1.51993	1.54337	1.48130	1.52074	
2013-06-01T06:00:00	1.51987	1.57522	1.51662	1.52112	1.51942	1.57509	1.51651	1.51993	
2013-05-01T06:00:00	1.55328	1.56065	1.50080	1.51987	1.55306	1.56064	1.50081	1.51942	
2013-04-01T06:00:00	1.51981	1.55684	1.50342	1.55328	1.51880	1.55685	1.50327	1.55306	
2013-03-01T07:00:00	1.51651	1.52613	1.48323	1.51981	1.51628	1.52608	1.48310	1.51880	
2013-02-01T07:00:00	1.58582	1.58787	1.50742	1.51651	1.58555	1.58782	1.50684	1.51628	
2013-01-01T07:00:00	1.62629	1.63485	1.56751	1.58582	1.62623	1.63418	1.56741	1.58555	
2012-12-01T07:00:00	1.60102	1.63070	1.60025	1.62629	1.60086	1.63062	1.60015	1.62623	
2012-11-01T06:00:00	1.61328	1.61755	1.58287	1.60102	1.61256	1.61745	1.58228	1.60086	
2012-10-01T06:00:00	1.61606	1.62177	1.59143	1.61328	1.61614	1.62168	1.59131	1.61256	
2012-09-01T06:00:00	1.58740	1.63101	1.58265	1.61606	1.58603	1.63092	1.58253	1.61614	
2012-08-01T06:00:00	1.56821	1.59129	1.54910	1.58740	1.56716	1.59122	1.54900	1.58603	
2012-07-01T06:00:00	1.57090	1.57690	1.53939	1.56821	1.56947	1.57674	1.53924	1.56716	
2012-06-01T06:00:00	1.54137	1.57781	1.52688	1.57090	1.54002	1.57774	1.52679	1.56947	
2012-05-01T06:00:00	1.62347	1.62481	1.53613	1.54137	1.62277	1.62470	1.53603	1.54002	
2012-04-01T06:00:00	1.60173	1.63020	1.58058	1.62347	1.60052	1.63009	1.58046	1.62277	
2012-03-01T07:00:00	1.59152	1.60379	1.56032	1.60173	1.59001	1.60369	1.56019	1.60052	
2012-02-01T07:00:00	1.57625	1.59925	1.56455	1.59152	1.57610	1.59918	1.56442	1.59001	
2012-01-01T07:00:00	1.55486	1.57972	1.52342	1.57625	1.55450	1.57969	1.52328	1.57610	
2011-12-01T07:00:00	1.57058	1.57750	1.53626	1.55486	1.56975	1.57737	1.53605	1.55450	
2011-11-01T06:00:00	1.60886	1.61311	1.54235	1.57058	1.60867	1.61298	1.54228	1.56975	
2011-10-01T06:00:00	1.55939	1.61676	1.52729	1.60886	1.55904	1.61658	1.52706	1.60867	
2011-09-01T06:00:00	1.62525	1.62744	1.53294	1.55939	1.62424	1.62597	1.53273	1.55904	
2011-08-01T06:00:00	1.64212	1.66186	1.61123	1.62525	1.64191	1.66173	1.61109	1.62424	
2011-07-01T06:00:00	1.60520	1.64709	1.57816	1.64212	1.60513	1.64705	1.57790	1.64191	
2011-06-01T06:00:00	1.64489	1.64968	1.59125	1.60520	1.64446	1.64952	1.59112	1.60513	
2011-05-01T06:00:00	1.67048	1.67393	1.60576	1.64489	1.67030	1.67377	1.60566	1.64446	
2011-04-01T06:00:00	1.60293	1.67476	1.59733	1.67048	1.60269	1.67454	1.59718	1.67030	
2011-03-01T07:00:00	1.62614	1.64016	1.59376	1.60293	1.62534	1.64007	1.59360	1.60269	
2011-02-01T07:00:00	1.60151	1.62791	1.59643	1.62614	1.60139	1.62778	1.59624	1.62534	
2011-01-01T07:00:00	1.55969	1.60604	1.54067	1.60151	1.55953	1.60596	1.54051	1.60139	
2010-12-01T07:00:00	1.55615	1.59117	1.53458	1.55970	1.55616	1.59109	1.53442	1.55951	
2010-11-01T06:00:00	1.60237	1.62997	1.54856	1.55615	1.60206	1.62986	1.54842	1.55616	
2010-10-01T06:00:00	1.57165	1.61084	1.56511	1.60237	1.57145	1.61063	1.56492	1.60206	
2010-09-01T06:00:00	1.53502	1.59231	1.52972	1.57165	1.53457	1.59229	1.52964	1.57145	
2010-08-01T06:00:00	1.56908	1.59988	1.53273	1.53502	1.56887	1.59981	1.53263	1.53457	
2010-07-01T06:00:00	1.49491	1.57221	1.48740	1.56908	1.49462	1.57212	1.48729	1.56887	
2010-06-01T06:00:00	1.45448	1.51295	1.43448	1.49491	1.45416	1.51285	1.43461	1.49462	
2010-05-01T06:00:00	1.53021	1.53370	1.42283	1.45448	1.53002	1.53264	1.42262	1.45416	
2010-04-01T06:00:00	1.51853	1.55238	1.51261	1.53021	1.51804	1.55232	1.51248	1.53002	
2010-03-01T07:00:00	1.52514	1.53825	1.47851	1.51853	1.52488	1.53816	1.47824	1.51804	
2010-02-01T07:00:00	1.59854	1.60703	1.51531	1.52514	1.59826	1.60695	1.51514	1.52488	
2010-01-01T07:00:00	1.61653	1.64589	1.58973	1.59854	1.61636	1.64576	1.58960	1.59826	
2009-12-01T07:00:00	1.64440	1.67231	1.58332	1.61653	1.64387	1.67216	1.58315	1.61636	
2009-11-01T06:00:00	1.64139	1.68790	1.62617	1.64440	1.64116	1.68778	1.62606	1.64387	
2009-10-01T06:00:00	1.59850	1.66950	1.57086	1.64139	1.59788	1.66936	1.57069	1.64116	
2009-09-01T06:00:00	1.62888	1.67431	1.57708	1.59850	1.62842	1.67414	1.57693	1.59788	
2009-08-01T06:00:00	1.67065	1.70438	1.61541	1.62888	1.67028	1.70422	1.61527	1.62842	
2009-07-01T06:00:00	1.64617	1.67340	1.59847	1.67065	1.64564	1.67328	1.59830	1.67028	
2009-06-01T06:00:00	1.61659	1.67455	1.58024	1.64617	1.61628	1.67444	1.58018	1.64564	
2009-05-01T06:00:00	1.47936	1.61994	1.47543	1.61659	1.47891	1.61991	1.47527	1.61628	
2009-04-01T06:00:00	1.43237	1.50703	1.42738	1.47936	1.43214	1.50686	1.42721	1.47891	
2009-03-01T07:00:00	1.43167	1.47790	1.36560	1.43237	1.43145	1.47777	1.36535	1.43214	
2009-02-01T07:00:00	1.44921	1.49871	1.40534	1.43167	1.44898	1.49853	1.40513	1.43145	
2009-01-01T07:00:00	1.45439	1.53757	1.35039	1.44921	1.45416	1.53737	1.35012	1.44898	
2008-12-01T07:00:00	1.54131	1.57255	1.43545	1.45439	1.54035	1.57226	1.43507	1.45416	
2008-11-01T06:00:00	1.61032	1.64007	1.45592	1.54131	1.60998	1.63981	1.45581	1.54035	
2008-10-01T06:00:00	1.78107	1.78758	1.52684	1.61032	1.78051	1.78731	1.52579	1.60998	
2008-09-01T06:00:00	1.82291	1.86699	1.74467	1.78107	1.82269	1.86687	1.74448	1.78051	
2008-08-01T06:00:00	1.98442	1.98442	1.81747	1.82291	1.98394	1.98402	1.81729	1.82269	
2008-07-01T06:00:00	1.99241	2.01621	1.96506	1.98442	1.99213	2.01526	1.96487	1.98394	
2008-06-01T06:00:00	1.98099	1.99672	1.94106	1.99241	1.98072	1.99656	1.94088	1.99213	
2008-05-01T06:00:00	1.98653	1.99096	1.93630	1.98099	1.98658	1.99091	1.93628	1.98072	
2008-04-01T06:00:00	1.98411	2.00528	1.96018	1.98653	1.98356	2.00479	1.95996	1.98658	
2008-03-01T07:00:00	1.98718	2.03993	1.97223	1.98411	1.98692	2.03976	1.97205	1.98356	
2008-02-01T07:00:00	1.98853	1.99728	1.93638	1.98718	1.98827	1.99716	1.93616	1.98692	
2008-01-01T07:00:00	1.98408	1.99608	1.93383	1.98853	1.98371	1.99578	1.93361	1.98827	
2007-12-01T07:00:00	2.05607	2.06807	1.97568	1.98408	2.05580	2.06786	1.97535	1.98371	
2007-11-01T06:00:00	2.07993	2.11633	2.03553	2.05607	2.07956	2.11608	2.03531	2.05580	
2007-10-01T06:00:00	2.04618	2.08243	2.02471	2.07993	2.04566	2.08226	2.02450	2.07956	
2007-09-01T06:00:00	2.01643	2.04813	1.98803	2.04618	2.01616	2.04746	1.98776	2.04566	
2007-08-01T06:00:00	2.03153	2.04633	1.96543	2.01643	2.03116	2.04616	1.96496	2.01616	
2007-07-01T06:00:00	2.00853	2.06543	2.00603	2.03153	2.00816	2.06516	2.00566	2.03116	
2007-06-01T06:00:00	1.97993	2.00883	1.96253	2.00853	1.97956	2.00846	1.96216	2.00816	
2007-05-01T06:00:00	1.99963	2.00773	1.96793	1.97993	1.99926	2.00736	1.96756	1.97956	
2007-04-01T06:00:00	1.96803	2.01353	1.95933	1.99963	1.96766	2.01316	1.95896	1.99926	
2007-03-01T07:00:00	1.96323	1.97293	1.91873	1.96803	1.96286	1.97256	1.91836	1.96766	
2007-02-01T07:00:00	1.96453	1.97503	1.94043	1.96323	1.96416	1.97466	1.94006	1.96286	
2007-01-01T07:00:00	1.95793	1.99143	1.92593	1.96453	1.95806	1.99156	1.92606	1.96416	
2006-12-01T07:00:00	1.96553	1.98503	1.94363	1.95793	1.96516	1.98466	1.94326	1.95806	
2006-11-01T07:00:00	1.90803	1.97013	1.88383	1.96553	1.90766	1.96976	1.88346	1.96516	
2006-10-01T06:00:00	1.87263	1.91013	1.85193	1.90803	1.87226	1.90976	1.85156	1.90766	
2006-09-01T06:00:00	1.90483	1.90833	1.86063	1.87263	1.90446	1.90796	1.86026	1.87226	
2006-08-01T06:00:00	1.86733	1.91423	1.86233	1.90483	1.86746	1.91436	1.86246	1.90446	
2006-07-01T06:00:00	1.84883	1.86873	1.81773	1.86733	1.84896	1.86886	1.81766	1.86746	
2006-06-01T06:00:00	1.86973	1.88833	1.80873	1.84883	1.86936	1.88796	1.80886	1.84896	
2006-05-01T06:00:00	1.82433	1.90293	1.82073	1.86973	1.82396	1.90256	1.82036	1.86936	
2006-04-01T07:00:00	1.73753	1.82603	1.72533	1.82433	1.73716	1.82566	1.72496	1.82396	
2006-03-01T07:00:00	1.75393	1.76283	1.72283	1.73753	1.75356	1.76246	1.72296	1.73716	
2006-02-01T07:00:00	1.77883	1.78163	1.72843	1.75393	1.77846	1.78126	1.72806	1.75356	
2006-01-01T07:00:00	1.72073	1.79383	1.72063	1.77883	1.72036	1.79346	1.72026	1.77846	
2005-12-01T07:00:00	1.72943	1.78123	1.71303	1.72073	1.72906	1.78086	1.71266	1.72036	
2005-11-01T07:00:00	1.76823	1.77963	1.70503	1.72943	1.76786	1.77926	1.70466	1.72906	
2005-10-01T06:00:00	1.76393	1.79063	1.73943	1.76823	1.76356	1.79026	1.73906	1.76786	
2005-09-01T06:00:00	1.80433	1.85053	1.75683	1.76393	1.80396	1.85016	1.75646	1.76356	
2005-08-01T06:00:00	1.75673	1.81793	1.75433	1.80433	1.75636	1.81756	1.75396	1.80396	
2005-07-01T06:00:00	1.79173	1.79203	1.72743	1.75673	1.79136	1.79166	1.72706	1.75636	
2005-06-01T06:00:00	1.81743	1.84053	1.78743	1.79173	1.81706	1.84016	1.78706	1.79136	
2005-05-01T06:00:00	1.90753	1.90953	1.81073	1.81743	1.90716	1.90916	1.81036	1.81706	
2005-04-01T07:00:00	1.88953	1.92193	1.86733	1.90753	1.88916	1.92156	1.86696	1.90716	
2005-03-01T07:00:00	1.92023	1.93273	1.85943	1.88953	1.91986	1.93236	1.85906	1.88916	
2005-02-01T07:00:00	1.88393	1.92643	1.85093	1.92023	1.88356	1.92606	1.85056	1.91986	
2005-01-01T07:00:00	1.91623	1.91843	1.85283	1.88393	1.91586	1.91806	1.85246	1.88356	
2004-12-01T07:00:00	1.90943	1.95523	1.90173	1.91623	1.90906	1.95486	1.90136	1.91586	
2004-11-01T07:00:00	1.83943	1.91343	1.82993	1.90943	1.83906	1.91306	1.82956	1.90906	
2004-10-01T06:00:00	1.81203	1.84533	1.77483	1.83943	1.81166	1.84496	1.77446	1.83906	
2004-09-01T06:00:00	1.80233	1.81653	1.77103	1.81203	1.80196	1.81616	1.77066	1.81166	
2004-08-01T06:00:00	1.82123	1.84673	1.78553	1.80233	1.82086	1.84636	1.78516	1.80196	
2004-07-01T06:00:00	1.82053	1.87723	1.80853	1.82123	1.82016	1.87686	1.80816	1.82086	
2004-06-01T06:00:00	1.83243	1.84883	1.80153	1.82053	1.83206	1.84846	1.80116	1.82016	
2004-05-01T06:00:00	1.77763	1.84253	1.74793	1.83243	1.77726	1.84216	1.74806	1.83206	
2004-04-01T07:00:00	1.84303	1.86023	1.75833	1.77763	1.84316	1.86036	1.75796	1.77726	
2004-03-01T07:00:00	1.86673	1.87463	1.79033	1.84303	1.86686	1.87476	1.79046	1.84316	
2004-02-01T07:00:00	1.82453	1.91393	1.81333	1.86673	1.82466	1.91406	1.81346	1.86686	
2004-01-01T07:00:00	1.78363	1.85763	1.77873	1.82453	1.78376	1.85776	1.77886	1.82466	
2003-12-01T07:00:00	1.72133	1.79413	1.71643	1.78363	1.72146	1.79426	1.71656	1.78376	
2003-11-01T07:00:00	1.69403	1.72423	1.65643	1.72133	1.69416	1.72436	1.65656	1.72146	
2003-10-01T06:00:00	1.66153	1.70743	1.65313	1.69403	1.66166	1.70756	1.65326	1.69416	
2003-09-01T06:00:00	1.57573	1.67583	1.56073	1.66153	1.57586	1.67596	1.56086	1.66166	
2003-08-01T06:00:00	1.61043	1.61863	1.56143	1.57573	1.61056	1.61876	1.56156	1.57586	
2003-07-01T06:00:00	1.65473	1.67413	1.57193	1.61043	1.65486	1.67426	1.57206	1.61056	
2003-06-01T06:00:00	1.63533	1.69033	1.62333	1.65473	1.63546	1.69046	1.62346	1.65486	
2003-05-01T06:00:00	1.59783	1.65443	1.58993	1.63533	1.59796	1.65456	1.59006	1.63546	
2003-04-01T07:00:00	1.58213	1.60323	1.54573	1.59783	1.58226	1.60336	1.54586	1.59796	
2003-03-01T07:00:00	1.57353	1.61543	1.55343	1.58213	1.57366	1.61556	1.55356	1.58226	
2003-02-01T07:00:00	1.64663	1.65323	1.57023	1.57353	1.64676	1.65336	1.57036	1.57366	
2003-01-01T07:00:00	1.60993	1.65693	1.59043	1.64663	1.61006	1.65706	1.59056	1.64676	
2002-12-01T07:00:00	1.55653	1.61303	1.54493	1.60993	1.55666	1.61316	1.54506	1.61006	
2002-11-01T07:00:00	1.56543	1.59643	1.54103	1.55653	1.56556	1.59656	1.54116	1.55666	
2002-10-01T06:00:00	1.56873	1.57613	1.54093	1.56543	1.56886	1.57626	1.54106	1.56556	
2002-09-01T06:00:00	1.54993	1.57393	1.52823	1.56873	1.55006	1.57406	1.52836	1.56886	
2002-08-01T06:00:00	1.56383	1.57263	1.51603	1.54993	1.56396	1.57276	1.51616	1.55006	
2002-07-01T06:00:00	1.53343	1.58643	1.51483	1.56383	1.53306	1.58656	1.51496	1.56396	
2002-06-01T06:00:00	1.45673	1.53823	1.45363	1.53343	1.45636	1.53786	1.45326	1.53306	
2002-05-01T06:00:00	1.45823	1.47043	1.44713	1.45673	1.45786	1.47006	1.44676	1.45636	
2002-04-01T07:00:00	1.42623	1.46363	1.42513	1.45823	1.42586	1.46326	1.42476	1.45786	
2002-03-01T07:00:00	1.41673	1.43283	1.40923	1.42623	1.41636	1.43246	1.40886	1.42586	
2002-02-01T07:00:00	1.41063	1.43623	1.40593	1.41673	1.41026	1.43586	1.40556	1.41636	
2002-01-01T07:00:00	1.45493	1.45583	1.40453	1.41063	1.45456	1.45546	1.40416	1.41026	
2001-12-01T07:00:00	1.42513	1.46123	1.41423	1.45493	1.42476	1.46086	1.41386	1.45456	
2001-11-01T07:00:00	1.45443	1.46853	1.40433	1.42513	1.45406	1.46816	1.40396	1.42476	
2001-10-01T06:00:00	1.47223	1.48473	1.42013	1.45193	1.47186	1.48436	1.41976	1.45156	
2001-09-01T06:00:00	1.45783	1.47923	1.44113	1.47223	1.45746	1.47886	1.44076	1.47186	
2001-08-01T06:00:00	1.42663	1.46103	1.41293	1.45783	1.42626	1.46066	1.41256	1.45746	
2001-07-01T06:00:00	1.41683	1.43533	1.39363	1.42663	1.41646	1.43496	1.39326	1.42626	
2001-06-01T06:00:00	1.42673	1.42763	1.36863	1.41683	1.42636	1.42726	1.36826	1.41646	
2001-05-01T06:00:00	1.43553	1.44453	1.40763	1.42673	1.43516	1.44416	1.40726	1.42636	
2001-04-01T07:00:00	1.41503	1.45043	1.41453	1.43553	1.41466	1.45006	1.41416	1.43516	
2001-03-01T07:00:00	1.44413	1.47653	1.41503	1.41503	1.44376	1.47616	1.41466	1.41466	
2001-02-01T07:00:00	1.46323	1.48383	1.43203	1.44413	1.46286	1.48346	1.43166	1.44376	
2001-01-01T07:00:00	1.49363	1.51033	1.44783	1.46323	1.49326	1.50996	1.44746	1.46286	
2000-12-01T07:00:00	1.42293	1.49883	1.41533	1.49363	1.42256	1.49846	1.41496	1.49326	
2000-11-01T07:00:00	1.44973	1.45733	1.39683	1.42293	1.44936	1.45696	1.39646	1.42256	
2000-10-01T06:00:00	1.47673	1.48033	1.42003	1.44973	1.47636	1.47996	1.41966	1.44936	
2000-09-01T06:00:00	1.45963	1.48103	1.39583	1.47673	1.45926	1.48066	1.39546	1.47636	
2000-08-01T06:00:00	1.50323	1.51473	1.44273	1.45963	1.50286	1.51436	1.44236	1.45926	
2000-07-01T06:00:00	1.51853	1.52213	1.49123	1.50323	1.51816	1.52176	1.49086	1.50286	
2000-06-01T06:00:00	1.49783	1.53173	1.49023	1.51853	1.49746	1.53136	1.48986	1.51816	
2000-05-01T06:00:00	1.55383	1.56703	1.46713	1.49783	1.55346	1.56666	1.46676	1.49746	
2000-04-01T07:00:00	1.59513	1.60813	1.55093	1.55383	1.59476	1.60776	1.55056	1.55346	
2000-03-01T07:00:00	1.59643	1.60093	1.56233	1.59513	1.59606	1.60056	1.56196	1.59476	
2000-02-01T07:00:00	1.62343	1.62633	1.58393	1.59643	1.62306	1.62596	1.58356	1.59606	
2000-01-01T07:00:00	1.61593	1.65813	1.61173	1.62343	1.61556	1.65776	1.61136	1.62306	
1999-12-01T07:00:00	1.60553	1.63163	1.59213	1.61593	1.60516	1.63126	1.59176	1.61556	
1999-11-01T07:00:00	1.64473	1.65223	1.59943	1.60553	1.64436	1.65186	1.59906	1.60516	
1999-10-01T06:00:00	1.64493	1.67963	1.63353	1.64473	1.64456	1.67926	1.63316	1.64436	
1999-09-01T06:00:00	1.59103	1.65183	1.59083	1.64493	1.59066	1.65146	1.59046	1.64456	
1999-08-01T06:00:00	1.62103	1.62843	1.58453	1.59103	1.62066	1.62806	1.58416	1.59066	
1999-07-01T06:00:00	1.57343	1.62533	1.54813	1.62103	1.57306	1.62496	1.54776	1.62066	
1999-06-01T06:00:00	1.60293	1.61833	1.57303	1.57343	1.60256	1.61796	1.57266	1.57306	
1999-05-01T06:00:00	1.60973	1.64383	1.58883	1.60293	1.60936	1.64346	1.58846	1.60256	
1999-04-01T07:00:00	1.61253	1.62433	1.58463	1.60973	1.61216	1.62396	1.58426	1.60936	
1999-03-01T07:00:00	1.59823	1.64843	1.59563	1.61253	1.59786	1.64806	1.59526	1.61216	
1999-02-01T07:00:00	1.64723	1.64913	1.59433	1.59823	1.64686	1.64876	1.59396	1.59786	
1999-01-01T07:00:00	1.66043	1.67523	1.62373	1.64723	1.66006	1.67486	1.62336	1.64686	
1998-12-01T07:00:00	1.65373	1.69493	1.64373	1.66043	1.65336	1.69456	1.64336	1.66006	
1998-11-01T07:00:00	1.67643	1.68063	1.64493	1.65373	1.67606	1.68026	1.64456	1.65336	
1998-10-01T06:00:00	1.71133	1.73493	1.66293	1.67643	1.71096	1.73456	1.66256	1.67606	
1998-09-01T06:00:00	1.68223	1.71493	1.65193	1.71133	1.68186	1.71456	1.65156	1.71096	
1998-08-01T06:00:00	1.63693	1.68503	1.60843	1.68223	1.63656	1.68466	1.60806	1.68186	
1998-07-01T06:00:00	1.66713	1.67123	1.62613	1.63693	1.66676	1.67086	1.62576	1.63656	
1998-06-01T06:00:00	1.63323	1.67923	1.62563	1.66713	1.63286	1.67886	1.62526	1.66676	
1998-05-01T06:00:00	1.67193	1.67653	1.61613	1.63323	1.67156	1.67616	1.61576	1.63286	
1998-04-01T07:00:00	1.67693	1.69813	1.65503	1.67193	1.67656	1.69776	1.65466	1.67156	
1998-03-01T07:00:00	1.64563	1.69063	1.63093	1.67693	1.64526	1.69026	1.63056	1.67656	
1998-02-01T07:00:00	1.63463	1.66083	1.62143	1.64563	1.63426	1.66046	1.62106	1.64526	
1998-01-01T07:00:00	1.65673	1.68693	1.61003	1.63463	1.65636	1.68656	1.60966	1.63426	
1997-12-01T07:00:00	1.68963	1.69113	1.62793	1.65673	1.68926	1.69076	1.62756	1.65636	
1997-11-01T07:00:00	1.66973	1.71513	1.66643	1.68963	1.66936	1.71476	1.66606	1.68926	
1997-10-01T06:00:00	1.61163	1.67693	1.59933	1.66973	1.61126	1.67656	1.59896	1.66936	
1997-09-01T06:00:00	1.61373	1.63453	1.57803	1.61163	1.61336	1.63416	1.57766	1.61126	
1997-08-01T06:00:00	1.63113	1.64633	1.56773	1.61373	1.63076	1.64596	1.56736	1.61336	
1997-07-01T06:00:00	1.66443	1.69903	1.62143	1.63113	1.66406	1.69866	1.62106	1.63076	
1997-06-01T06:00:00	1.64323	1.67343	1.62043	1.66443	1.64286	1.67306	1.62006	1.66406	
1997-05-01T06:00:00	1.63193	1.66083	1.60943	1.64323	1.63156	1.66046	1.60906	1.64286	
1997-04-01T07:00:00	1.63043	1.65533	1.61743	1.63193	1.63006	1.65496	1.61706	1.63156	
1997-03-01T07:00:00	1.62553	1.63493	1.58603	1.63043	1.62516	1.63456	1.58566	1.63006	
