日時	HKD/JPY(始値, 買い)	HKD/JPY(高値, 買い)	HKD/JPY(安値, 買い)	HKD/JPY(終値, 買い)	HKD/JPY(始値, 売り)	HKD/JPY(高値, 売り)	HKD/JPY(安値, 売り)	HKD/JPY(終値, 売り)	
2014-02-01T07:00:00	13.156	13.199	12.984	13.076	13.124	13.179	12.964	13.056	
2014-01-01T07:00:00	13.584	13.608	13.124	13.156	13.563	13.588	13.097	13.124	
2013-12-01T07:00:00	13.233	13.603	13.116	13.584	13.193	13.583	13.096	13.563	
2013-11-01T06:00:00	12.698	13.245	12.602	13.233	12.674	13.225	12.586	13.193	
2013-10-01T06:00:00	12.674	12.777	12.463	12.698	12.653	12.758	12.443	12.674	
2013-09-01T06:00:00	12.671	12.983	12.583	12.674	12.641	12.964	12.563	12.653	
2013-08-01T06:00:00	12.634	12.899	12.362	12.671	12.609	12.878	12.342	12.641	
2013-07-01T06:00:00	12.811	13.103	12.593	12.634	12.779	13.083	12.573	12.609	
2013-06-01T06:00:00	12.950	13.000	12.088	12.811	12.928	12.964	12.067	12.779	
2013-05-01T06:00:00	12.564	13.375	12.513	12.950	12.542	13.355	12.460	12.928	
2013-04-01T06:00:00	12.156	12.888	11.933	12.564	12.134	12.868	11.913	12.542	
2013-03-01T07:00:00	11.944	12.477	11.930	12.156	11.924	12.457	11.910	12.134	
2013-02-01T07:00:00	11.839	12.231	11.724	11.944	11.817	12.207	11.703	11.924	
2013-01-01T07:00:00	11.188	11.839	11.188	11.839	11.167	11.824	11.167	11.817	
2012-12-01T07:00:00	10.650	11.192	10.554	11.188	10.630	11.172	10.534	11.167	
2012-11-01T06:00:00	10.307	10.697	10.211	10.650	10.287	10.677	10.192	10.630	
2012-10-01T06:00:00	10.058	10.381	10.042	10.307	10.036	10.361	10.022	10.287	
2012-09-01T06:00:00	10.118	10.228	9.956	10.058	10.096	10.208	9.936	10.036	
2012-08-01T06:00:00	10.086	10.279	10.058	10.118	10.063	10.259	10.037	10.096	
2012-07-01T06:00:00	10.304	10.338	10.059	10.086	10.273	10.319	10.038	10.063	
2012-06-01T06:00:00	10.099	10.397	10.017	10.304	10.077	10.377	9.995	10.273	
2012-05-01T06:00:00	10.299	10.401	10.087	10.099	10.278	10.381	10.066	10.077	
2012-04-01T06:00:00	10.676	10.738	10.288	10.299	10.645	10.718	10.268	10.278	
2012-03-01T07:00:00	10.472	10.853	10.391	10.676	10.451	10.834	10.371	10.645	
2012-02-01T07:00:00	9.845	10.552	9.812	10.472	9.824	10.522	9.792	10.451	
2012-01-01T07:00:00	9.915	10.094	9.829	9.845	9.886	10.074	9.804	9.824	
2011-12-01T07:00:00	10.004	10.126	9.910	9.915	9.980	10.044	9.882	9.886	
2011-11-01T06:00:00	10.073	10.203	9.843	10.004	10.052	10.160	9.823	9.980	
2011-10-01T06:00:00	9.905	10.269	9.740	10.073	9.883	10.229	9.714	10.052	
2011-09-01T06:00:00	9.856	9.998	9.767	9.905	9.835	9.978	9.746	9.883	
2011-08-01T06:00:00	9.880	10.298	9.750	9.856	9.852	10.277	9.730	9.835	
2011-07-01T06:00:00	10.364	10.511	9.876	9.880	10.341	10.460	9.851	9.852	
2011-06-01T06:00:00	10.493	10.501	10.253	10.364	10.472	10.475	10.233	10.341	
2011-05-01T06:00:00	10.458	10.589	10.247	10.493	10.437	10.569	10.226	10.472	
2011-04-01T06:00:00	10.697	11.014	10.446	10.458	10.675	10.993	10.425	10.437	
2011-03-01T07:00:00	10.513	10.710	9.822	10.697	10.489	10.688	9.720	10.675	
2011-02-01T07:00:00	10.534	10.789	10.431	10.513	10.509	10.769	10.376	10.489	
2011-01-01T07:00:00	10.510	10.807	10.446	10.534	10.489	10.757	10.425	10.509	
2010-12-01T07:00:00	10.783	10.886	10.423	10.446	10.771	10.871	10.402	10.425	
2010-11-01T06:00:00	10.390	10.880	10.361	10.783	10.380	10.871	10.328	10.771	
2010-10-01T06:00:00	10.774	10.835	10.370	10.390	10.753	10.814	10.350	10.380	
2010-09-01T06:00:00	10.839	11.078	10.681	10.774	10.817	11.058	10.660	10.753	
2010-08-01T06:00:00	11.136	11.199	10.759	10.839	11.108	11.179	10.738	10.817	
2010-07-01T06:00:00	11.365	11.478	11.076	11.136	11.343	11.459	11.056	11.108	
2010-06-01T06:00:00	11.732	11.906	11.351	11.365	11.706	11.911	11.330	11.343	
2010-05-01T06:00:00	12.110	12.245	11.364	11.732	12.087	12.225	11.337	11.706	
2010-04-01T06:00:00	12.049	12.215	11.809	12.110	12.024	12.191	11.789	12.087	
2010-03-01T07:00:00	11.456	12.068	11.364	12.049	11.435	12.049	11.343	12.024	
2010-02-01T07:00:00	11.636	11.874	11.413	11.456	11.615	11.855	11.389	11.435	
2010-01-01T07:00:00	12.015	12.102	11.474	11.636	11.994	12.081	11.453	11.615	
2009-12-01T07:00:00	11.161	12.017	11.128	12.015	11.136	11.997	11.107	11.994	
2009-11-01T06:00:00	11.621	11.793	10.954	11.161	11.603	11.770	10.933	11.136	
2009-10-01T06:00:00	11.589	11.922	11.365	11.621	11.562	11.904	11.346	11.603	
2009-09-01T06:00:00	12.027	12.066	11.394	11.589	12.002	12.046	11.373	11.562	
2009-08-01T06:00:00	12.219	12.627	11.950	12.027	12.199	12.606	11.930	12.002	
2009-07-01T06:00:00	12.448	12.524	11.846	12.219	12.417	12.504	11.826	12.199	
2009-06-01T06:00:00	12.301	12.768	12.194	12.448	12.280	12.747	12.174	12.417	
2009-05-01T06:00:00	12.737	12.878	12.117	12.301	12.715	12.862	12.097	12.280	
