日時	JPN225(始値, 買い)	JPN225(高値, 買い)	JPN225(安値, 買い)	JPN225(終値, 買い)	JPN225(始値, 売り)	JPN225(高値, 売り)	JPN225(安値, 売り)	JPN225(終値, 売り)	
2014-02-01T07:00:00	14599	14844	13914	14188	14589	14834	13904	14178	
2014-01-01T07:00:00	16283	16283	14584	14599	16263	16263	14574	14589	
2013-12-01T07:00:00	15692	16318	15057	16283	15672	16298	15037	16263	
2013-11-01T06:00:00	14433	15747	13883	15692	14413	15727	13863	15672	
2013-10-01T06:00:00	14525	14823	13728	14433	14505	14803	13708	14413	
2013-09-01T06:00:00	13323	14923	13418	14525	13303	14903	13398	14505	
2013-08-01T06:00:00	13613	14508	13180	13323	13593	14488	13160	13303	
2013-07-01T06:00:00	13713	14983	13483	13613	13683	14963	13463	13593	
2013-06-01T06:00:00	13455	13793	12313	13713	13435	13763	12283	13683	
2013-05-01T06:00:00	13845	15988	13418	13455	13835	15978	13398	13435	
2013-04-01T06:00:00	12410	14043	11800	13845	12395	14033	11785	13835	
2013-03-01T07:00:00	11533	12695	11483	12410	11518	12680	11468	12395	
2013-02-01T07:00:00	11145	11693	11025	11533	11130	11678	11010	11518	
2013-01-01T07:00:00	10408	11195	10381	11145	10393	11180	10366	11130	
2012-12-01T07:00:00	9500	10443	9385	10408	9485	10428	9370	10393	
2012-11-01T06:00:00	8920	9540	8625	9500	8905	9525	8610	9485	
2012-10-01T06:00:00	8859	9129	8494	8920	8804	9114	8479	8905	
2012-09-01T06:00:00	8895	9294	8645	8859	8880	9279	8630	8804	
2012-08-01T06:00:00	8601	9255	8512	8895	8586	9240	8497	8880	
2012-07-01T06:00:00	9123	9160	8331	8601	9108	9140	8316	8586	
2012-06-01T06:00:00	8503	9130	8215	9123	8488	9115	8190	9108	
2012-05-01T06:00:00	9455	9468	8445	8503	9440	9453	8430	8488	
2012-04-01T06:00:00	10160	10200	9350	9455	10145	10185	9335	9440	
2012-03-01T07:00:00	9760	10283	9495	10160	9745	10268	9480	10145	
2012-02-01T07:00:00	8813	9878	8778	9760	8798	9863	8763	9745	
2012-01-01T07:00:00	8440	8925	8318	8813	8425	8910	8303	8798	
2011-12-01T07:00:00	8652	8757	8282	8440	8637	8742	8267	8425	
2011-11-01T06:00:00	8880	8948	8102	8652	8865	8933	8087	8637	
2011-10-01T06:00:00	8583	9165	8327	8880	8568	9150	8312	8865	
2011-09-01T06:00:00	9030	9100	8325	8583	9015	9085	8310	8568	
2011-08-01T06:00:00	9833	10045	8588	9030	9818	10030	8570	9015	
2011-07-01T06:00:00	9890	10242	9758	9833	9875	10202	9743	9818	
2011-06-01T06:00:00	9721	9925	9308	9890	9706	9910	9293	9875	
2011-05-01T06:00:00	9923	10048	9385	9721	9908	10033	9370	9706	
2011-04-01T06:00:00	9728	9955	9362	9923	9713	9940	9347	9908	
2011-03-01T07:00:00	10681	10792	8400	9728	10666	10777	8335	9713	
2011-02-01T07:00:00	10256	10915	10125	10681	10241	10900	10110	10666	
2011-01-01T07:00:00	10180	10635	10179	10256	10165	10620	10164	10241	
2010-12-01T07:00:00	9945	10408	9923	10180	9930	10393	9908	10165	
2010-11-01T06:00:00	9168	10225	9078	9945	9153	10155	9063	9930	
2010-10-01T06:00:00	9406	9727	9151	9168	9386	9712	9136	9153	
2010-09-01T06:00:00	8834	9757	8807	9406	8819	9742	8789	9386	
2010-08-01T06:00:00	9518	9751	8745	8834	9503	9736	8730	8819	
2010-07-01T06:00:00	9215	9818	9032	9518	9115	9803	9017	9503	
2010-06-01T06:00:00	9743	10275	9213	9215	9728	10260	9018	9115	
2010-05-01T06:00:00	11095	11095	9294	9743	11080	11080	9279	9728	
2010-04-01T06:00:00	11132	11381	10847	11095	11117	11366	10832	11080	
2010-03-01T07:00:00	10152	11152	10131	11132	10127	11137	10106	11117	
2010-02-01T07:00:00	10251	10467	9888	10152	10226	10442	9863	10127	
2010-01-01T07:00:00	10560	11000	10181	10251	10535	10975	10156	10226	
2009-12-01T07:00:00	9285	10750	9235	10560	9260	10725	9210	10535	
2009-11-01T06:00:00	9972	9992	9020	9285	9947	9967	8995	9260	
