日時	NOK/JPY(始値, 買い)	NOK/JPY(高値, 買い)	NOK/JPY(安値, 買い)	NOK/JPY(終値, 買い)	NOK/JPY(始値, 売り)	NOK/JPY(高値, 売り)	NOK/JPY(安値, 売り)	NOK/JPY(終値, 売り)	
2014-02-01T07:00:00	16.312	16.341	16.033	16.159	16.220	16.299	15.994	16.118	
2014-01-01T07:00:00	16.687	16.908	16.222	16.312	16.624	16.869	16.182	16.220	
2013-12-01T07:00:00	16.780	17.372	16.466	17.365	16.657	17.330	16.427	17.316	
2013-11-01T06:00:00	16.579	16.883	15.987	16.780	16.527	16.836	15.948	16.657	
2013-10-01T06:00:00	16.370	16.772	16.103	16.579	16.294	16.734	16.054	16.527	
2013-09-01T06:00:00	16.100	17.248	16.093	16.370	16.011	17.202	16.018	16.294	
2013-08-01T06:00:00	16.644	16.798	16.012	16.100	16.585	16.758	15.922	16.011	
2013-07-01T06:00:00	16.440	17.070	16.124	16.644	16.257	17.032	16.069	16.585	
2013-06-01T06:00:00	17.150	17.332	15.832	16.440	17.070	17.294	15.790	16.257	
2013-05-01T06:00:00	16.912	17.914	16.815	17.150	16.857	17.876	16.774	17.070	
2013-04-01T06:00:00	16.151	17.554	15.954	16.912	16.073	17.514	15.910	16.857	
2013-03-01T07:00:00	16.151	16.938	15.991	16.151	16.105	16.893	15.952	16.073	
2013-02-01T07:00:00	16.811	17.199	15.948	16.151	16.754	17.160	15.901	16.105	
2013-01-01T07:00:00	15.590	16.817	15.523	16.811	15.546	16.762	15.474	16.754	
2012-12-01T07:00:00	14.561	15.596	14.461	15.590	14.512	15.551	14.423	15.546	
2012-11-01T06:00:00	14.016	14.633	13.737	14.561	13.973	14.593	13.697	14.512	
2012-10-01T06:00:00	13.637	14.157	13.571	14.016	13.569	14.118	13.522	13.973	
2012-09-01T06:00:00	13.545	14.073	13.386	13.637	13.497	13.882	12.013	13.569	
2012-08-01T06:00:00	12.980	13.609	12.896	13.545	12.919	13.571	12.857	13.497	
2012-07-01T06:00:00	13.419	13.465	12.754	12.980	13.359	13.411	12.416	12.919	
2012-06-01T06:00:00	12.831	13.578	12.632	13.419	12.777	13.539	12.592	13.359	
2012-05-01T06:00:00	13.976	14.099	12.793	12.831	13.924	14.060	12.754	12.777	
2012-04-01T06:00:00	14.573	14.683	13.817	13.976	14.516	14.644	13.778	13.924	
2012-03-01T07:00:00	14.541	14.695	14.142	14.573	14.486	14.657	14.101	14.516	
2012-02-01T07:00:00	13.030	14.706	12.956	14.541	12.982	14.652	12.917	14.486	
2012-01-01T07:00:00	12.905	13.367	12.649	13.030	12.835	13.329	12.608	12.982	
2011-12-01T07:00:00	13.473	13.684	12.861	12.905	13.424	13.573	12.780	12.835	
2011-11-01T06:00:00	14.104	14.256	13.088	13.473	14.052	14.170	13.049	13.424	
2011-10-01T06:00:00	13.145	14.563	12.871	14.104	13.101	14.497	12.831	14.052	
2011-09-01T06:00:00	14.311	14.550	12.918	13.145	14.261	14.502	12.876	13.101	
2011-08-01T06:00:00	14.396	14.944	13.764	14.311	14.191	14.740	13.722	14.261	
2011-07-01T06:00:00	15.059	15.278	14.125	14.396	14.849	15.081	13.907	14.191	
2011-06-01T06:00:00	15.264	15.322	14.445	15.059	15.046	15.122	14.245	14.849	
2011-05-01T06:00:00	15.570	15.651	14.534	15.264	15.363	15.450	14.321	15.046	
2011-04-01T06:00:00	15.113	15.922	15.008	15.570	14.901	15.709	14.808	15.363	
2011-03-01T07:00:00	14.635	15.159	13.632	15.113	14.599	14.954	13.226	14.901	
2011-02-01T07:00:00	14.220	14.847	14.168	14.635	14.190	14.698	14.020	14.599	
2011-01-01T07:00:00	14.013	14.547	13.834	14.220	13.984	14.392	13.722	14.190	
2010-12-01T07:00:00	13.484	14.318	13.457	13.938	13.473	14.240	13.352	13.908	
2010-11-01T06:00:00	13.736	14.263	13.392	13.484	13.726	14.162	13.310	13.473	
2010-10-01T06:00:00	14.223	14.508	13.549	13.736	14.207	14.403	13.433	13.726	
2010-09-01T06:00:00	13.469	14.484	13.428	14.223	13.257	14.381	13.226	14.207	
2010-08-01T06:00:00	14.328	14.618	13.350	13.469	14.122	14.418	13.132	13.257	
2010-07-01T06:00:00	13.734	14.454	13.493	14.328	13.499	14.254	13.292	14.122	
2010-06-01T06:00:00	14.240	14.544	13.391	13.734	14.008	14.404	13.396	13.499	
2010-05-01T06:00:00	15.937	16.115	13.487	14.240	15.909	15.995	13.286	14.008	
2010-04-01T06:00:00	15.940	16.198	15.427	15.937	15.618	16.037	15.315	15.909	
2010-03-01T07:00:00	15.243	16.442	14.850	15.940	14.929	16.324	14.737	15.618	
2010-02-01T07:00:00	15.445	16.260	14.739	15.243	15.132	16.202	14.637	14.929	
2010-01-01T07:00:00	16.087	16.711	15.216	15.445	16.049	16.496	15.078	15.132	
2009-12-01T07:00:00	15.421	16.318	15.151	16.087	15.104	16.107	15.027	16.049	
2009-11-01T06:00:00	15.918	16.384	14.929	15.421	15.603	16.169	14.812	15.104	
2009-10-01T06:00:00	15.760	16.831	15.281	15.918	15.432	16.620	15.159	15.603	
2009-09-01T06:00:00	15.688	16.021	15.092	15.760	15.373	15.805	14.969	15.432	
2009-08-01T06:00:00	15.457	16.197	15.209	15.688	15.423	16.020	15.125	15.373	
2009-07-01T06:00:00	15.192	15.702	13.977	15.457	14.877	15.530	13.902	15.423	
2009-06-01T06:00:00	15.149	15.939	14.414	15.192	15.089	15.743	14.317	14.877	
2009-05-01T06:00:00	15.251	15.805	14.396	15.149	14.926	15.561	14.295	15.089	
2009-04-01T06:00:00	14.898	15.789	14.101	15.251	14.580	15.678	13.967	14.926	
2009-03-01T07:00:00	13.915	15.788	13.467	14.898	13.863	15.694	13.424	14.580	
2009-02-01T07:00:00	13.004	14.387	12.660	13.915	12.952	14.304	12.558	13.863	
2009-01-01T07:00:00	13.077	13.697	12.201	13.004	13.019	13.533	12.152	12.952	
2008-12-01T07:00:00	13.642	13.946	12.427	13.077	13.589	13.710	12.276	13.019	
2008-11-01T06:00:00	13.583	15.284	13.017	13.642	13.547	15.239	12.873	13.589	
2008-10-01T06:00:00	13.583	13.583	13.583	13.583	13.547	13.547	13.547	13.547	
2008-04-01T06:00:00	20.330	20.859	14.313	14.313	20.335	20.864	14.254	14.254	
