日時	NZD/CAD(始値, 買い)	NZD/CAD(高値, 買い)	NZD/CAD(安値, 買い)	NZD/CAD(終値, 買い)	NZD/CAD(始値, 売り)	NZD/CAD(高値, 売り)	NZD/CAD(安値, 売り)	NZD/CAD(終値, 売り)	
2014-02-01T07:00:00	0.90081	0.91530	0.89417	0.90976	0.89838	0.91470	0.89390	0.90951	
2014-01-01T07:00:00	0.87562	0.92860	0.86670	0.90081	0.87503	0.92827	0.86629	0.89838	
2013-12-01T07:00:00	0.86433	0.88665	0.86615	0.87562	0.86234	0.88627	0.86583	0.87503	
2013-11-01T06:00:00	0.86237	0.87848	0.85625	0.86433	0.86148	0.87821	0.85597	0.86234	
2013-10-01T06:00:00	0.85609	0.87790	0.84805	0.86237	0.85554	0.87764	0.84755	0.86148	
2013-09-01T06:00:00	0.81522	0.86387	0.81565	0.85609	0.81338	0.86356	0.81445	0.85554	
2013-08-01T06:00:00	0.82072	0.84293	0.80503	0.81522	0.82035	0.84275	0.80297	0.81338	
2013-07-01T06:00:00	0.81385	0.83268	0.80581	0.82072	0.81140	0.83228	0.80554	0.82035	
2013-06-01T06:00:00	0.82485	0.83547	0.79502	0.81385	0.82280	0.83520	0.79472	0.81140	
2013-05-01T06:00:00	0.86339	0.86396	0.82219	0.82485	0.86231	0.86360	0.82179	0.82280	
2013-04-01T06:00:00	0.85191	0.87829	0.84909	0.86339	0.85070	0.87801	0.84879	0.86231	
2013-03-01T07:00:00	0.85049	0.86087	0.83767	0.85191	0.84987	0.86053	0.83737	0.85070	
2013-02-01T07:00:00	0.83728	0.86179	0.82918	0.85049	0.83650	0.86151	0.82885	0.84987	
2013-01-01T07:00:00	0.82265	0.84692	0.81272	0.83728	0.82221	0.84665	0.81232	0.83650	
2012-12-01T07:00:00	0.81585	0.83584	0.81078	0.82265	0.81519	0.83540	0.81030	0.82221	
2012-11-01T06:00:00	0.82268	0.82717	0.80918	0.81585	0.82217	0.82688	0.80882	0.81519	
2012-10-01T06:00:00	0.81649	0.82361	0.79679	0.82268	0.81560	0.82334	0.79643	0.82217	
2012-09-01T06:00:00	0.79344	0.81829	0.78116	0.81649	0.79144	0.81800	0.78086	0.81560	
2012-08-01T06:00:00	0.81176	0.82204	0.79059	0.79344	0.81104	0.82166	0.78990	0.79144	
2012-07-01T06:00:00	0.81484	0.81938	0.79877	0.81176	0.81384	0.81867	0.79833	0.81104	
2012-06-01T06:00:00	0.77908	0.81983	0.77571	0.81484	0.77742	0.81942	0.77531	0.81384	
2012-05-01T06:00:00	0.80846	0.80943	0.76386	0.77908	0.80775	0.80864	0.76344	0.77742	
2012-04-01T06:00:00	0.81741	0.82800	0.79874	0.80846	0.81524	0.82747	0.79755	0.80775	
2012-03-01T07:00:00	0.82617	0.82884	0.80039	0.81741	0.82537	0.82792	0.80005	0.81524	
2012-02-01T07:00:00	0.82856	0.84063	0.82497	0.82617	0.82788	0.84020	0.82459	0.82537	
2012-01-01T07:00:00	0.79458	0.82993	0.79203	0.82856	0.79360	0.82948	0.78959	0.82788	
2011-12-01T07:00:00	0.79544	0.79637	0.77616	0.79458	0.79394	0.79517	0.77564	0.79360	
2011-11-01T06:00:00	0.80780	0.81279	0.77212	0.79544	0.80697	0.81236	0.77172	0.79394	
2011-10-01T06:00:00	0.79932	0.81870	0.79066	0.80780	0.79872	0.81828	0.79015	0.80697	
2011-09-01T06:00:00	0.83560	0.83696	0.79249	0.79932	0.83475	0.83657	0.79204	0.79872	
