日時	NZD/CHF(始値, 買い)	NZD/CHF(高値, 買い)	NZD/CHF(安値, 買い)	NZD/CHF(終値, 買い)	NZD/CHF(始値, 売り)	NZD/CHF(高値, 売り)	NZD/CHF(安値, 売り)	NZD/CHF(終値, 売り)	
2014-02-01T07:00:00	0.73337	0.74694	0.72638	0.74211	0.73101	0.74609	0.72603	0.74178	
2014-01-01T07:00:00	0.73314	0.76129	0.72966	0.73337	0.73257	0.76013	0.72931	0.73101	
2013-12-01T07:00:00	0.73785	0.74730	0.71952	0.73314	0.73645	0.74699	0.71899	0.73257	
2013-11-01T06:00:00	0.74967	0.77313	0.73167	0.73785	0.74891	0.77288	0.73135	0.73645	
2013-10-01T06:00:00	0.75169	0.77159	0.73851	0.74967	0.75101	0.77130	0.73796	0.74891	
2013-09-01T06:00:00	0.71920	0.76823	0.72119	0.75169	0.71679	0.76789	0.72014	0.75101	
2013-08-01T06:00:00	0.73972	0.75707	0.71112	0.71920	0.73924	0.75674	0.71062	0.71679	
2013-07-01T06:00:00	0.73143	0.76687	0.73001	0.73972	0.72898	0.76649	0.72840	0.73924	
2013-06-01T06:00:00	0.76081	0.77009	0.71630	0.73143	0.75845	0.76977	0.71585	0.72898	
2013-05-01T06:00:00	0.79657	0.80112	0.75908	0.76081	0.79552	0.80077	0.75807	0.75845	
2013-04-01T06:00:00	0.79529	0.80854	0.78000	0.79657	0.79399	0.80836	0.77965	0.79552	
2013-03-01T07:00:00	0.77262	0.80009	0.77228	0.79529	0.77215	0.79977	0.77101	0.79399	
2013-02-01T07:00:00	0.76423	0.78682	0.75778	0.77262	0.76345	0.78649	0.75744	0.77215	
2013-01-01T07:00:00	0.75714	0.78711	0.75634	0.76423	0.75680	0.78678	0.75599	0.76345	
2012-12-01T07:00:00	0.76161	0.78425	0.74464	0.75714	0.76089	0.78396	0.74417	0.75680	
2012-11-01T06:00:00	0.76648	0.78389	0.75873	0.76161	0.76595	0.78355	0.75838	0.76089	
2012-10-01T06:00:00	0.78035	0.78165	0.75284	0.76648	0.77945	0.78125	0.75214	0.76595	
2012-09-01T06:00:00	0.76827	0.78204	0.75602	0.78035	0.76639	0.78173	0.75572	0.77945	
2012-08-01T06:00:00	0.78987	0.80284	0.76308	0.76827	0.78924	0.80256	0.76277	0.76639	
