日時	NZD/JPY(始値, 買い)	NZD/JPY(高値, 買い)	NZD/JPY(安値, 買い)	NZD/JPY(終値, 買い)	NZD/JPY(始値, 売り)	NZD/JPY(高値, 売り)	NZD/JPY(安値, 売り)	NZD/JPY(終値, 売り)	
2014-02-01T07:00:00	82.614	83.989	81.442	83.265	82.458	83.942	81.414	83.233	
2014-01-01T07:00:00	84.267	85.824	82.452	82.614	84.134	85.667	82.414	82.458	
2013-12-01T07:00:00	83.377	86.688	83.243	86.641	83.213	86.653	83.214	86.588	
2013-11-01T06:00:00	81.299	84.136	80.808	83.377	81.226	84.069	80.777	83.213	
2013-10-01T06:00:00	81.623	83.995	79.894	81.299	81.547	83.966	79.873	81.226	
2013-09-01T06:00:00	75.935	83.691	76.127	81.623	75.722	83.667	76.080	81.547	
2013-08-01T06:00:00	78.195	79.909	75.140	75.935	78.161	79.886	75.082	75.722	
2013-07-01T06:00:00	76.693	80.452	76.621	78.195	76.503	80.421	76.535	78.161	
2013-06-01T06:00:00	79.932	80.782	74.479	76.693	79.739	80.753	74.437	76.503	
2013-05-01T06:00:00	83.470	84.892	79.782	79.932	83.399	84.863	79.681	79.739	
2013-04-01T06:00:00	78.900	86.427	77.805	83.470	78.794	86.401	77.774	83.399	
2013-03-01T07:00:00	76.362	79.927	76.298	78.900	76.321	79.890	76.245	78.794	
2013-02-01T07:00:00	76.968	79.654	75.123	76.362	76.938	79.629	75.093	76.321	
2013-01-01T07:00:00	71.634	77.035	71.634	76.968	71.598	76.976	71.598	76.938	
2012-12-01T07:00:00	67.655	71.645	67.284	71.634	67.606	71.604	67.254	71.598	
2012-11-01T06:00:00	65.661	68.102	64.284	67.655	65.624	68.073	64.260	67.606	
2012-10-01T06:00:00	64.675	66.203	63.677	65.661	64.654	66.175	63.646	65.624	
2012-09-01T06:00:00	63.031	65.719	62.054	64.675	62.885	65.691	62.028	64.654	
2012-08-01T06:00:00	63.211	64.734	62.629	63.031	63.158	64.709	62.586	62.885	
2012-07-01T06:00:00	64.036	64.419	61.022	63.211	63.892	64.387	60.990	63.158	
2012-06-01T06:00:00	59.048	64.236	57.982	64.036	58.999	64.207	57.950	63.892	
2012-05-01T06:00:00	65.342	65.629	58.711	59.048	65.285	65.595	58.682	58.999	
2012-04-01T06:00:00	67.903	68.499	65.105	65.342	67.766	68.424	65.073	65.285	
2012-03-01T07:00:00	67.708	69.166	65.325	67.903	67.643	69.112	65.294	67.766	
2012-02-01T07:00:00	63.055	68.380	62.596	67.708	62.963	68.322	62.568	67.643	
2012-01-01T07:00:00	59.864	63.827	59.652	63.055	59.730	63.801	59.303	62.963	
2011-12-01T07:00:00	60.600	61.150	58.252	59.864	60.542	61.123	58.239	59.730	
2011-11-01T06:00:00	63.074	63.818	57.050	60.600	63.025	63.788	57.021	60.542	
2011-10-01T06:00:00	58.773	64.609	57.363	63.074	58.719	64.565	57.324	63.025	
2011-09-01T06:00:00	65.499	65.798	58.280	58.773	65.440	65.754	58.245	58.719	
2011-08-01T06:00:00	67.619	68.912	61.416	65.499	67.572	68.876	61.373	65.440	
2011-07-01T06:00:00	66.825	68.280	64.164	67.619	66.785	68.252	64.099	67.572	
2011-06-01T06:00:00	67.198	67.302	64.345	66.825	67.130	67.262	64.330	66.785	
2011-05-01T06:00:00	65.696	67.441	62.568	67.198	65.655	67.419	62.528	67.130	
2011-04-01T06:00:00	63.319	66.735	63.237	65.696	63.270	66.704	63.206	65.655	
2011-03-01T07:00:00	61.589	63.533	54.907	63.319	61.490	63.492	54.553	63.270	
2011-02-01T07:00:00	63.381	63.929	60.865	61.589	63.365	63.906	60.832	61.490	
2011-01-01T07:00:00	63.157	64.271	62.480	63.381	63.087	64.245	62.445	63.365	
2010-12-01T07:00:00	62.136	63.586	61.749	63.148	62.108	63.522	61.647	63.104	
2010-11-01T06:00:00	61.348	65.389	61.348	62.136	61.303	65.363	61.303	62.108	
2010-10-01T06:00:00	61.360	62.689	60.456	61.348	61.302	62.643	60.424	61.303	
