日時	NZD/USD(始値, 買い)	NZD/USD(高値, 買い)	NZD/USD(安値, 買い)	NZD/USD(終値, 買い)	NZD/USD(始値, 売り)	NZD/USD(高値, 売り)	NZD/USD(安値, 売り)	NZD/USD(終値, 売り)	
2014-02-01T07:00:00	0.80917	0.82615	0.80526	0.82084	0.80791	0.82579	0.80507	0.82062	
2014-01-01T07:00:00	0.82367	0.83048	0.80636	0.80917	0.82275	0.83033	0.80613	0.80791	
2013-12-01T07:00:00	0.81537	0.83357	0.81182	0.82308	0.81346	0.83337	0.81159	0.82272	
2013-11-01T06:00:00	0.82646	0.84160	0.80852	0.81537	0.82591	0.84139	0.80837	0.81346	
2013-10-01T06:00:00	0.83091	0.85452	0.81941	0.82646	0.83041	0.85434	0.81917	0.82591	
2013-09-01T06:00:00	0.77303	0.84367	0.77393	0.83091	0.77201	0.84348	0.77355	0.83041	
2013-08-01T06:00:00	0.79862	0.81646	0.76978	0.77303	0.79834	0.81623	0.76871	0.77201	
2013-07-01T06:00:00	0.77278	0.81072	0.76890	0.79862	0.77077	0.81057	0.76819	0.79834	
2013-06-01T06:00:00	0.79534	0.81384	0.76844	0.77278	0.79398	0.81361	0.76823	0.77077	
2013-05-01T06:00:00	0.85701	0.85836	0.79393	0.79534	0.85618	0.85820	0.79378	0.79398	
2013-04-01T06:00:00	0.83718	0.86772	0.83525	0.85701	0.83549	0.86755	0.83501	0.85618	
2013-03-01T07:00:00	0.82502	0.83974	0.81637	0.83718	0.82463	0.83957	0.81613	0.83549	
2013-02-01T07:00:00	0.83929	0.85346	0.82250	0.82502	0.83883	0.85330	0.82230	0.82463	
2013-01-01T07:00:00	0.82691	0.84630	0.82145	0.83929	0.82671	0.84594	0.82127	0.83883	
2012-12-01T07:00:00	0.82034	0.84772	0.81572	0.82691	0.81999	0.84756	0.81551	0.82671	
2012-11-01T06:00:00	0.82264	0.83099	0.80540	0.82034	0.82236	0.83080	0.80518	0.81999	
2012-10-01T06:00:00	0.83012	0.83383	0.81024	0.82264	0.82995	0.83363	0.81003	0.82236	
2012-09-01T06:00:00	0.80419	0.83574	0.79159	0.83012	0.80275	0.83553	0.79139	0.82995	
2012-08-01T06:00:00	0.80884	0.82254	0.79703	0.80419	0.80853	0.82232	0.79684	0.80275	
