日時	SEK/JPY(始値, 買い)	SEK/JPY(高値, 買い)	SEK/JPY(安値, 買い)	SEK/JPY(終値, 買い)	SEK/JPY(始値, 売り)	SEK/JPY(高値, 売り)	SEK/JPY(安値, 売り)	SEK/JPY(終値, 売り)	
2014-02-01T07:00:00	15.631	15.717	15.411	15.572	15.539	15.655	15.367	15.530	
2014-01-01T07:00:00	15.940	16.144	15.590	15.631	15.862	16.106	15.537	15.539	
2013-12-01T07:00:00	15.689	16.426	15.592	16.397	15.571	16.375	15.553	16.348	
2013-11-01T06:00:00	15.197	15.716	14.835	15.689	15.150	15.663	14.797	15.571	
2013-10-01T06:00:00	15.304	15.510	15.001	15.197	15.251	15.459	14.963	15.150	
2013-09-01T06:00:00	14.868	15.751	14.845	15.304	14.782	15.713	14.799	15.251	
2013-08-01T06:00:00	15.054	15.272	14.707	14.868	14.998	15.213	14.667	14.782	
2013-07-01T06:00:00	14.876	15.546	14.723	15.054	14.721	15.509	14.598	14.998	
2013-06-01T06:00:00	15.209	15.381	14.367	14.876	15.129	15.343	14.327	14.721	
2013-05-01T06:00:00	15.050	15.676	14.937	15.209	14.999	15.638	14.884	15.129	
2013-04-01T06:00:00	14.490	15.779	14.253	15.050	14.403	15.738	14.211	14.999	
2013-03-01T07:00:00	14.337	15.187	14.325	14.490	14.288	15.150	14.287	14.403	
2013-02-01T07:00:00	14.444	14.942	14.053	14.337	14.392	14.903	14.012	14.288	
2013-01-01T07:00:00	13.331	14.452	13.259	14.444	13.280	14.400	13.215	14.392	
2012-12-01T07:00:00	12.407	13.344	12.295	13.331	12.357	13.297	12.257	13.280	
2012-11-01T06:00:00	12.049	12.503	11.684	12.407	12.006	12.464	11.646	12.357	
2012-10-01T06:00:00	11.895	12.179	11.607	12.049	11.843	12.141	11.564	12.006	
2012-09-01T06:00:00	11.853	12.133	11.578	11.895	11.796	12.094	11.533	11.843	
2012-08-01T06:00:00	11.514	12.020	11.459	11.853	11.463	11.983	11.409	11.796	
2012-07-01T06:00:00	11.550	11.615	11.116	11.514	11.493	11.575	11.121	11.463	
2012-06-01T06:00:00	10.801	11.594	10.629	11.550	10.751	11.557	10.590	11.493	
2012-05-01T06:00:00	11.894	12.004	10.755	10.801	11.846	11.966	10.717	10.751	
2012-04-01T06:00:00	12.540	12.631	11.783	11.894	12.486	12.592	11.744	11.846	
2012-03-01T07:00:00	12.280	12.557	11.871	12.540	12.234	12.510	11.833	12.486	
2012-02-01T07:00:00	11.238	12.488	11.152	12.280	11.193	12.437	11.110	12.234	
2012-01-01T07:00:00	11.217	11.575	10.952	11.238	11.148	11.536	10.911	11.193	
2011-12-01T07:00:00	11.503	11.754	11.124	11.217	11.448	11.626	11.086	11.148	
2011-11-01T06:00:00	12.044	12.166	11.092	11.503	11.998	12.088	11.038	11.448	
2011-10-01T06:00:00	11.249	12.381	11.009	12.044	11.200	12.331	10.968	11.998	
2011-09-01T06:00:00	12.107	12.227	10.932	11.249	12.062	12.158	10.892	11.200	
2011-08-01T06:00:00	12.332	12.654	11.619	12.107	12.130	12.456	11.571	12.062	
2011-07-01T06:00:00	12.833	13.068	11.934	12.332	12.627	12.871	11.735	12.130	
2011-06-01T06:00:00	13.316	13.355	12.426	12.833	13.104	13.157	12.227	12.627	
2011-05-01T06:00:00	13.531	13.669	12.680	13.316	13.330	13.467	12.471	13.104	
2011-04-01T06:00:00	13.251	13.846	13.074	13.531	13.041	13.631	11.879	13.330	
2011-03-01T07:00:00	12.947	13.313	11.918	13.251	12.915	13.114	11.670	13.041	
2011-02-01T07:00:00	12.739	15.138	12.559	12.947	12.710	13.046	10.940	12.915	
2011-01-01T07:00:00	12.197	13.671	11.970	12.739	12.174	12.889	10.882	12.710	
2010-12-01T07:00:00	11.911	13.154	11.879	12.071	11.904	12.422	10.883	12.046	
2010-11-01T06:00:00	12.042	12.545	11.812	11.911	12.031	12.446	11.598	11.904	
2010-10-01T06:00:00	12.399	12.598	11.867	12.042	12.389	12.500	11.768	12.031	
2010-09-01T06:00:00	11.506	12.578	11.467	12.399	11.299	12.469	11.260	12.389	
2010-08-01T06:00:00	12.074	12.315	11.262	11.506	11.869	12.113	11.063	11.299	
2010-07-01T06:00:00	11.471	12.204	11.349	12.074	11.244	12.005	11.148	11.869	
2010-06-01T06:00:00	11.802	12.032	11.088	11.471	11.572	11.904	11.093	11.244	
2010-05-01T06:00:00	12.981	13.178	11.135	11.802	12.957	13.061	10.952	11.572	
2010-04-01T06:00:00	13.155	13.406	12.670	12.981	12.842	13.194	12.559	12.957	
2010-03-01T07:00:00	12.663	13.859	12.298	13.155	12.351	13.780	12.170	12.842	
2010-02-01T07:00:00	12.418	12.954	11.003	12.663	12.110	12.741	10.993	12.351	
2010-01-01T07:00:00	13.032	13.463	12.169	12.418	12.994	13.456	12.050	12.110	
2009-12-01T07:00:00	12.596	13.236	12.220	13.032	12.282	13.029	12.096	12.994	
2009-11-01T06:00:00	12.891	13.440	12.142	12.596	12.582	13.224	12.026	12.282	
2009-10-01T06:00:00	13.104	13.823	12.597	12.891	12.783	13.612	12.479	12.582	
2009-09-01T06:00:00	13.288	13.626	12.688	13.104	12.978	13.414	12.591	12.783	
2009-08-01T06:00:00	13.135	13.859	12.892	13.288	13.099	13.637	12.775	12.978	
2009-07-01T06:00:00	12.717	13.179	11.482	13.135	12.407	13.133	11.440	13.099	
2009-06-01T06:00:00	12.620	13.258	11.839	12.717	12.568	13.097	11.729	12.407	
2009-05-01T06:00:00	12.464	13.134	11.895	12.620	12.144	12.911	11.766	12.568	
2009-04-01T06:00:00	12.203	13.029	11.220	12.464	11.894	12.843	11.098	12.144	
2009-03-01T07:00:00	10.861	12.569	10.407	12.203	10.819	12.396	10.374	11.894	
2009-02-01T07:00:00	10.768	11.606	10.438	10.861	10.720	11.488	10.325	10.819	
2009-01-01T07:00:00	11.618	12.192	10.435	10.768	11.544	12.008	10.384	10.720	
2008-12-01T07:00:00	11.832	12.035	10.828	11.618	11.785	11.880	10.690	11.544	
2008-11-01T06:00:00	11.830	13.248	11.174	11.832	11.795	13.214	11.052	11.785	
2008-10-01T06:00:00	11.830	11.830	11.830	11.830	11.795	11.795	11.795	11.795	
2008-04-01T06:00:00	17.172	17.741	12.487	12.487	17.177	17.746	12.438	12.438	
