日時	SGD/JPY(始値, 買い)	SGD/JPY(高値, 買い)	SGD/JPY(安値, 買い)	SGD/JPY(終値, 買い)	SGD/JPY(始値, 売り)	SGD/JPY(高値, 売り)	SGD/JPY(安値, 売り)	SGD/JPY(終値, 売り)	
2014-02-01T07:00:00	80.012	80.242	79.012	79.924	79.817	80.197	78.977	79.887	
2014-01-01T07:00:00	80.107	81.235	79.612	80.012	79.947	81.198	79.442	79.817	
2013-12-01T07:00:00	81.702	83.433	81.078	83.409	81.438	83.382	81.036	83.347	
2013-11-01T06:00:00	79.237	81.727	78.507	81.702	79.178	81.682	78.467	81.438	
2013-10-01T06:00:00	78.271	79.642	77.392	79.237	78.181	79.611	77.337	79.178	
2013-09-01T06:00:00	77.079	80.006	77.069	78.271	76.931	79.935	76.978	78.181	
2013-08-01T06:00:00	77.071	78.402	75.430	77.079	76.997	78.317	75.359	76.931	
2013-07-01T06:00:00	78.322	79.666	76.707	77.071	78.096	79.552	76.641	76.997	
2013-06-01T06:00:00	79.517	80.384	74.677	78.322	79.418	80.348	74.624	78.096	
2013-05-01T06:00:00	79.130	82.473	78.717	79.517	79.060	82.437	78.678	79.418	
2013-04-01T06:00:00	76.017	80.816	74.873	79.130	75.912	80.777	74.845	79.060	
2013-03-01T07:00:00	74.752	77.509	74.662	76.017	74.697	77.477	74.627	75.912	
2013-02-01T07:00:00	74.169	76.582	73.415	74.752	74.092	76.452	73.347	74.697	
2013-01-01T07:00:00	70.953	74.197	70.680	74.169	70.904	74.128	70.619	74.092	
2012-12-01T07:00:00	67.605	70.980	67.138	70.953	67.549	70.932	67.108	70.904	
2012-11-01T06:00:00	65.430	67.794	64.540	67.605	65.384	67.760	64.507	67.549	
2012-10-01T06:00:00	63.503	65.903	63.252	65.430	63.434	65.863	63.219	65.384	
2012-09-01T06:00:00	62.867	64.791	62.567	63.503	62.784	64.760	62.531	63.434	
2012-08-01T06:00:00	62.811	63.662	62.476	62.867	62.717	63.629	62.439	62.784	
2012-07-01T06:00:00	63.289	63.388	61.814	62.811	62.920	63.348	61.778	62.717	
2012-06-01T06:00:00	60.807	63.289	59.926	63.289	60.747	63.160	59.856	62.920	
2012-05-01T06:00:00	64.557	65.159	60.669	60.807	64.482	65.117	60.622	60.747	
2012-04-01T06:00:00	65.925	66.482	63.888	64.557	65.703	66.446	63.832	64.482	
2012-03-01T07:00:00	64.861	66.600	63.741	65.925	64.787	66.561	63.698	65.703	
2012-02-01T07:00:00	60.660	65.210	60.493	64.861	60.592	65.094	60.452	64.787	
2012-01-01T07:00:00	59.408	61.881	59.158	60.660	59.228	61.837	59.107	60.592	
2011-12-01T07:00:00	60.611	61.222	59.323	59.408	60.520	60.947	59.072	59.228	
2011-11-01T06:00:00	62.352	63.133	58.878	60.611	62.267	62.957	58.756	60.520	
2011-10-01T06:00:00	58.962	63.909	58.051	62.352	58.867	63.703	57.987	62.267	
2011-09-01T06:00:00	63.692	64.357	58.112	58.962	63.612	64.267	57.981	58.867	
2011-08-01T06:00:00	63.952	66.174	62.700	63.692	63.817	66.117	62.585	63.612	
2011-07-01T06:00:00	65.632	67.075	63.912	63.952	65.547	66.847	63.797	63.817	
2011-06-01T06:00:00	66.162	66.373	64.574	65.632	66.062	66.263	64.525	65.547	
2011-05-01T06:00:00	66.332	66.752	64.452	66.162	66.262	66.692	64.372	66.062	
2011-04-01T06:00:00	65.982	67.961	65.803	66.332	65.907	67.912	65.743	66.262	
2011-03-01T07:00:00	64.372	66.072	59.842	65.982	64.277	65.982	59.389	65.907	
2011-02-01T07:00:00	64.182	65.611	63.732	64.372	64.077	65.562	63.468	64.277	
2011-01-01T07:00:00	63.532	65.008	63.247	64.182	63.477	64.957	63.182	64.077	
2010-12-01T07:00:00	63.427	64.466	62.919	63.247	63.362	64.408	62.857	63.182	
2010-11-01T06:00:00	62.192	64.592	62.087	63.427	62.127	64.527	61.927	63.362	
2010-10-01T06:00:00	63.502	63.892	61.889	62.192	63.412	63.843	61.842	62.127	
2010-09-01T06:00:00	62.132	64.452	61.887	63.502	62.077	64.417	61.840	63.412	
2010-08-01T06:00:00	63.562	64.292	61.337	62.132	63.507	64.197	61.277	62.077	
2010-07-01T06:00:00	63.342	64.872	62.266	63.562	63.167	64.817	62.193	63.507	
2010-06-01T06:00:00	65.312	66.512	62.901	63.342	65.097	66.451	62.833	63.167	
2010-05-01T06:00:00	68.592	69.362	62.812	65.312	68.517	69.317	62.667	65.097	
2010-04-01T06:00:00	66.867	69.202	66.344	68.592	66.772	69.127	66.292	68.517	
2010-03-01T07:00:00	63.237	66.967	62.945	66.867	63.172	66.912	62.892	66.772	
2010-02-01T07:00:00	64.207	65.242	62.385	63.237	64.152	65.192	62.302	63.172	
2010-01-01T07:00:00	66.337	67.107	63.427	64.207	66.282	67.033	63.382	64.152	
2009-12-01T07:00:00	62.487	66.347	62.337	66.337	62.362	66.286	62.272	66.282	
2009-11-01T06:00:00	64.247	65.477	61.117	62.487	64.172	65.382	61.022	62.362	
2009-10-01T06:00:00	63.687	66.240	62.707	64.247	63.592	66.182	62.662	64.172	
2009-09-01T06:00:00	64.677	65.217	62.407	63.687	64.562	65.162	62.332	63.592	
2009-08-01T06:00:00	65.797	67.947	64.206	64.677	65.709	67.856	64.142	64.562	
2009-07-01T06:00:00	66.620	67.047	62.597	65.797	66.519	66.982	62.532	65.709	
2009-06-01T06:00:00	66.007	68.017	65.047	66.620	65.932	67.950	64.992	66.519	
2009-05-01T06:00:00	66.637	68.183	64.177	66.007	66.552	67.985	64.122	65.932	
2009-04-01T06:00:00	65.037	67.666	63.687	66.637	64.942	67.602	63.622	66.552	
2009-03-01T07:00:00	63.097	65.656	62.127	65.037	63.002	65.602	61.945	64.942	
2009-02-01T07:00:00	59.547	64.307	58.657	63.097	59.472	64.232	58.542	63.002	
2009-01-01T07:00:00	63.017	64.087	57.847	59.547	63.022	64.092	57.712	59.472	
2008-12-01T07:00:00	63.047	63.387	58.827	63.017	63.052	63.392	58.832	63.022	
2008-11-01T06:00:00	66.357	68.267	60.997	63.047	66.362	68.272	61.002	63.052	
2008-10-01T06:00:00	73.987	74.430	60.077	66.357	73.852	74.362	59.886	66.362	
2008-09-01T06:00:00	74.729	76.897	72.097	73.987	74.634	76.852	71.911	73.852	
