日時	TRY/JPY(始値, 買い)	TRY/JPY(高値, 買い)	TRY/JPY(安値, 買い)	TRY/JPY(終値, 買い)	TRY/JPY(始値, 売り)	TRY/JPY(高値, 売り)	TRY/JPY(安値, 売り)	TRY/JPY(終値, 売り)	
2014-02-01T07:00:00	45.211	45.570	44.143	45.296	45.005	45.482	44.065	45.212	
2014-01-01T07:00:00	43.950	47.777	42.911	45.211	43.585	47.672	42.844	45.005	
2013-12-01T07:00:00	50.813	51.091	48.139	49.028	50.603	50.926	48.054	48.871	
2013-11-01T06:00:00	49.267	51.042	47.945	50.813	49.170	50.977	47.852	50.603	
2013-10-01T06:00:00	48.707	50.248	48.095	49.267	48.585	50.132	48.031	49.170	
2013-09-01T06:00:00	48.307	50.922	47.826	48.707	48.058	50.776	47.639	48.585	
2013-08-01T06:00:00	50.642	51.737	46.927	48.307	50.550	51.444	46.802	48.058	
2013-07-01T06:00:00	51.593	52.749	50.475	50.642	51.114	52.518	50.307	50.550	
2013-06-01T06:00:00	53.599	53.771	49.781	51.593	53.449	53.586	49.702	51.114	
2013-05-01T06:00:00	54.395	56.763	52.987	53.599	54.315	56.592	52.922	53.449	
2013-04-01T06:00:00	52.222	56.175	51.284	54.395	51.942	55.954	51.208	54.315	
2013-03-01T07:00:00	51.493	53.920	51.292	52.222	51.415	53.742	51.195	51.942	
2013-02-01T07:00:00	52.177	53.439	50.266	51.493	52.082	53.352	50.187	51.415	
2013-01-01T07:00:00	48.554	52.196	48.554	52.177	48.452	52.117	48.452	52.082	
2012-12-01T07:00:00	46.185	48.574	45.804	48.554	46.098	48.477	45.675	48.452	
2012-11-01T06:00:00	44.551	46.387	43.844	46.185	44.474	46.323	43.673	46.098	
2012-10-01T06:00:00	43.412	44.707	42.856	44.551	43.286	44.639	42.782	44.474	
2012-09-01T06:00:00	43.360	44.293	42.754	43.412	42.867	44.232	42.459	43.286	
2012-08-01T06:00:00	43.587	44.527	42.904	43.360	43.457	44.325	42.839	42.867	
2012-07-01T06:00:00	44.257	44.691	42.679	43.587	43.893	44.468	42.511	43.457	
2012-06-01T06:00:00	41.972	44.666	41.431	44.257	41.862	44.594	41.352	43.893	
2012-05-01T06:00:00	45.492	45.911	41.929	41.972	45.377	45.781	41.857	41.862	
2012-04-01T06:00:00	46.488	46.847	44.430	45.492	46.377	46.741	44.357	45.377	
2012-03-01T07:00:00	46.497	46.758	44.930	46.488	46.287	46.692	44.792	46.377	
2012-02-01T07:00:00	42.992	46.512	42.727	46.497	42.882	46.446	42.530	46.287	
2012-01-01T07:00:00	40.816	43.496	40.557	42.992	40.535	43.362	40.156	42.882	
2011-12-01T07:00:00	42.551	43.224	40.389	40.816	42.396	42.929	40.187	40.535	
2011-11-01T06:00:00	44.190	45.161	41.013	42.551	44.086	44.654	40.429	42.396	
2011-10-01T06:00:00	41.497	45.681	40.286	44.190	41.403	45.296	40.063	44.086	
2011-09-01T06:00:00	44.757	45.141	40.878	41.497	44.632	44.922	40.394	41.403	
2011-08-01T06:00:00	45.679	47.219	42.287	44.757	45.339	47.152	41.842	44.632	
2011-07-01T06:00:00	49.745	50.489	45.119	45.679	49.542	50.362	45.031	45.339	
2011-06-01T06:00:00	51.232	51.662	49.031	49.745	51.097	51.275	48.710	49.542	
2011-05-01T06:00:00	53.397	54.006	50.239	51.232	53.227	53.659	49.718	51.097	
2011-04-01T06:00:00	53.857	56.909	53.245	53.397	53.717	56.829	53.121	53.227	
2011-03-01T07:00:00	51.287	53.967	48.232	53.857	51.077	53.842	47.288	53.717	
2011-02-01T07:00:00	51.237	53.184	50.717	51.287	51.027	53.065	50.633	51.077	
2011-01-01T07:00:00	52.417	54.237	50.767	51.237	52.312	53.903	50.532	51.027	
2010-12-01T07:00:00	55.687	56.759	52.327	52.717	55.562	56.688	51.667	52.592	
2010-11-01T06:00:00	56.207	58.793	55.265	55.687	56.027	58.364	55.190	55.562	
2010-10-01T06:00:00	57.807	58.707	56.004	56.207	57.647	58.604	54.371	56.027	
2010-09-01T06:00:00	55.247	57.840	54.957	57.807	55.072	57.727	54.668	57.647	
2010-08-01T06:00:00	57.517	58.127	54.453	55.247	57.122	58.052	54.382	55.072	
2010-07-01T06:00:00	55.907	58.491	54.908	57.517	55.752	58.332	54.836	57.122	
2010-06-01T06:00:00	58.327	58.987	55.597	55.907	57.742	58.978	55.221	55.752	
2010-05-01T06:00:00	58.897	61.767	55.437	58.327	58.762	61.682	55.272	57.742	
