日時	US30(始値, 買い)	US30(高値, 買い)	US30(安値, 買い)	US30(終値, 買い)	US30(始値, 売り)	US30(高値, 売り)	US30(安値, 売り)	US30(終値, 売り)	
2014-02-01T07:00:00	15718	15761	15349	15387	15714	15757	15345	15383	
2014-01-01T07:00:00	16564	16564	15615	15718	16560	16560	15611	15714	
2013-12-01T07:00:00	16095	16573	15666	16564	16091	16569	15662	16560	
2013-11-01T06:00:00	15592	16180	15522	16095	15588	16176	15518	16091	
2013-10-01T06:00:00	15157	15741	14721	15592	15153	15737	14717	15588	
2013-09-01T06:00:00	14821	15726	14777	15157	14817	15722	14773	15153	
2013-08-01T06:00:00	15535	15658	14765	14821	15531	15654	14761	14817	
2013-07-01T06:00:00	14907	15639	14820	15535	14903	15635	14816	15531	
2013-06-01T06:00:00	15130	15348	14551	14907	15126	15344	14547	14903	
2013-05-01T06:00:00	14840	15544	14688	15130	14836	15540	14684	15126	
2013-04-01T06:00:00	14581	14890	14434	14840	14577	14886	14430	14836	
2013-03-01T07:00:00	14031	14590	13937	14581	14027	14586	13933	14577	
2013-02-01T07:00:00	13889	14150	13766	14031	13885	14146	13762	14027	
2013-01-01T07:00:00	12932	13979	12932	13889	12928	13975	12928	13885	
2012-12-01T07:00:00	13029	13380	12840	12932	13025	13376	12836	12928	
2012-11-01T06:00:00	13059	13302	12470	13029	13055	13298	12466	13025	
2012-10-01T06:00:00	13451	13669	12993	13059	13437	13665	12989	13055	
2012-09-01T06:00:00	13096	13660	12976	13451	13092	13656	12972	13437	
2012-08-01T06:00:00	13007	13334	12781	13096	13003	13330	12777	13092	
2012-07-01T06:00:00	12890	13131	12491	13007	12884	13127	12487	13003	
2012-06-01T06:00:00	12389	12909	12001	12890	12383	12903	11997	12884	
2012-05-01T06:00:00	13232	13340	12310	12389	13226	13336	12306	12383	
2012-04-01T06:00:00	13220	13297	12713	13232	13216	13293	12709	13226	
2012-03-01T07:00:00	12919	13316	12738	13220	12913	13310	12734	13216	
2012-02-01T07:00:00	12625	13058	12608	12919	12619	13054	12602	12913	
2012-01-01T07:00:00	12225	12842	12225	12625	12219	12838	12219	12619	
2011-12-01T07:00:00	12038	12330	11734	12225	12032	12326	11730	12219	
2011-11-01T06:00:00	11938	12247	11157	12038	11932	12241	11151	12032	
2011-10-01T06:00:00	10929	12291	10406	11938	10925	12287	10402	11932	
2011-09-01T06:00:00	11631	11718	10553	10929	11625	11714	10547	10925	
2011-08-01T06:00:00	12160	12332	10450	11631	12156	12328	10444	11625	
2011-07-01T06:00:00	12406	12805	12083	12160	12400	12799	12079	12156	
2011-06-01T06:00:00	12572	12603	11842	12406	12566	12597	11836	12400	
2011-05-01T06:00:00	12810	12923	12251	12572	12806	12919	12245	12566	
2011-04-01T06:00:00	12330	12835	12093	12810	12324	12831	12089	12806	
2011-03-01T07:00:00	12223	12384	11539	12330	12217	12380	11532	12324	
2011-02-01T07:00:00	11889	12401	11883	12223	11883	12395	11877	12217	
2011-01-01T07:00:00	11574	12024	11574	11889	11570	12020	11570	11883	
2010-12-01T07:00:00	11001	11626	10986	11574	10995	11622	10980	11570	
2010-11-01T06:00:00	11125	11474	10931	11001	11121	11468	10927	10995	
2010-10-01T06:00:00	10784	11251	10714	11125	10778	11247	10710	11121	
2010-09-01T06:00:00	10054	10950	10034	10784	10048	10946	10028	10778	
2010-08-01T06:00:00	10472	10724	9922	10054	10468	10720	9916	10048	
2010-07-01T06:00:00	9771	10587	9569	10472	9765	10581	9563	10468	
2010-06-01T06:00:00	10160	10597	9667	9771	10154	10593	9661	9765	
2010-05-01T06:00:00	11006	11181	9777	10160	11002	11177	9773	10154	
2010-04-01T06:00:00	10880	11258	10847	11006	10874	11254	10843	11002	
2010-03-01T07:00:00	10332	10958	10332	10880	10328	10954	10328	10874	
2010-02-01T07:00:00	10202	10454	9905	10332	10198	10448	9901	10328	
2010-01-01T07:00:00	10485	10739	10056	10202	10481	10733	10050	10198	
2009-12-01T07:00:00	10342	10586	10236	10485	10336	10582	10232	10481	
2009-11-01T06:00:00	9812	10499	9679	10342	9808	10495	9673	10336	
2009-10-01T06:00:00	9717	10129	9401	9812	9711	10123	9395	9808	
2009-09-01T06:00:00	9498	9921	9254	9717	9492	9917	9250	9711	
2009-08-01T06:00:00	9166	9650	9120	9498	9162	9644	9116	9492	
2009-07-01T06:00:00	8461	9250	8074	9166	8455	9246	8068	9162	
2009-06-01T06:00:00	8496	8916	8257	8461	8490	8881	8251	8455	
2009-05-01T06:00:00	8176	8615	8100	8496	8170	8609	8096	8490	
2009-04-01T06:00:00	7522	8330	7483	8176	7516	8324	7479	8170	
2009-03-01T07:00:00	7056	7935	6470	7522	7056	7929	6470	7516	
2009-02-01T07:00:00	8000	8315	7034	7063	8000	8315	7034	7063	
2009-01-01T07:00:00	8772	9088	7910	8001	8772	9088	7910	8001	
2008-12-01T07:00:00	8827	9026	8119	8776	8827	9026	8119	8776	
2008-11-01T06:00:00	9326	9654	7450	8829	9326	9654	7450	8829	
2008-10-01T06:00:00	10847	10882	7885	9325	10847	10882	7885	9325	
2008-09-01T06:00:00	11546	11790	10366	10851	11546	11790	10366	10851	
2008-08-01T06:00:00	11378	11867	11222	11544	11378	11867	11222	11544	
2008-07-01T06:00:00	11350	11698	10828	11378	11350	11698	10828	11378	
2008-06-01T06:00:00	12638	12638	11288	11350	12638	12638	11288	11350	
2008-05-01T06:00:00	12820	13137	12443	12638	12820	13137	12443	12638	
2008-04-01T06:00:00	12263	13010	12263	12820	12263	13010	12263	12820	
2008-03-01T07:00:00	12266	12622	11732	12263	12266	12622	11732	12263	
2008-02-01T07:00:00	12650	12768	12069	12266	12650	12768	12069	12266	
2008-01-01T07:00:00	13265	13280	11635	12650	13265	13280	11635	12650	
2007-12-01T07:00:00	13372	13780	13092	13265	13372	13780	13092	13265	
2007-11-01T06:00:00	13930	13930	12724	13372	13930	13930	12724	13372	
2007-10-01T06:00:00	13896	14198	13407	13930	13896	14198	13407	13930	
2007-09-01T06:00:00	13358	13925	13022	13896	13358	13925	13022	13896	
2007-08-01T06:00:00	13212	13696	12518	13358	13212	13696	12518	13358	
2007-07-01T06:00:00	13409	14022	13200	13212	13409	14022	13200	13212	
2007-06-01T06:00:00	13628	13692	13252	13409	13628	13692	13252	13409	
2007-05-01T06:00:00	13063	13673	13041	13628	13063	13673	13041	13628	
2007-04-01T06:00:00	12354	13162	12324	13063	12354	13162	12324	13063	
2007-03-01T07:00:00	12269	12511	11940	12354	12269	12511	11940	12354	
2007-02-01T07:00:00	12622	12796	12086	12269	12622	12796	12086	12269	
2007-01-01T07:00:00	12463	12657	12337	12622	12463	12657	12337	12622	
2006-12-01T07:00:00	12222	12530	12090	12463	12222	12530	12090	12463	
2006-11-01T07:00:00	12081	12361	11965	12222	12081	12361	11965	12222	
2006-10-01T06:00:00	11679	12167	11653	12081	11679	12167	11653	12081	
2006-09-01T06:00:00	11381	11742	11324	11679	11381	11742	11324	11679	
2006-08-01T06:00:00	11186	11407	11043	11381	11186	11407	11043	11381	
2006-07-01T06:00:00	11150	11257	10683	11186	11150	11257	10683	11186	
2006-06-01T06:00:00	11168	11286	10699	11150	11168	11286	10699	11150	
2006-05-01T06:00:00	11367	11670	11030	11168	11367	11670	11030	11168	
2006-04-01T07:00:00	11109	11418	11039	11367	11109	11418	11039	11367	
2006-03-01T07:00:00	10993	11335	10923	11109	10993	11335	10923	11109	
2006-02-01T07:00:00	10865	11159	10738	10993	10865	11159	10738	10993	
2006-01-01T07:00:00	10718	11048	10661	10865	10718	11048	10661	10865	
2005-12-01T07:00:00	10806	10940	10709	10718	10806	10940	10709	10718	
2005-11-01T07:00:00	10440	10960	10389	10806	10440	10960	10389	10806	
2005-10-01T06:00:00	10569	10609	10156	10440	10569	10609	10156	10440	
2005-09-01T06:00:00	10482	10702	10351	10569	10482	10702	10351	10569	
2005-08-01T06:00:00	10641	10719	10349	10482	10641	10719	10349	10482	
2005-07-01T06:00:00	10275	10718	10175	10641	10275	10718	10175	10641	
2005-06-01T06:00:00	10467	10656	10253	10275	10467	10656	10253	10275	
2005-05-01T06:00:00	10193	10561	10076	10467	10193	10561	10076	10467	
2005-04-01T07:00:00	10504	10569	10000	10193	10504	10569	10000	10193	
2005-03-01T07:00:00	10766	10984	10396	10504	10766	10984	10396	10504	
2005-02-01T07:00:00	10490	10853	10490	10766	10490	10853	10490	10766	
2005-01-01T07:00:00	10783	10867	10369	10490	10783	10867	10369	10490	
2004-12-01T07:00:00	10428	10868	10419	10783	10428	10868	10419	10783	
2004-11-01T07:00:00	10027	10603	10010	10428	10027	10603	10010	10428	
2004-10-01T06:00:00	10080	10270	9708	10027	10080	10270	9708	10027	
2004-09-01T06:00:00	10174	10363	9978	10080	10174	10363	9978	10080	
2004-08-01T06:00:00	10140	10211	9784	10174	10140	10211	9784	10174	
2004-07-01T06:00:00	10435	10448	9914	10140	10435	10448	9914	10140	
2004-06-01T06:00:00	10188	10488	10135	10435	10188	10488	10135	10435	
2004-05-01T06:00:00	10226	10386	9852	10188	10226	10386	9852	10188	
2004-04-01T07:00:00	10358	10571	10219	10226	10358	10571	10219	10226	
2004-03-01T07:00:00	10584	10696	10007	10358	10584	10696	10007	10358	
2004-02-01T07:00:00	10488	10754	10435	10584	10488	10754	10435	10584	
2004-01-01T07:00:00	10454	10705	10367	10488	10454	10705	10367	10488	
2003-12-01T07:00:00	9782	10462	9782	10454	9782	10462	9782	10454	
2003-11-01T07:00:00	9801	9904	9586	9782	9801	9904	9586	9782	
2003-10-01T06:00:00	9275	9850	9275	9801	9275	9850	9275	9801	
2003-09-01T06:00:00	9416	9686	9230	9275	9416	9686	9230	9275	
2003-08-01T06:00:00	9234	9500	8997	9416	9234	9500	8997	9416	
2003-07-01T06:00:00	8985	9361	8871	9234	8985	9361	8871	9234	
2003-06-01T06:00:00	8850	9353	8850	8985	8850	9353	8850	8985	
2003-05-01T06:00:00	8480	8868	8340	8850	8480	8868	8340	8850	
2003-04-01T07:00:00	7992	8560	7980	8480	7992	8560	7980	8480	
2003-03-01T07:00:00	7891	8522	7417	7992	7891	8522	7417	7992	
2003-02-01T07:00:00	8054	8153	7629	7891	8054	8153	7629	7891	
2003-01-01T07:00:00	8342	8869	7917	8054	8342	8869	7917	8054	
2002-12-01T07:00:00	8896	9043	8243	8342	8896	9043	8243	8342	
2002-11-01T07:00:00	8397	8950	8299	8896	8397	8950	8299	8896	
2002-10-01T06:00:00	7592	8559	7197	8397	7592	8559	7197	8397	
2002-09-01T06:00:00	8664	8727	7461	7592	8664	8727	7461	7592	
2002-08-01T06:00:00	8737	9077	8031	8664	8737	9077	8031	8664	
2002-07-01T06:00:00	9243	9410	7533	8737	9243	9410	7533	8737	
2002-06-01T06:00:00	9925	9986	8927	9243	9925	9986	8927	9243	
2002-05-01T06:00:00	9946	10353	9802	9925	9946	10353	9802	9925	
2002-04-01T07:00:00	10404	10404	9812	9946	10404	10404	9812	9946	
2002-03-01T07:00:00	10106	10673	10106	10404	10106	10673	10106	10404	
2002-02-01T07:00:00	9920	10255	9580	10106	9920	10255	9580	10106	
2002-01-01T07:00:00	10022	10300	9529	9920	10022	10300	9529	9920	
2001-12-01T07:00:00	9852	10184	9704	10022	9852	10184	9704	10022	
2001-11-01T07:00:00	9075	9993	9014	9852	9075	9993	9014	9852	
2001-10-01T06:00:00	8848	9598	8732	9075	8848	9598	8732	9075	
2001-09-01T06:00:00	9950	10182	8062	8848	9950	10182	8062	8848	
2001-08-01T06:00:00	10523	10610	9869	9950	10523	10610	9869	9950	
2001-07-01T06:00:00	10502	10679	10121	10523	10502	10679	10121	10523	
2001-06-01T06:00:00	10912	11197	10395	10502	10912	11197	10395	10502	
2001-05-01T06:00:00	10735	11350	10673	10912	10735	11350	10673	10912	
