日時	USDOLLAR(始値, 買い)	USDOLLAR(高値, 買い)	USDOLLAR(安値, 買い)	USDOLLAR(終値, 買い)	USDOLLAR(始値, 売り)	USDOLLAR(高値, 売り)	USDOLLAR(安値, 売り)	USDOLLAR(終値, 売り)	
2014-02-01T07:00:00	10716	10726	10669	10679	10708	10724	10667	10677	
2014-01-01T07:00:00	10656	10758	10621	10716	10653	10756	10619	10708	
2013-12-01T07:00:00	10627	10729	10567	10656	10621	10727	10565	10653	
2013-11-01T06:00:00	10514	10663	10495	10627	10511	10661	10492	10621	
2013-10-01T06:00:00	10530	10554	10357	10514	10528	10552	10354	10511	
2013-09-01T06:00:00	10799	10811	10473	10530	10791	10809	10471	10528	
2013-08-01T06:00:00	10805	10901	10648	10799	10802	10897	10646	10791	
2013-07-01T06:00:00	10849	11011	10696	10805	10844	11009	10693	10802	
2013-06-01T06:00:00	10773	10865	10472	10849	10768	10863	10469	10844	
2013-05-01T06:00:00	10429	10879	10402	10773	10426	10877	10399	10768	
2013-04-01T06:00:00	10466	10588	10394	10429	10460	10586	10391	10426	
2013-03-01T07:00:00	10438	10578	10416	10466	10434	10576	10413	10460	
2013-02-01T07:00:00	10157	10449	10142	10438	10153	10444	10139	10434	
2013-01-01T07:00:00	10039	10200	10003	10157	10036	10198	10000	10153	
2012-12-01T07:00:00	9985	10067	9920	10039	9983	10065	9917	10036	
2012-11-01T06:00:00	9910	10073	9903	9985	9907	10071	9901	9983	
2012-10-01T06:00:00	9863	9979	9834	9910	9857	9977	9832	9907	
2012-09-01T06:00:00	9995	10048	9743	9863	9985	10046	9740	9857	
2012-08-01T06:00:00	10020	10098	9940	9995	10017	10096	9938	9985	
2012-07-01T06:00:00	10070	10226	10003	10020	10063	10223	10000	10017	
2012-06-01T06:00:00	10248	10325	10027	10070	10242	10323	10025	10063	
2012-05-01T06:00:00	9828	10272	9828	10248	9826	10270	9825	10242	
2012-04-01T06:00:00	9957	10049	9818	9828	9954	10047	9816	9826	
2012-03-01T07:00:00	9831	10099	9798	9957	9829	10097	9795	9954	
2012-02-01T07:00:00	9769	9898	9675	9831	9765	9896	9672	9829	
2012-01-01T07:00:00	9953	10059	9726	9769	9949	10054	9723	9765	
2011-12-01T07:00:00	9840	10091	9789	9953	9835	10089	9786	9949	
2011-11-01T06:00:00	9658	10076	9653	9840	9656	10074	9650	9835	
2011-10-01T06:00:00	9996	10137	9446	9658	9994	10134	9443	9656	
2011-09-01T06:00:00	9443	10013	9440	9996	9438	10011	9433	9994	
2011-08-01T06:00:00	9355	9684	9325	9443	9351	9681	9322	9438	
2011-07-01T06:00:00	9575	9759	9334	9355	9571	9757	9331	9351	
2011-06-01T06:00:00	9573	9753	9454	9575	9569	9750	9452	9571	
2011-05-01T06:00:00	9371	9766	9338	9573	9369	9764	9336	9569	
2011-04-01T06:00:00	9816	9889	9355	9371	9814	9887	9353	9369	
2011-03-01T07:00:00	9838	9974	9726	9816	9836	9972	9724	9814	
2011-02-01T07:00:00	9960	10065	9832	9838	9958	10063	9830	9836	
2011-01-01T07:00:00	10005	10255	9941	9960	10003	10253	9939	9958	
