日時	USD/CAD(始値, 買い)	USD/CAD(高値, 買い)	USD/CAD(安値, 買い)	USD/CAD(終値, 買い)	USD/CAD(始値, 売り)	USD/CAD(高値, 売り)	USD/CAD(安値, 売り)	USD/CAD(終値, 売り)	
2014-02-01T07:00:00	1.11348	1.11348	1.10420	1.10832	1.11291	1.11326	1.10405	1.10814	
2014-01-01T07:00:00	1.10868	1.12252	1.10326	1.11348	1.10821	1.12237	1.10309	1.11291	
2013-12-01T07:00:00	1.06196	1.07384	1.05617	1.06364	1.06091	1.07366	1.05602	1.06347	
2013-11-01T06:00:00	1.04314	1.06294	1.03990	1.06196	1.04286	1.06274	1.03973	1.06091	
2013-10-01T06:00:00	1.03081	1.04975	1.02720	1.04314	1.03031	1.04979	1.02704	1.04286	
2013-09-01T06:00:00	1.05432	1.05607	1.01832	1.03081	1.05318	1.05590	1.01816	1.03031	
2013-08-01T06:00:00	1.02779	1.05701	1.02664	1.05432	1.02757	1.05675	1.02642	1.05318	
2013-07-01T06:00:00	1.05348	1.06102	1.02470	1.02779	1.05234	1.06085	1.02447	1.02757	
2013-06-01T06:00:00	1.03683	1.05572	1.01381	1.05348	1.03646	1.05554	1.01364	1.05234	
2013-05-01T06:00:00	1.00741	1.04210	1.00146	1.03683	1.00707	1.04202	1.00129	1.03646	
2013-04-01T06:00:00	1.01845	1.02949	1.00542	1.00741	1.01728	1.02932	1.00527	1.00707	
2013-03-01T07:00:00	1.03076	1.03428	1.01469	1.01845	1.03050	1.03413	1.01441	1.01728	
2013-02-01T07:00:00	0.99750	1.03143	0.99339	1.03076	0.99727	1.03126	0.99321	1.03050	
2013-01-01T07:00:00	0.99476	1.01009	0.98166	0.99750	0.99471	1.00995	0.98147	0.99727	
2012-12-01T07:00:00	0.99444	0.99739	0.98260	0.99476	0.99410	0.99702	0.98242	0.99471	
2012-11-01T06:00:00	0.99991	1.00579	0.98756	0.99444	0.99960	1.00562	0.98738	0.99410	
2012-10-01T06:00:00	0.98347	1.00204	0.97361	0.99991	0.98323	1.00184	0.97344	0.99960	
2012-09-01T06:00:00	0.98712	0.99195	0.96340	0.98347	0.98517	0.99177	0.96326	0.98323	
2012-08-01T06:00:00	1.00349	1.00858	0.98434	0.98712	1.00302	1.00838	0.98416	0.98517	
2012-07-01T06:00:00	1.01711	1.02507	1.00037	1.00349	1.01629	1.02493	1.00024	1.00302	
2012-06-01T06:00:00	1.03299	1.04478	1.01602	1.01711	1.03256	1.04457	1.01586	1.01629	
2012-05-01T06:00:00	0.98748	1.03671	0.98296	1.03299	0.98705	1.03650	0.98275	1.03256	
