日時	USD/CHF(始値, 買い)	USD/CHF(高値, 買い)	USD/CHF(安値, 買い)	USD/CHF(終値, 買い)	USD/CHF(始値, 売り)	USD/CHF(高値, 売り)	USD/CHF(安値, 売り)	USD/CHF(終値, 売り)	
2014-02-01T07:00:00	0.90640	0.90826	0.90045	0.90407	0.90581	0.90809	0.89992	0.90389	
2014-01-01T07:00:00	0.89466	0.90810	0.89329	0.90640	0.89392	0.90790	0.89311	0.90581	
2013-12-01T07:00:00	0.90662	0.91113	0.88009	0.89062	0.90560	0.91096	0.87986	0.89039	
2013-11-01T06:00:00	0.90701	0.92508	0.90294	0.90662	0.90673	0.92494	0.90276	0.90560	
2013-10-01T06:00:00	0.90494	0.91791	0.88913	0.90701	0.90452	0.91775	0.88896	0.90673	
2013-09-01T06:00:00	0.93054	0.94566	0.90223	0.90494	0.92877	0.94548	0.90204	0.90452	
2013-08-01T06:00:00	0.92653	0.93974	0.91480	0.93054	0.92601	0.93958	0.91464	0.92877	
2013-07-01T06:00:00	0.94657	0.97522	0.92298	0.92653	0.94467	0.97507	0.92274	0.92601	
2013-06-01T06:00:00	0.95622	0.96255	0.91318	0.94657	0.95521	0.96238	0.91296	0.94467	
2013-05-01T06:00:00	0.92955	0.98392	0.92482	0.95622	0.92918	0.98380	0.92463	0.95521	
2013-04-01T06:00:00	0.95095	0.95280	0.92075	0.92955	0.94954	0.95259	0.92056	0.92918	
2013-03-01T07:00:00	0.93656	0.95680	0.93525	0.95095	0.93651	0.95662	0.93502	0.94954	
2013-02-01T07:00:00	0.91011	0.93747	0.90233	0.93656	0.91014	0.93730	0.90213	0.93651	
2013-01-01T07:00:00	0.91569	0.93901	0.90768	0.91011	0.91550	0.93878	0.90750	0.91014	
2012-12-01T07:00:00	0.92829	0.93839	0.90845	0.91569	0.92796	0.93824	0.90828	0.91550	
2012-11-01T06:00:00	0.93173	0.95138	0.92467	0.92829	0.93141	0.95118	0.92448	0.92796	
2012-10-01T06:00:00	0.94009	0.94396	0.92157	0.93173	0.93976	0.94374	0.92135	0.93141	
2012-09-01T06:00:00	0.95520	0.96090	0.92399	0.94009	0.95482	0.96072	0.92377	0.93976	
2012-08-01T06:00:00	0.97663	0.98995	0.95034	0.95520	0.97619	0.98977	0.95016	0.95482	
2012-07-01T06:00:00	0.94961	0.99731	0.94764	0.97663	0.94808	0.99711	0.94711	0.97619	
2012-06-01T06:00:00	0.97161	0.97730	0.94243	0.94961	0.97094	0.97710	0.94200	0.94808	
2012-05-01T06:00:00	0.90764	0.97368	0.90439	0.97161	0.90730	0.97353	0.90418	0.97094	
2012-04-01T06:00:00	0.90304	0.92524	0.90031	0.90764	0.90159	0.92510	0.90007	0.90730	
2012-03-01T07:00:00	0.90461	0.93363	0.90102	0.90304	0.90441	0.93340	0.90080	0.90159	
2012-02-01T07:00:00	0.92037	0.93014	0.89322	0.90461	0.91984	0.92997	0.89304	0.90441	
2012-01-01T07:00:00	0.93915	0.95966	0.91163	0.92037	0.93855	0.95942	0.91101	0.91984	
2011-12-01T07:00:00	0.91394	0.95495	0.90719	0.93915	0.91251	0.95468	0.90703	0.93855	
2011-11-01T06:00:00	0.87717	0.93316	0.87632	0.91394	0.87676	0.93296	0.87606	0.91251	
2011-10-01T06:00:00	0.90658	0.93166	0.85694	0.87717	0.90625	0.93143	0.85666	0.87676	
2011-09-01T06:00:00	0.80607	0.91851	0.77136	0.90658	0.80560	0.91819	0.77099	0.90625	
2011-08-01T06:00:00	0.78740	0.82430	0.70710	0.80607	0.78702	0.82398	0.70660	0.80560	
2011-07-01T06:00:00	0.84067	0.85271	0.78547	0.78740	0.84049	0.85253	0.78523	0.78702	
2011-06-01T06:00:00	0.85419	0.85524	0.82769	0.84067	0.85391	0.85504	0.82746	0.84049	
2011-05-01T06:00:00	0.86533	0.89472	0.84681	0.85419	0.86503	0.89457	0.84649	0.85391	
2011-04-01T06:00:00	0.91915	0.93416	0.86273	0.86533	0.91879	0.93395	0.86251	0.86503	
2011-03-01T07:00:00	0.92917	0.93706	0.89341	0.91915	0.92829	0.93684	0.89178	0.91879	
2011-02-01T07:00:00	0.94408	0.97762	0.92331	0.92917	0.94385	0.97742	0.92267	0.92829	
2011-01-01T07:00:00	0.93448	0.97851	0.93223	0.94408	0.93415	0.97836	0.93179	0.94385	
2010-12-01T07:00:00	1.00366	1.00676	0.93019	0.93444	1.00331	1.00656	0.92994	0.93419	
2010-11-01T06:00:00	0.98441	1.00558	0.95487	1.00366	0.98397	1.00536	0.95469	1.00331	
2010-10-01T06:00:00	0.98272	0.99303	0.94642	0.98441	0.98233	0.99288	0.94621	0.98397	
2010-09-01T06:00:00	1.01528	1.02791	0.97093	0.98272	1.01491	1.02774	0.97070	0.98233	
2010-08-01T06:00:00	1.04153	1.06290	1.01367	1.01528	1.04120	1.06254	1.01346	1.01491	
2010-07-01T06:00:00	1.07795	1.07902	1.03631	1.04153	1.07717	1.07886	1.03609	1.04120	
2010-06-01T06:00:00	1.15544	1.17299	1.07529	1.07795	1.15465	1.17304	1.07511	1.07717	
2010-05-01T06:00:00	1.07620	1.16973	1.07357	1.15544	1.07596	1.16952	1.07278	1.15465	
2010-04-01T06:00:00	1.05428	1.09255	1.04358	1.07620	1.05366	1.09233	1.04337	1.07596	
2010-03-01T07:00:00	1.07437	1.08902	1.04903	1.05428	1.07412	1.08880	1.04876	1.05366	
2010-02-01T07:00:00	1.06084	1.08997	1.04990	1.07437	1.06059	1.08974	1.04965	1.07412	
2010-01-01T07:00:00	1.03602	1.06443	1.01319	1.06084	1.03578	1.06423	1.01295	1.06059	
2009-12-01T07:00:00	1.00558	1.05092	0.99623	1.03602	1.00504	1.05070	0.99593	1.03578	
2009-11-01T06:00:00	1.02611	1.03397	0.99125	1.00558	1.02595	1.03376	0.99089	1.00504	
2009-10-01T06:00:00	1.03655	1.04540	1.00345	1.02611	1.03599	1.04520	1.00319	1.02595	
2009-09-01T06:00:00	1.05927	1.07075	1.01893	1.03655	1.05872	1.07058	1.01782	1.03599	
2009-08-01T06:00:00	1.06894	1.08850	1.05297	1.05927	1.06853	1.08833	1.05276	1.05872	
2009-07-01T06:00:00	1.08665	1.09570	1.06237	1.06894	1.08600	1.09550	1.06219	1.06853	
2009-06-01T06:00:00	1.06767	1.10251	1.05923	1.08665	1.06729	1.10217	1.05898	1.08600	
2009-05-01T06:00:00	1.14076	1.14229	1.06581	1.06767	1.14029	1.14216	1.06550	1.06729	
