日時	USD/HKD(始値, 買い)	USD/HKD(高値, 買い)	USD/HKD(安値, 買い)	USD/HKD(終値, 買い)	USD/HKD(始値, 売り)	USD/HKD(高値, 売り)	USD/HKD(安値, 売り)	USD/HKD(終値, 売り)	
2014-02-01T07:00:00	7.76418	7.76769	7.76273	7.76291	7.76231	7.76724	7.76231	7.76257	
2014-01-01T07:00:00	7.76360	7.76807	7.76151	7.76418	7.76205	7.76755	7.76108	7.76231	
2013-12-01T07:00:00	7.75320	7.75590	7.75211	7.75417	7.75220	7.75545	7.75153	7.75364	
2013-11-01T06:00:00	7.75369	7.75492	7.75165	7.75320	7.75280	7.75427	7.75072	7.75220	
2013-10-01T06:00:00	7.75618	7.75647	7.75230	7.75369	7.75571	7.75575	7.75187	7.75280	
2013-09-01T06:00:00	7.75587	7.75687	7.75279	7.75618	7.75412	7.75651	7.75228	7.75571	
2013-08-01T06:00:00	7.75632	7.75769	7.75362	7.75587	7.75527	7.75688	7.75314	7.75412	
2013-07-01T06:00:00	7.75721	7.76007	7.75244	7.75632	7.75588	7.75923	7.75200	7.75527	
2013-06-01T06:00:00	7.76321	7.76626	7.75374	7.75721	7.76223	7.76576	7.75327	7.75588	
2013-05-01T06:00:00	7.76034	7.76478	7.75853	7.76321	7.75989	7.76423	7.75793	7.76223	
2013-04-01T06:00:00	7.76412	7.76657	7.76003	7.76034	7.76227	7.76626	7.75982	7.75989	
2013-03-01T07:00:00	7.75551	7.76550	7.75428	7.76412	7.75482	7.76506	7.75385	7.76227	
2013-02-01T07:00:00	7.75541	7.75981	7.75335	7.75551	7.75472	7.75946	7.75289	7.75482	
2013-01-01T07:00:00	7.75105	7.76026	7.75047	7.75541	7.75047	7.75989	7.74987	7.75472	
2012-12-01T07:00:00	7.75045	7.75252	7.75002	7.75105	7.74984	7.75206	7.74933	7.75047	
2012-11-01T06:00:00	7.75032	7.75297	7.75019	7.75045	7.74972	7.75237	7.74967	7.74984	
2012-10-01T06:00:00	7.75475	7.75616	7.75017	7.75032	7.75398	7.75574	7.74967	7.74972	
2012-09-01T06:00:00	7.75642	7.75759	7.75118	7.75475	7.75523	7.75717	7.75055	7.75398	
2012-08-01T06:00:00	7.75487	7.75907	7.75365	7.75642	7.75422	7.75840	7.75317	7.75523	
2012-07-01T06:00:00	7.75813	7.75918	7.75287	7.75487	7.75611	7.75877	7.75220	7.75422	
2012-06-01T06:00:00	7.76263	7.76367	7.75372	7.75813	7.76164	7.76301	7.75335	7.75611	
2012-05-01T06:00:00	7.75873	7.77153	7.75744	7.76263	7.75792	7.77103	7.75692	7.76164	
2012-04-01T06:00:00	7.76671	7.76727	7.75616	7.75873	7.76526	7.76632	7.75567	7.75792	
2012-03-01T07:00:00	7.75667	7.76947	7.75507	7.76671	7.75597	7.76893	7.75452	7.76526	
2012-02-01T07:00:00	7.75540	7.75752	7.75311	7.75667	7.75432	7.75677	7.75242	7.75597	
2012-01-01T07:00:00	7.76970	7.77093	7.75432	7.75540	7.76531	7.77036	7.75284	7.75432	
2011-12-01T07:00:00	7.76820	7.78697	7.76619	7.76970	7.76693	7.78625	7.76502	7.76531	
2011-11-01T06:00:00	7.76860	7.79847	7.76607	7.76820	7.76758	7.79782	7.76452	7.76693	
2011-10-01T06:00:00	7.78796	7.79217	7.76282	7.76860	7.78702	7.79040	7.76218	7.76758	
2011-09-01T06:00:00	7.78630	7.80787	7.78207	7.78796	7.78552	7.80742	7.78152	7.78702	
2011-08-01T06:00:00	7.79436	7.81166	7.78526	7.78630	7.79239	7.81113	7.78478	7.78552	
2011-07-01T06:00:00	7.78327	7.80053	7.78008	7.79436	7.78041	7.79891	7.77821	7.79239	
2011-06-01T06:00:00	7.77755	7.80518	7.77617	7.78327	7.77571	7.80341	7.77442	7.78041	
2011-05-01T06:00:00	7.76706	7.78717	7.76408	7.77755	7.76526	7.78552	7.76221	7.77571	
2011-04-01T06:00:00	7.77970	7.78329	7.76616	7.76706	7.77781	7.78161	7.76432	7.76526	
2011-03-01T07:00:00	7.78928	7.80518	7.77587	7.77970	7.78671	7.80261	7.77422	7.77781	
