日時	USD/JPY(始値, 買い)	USD/JPY(高値, 買い)	USD/JPY(安値, 買い)	USD/JPY(終値, 買い)	USD/JPY(始値, 売り)	USD/JPY(高値, 売り)	USD/JPY(安値, 売り)	USD/JPY(終値, 売り)	
2014-02-01T07:00:00	102.082	102.414	100.757	101.425	102.038	102.409	100.752	101.420	
2014-01-01T07:00:00	102.332	103.443	101.774	102.082	102.227	103.437	101.759	102.038	
2013-12-01T07:00:00	102.482	105.416	101.627	105.258	102.377	105.411	101.624	105.254	
2013-11-01T06:00:00	98.366	102.615	97.615	102.482	98.354	102.609	97.612	102.377	
2013-10-01T06:00:00	98.231	99.009	96.578	98.366	98.204	99.003	96.564	98.354	
2013-09-01T06:00:00	98.167	100.613	97.499	98.231	98.102	100.608	97.496	98.204	
2013-08-01T06:00:00	97.908	99.982	95.810	98.167	97.895	99.959	95.805	98.102	
2013-07-01T06:00:00	99.290	101.535	97.585	97.908	99.189	101.530	97.581	97.895	
2013-06-01T06:00:00	100.458	100.726	93.788	99.290	100.453	100.721	93.784	99.189	
2013-05-01T06:00:00	97.423	103.738	97.027	100.458	97.406	103.734	97.020	100.453	
2013-04-01T06:00:00	94.312	99.948	92.569	97.423	94.249	99.947	92.563	97.406	
2013-03-01T07:00:00	92.565	96.714	92.447	94.312	92.538	96.709	92.440	94.249	
2013-02-01T07:00:00	91.704	94.800	90.862	92.565	91.710	94.759	90.849	92.538	
2013-01-01T07:00:00	86.643	91.788	86.643	91.704	86.636	91.775	86.636	91.710	
2012-12-01T07:00:00	82.470	86.676	81.722	86.643	82.460	86.668	81.718	86.636	
2012-11-01T06:00:00	79.788	82.838	79.079	82.470	79.799	82.834	79.074	82.460	
2012-10-01T06:00:00	77.918	80.381	77.794	79.788	77.905	80.376	77.789	79.799	
2012-09-01T06:00:00	78.410	79.221	77.130	77.918	78.346	79.215	77.129	77.905	
2012-08-01T06:00:00	78.134	79.661	77.916	78.410	78.121	79.658	77.906	78.346	
2012-07-01T06:00:00	79.856	80.099	77.948	78.134	79.780	80.093	77.940	78.121	
2012-06-01T06:00:00	78.323	80.625	77.663	79.856	78.292	80.619	77.659	79.780	
2012-05-01T06:00:00	79.833	80.615	78.215	78.323	79.809	80.611	78.211	78.292	
2012-04-01T06:00:00	82.870	83.308	79.740	79.833	82.835	83.303	79.734	79.809	
2012-03-01T07:00:00	81.162	84.181	80.589	82.870	81.139	84.178	80.583	82.835	
2012-02-01T07:00:00	76.271	81.683	76.029	81.162	76.258	81.670	76.024	81.139	
