日時	USD/TRY(始値, 買い)	USD/TRY(高値, 買い)	USD/TRY(安値, 買い)	USD/TRY(終値, 買い)	USD/TRY(始値, 売り)	USD/TRY(高値, 売り)	USD/TRY(安値, 売り)	USD/TRY(終値, 売り)	
2014-02-01T07:00:00	2.26113	2.28714	2.23278	2.24205	2.25240	2.28541	2.23161	2.24017	
2014-01-01T07:00:00	2.33868	2.39086	2.16443	2.26113	2.33336	2.38966	2.16081	2.25240	
2013-12-01T07:00:00	2.02521	2.17664	2.01757	2.14978	2.01329	2.17621	2.01416	2.14621	
2013-11-01T06:00:00	1.99813	2.06138	1.99286	2.02521	1.99607	2.06036	1.99186	2.01329	
2013-10-01T06:00:00	2.01993	2.02525	1.96093	1.99813	2.01729	2.02307	1.96003	1.99607	
2013-09-01T06:00:00	2.04163	2.08453	1.93403	2.01993	2.03394	2.08359	1.93261	2.01729	
2013-08-01T06:00:00	1.93523	2.07363	1.91466	2.04163	1.93376	2.07260	1.91207	2.03394	
2013-07-01T06:00:00	1.93334	1.97449	1.89998	1.93523	1.92777	1.97358	1.89821	1.93376	
2013-06-01T06:00:00	1.87756	1.96066	1.85064	1.93334	1.87479	1.95992	1.85004	1.92777	
2013-05-01T06:00:00	1.79272	1.89589	1.78772	1.87756	1.79163	1.89537	1.78323	1.87479	
2013-04-01T06:00:00	1.81262	1.82946	1.78065	1.79272	1.80815	1.81416	1.77833	1.79163	
2013-03-01T07:00:00	1.79872	1.83473	1.79082	1.81262	1.79776	1.82701	1.78574	1.80815	
2013-02-01T07:00:00	1.75948	1.81515	1.74586	1.79872	1.75821	1.81461	1.74533	1.79776	
2013-01-01T07:00:00	1.78578	1.79112	1.75159	1.75948	1.78421	1.79062	1.75113	1.75821	
2012-12-01T07:00:00	1.78808	1.79991	1.77586	1.78578	1.78599	1.79938	1.76721	1.78421	
2012-11-01T06:00:00	1.79323	1.80958	1.76961	1.78808	1.79176	1.80888	1.76922	1.78599	
2012-10-01T06:00:00	1.79645	1.82677	1.78913	1.79323	1.79544	1.82591	1.78864	1.79176	
2012-09-01T06:00:00	1.81901	1.82782	1.78623	1.79645	1.81716	1.82737	1.77586	1.79544	
2012-08-01T06:00:00	1.79603	1.83060	1.77417	1.81901	1.79426	1.83021	1.77106	1.81716	
2012-07-01T06:00:00	1.81751	1.83313	1.78937	1.79603	1.80346	1.83118	1.78886	1.79426	
2012-06-01T06:00:00	1.86818	1.87837	1.78873	1.81751	1.86651	1.87731	1.78816	1.80346	
2012-05-01T06:00:00	1.75833	1.87096	1.75286	1.86818	1.75646	1.87039	1.74981	1.86651	
2012-04-01T06:00:00	1.78793	1.81818	1.75333	1.75833	1.77664	1.81733	1.75271	1.75646	
2012-03-01T07:00:00	1.75168	1.82578	1.74698	1.78793	1.74641	1.82466	1.74496	1.77664	
2012-02-01T07:00:00	1.77718	1.78748	1.73466	1.75168	1.77541	1.78404	1.72931	1.74641	
2012-01-01T07:00:00	1.89851	1.90623	1.76769	1.77718	1.88198	1.89766	1.76696	1.77541	
2011-12-01T07:00:00	1.83158	1.92378	1.81472	1.89851	1.82471	1.92081	1.80400	1.88198	
2011-11-01T06:00:00	1.77398	1.91433	1.74638	1.83158	1.76811	1.88956	1.72286	1.82471	
2011-10-01T06:00:00	1.85918	1.91038	1.74226	1.77398	1.85781	1.90871	1.72881	1.76811	
2011-09-01T06:00:00	1.71653	1.89183	1.70936	1.85918	1.71436	1.86936	1.70861	1.85781	
2011-08-01T06:00:00	1.69058	1.84418	1.66753	1.71653	1.68761	1.82786	1.66691	1.71436	
2011-07-01T06:00:00	1.62508	1.73508	1.60538	1.69058	1.62081	1.73446	1.60001	1.68761	
2011-06-01T06:00:00	1.59418	1.65098	1.56683	1.62508	1.59251	1.64690	1.56611	1.62081	
2011-05-01T06:00:00	1.52168	1.61319	1.51678	1.59418	1.52031	1.61250	1.51311	1.59251	
2011-04-01T06:00:00	1.54588	1.54708	1.50083	1.52168	1.54431	1.54536	1.49861	1.52031	
2011-03-01T07:00:00	1.59998	1.62158	1.54118	1.54588	1.59601	1.62051	1.54061	1.54431	
2011-02-01T07:00:00	1.60668	1.61652	1.56888	1.59998	1.60256	1.61550	1.56831	1.59601	
2011-01-01T07:00:00	1.55818	1.62298	1.53134	1.60668	1.55681	1.61741	1.53065	1.60256	
2010-12-01T07:00:00	1.50501	1.57108	1.47270	1.54268	1.50348	1.56641	1.45941	1.53881	
2010-11-01T06:00:00	1.43493	1.51298	1.38743	1.50501	1.43306	1.51228	1.38081	1.50348	
2010-10-01T06:00:00	1.44793	1.46388	1.39278	1.43493	1.44536	1.45698	1.39026	1.43306	
2010-09-01T06:00:00	1.52808	1.53198	1.44609	1.44793	1.52501	1.52650	1.44516	1.44536	
2010-08-01T06:00:00	1.51123	1.53918	1.48666	1.52808	1.50266	1.53621	1.47521	1.52501	
2010-07-01T06:00:00	1.58528	1.59028	1.50528	1.51123	1.58291	1.58951	1.50266	1.50266	
2010-06-01T06:00:00	1.57958	1.61546	1.54698	1.58528	1.56571	1.61551	1.53531	1.58291	
2010-05-01T06:00:00	1.49478	1.65608	1.48836	1.57958	1.48241	1.62031	1.47111	1.56571	
2010-04-01T06:00:00	1.51918	1.52948	1.47092	1.49478	1.51691	1.52111	1.46456	1.48241	
2010-03-01T07:00:00	1.54848	1.55528	1.51184	1.51918	1.54151	1.55343	1.51051	1.51691	
2010-02-01T07:00:00	1.49828	1.56479	1.47948	1.54848	1.49551	1.56403	1.47861	1.54151	
2010-01-01T07:00:00	1.49618	1.50468	1.44518	1.49828	1.49431	1.50341	1.44381	1.49551	
2009-12-01T07:00:00	1.52938	1.53368	1.47668	1.49618	1.52501	1.53101	1.47431	1.49431	
2009-11-01T06:00:00	1.50588	1.56138	1.46878	1.52938	1.50311	1.55461	1.46781	1.52501	
2009-10-01T06:00:00	1.48558	1.51138	1.43898	1.50588	1.48201	1.50941	1.43571	1.50311	
2009-09-01T06:00:00	1.50238	1.52348	1.46488	1.48558	1.49871	1.52061	1.46011	1.48201	
2009-08-01T06:00:00	1.47248	1.52018	1.45218	1.50238	1.46941	1.51911	1.44961	1.49871	
2009-07-01T06:00:00	1.54318	1.56958	1.46938	1.47248	1.53851	1.56811	1.46731	1.46941	
2009-06-01T06:00:00	1.53958	1.58978	1.51598	1.54318	1.53231	1.58801	1.50891	1.53851	
2009-05-01T06:00:00	1.60358	1.60808	1.52068	1.53958	1.59301	1.59681	1.51821	1.53231	
2009-04-01T06:00:00	1.66758	1.67568	1.55978	1.60358	1.66251	1.67311	1.55741	1.59301	
2009-03-01T07:00:00	1.70157	1.82517	1.64678	1.66758	1.69832	1.82382	1.64531	1.66251	
2009-02-01T07:00:00	1.64517	1.71957	1.60697	1.70157	1.64142	1.71772	1.60522	1.69832	
2009-01-01T07:00:00	1.54007	1.69047	1.50647	1.64517	1.53052	1.68262	1.50502	1.64142	
2008-12-01T07:00:00	1.56397	1.62457	1.49147	1.54007	1.56182	1.62232	1.48952	1.53052	
2008-11-01T06:00:00	1.54487	1.75007	1.48197	1.56397	1.54072	1.74812	1.46002	1.56182	
2008-10-01T06:00:00	1.27207	1.74377	1.26547	1.54487	1.27212	1.74382	1.26552	1.54072	
2008-09-01T06:00:00	1.18697	1.29797	1.18367	1.27207	1.18702	1.29802	1.18372	1.27212	
2008-08-01T06:00:00	1.16472	1.19912	1.14967	1.18697	1.16477	1.19917	1.14972	1.18702	
2008-07-01T06:00:00	1.22687	1.25842	1.15612	1.16472	1.22692	1.25847	1.15617	1.16477	
2008-06-01T06:00:00	1.21912	1.26607	1.21077	1.22687	1.21917	1.26612	1.21082	1.22692	
2008-05-01T06:00:00	1.21702	1.21912	1.21437	1.21912	1.21707	1.21917	1.21442	1.21917	
