日時	USD/ZAR(始値, 買い)	USD/ZAR(高値, 買い)	USD/ZAR(安値, 買い)	USD/ZAR(終値, 買い)	USD/ZAR(始値, 売り)	USD/ZAR(高値, 売り)	USD/ZAR(安値, 売り)	USD/ZAR(終値, 売り)	
2014-02-01T07:00:00	11.12372	11.29447	11.06373	11.13397	11.11822	11.28022	11.06082	11.12832	
2014-01-01T07:00:00	11.10877	11.39127	10.90676	11.12372	11.07792	11.39032	10.90002	11.11822	
2013-12-01T07:00:00	10.19147	10.58627	10.12817	10.50897	10.15862	10.58302	10.12692	10.48402	
2013-11-01T06:00:00	10.05467	10.46007	10.02332	10.19147	10.03432	10.45883	10.00322	10.15862	
2013-10-01T06:00:00	10.03117	10.15637	9.71937	10.05467	10.01982	10.15437	9.71742	10.03432	
2013-09-01T06:00:00	10.28918	10.35287	9.54831	10.03117	10.27072	10.34632	9.54582	10.01982	
2013-08-01T06:00:00	9.85704	10.51417	9.73107	10.28918	9.85169	10.50637	9.72862	10.27072	
2013-07-01T06:00:00	9.94017	10.30009	9.61433	9.85704	9.90732	10.29723	9.61222	9.85169	
2013-06-01T06:00:00	10.06937	10.36297	9.66367	9.94017	10.05872	10.35912	9.66052	9.90732	
2013-05-01T06:00:00	8.96967	10.28807	8.90217	10.06937	8.96532	10.28302	8.89052	10.05872	
2013-04-01T06:00:00	9.26387	9.31307	8.85857	8.96967	9.20972	9.31072	8.85662	8.96532	
2013-03-01T07:00:00	9.03187	9.36857	8.99617	9.26387	9.02782	9.36542	8.99392	9.20972	
2013-02-01T07:00:00	8.95907	9.03187	8.77347	9.03187	8.95422	9.02782	8.77002	9.02782	
2013-01-01T07:00:00	8.49047	9.16197	8.42767	8.95907	8.48682	9.16032	8.41112	8.95422	
2012-12-01T07:00:00	8.91557	8.92627	8.44227	8.49047	8.90412	8.92362	8.43662	8.48682	
2012-11-01T06:00:00	8.67757	9.01087	8.59527	8.91557	8.66902	9.00822	8.59302	8.90412	
2012-10-01T06:00:00	8.31827	8.99787	8.21107	8.67757	8.30642	8.99682	8.19642	8.66902	
2012-09-01T06:00:00	8.40357	8.46927	8.12827	8.31827	8.39062	8.46762	8.12662	8.30642	
2012-08-01T06:00:00	8.27707	8.49937	8.06377	8.40357	8.24272	8.49752	8.04922	8.39062	
2012-07-01T06:00:00	8.18837	8.55167	8.06327	8.27707	8.13902	8.54882	8.05642	8.24272	
2012-06-01T06:00:00	8.52797	8.71457	8.15137	8.18837	8.52062	8.70342	8.13312	8.13902	
2012-05-01T06:00:00	7.77827	8.58647	7.69207	8.52797	7.77392	8.58482	7.69092	8.52062	
2012-04-01T06:00:00	7.68687	8.05297	7.61257	7.77827	7.65352	8.05072	7.61042	7.77392	
2012-03-01T07:00:00	7.51137	7.78307	7.43707	7.68687	7.50152	7.78182	7.43272	7.65352	
2012-02-01T07:00:00	7.82017	7.92517	7.40347	7.51137	7.80172	7.88082	7.40072	7.50152	
2012-01-01T07:00:00	8.12267	8.28397	7.74277	7.82017	8.05732	8.23582	7.73282	7.80172	
2011-12-01T07:00:00	8.11337	8.46337	7.95877	8.12267	8.10462	8.45572	7.95472	8.05732	
2011-11-01T06:00:00	7.97267	8.61667	7.79017	8.11337	7.94832	8.60442	7.77112	8.10462	
2011-10-01T06:00:00	8.08997	8.36667	7.68287	7.97267	8.07582	8.35192	7.64582	7.94832	
2011-09-01T06:00:00	6.99637	8.50117	6.96837	8.08997	6.98552	8.47942	6.96502	8.07582	
2011-08-01T06:00:00	6.68537	7.56467	6.65207	6.99637	6.67642	7.50112	6.64772	6.98552	
2011-07-01T06:00:00	6.78007	7.00617	6.62687	6.68537	6.75852	7.00202	6.62152	6.67642	
2011-06-01T06:00:00	6.81247	6.95096	6.67767	6.78007	6.79052	6.94022	6.67392	6.75852	
2011-05-01T06:00:00	6.56895	7.07577	6.54647	6.81247	6.55604	7.07252	6.53902	6.79052	
2011-04-01T06:00:00	6.77897	6.90577	6.55597	6.56895	6.76862	6.90092	6.55102	6.55604	
2011-03-01T07:00:00	6.98037	7.29667	6.75897	6.77897	6.95902	7.20112	6.75602	6.76862	
2011-02-01T07:00:00	7.19347	7.40097	6.93757	6.98037	7.17862	7.34722	6.93252	6.95902	
2011-01-01T07:00:00	6.59187	7.20367	6.59017	7.19347	6.58652	7.19883	6.51435	7.17862	
2010-12-01T07:00:00	7.11487	7.12467	6.59097	6.59097	7.10162	7.10732	6.56232	6.58512	
2010-11-01T06:00:00	7.01187	7.18217	6.76887	7.11487	6.99592	7.17672	6.76342	7.10162	
2010-10-01T06:00:00	6.96967	7.09117	6.76747	7.01187	6.95642	7.08162	6.75302	6.99592	
2010-09-01T06:00:00	7.37997	7.40247	6.94417	6.96967	7.36802	7.38732	6.92802	6.95642	
2010-08-01T06:00:00	7.30477	7.44017	7.17557	7.37997	7.28702	7.43452	7.14392	7.36802	
2010-07-01T06:00:00	7.68047	7.78697	7.28697	7.30477	7.66272	7.78082	7.27652	7.28702	
2010-06-01T06:00:00	7.71027	7.84697	7.41617	7.68047	7.63132	7.84702	7.40822	7.66272	
2010-05-01T06:00:00	7.39247	8.09767	7.37597	7.71027	7.38062	8.07932	7.30002	7.63132	
2010-04-01T06:00:00	7.29768	7.61637	7.19848	7.39247	7.27391	7.52002	7.19331	7.38062	
2010-03-01T07:00:00	7.72838	7.73718	7.26648	7.29768	7.71721	7.71721	7.25701	7.27391	
2010-02-01T07:00:00	7.62438	7.89628	7.42248	7.72838	7.61651	7.89021	7.41751	7.71721	
2010-01-01T07:00:00	7.38628	7.67258	7.25228	7.62438	7.37631	7.66801	7.24711	7.61651	
2009-12-01T07:00:00	7.41478	7.77078	7.27428	7.38628	7.39731	7.76061	7.26751	7.37631	
2009-11-01T06:00:00	7.82078	8.31128	7.32418	7.41478	7.80501	8.24301	7.31561	7.39731	
2009-10-01T06:00:00	7.52128	7.88388	7.23118	7.82078	7.49991	7.87901	7.22601	7.80501	
2009-09-01T06:00:00	7.79048	7.93458	7.29608	7.52128	7.76521	7.92531	7.28861	7.49991	
2009-08-01T06:00:00	7.76868	8.22098	7.71548	7.79048	7.75171	8.21151	7.70721	7.76521	
2009-07-01T06:00:00	7.72388	8.37598	7.61558	7.76868	7.70641	8.35611	7.60951	7.75171	
2009-06-01T06:00:00	7.96478	8.28698	7.67108	7.72388	7.94701	8.27651	7.66561	7.70641	
2009-05-01T06:00:00	8.49818	8.79598	7.92298	7.96478	8.44341	8.77791	7.91151	7.94701	
2009-04-01T06:00:00	9.54238	9.63168	8.42428	8.49818	9.48861	9.61671	8.39911	8.44341	
2009-03-01T07:00:00	10.11967	10.71887	9.34238	9.54238	10.08852	10.69122	9.32581	9.48861	
2009-02-01T07:00:00	10.22137	10.35537	9.53947	10.11967	10.19182	10.34082	9.52532	10.08852	
2009-01-01T07:00:00	9.39877	10.47097	9.26787	10.22137	9.32932	10.45952	9.22302	10.19182	
2008-12-01T07:00:00	10.18087	10.67977	9.21437	9.39877	10.13202	10.59262	9.18572	9.32932	
2008-11-01T06:00:00	9.77427	10.80097	9.48097	10.18087	9.73982	10.78012	9.46892	10.13202	
2008-10-01T06:00:00	8.29697	11.89977	8.23177	9.77427	8.27512	11.84682	8.22482	9.73982	
2008-09-01T06:00:00	7.70697	8.39897	7.70097	8.29697	7.69302	8.37902	7.67802	8.27512	
2008-08-01T06:00:00	7.34277	8.00847	7.18557	7.70697	7.32932	8.00132	7.18122	7.69302	
2008-07-01T06:00:00	0.99997	7.82697	0.99997	7.34277	1.00002	7.82182	1.00002	7.32932	
2007-07-01T06:00:00	7.05447	7.07357	6.95747	7.00117	7.05452	7.05472	6.93862	6.98232	
