日時	USOil(始値, 買い)	USOil(高値, 買い)	USOil(安値, 買い)	USOil(終値, 買い)	USOil(始値, 売り)	USOil(高値, 売り)	USOil(安値, 売り)	USOil(終値, 売り)	
2014-02-01T07:00:00	97.51	97.96	96.29	97.70	97.46	97.91	96.24	97.65	
2014-01-01T07:00:00	98.49	98.98	91.26	97.51	98.44	98.93	91.21	97.46	
2013-12-01T07:00:00	93.30	100.78	92.59	98.49	93.25	100.73	92.54	98.44	
2013-11-01T06:00:00	96.29	96.66	91.79	93.30	96.24	96.61	91.74	93.25	
2013-10-01T06:00:00	102.28	104.40	95.98	96.29	102.20	104.35	95.93	96.24	
2013-09-01T06:00:00	107.65	110.71	101.09	102.28	107.58	110.66	101.04	102.20	
2013-08-01T06:00:00	105.40	112.26	102.26	107.65	105.35	112.21	102.21	107.58	
2013-07-01T06:00:00	96.50	108.94	96.10	105.40	96.40	108.89	96.05	105.35	
2013-06-01T06:00:00	91.68	99.24	91.30	96.50	91.63	99.19	91.23	96.40	
2013-05-01T06:00:00	93.03	97.38	90.14	91.68	92.95	97.33	90.09	91.63	
2013-04-01T06:00:00	97.23	97.80	85.66	93.03	97.18	97.65	85.61	92.95	
2013-03-01T07:00:00	91.76	97.36	89.38	97.23	91.71	97.31	89.33	97.18	
2013-02-01T07:00:00	97.44	98.18	91.61	91.76	97.39	98.13	91.56	91.71	
2013-01-01T07:00:00	91.11	98.26	91.11	97.44	91.06	98.21	91.06	97.39	
2012-12-01T07:00:00	88.93	91.51	85.24	91.11	88.88	91.46	85.19	91.06	
2012-11-01T06:00:00	86.10	89.81	84.09	88.93	86.05	89.76	84.04	88.88	
2012-10-01T06:00:00	92.06	93.68	84.70	86.10	92.01	93.63	84.65	86.05	
2012-09-01T06:00:00	96.64	100.45	88.99	92.06	96.59	100.40	88.94	92.01	
2012-08-01T06:00:00	88.13	98.31	86.95	96.64	88.08	98.26	86.90	96.59	
2012-07-01T06:00:00	84.80	93.26	82.14	88.13	84.75	93.21	82.09	88.08	
2012-06-01T06:00:00	86.55	87.05	77.31	84.80	86.50	87.00	77.26	84.75	
2012-05-01T06:00:00	104.89	106.48	85.89	86.55	104.84	106.43	85.84	86.50	
2012-04-01T06:00:00	103.04	105.51	100.70	104.89	102.99	105.46	100.65	104.84	
2012-03-01T07:00:00	106.90	110.58	102.16	103.04	106.85	110.53	102.11	102.99	
2012-02-01T07:00:00	98.35	109.98	95.46	106.90	98.30	109.93	95.41	106.85	
2012-01-01T07:00:00	99.00	103.76	97.45	98.35	98.95	103.71	97.38	98.30	
2011-12-01T07:00:00	100.43	102.46	92.56	99.00	100.38	102.41	92.51	98.95	
2011-11-01T06:00:00	92.56	103.40	89.23	100.43	92.51	103.35	89.15	100.38	
2011-10-01T06:00:00	78.83	94.65	74.99	92.56	78.78	94.58	74.94	92.51	
2011-09-01T06:00:00	88.85	90.54	77.20	78.83	88.80	90.49	77.13	78.78	
2011-08-01T06:00:00	95.95	98.60	75.78	88.85	95.90	98.55	75.68	88.80	
2011-07-01T06:00:00	95.13	100.64	93.51	95.95	95.08	100.59	93.45	95.90	
2011-06-01T06:00:00	102.64	103.33	89.64	95.13	102.59	103.28	89.59	95.08	
2011-05-01T06:00:00	113.70	114.85	94.78	102.64	113.65	114.80	94.65	102.59	
2011-04-01T06:00:00	106.70	114.20	105.34	113.70	106.65	114.15	105.29	113.65	
2011-03-01T07:00:00	97.06	106.98	96.25	106.70	97.01	106.93	96.20	106.65	
2011-02-01T07:00:00	92.15	103.65	83.89	97.06	92.08	103.48	83.84	97.01	
2011-01-01T07:00:00	90.86	93.03	85.14	92.15	90.81	92.98	85.08	92.08	
2010-12-01T07:00:00	83.73	91.90	83.59	90.86	83.65	91.85	83.54	90.81	
2010-11-01T06:00:00	81.41	88.65	80.09	83.73	81.36	88.60	80.04	83.65	
2010-10-01T06:00:00	79.88	84.46	79.74	81.41	79.83	84.41	79.69	81.36	
2010-09-01T06:00:00	71.66	80.19	71.66	79.88	71.61	80.14	71.61	79.83	
2010-08-01T06:00:00	78.90	82.99	70.79	71.66	78.85	82.94	70.74	71.61	
2010-07-01T06:00:00	75.30	79.70	71.14	78.90	75.25	79.65	71.09	78.85	
2010-06-01T06:00:00	74.44	79.96	69.59	75.30	74.39	79.91	69.54	75.25	
2010-05-01T06:00:00	86.00	87.19	67.19	74.44	85.95	87.14	67.14	74.39	
2010-04-01T06:00:00	83.33	87.11	81.31	86.00	83.25	87.06	81.26	85.95	
2010-03-01T07:00:00	79.75	83.86	78.10	83.33	79.67	83.81	78.02	83.25	
2010-02-01T07:00:00	74.19	80.80	70.83	79.75	74.11	80.72	70.75	79.67	
2010-01-01T07:00:00	79.90	84.00	72.70	74.19	79.82	83.92	72.62	74.11	
2009-12-01T07:00:00	77.40	80.03	68.50	79.90	77.32	79.95	68.19	79.82	
2009-11-01T06:00:00	78.25	81.12	72.44	77.40	78.17	81.04	72.32	77.32	
2009-10-01T06:00:00	70.38	82.03	68.10	78.25	70.30	81.95	68.02	78.17	
2009-09-01T06:00:00	69.89	73.20	65.09	70.38	69.81	73.12	65.01	70.30	
2009-08-01T06:00:00	69.19	75.01	60.84	69.89	69.09	74.92	60.74	69.81	
2009-07-01T06:00:00	70.50	71.88	58.37	69.19	70.42	71.80	58.29	69.09	
2009-06-01T06:00:00	66.49	73.42	65.00	70.50	66.39	73.34	64.92	70.42	
2009-05-01T06:00:00	50.95	66.63	50.82	66.49	50.87	66.55	50.72	66.39	
2009-04-01T06:00:00	48.46	53.81	46.77	50.95	48.39	53.67	46.69	50.87	
2009-03-01T07:00:00	44.34	54.70	39.43	48.46	44.34	54.62	39.43	48.39	
2009-02-01T07:00:00	46.13	47.99	37.12	44.00	46.13	47.99	37.12	44.00	
2009-01-01T07:00:00	47.00	56.93	43.00	45.80	47.00	56.93	43.00	45.80	
2008-12-01T07:00:00	56.99	57.45	36.18	47.00	56.99	57.45	36.18	47.00	
2008-11-01T06:00:00	69.08	74.50	45.00	56.99	69.08	74.50	45.00	56.99	
2008-10-01T06:00:00	102.01	103.22	60.45	69.18	102.01	103.22	60.45	69.18	
2008-09-01T06:00:00	111.12	116.30	88.82	102.00	111.12	116.30	88.82	102.00	
2008-08-01T06:00:00	124.08	128.60	111.34	115.46	124.08	128.60	111.34	115.46	
2008-07-01T06:00:00	140.00	147.27	120.42	124.08	140.00	147.27	120.42	124.08	
2008-06-01T06:00:00	127.35	143.67	121.61	140.00	127.35	143.67	121.61	140.00	
2008-05-01T06:00:00	113.46	135.09	110.30	127.35	113.46	135.09	110.30	127.35	
2008-04-01T06:00:00	101.58	119.93	99.55	113.46	101.58	119.93	99.55	113.46	
2008-03-01T07:00:00	101.84	111.80	98.65	101.58	101.84	111.80	98.65	101.58	
2008-02-01T07:00:00	91.75	103.05	86.24	101.84	91.75	103.05	86.24	101.84	
2008-01-01T07:00:00	95.98	100.09	86.11	91.75	95.98	100.09	86.11	91.75	
2007-12-01T07:00:00	88.71	97.92	85.82	95.98	88.71	97.92	85.82	95.98	
2007-11-01T06:00:00	94.53	99.29	88.45	88.71	94.53	99.29	88.45	88.71	
2007-10-01T06:00:00	81.66	95.28	78.35	94.53	81.66	95.28	78.35	94.53	
2007-09-01T06:00:00	74.04	83.90	73.48	81.66	74.04	83.90	73.48	81.66	
2007-08-01T06:00:00	78.21	78.77	68.63	74.04	78.21	78.77	68.63	74.04	
2007-07-01T06:00:00	70.68	78.28	69.57	78.21	70.68	78.28	69.57	78.21	
2007-06-01T06:00:00	64.01	71.06	63.80	70.68	64.01	71.06	63.80	70.68	
2007-05-01T06:00:00	65.71	66.38	60.68	64.01	65.71	66.38	60.68	64.01	
2007-04-01T06:00:00	65.87	66.70	61.34	65.71	65.87	66.70	61.34	65.71	
2007-03-01T07:00:00	61.79	68.09	56.10	65.87	61.79	68.09	56.10	65.87	
2007-02-01T07:00:00	58.14	62.25	56.62	61.79	58.14	62.25	56.62	61.79	
2007-01-01T07:00:00	61.05	61.55	49.90	58.14	61.05	61.55	49.90	58.14	
2006-12-01T07:00:00	63.13	64.15	59.90	61.05	63.13	64.15	59.90	61.05	
2006-11-01T07:00:00	58.73	63.77	54.86	63.13	58.73	63.77	54.86	63.13	
2006-10-01T06:00:00	62.91	63.32	56.55	58.73	62.91	63.32	56.55	58.73	
2006-09-01T06:00:00	70.26	70.66	59.52	62.91	70.26	70.66	59.52	62.91	
2006-08-01T06:00:00	74.40	77.45	68.65	70.26	74.40	77.45	68.65	70.26	
2006-07-01T06:00:00	73.93	78.40	71.65	74.40	73.93	78.40	71.65	74.40	
2006-06-01T06:00:00	71.29	74.15	68.10	73.93	71.29	74.15	68.10	73.93	
2006-05-01T06:00:00	71.88	74.99	67.42	71.29	71.88	74.99	67.42	71.29	
