日時	XAU/USD(始値, 買い)	XAU/USD(高値, 買い)	XAU/USD(安値, 買い)	XAU/USD(終値, 買い)	XAU/USD(始値, 売り)	XAU/USD(高値, 売り)	XAU/USD(安値, 売り)	XAU/USD(終値, 売り)	
2014-02-01T07:00:00	1245.08	1266.60	1241.13	1254.45	1243.33	1266.15	1240.72	1253.95	
2014-01-01T07:00:00	1270.65	1279.58	1238.40	1245.08	1268.80	1279.10	1237.96	1243.33	
2013-12-01T07:00:00	1252.23	1268.15	1182.75	1206.93	1251.51	1267.80	1182.43	1206.40	
2013-11-01T06:00:00	1323.38	1327.75	1227.23	1252.23	1322.73	1327.33	1226.80	1251.51	
2013-10-01T06:00:00	1329.33	1362.06	1252.00	1323.38	1328.59	1361.68	1251.64	1322.73	
2013-09-01T06:00:00	1395.79	1416.52	1292.10	1329.33	1395.05	1416.26	1291.75	1328.59	
2013-08-01T06:00:00	1325.47	1434.05	1273.31	1395.79	1324.70	1433.61	1272.81	1395.05	
2013-07-01T06:00:00	1234.83	1348.94	1208.55	1325.47	1233.90	1347.57	1208.10	1324.70	
2013-06-01T06:00:00	1388.31	1424.03	1180.65	1234.83	1387.59	1423.71	1180.15	1233.90	
2013-05-01T06:00:00	1476.85	1488.26	1338.59	1388.31	1476.49	1488.00	1338.06	1387.59	
2013-04-01T06:00:00	1597.13	1604.13	1322.14	1476.85	1596.95	1603.83	1321.59	1476.49	
2013-03-01T07:00:00	1579.85	1617.22	1561.84	1597.13	1579.52	1616.98	1561.34	1596.95	
2013-02-01T07:00:00	1664.05	1686.34	1555.31	1579.85	1663.55	1685.55	1555.00	1579.52	
2013-01-01T07:00:00	1663.23	1698.57	1626.22	1664.05	1662.61	1697.40	1625.69	1663.55	
2012-12-01T07:00:00	1715.28	1723.79	1635.90	1663.23	1714.48	1723.30	1635.43	1662.61	
2012-11-01T06:00:00	1721.09	1754.95	1673.03	1715.28	1720.29	1754.20	1672.50	1714.48	
2012-10-01T06:00:00	1772.55	1796.30	1699.07	1721.09	1771.90	1795.80	1698.30	1720.29	
2012-09-01T06:00:00	1692.30	1787.85	1685.65	1772.55	1691.55	1787.35	1685.30	1771.90	
2012-08-01T06:00:00	1614.60	1693.50	1583.95	1692.30	1613.95	1692.90	1583.62	1691.55	
2012-07-01T06:00:00	1597.55	1630.07	1555.35	1614.60	1596.93	1629.50	1554.83	1613.95	
2012-06-01T06:00:00	1560.70	1641.40	1545.15	1597.55	1560.15	1640.80	1544.42	1596.93	
2012-05-01T06:00:00	1665.10	1671.90	1527.34	1560.70	1664.50	1671.49	1526.84	1560.15	
2012-04-01T06:00:00	1668.70	1683.95	1612.70	1665.10	1667.98	1683.35	1612.24	1664.50	
2012-03-01T07:00:00	1697.15	1726.54	1628.45	1668.70	1696.60	1726.05	1627.91	1667.98	
2012-02-01T07:00:00	1738.18	1791.07	1688.21	1697.15	1737.14	1790.55	1685.91	1696.60	
2012-01-01T07:00:00	1565.38	1748.02	1565.38	1738.18	1564.35	1747.49	1564.35	1737.14	
2011-12-01T07:00:00	1746.60	1763.70	1523.00	1565.38	1746.00	1763.00	1522.50	1564.35	
2011-11-01T06:00:00	1715.10	1803.45	1666.90	1746.60	1714.60	1802.80	1666.37	1746.00	
2011-10-01T06:00:00	1623.45	1753.07	1596.30	1715.10	1622.25	1752.45	1595.45	1714.60	
2011-09-01T06:00:00	1826.30	1921.49	1533.35	1623.45	1825.60	1920.80	1532.45	1622.25	
2011-08-01T06:00:00	1626.30	1913.04	1608.09	1826.30	1625.70	1912.10	1607.03	1825.60	
2011-07-01T06:00:00	1500.46	1633.10	1478.54	1626.30	1499.48	1632.75	1477.99	1625.70	
2011-06-01T06:00:00	1536.05	1558.45	1491.25	1500.46	1535.50	1557.99	1490.40	1499.48	
2011-05-01T06:00:00	1562.95	1577.55	1463.05	1536.05	1562.55	1576.05	1462.05	1535.50	
2011-04-01T06:00:00	1432.50	1569.70	1413.15	1562.95	1432.00	1569.40	1412.75	1562.55	
2011-03-01T07:00:00	1411.55	1448.05	1381.25	1432.50	1411.20	1447.70	1380.85	1432.00	
2011-02-01T07:00:00	1332.90	1418.60	1325.15	1411.55	1332.65	1418.25	1324.85	1411.20	
2011-01-01T07:00:00	1418.05	1423.20	1308.45	1332.90	1417.60	1422.85	1307.45	1332.65	
2010-12-01T07:00:00	1386.38	1431.45	1361.42	1418.05	1386.15	1431.33	1361.15	1417.60	
2010-11-01T06:00:00	1358.69	1424.75	1325.70	1386.38	1358.30	1424.50	1325.35	1386.15	
2010-10-01T06:00:00	1308.45	1387.50	1306.55	1358.69	1308.10	1387.10	1305.75	1358.30	
2010-09-01T06:00:00	1247.65	1316.40	1237.15	1308.45	1247.30	1315.80	1236.65	1308.10	
2010-08-01T06:00:00	1181.75	1250.15	1174.85	1247.65	1181.45	1249.80	1174.40	1247.30	
2010-07-01T06:00:00	1242.55	1244.36	1157.15	1181.75	1242.10	1243.70	1156.70	1181.45	
2010-06-01T06:00:00	1216.45	1265.45	1197.10	1242.55	1216.00	1265.10	1196.40	1242.10	
