日時	ZAR/JPY(始値, 買い)	ZAR/JPY(高値, 買い)	ZAR/JPY(安値, 買い)	ZAR/JPY(終値, 買い)	ZAR/JPY(始値, 売り)	ZAR/JPY(高値, 売り)	ZAR/JPY(安値, 売り)	ZAR/JPY(終値, 売り)	
2014-02-01T07:00:00	9.190	9.221	8.958	9.130	9.113	9.194	8.929	9.100	
2014-01-01T07:00:00	10.044	10.059	8.981	9.190	10.001	10.024	8.953	9.113	
2013-12-01T07:00:00	10.098	10.162	9.698	10.044	10.036	10.130	9.671	10.001	
2013-11-01T06:00:00	9.813	10.160	9.484	10.098	9.770	10.134	9.457	10.036	
2013-10-01T06:00:00	9.815	10.131	9.600	9.813	9.778	10.104	9.573	9.770	
2013-09-01T06:00:00	9.588	10.359	9.593	9.815	9.520	10.326	9.541	9.778	
2013-08-01T06:00:00	9.950	10.103	9.264	9.588	9.919	10.061	9.222	9.520	
2013-07-01T06:00:00	10.048	10.423	9.827	9.950	9.972	10.395	9.796	9.919	
2013-06-01T06:00:00	10.009	10.361	9.319	10.048	9.896	10.331	9.277	9.972	
2013-05-01T06:00:00	10.872	11.235	9.803	10.009	10.840	11.199	9.768	9.896	
2013-04-01T06:00:00	10.253	11.260	10.062	10.872	10.164	11.231	10.031	10.840	
2013-03-01T07:00:00	10.265	10.641	10.066	10.253	10.235	10.608	10.037	10.164	
2013-02-01T07:00:00	10.260	10.728	10.238	10.265	10.228	10.669	10.207	10.235	
2013-01-01T07:00:00	10.216	10.383	9.755	10.260	10.184	10.335	9.725	10.228	
2012-12-01T07:00:00	9.274	10.230	9.234	10.216	9.233	10.190	9.199	10.184	
2012-11-01T06:00:00	9.217	9.464	9.000	9.274	9.186	9.437	8.969	9.233	
2012-10-01T06:00:00	9.389	9.519	8.702	9.217	9.351	9.479	8.674	9.186	
2012-09-01T06:00:00	9.354	9.717	9.213	9.389	9.312	9.690	9.183	9.351	
2012-08-01T06:00:00	9.486	9.763	9.251	9.354	9.432	9.734	9.224	9.312	
2012-07-01T06:00:00	9.815	9.930	9.153	9.486	9.740	9.890	9.100	9.432	
2012-06-01T06:00:00	9.206	9.845	8.949	9.815	9.170	9.781	8.865	9.740	
2012-05-01T06:00:00	10.276	10.476	9.146	9.206	10.245	10.446	9.114	9.170	
2012-04-01T06:00:00	10.826	10.920	10.028	10.276	10.760	10.883	9.982	10.245	
2012-03-01T07:00:00	10.832	11.198	10.513	10.826	10.791	11.075	10.483	10.760	
2012-02-01T07:00:00	9.790	10.899	9.722	10.832	9.739	10.867	9.668	10.791	
2012-01-01T07:00:00	9.530	9.986	9.338	9.790	9.469	9.956	9.263	9.739	
2011-12-01T07:00:00	9.598	9.825	9.247	9.530	9.544	9.770	9.184	9.469	
2011-11-01T06:00:00	9.845	10.075	9.000	9.598	9.794	10.006	8.932	9.544	
2011-10-01T06:00:00	9.553	10.269	9.204	9.845	9.504	10.159	9.171	9.794	
2011-09-01T06:00:00	10.988	11.061	9.002	9.553	10.944	11.029	8.874	9.504	
2011-08-01T06:00:00	11.558	11.842	10.309	10.988	11.458	11.753	10.207	10.944	
2011-07-01T06:00:00	11.930	12.243	11.313	11.558	11.874	12.188	11.261	11.458	
2011-06-01T06:00:00	12.013	12.096	11.627	11.930	11.957	12.044	11.571	11.874	
2011-05-01T06:00:00	12.387	12.471	11.468	12.013	12.326	12.418	11.370	11.957	
2011-04-01T06:00:00	12.296	12.887	11.943	12.387	12.247	12.840	11.906	12.326	
2011-03-01T07:00:00	11.767	12.319	10.755	12.296	11.706	12.284	10.547	12.247	
2011-02-01T07:00:00	11.443	11.832	11.170	11.767	11.392	11.797	11.086	11.706	
2011-01-01T07:00:00	12.350	12.472	11.403	11.443	12.315	12.422	11.369	11.392	
2010-12-01T07:00:00	11.799	12.550	11.768	12.331	11.752	12.347	11.719	12.288	
2010-11-01T06:00:00	11.512	12.035	11.480	11.799	11.465	11.994	11.335	11.752	
2010-10-01T06:00:00	12.020	12.239	11.477	11.512	11.974	12.115	11.424	11.465	
2010-09-01T06:00:00	11.442	12.191	11.368	12.020	11.396	12.107	11.334	11.974	
2010-08-01T06:00:00	11.868	12.034	11.302	11.442	11.818	11.956	11.269	11.396	
2010-07-01T06:00:00	11.575	12.049	11.198	11.868	11.503	12.003	11.165	11.818	
2010-06-01T06:00:00	11.972	12.309	11.522	11.575	11.826	12.278	11.482	11.503	
2010-05-01T06:00:00	12.732	12.971	11.025	11.972	12.687	12.788	10.982	11.826	
2010-04-01T06:00:00	12.873	13.128	12.296	12.732	12.785	13.067	12.245	12.687	
2010-03-01T07:00:00	11.542	12.898	11.542	12.873	11.477	12.838	11.462	12.785	
2010-02-01T07:00:00	11.872	12.212	11.302	11.542	11.817	12.159	11.257	11.477	
2010-01-01T07:00:00	12.642	12.749	11.711	11.872	12.578	12.697	11.657	11.817	
2009-12-01T07:00:00	11.705	12.672	11.512	12.642	11.630	12.617	11.482	12.578	
2009-11-01T06:00:00	11.538	12.289	10.834	11.705	11.499	12.254	10.687	11.630	
2009-10-01T06:00:00	11.973	12.558	11.454	11.538	11.918	12.507	11.417	11.499	
2009-09-01T06:00:00	12.016	12.549	11.691	11.973	11.932	12.437	11.640	11.918	
2009-08-01T06:00:00	12.234	12.484	11.532	12.016	12.156	12.317	11.475	11.932	
2009-07-01T06:00:00	12.531	12.645	11.031	12.234	12.450	12.570	10.968	12.156	
2009-06-01T06:00:00	12.011	12.546	11.501	12.531	11.944	12.496	11.449	12.450	
2009-05-01T06:00:00	11.696	12.214	10.822	12.011	11.580	12.156	10.662	11.944	
2009-04-01T06:00:00	10.451	11.746	10.270	11.696	10.355	11.680	10.192	11.580	
2009-03-01T07:00:00	9.695	10.634	9.152	10.451	9.620	10.554	8.930	10.355	
2009-02-01T07:00:00	8.839	10.049	8.660	9.695	8.780	9.988	8.617	9.620	
2009-01-01T07:00:00	9.486	10.131	8.494	8.839	9.491	10.136	8.391	8.780	
2008-12-01T07:00:00	9.274	9.804	8.467	9.486	9.279	9.809	8.472	9.491	
2008-11-01T06:00:00	9.992	10.455	8.518	9.274	9.997	10.460	8.523	9.279	
2008-10-01T06:00:00	12.843	12.946	7.800	9.992	12.778	12.896	7.714	9.997	
2008-09-01T06:00:00	13.492	14.108	12.451	12.843	13.442	13.942	12.250	12.778	
