日時	AUD/CAD(始値, 買い)	AUD/CAD(高値, 買い)	AUD/CAD(安値, 買い)	AUD/CAD(終値, 買い)	AUD/CAD(始値, 売り)	AUD/CAD(高値, 売り)	AUD/CAD(安値, 売り)	AUD/CAD(終値, 売り)	
2014-02-01T07:00:00	0.97545	0.99031	0.96969	0.98772	0.97375	0.99008	0.96947	0.98750	
2014-01-25T07:00:00	0.96311	0.98490	0.96037	0.97545	0.96225	0.98466	0.96010	0.97375	
2014-01-18T07:00:00	0.96344	0.98400	0.95927	0.96311	0.96234	0.98373	0.95901	0.96225	
2014-01-11T07:00:00	0.98104	0.99018	0.95969	0.96344	0.97991	0.98992	0.95946	0.96234	
2014-01-04T07:00:00	0.95220	0.98249	0.94998	0.98104	0.95063	0.98228	0.94969	0.97991	
2013-12-28T07:00:00	0.95010	0.95758	0.94133	0.95220	0.94888	0.95735	0.94106	0.95063	
2013-12-21T07:00:00	0.94945	0.95219	0.94325	0.95010	0.94826	0.95193	0.94293	0.94888	
2013-12-14T07:00:00	0.94964	0.95460	0.94242	0.94945	0.94877	0.95436	0.94216	0.94826	
2013-12-07T07:00:00	0.96887	0.97282	0.94796	0.94964	0.96801	0.97259	0.94785	0.94877	
2013-11-30T07:00:00	0.96757	0.97486	0.95858	0.96887	0.96565	0.97469	0.95789	0.96801	
2013-11-23T07:00:00	0.96504	0.96896	0.95869	0.96757	0.96409	0.96871	0.95845	0.96565	
2013-11-16T07:00:00	0.97882	0.98797	0.96393	0.96504	0.97733	0.98772	0.96360	0.96409	
2013-11-09T07:00:00	0.98427	0.98449	0.97293	0.97882	0.98260	0.98408	0.97268	0.97733	
2013-11-02T06:00:00	0.98428	0.99682	0.98161	0.98427	0.98338	0.99661	0.98141	0.98260	
2013-10-26T06:00:00	1.00238	1.00493	0.98306	0.98428	1.00105	1.00467	0.98266	0.98338	
2013-10-19T06:00:00	0.99598	1.00372	0.99169	1.00238	0.99516	1.00349	0.99157	1.00105	
2013-10-12T06:00:00	0.98022	0.99646	0.97716	0.99598	0.97963	0.99613	0.97579	0.99516	
2013-10-05T06:00:00	0.97159	0.98633	0.96953	0.98022	0.97080	0.98578	0.96925	0.97963	
2013-09-28T06:00:00	0.96047	0.97646	0.95746	0.97159	0.95981	0.97623	0.95704	0.97080	
2013-09-21T06:00:00	0.96913	0.97271	0.95875	0.96047	0.96796	0.97246	0.95848	0.95981	
2013-09-14T06:00:00	0.95755	0.97425	0.95907	0.96913	0.95722	0.97393	0.95817	0.96796	
2013-09-07T06:00:00	0.95652	0.96479	0.95290	0.95755	0.95551	0.96457	0.95258	0.95722	
2013-08-31T06:00:00	0.93920	0.96458	0.94038	0.95652	0.93755	0.96406	0.93979	0.95551	
2013-08-24T06:00:00	0.94850	0.95289	0.93317	0.93920	0.94700	0.95259	0.93291	0.93755	
2013-08-17T06:00:00	0.95035	0.95287	0.93554	0.94850	0.94889	0.95265	0.93527	0.94700	
2013-08-10T06:00:00	0.94688	0.95370	0.93788	0.95035	0.94508	0.95343	0.93766	0.94889	
2013-08-03T06:00:00	0.92559	0.94892	0.92059	0.94688	0.92480	0.94871	0.92031	0.94508	
2013-07-27T06:00:00	0.95295	0.95378	0.91757	0.92559	0.95191	0.95320	0.91677	0.92480	
2013-07-20T06:00:00	0.95209	0.95979	0.94206	0.95295	0.95090	0.95958	0.94168	0.95191	
2013-07-13T06:00:00	0.94123	0.96556	0.94142	0.95209	0.94080	0.96464	0.94081	0.95090	
2013-07-06T06:00:00	0.95939	0.96971	0.93545	0.94123	0.95796	0.96946	0.93521	0.94080	
2013-06-29T06:00:00	0.96136	0.97164	0.95113	0.95939	0.96027	0.97137	0.95071	0.95796	
2013-06-22T06:00:00	0.96514	0.97858	0.95925	0.96136	0.96349	0.97840	0.95896	0.96027	
2013-06-15T06:00:00	0.97458	0.97872	0.94840	0.96514	0.97338	0.97856	0.94817	0.96349	
2013-06-08T06:00:00	0.96854	0.98230	0.95486	0.97458	0.96769	0.98171	0.95448	0.97338	
2013-06-01T06:00:00	0.99276	1.00660	0.96413	0.96854	0.99197	1.00641	0.96378	0.96769	
2013-05-25T06:00:00	0.99597	1.00293	0.98873	0.99276	0.99502	1.00266	0.98848	0.99197	
2013-05-18T06:00:00	1.00098	1.00901	0.99523	0.99597	1.00033	1.00878	0.99492	0.99502	
2013-05-11T06:00:00	1.01323	1.01350	0.99540	1.00098	1.01234	1.01301	0.99513	1.00033	
2013-05-04T06:00:00	1.04036	1.04036	1.00786	1.01323	1.03969	1.03969	1.00756	1.01234	
2013-04-27T06:00:00	1.04637	1.05014	1.03076	1.04036	1.04565	1.04997	1.03048	1.03969	
2013-04-20T06:00:00	1.05549	1.05664	1.04453	1.04637	1.05478	1.05641	1.04428	1.04565	
2013-04-13T06:00:00	1.06538	1.06730	1.05472	1.05549	1.06419	1.06706	1.05443	1.05478	
2013-04-06T06:00:00	1.05733	1.07168	1.05258	1.06538	1.05664	1.07146	1.05237	1.06419	
2013-03-30T06:00:00	1.06081	1.06500	1.05358	1.05733	1.06002	1.06481	1.05338	1.05664	
2013-03-23T06:00:00	1.06913	1.07078	1.05678	1.06081	1.06827	1.07055	1.05645	1.06002	
2013-03-16T06:00:00	1.06149	1.07189	1.05811	1.06913	1.06103	1.07166	1.05706	1.06827	
2013-03-09T07:00:00	1.05277	1.06691	1.04978	1.06149	1.05177	1.06672	1.04943	1.06103	
2013-03-02T07:00:00	1.04813	1.06120	1.04269	1.05277	1.04757	1.06097	1.04246	1.05177	
2013-02-23T07:00:00	1.05318	1.05805	1.04430	1.04813	1.05257	1.05780	1.04372	1.04757	
2013-02-16T07:00:00	1.03768	1.05778	1.03532	1.05318	1.03676	1.05754	1.03506	1.05257	
2013-02-09T07:00:00	1.03542	1.04006	1.02999	1.03768	1.03428	1.03985	1.02894	1.03676	
2013-02-02T07:00:00	1.03760	1.04409	1.02423	1.03542	1.03683	1.04347	1.02397	1.03428	
2013-01-26T07:00:00	1.04910	1.05213	1.03460	1.03760	1.04809	1.05191	1.03440	1.03683	
2013-01-19T07:00:00	1.04265	1.05530	1.04153	1.04910	1.04180	1.05460	1.04117	1.04809	
2013-01-12T07:00:00	1.03862	1.04360	1.03623	1.04265	1.03797	1.04340	1.03597	1.04180	
2013-01-05T07:00:00	1.03504	1.04433	1.03289	1.03862	1.03447	1.04408	1.03264	1.03797	
2012-12-29T07:00:00	1.03458	1.03748	1.02874	1.03504	1.03393	1.03727	1.02854	1.03447	
2012-12-22T07:00:00	1.03416	1.03498	1.02719	1.03458	1.03331	1.03473	1.02689	1.03393	
2012-12-15T07:00:00	1.04215	1.04259	1.03254	1.03416	1.04150	1.04211	1.03231	1.03331	
2012-12-08T07:00:00	1.03767	1.04301	1.03281	1.04215	1.03668	1.04277	1.03258	1.04150	
2012-12-01T07:00:00	1.03737	1.04299	1.03242	1.03767	1.03639	1.04279	1.03228	1.03668	
2012-11-24T07:00:00	1.03948	1.04125	1.03392	1.03737	1.03748	1.04100	1.03368	1.03639	
2012-11-17T07:00:00	1.03549	1.03948	1.03144	1.03948	1.03504	1.03895	1.03119	1.03748	
2012-11-10T07:00:00	1.04040	1.04720	1.03279	1.03549	1.03981	1.04691	1.03263	1.03504	
2012-11-03T06:00:00	1.02976	1.04300	1.02925	1.04040	1.02916	1.04274	1.02820	1.03981	
2012-10-27T06:00:00	1.03494	1.03916	1.02867	1.02976	1.03416	1.03894	1.02841	1.02916	
2012-10-20T06:00:00	1.02665	1.03559	1.01634	1.03494	1.02614	1.03531	1.01609	1.03416	
2012-10-13T06:00:00	1.00264	1.02672	1.00034	1.02665	1.00237	1.02647	1.00009	1.02614	
2012-10-06T06:00:00	0.99687	1.00924	0.99319	1.00264	0.99636	1.00896	0.99220	1.00237	
2012-09-29T06:00:00	1.02113	1.02113	0.99480	0.99687	1.02059	1.02059	0.99452	0.99636	
2012-09-22T06:00:00	1.02131	1.02702	1.01540	1.02113	1.02089	1.02679	1.01513	1.02059	
2012-09-15T06:00:00	1.02568	1.02568	1.01581	1.02131	1.02513	1.02513	1.01557	1.02089	
2012-09-08T06:00:00	1.01701	1.02746	1.00803	1.02568	1.01621	1.02724	1.00778	1.02513	
