日時	AUD/CHF(始値, 買い)	AUD/CHF(高値, 買い)	AUD/CHF(安値, 買い)	AUD/CHF(終値, 買い)	AUD/CHF(始値, 売り)	AUD/CHF(高値, 売り)	AUD/CHF(安値, 売り)	AUD/CHF(終値, 売り)	
2014-02-01T07:00:00	0.79388	0.80930	0.78726	0.80509	0.79256	0.80907	0.78703	0.80485	
2014-01-25T07:00:00	0.77728	0.79648	0.77567	0.79388	0.77606	0.79622	0.77539	0.79256	
2014-01-18T07:00:00	0.79996	0.80972	0.77248	0.77728	0.79869	0.80948	0.77221	0.77606	
2014-01-11T07:00:00	0.81273	0.82052	0.79588	0.79996	0.81161	0.82028	0.79562	0.79869	
2014-01-04T07:00:00	0.81066	0.81474	0.80537	0.81273	0.80944	0.81418	0.80507	0.81161	
2013-12-28T07:00:00	0.79189	0.81395	0.78763	0.81066	0.79026	0.81368	0.78746	0.80944	
2013-12-21T07:00:00	0.80071	0.80162	0.78394	0.79189	0.79877	0.80138	0.78362	0.79026	
2013-12-14T07:00:00	0.79802	0.80073	0.78426	0.80071	0.79680	0.79987	0.78383	0.79877	
2013-12-07T07:00:00	0.81258	0.81462	0.79232	0.79802	0.81146	0.81436	0.79206	0.79680	
2013-11-30T07:00:00	0.82620	0.83261	0.80718	0.81258	0.82427	0.83234	0.80648	0.81146	
2013-11-23T07:00:00	0.83272	0.83803	0.81971	0.82620	0.83112	0.83772	0.81943	0.82427	
2013-11-16T07:00:00	0.85785	0.86143	0.83026	0.83272	0.85643	0.86118	0.83001	0.83112	
2013-11-09T07:00:00	0.86567	0.86655	0.85085	0.85785	0.86410	0.86594	0.85041	0.85643	
2013-11-02T06:00:00	0.86140	0.87580	0.86137	0.86567	0.86019	0.87556	0.86016	0.86410	
2013-10-26T06:00:00	0.85609	0.86411	0.85026	0.86140	0.85488	0.86350	0.84999	0.86019	
2013-10-19T06:00:00	0.87263	0.87452	0.85313	0.85609	0.87190	0.87428	0.85286	0.85488	
2013-10-12T06:00:00	0.86365	0.87440	0.85682	0.87263	0.86293	0.87416	0.85589	0.87190	
2013-10-05T06:00:00	0.85624	0.86502	0.84743	0.86365	0.85528	0.86483	0.84717	0.86293	
2013-09-28T06:00:00	0.84431	0.85786	0.84043	0.85624	0.84376	0.85762	0.84000	0.85528	
2013-09-21T06:00:00	0.85606	0.86157	0.84076	0.84431	0.85510	0.86131	0.84052	0.84376	
2013-09-14T06:00:00	0.85962	0.87054	0.85495	0.85606	0.85856	0.87031	0.85478	0.85510	
2013-09-07T06:00:00	0.86163	0.87123	0.85868	0.85962	0.86066	0.87091	0.85844	0.85856	
2013-08-31T06:00:00	0.82872	0.86830	0.83157	0.86163	0.82734	0.86805	0.83092	0.86066	
2013-08-24T06:00:00	0.83279	0.83635	0.81761	0.82872	0.83086	0.83611	0.81737	0.82734	
2013-08-17T06:00:00	0.85165	0.85499	0.82529	0.83279	0.84981	0.85474	0.82492	0.83086	
2013-08-10T06:00:00	0.84854	0.85890	0.84364	0.85165	0.84771	0.85865	0.84338	0.84981	
2013-08-03T06:00:00	0.82795	0.85004	0.82304	0.84854	0.82699	0.84982	0.82277	0.84771	
2013-07-27T06:00:00	0.86164	0.86189	0.82642	0.82795	0.85973	0.86150	0.82595	0.82699	
2013-07-20T06:00:00	0.86453	0.87123	0.85594	0.86164	0.86340	0.87090	0.85567	0.85973	
2013-07-13T06:00:00	0.85673	0.87409	0.85654	0.86453	0.85538	0.87336	0.85461	0.86340	
2013-07-06T06:00:00	0.87468	0.89683	0.85574	0.85673	0.87276	0.89637	0.85538	0.85538	
2013-06-29T06:00:00	0.86377	0.88115	0.85593	0.87468	0.86261	0.88070	0.85545	0.87276	
2013-06-22T06:00:00	0.86197	0.88212	0.85548	0.86377	0.86067	0.88182	0.85510	0.86261	
2013-06-15T06:00:00	0.88206	0.89098	0.85101	0.86197	0.88090	0.89072	0.85074	0.86067	
2013-06-08T06:00:00	0.88942	0.89178	0.86504	0.88206	0.88815	0.89136	0.86477	0.88090	
2013-06-01T06:00:00	0.91545	0.92933	0.87764	0.88942	0.91410	0.92911	0.87731	0.88815	
2013-05-25T06:00:00	0.92787	0.94107	0.91248	0.91545	0.92667	0.94082	0.91221	0.91410	
2013-05-18T06:00:00	0.94712	0.95399	0.92580	0.92787	0.94639	0.95372	0.92547	0.92667	
2013-05-11T06:00:00	0.95976	0.96201	0.93984	0.94712	0.95851	0.96180	0.93961	0.94639	
2013-05-04T06:00:00	0.96541	0.96541	0.95029	0.95976	0.96463	0.96463	0.94993	0.95851	
2013-04-27T06:00:00	0.96972	0.97228	0.94869	0.96541	0.96891	0.97202	0.94849	0.96463	
2013-04-20T06:00:00	0.96018	0.97769	0.95536	0.96972	0.95912	0.97745	0.95510	0.96891	
2013-04-13T06:00:00	0.97497	0.97737	0.95457	0.96018	0.97372	0.97681	0.95432	0.95912	
2013-04-06T06:00:00	0.97144	0.98586	0.96669	0.97497	0.96993	0.98562	0.96641	0.97372	
2013-03-30T06:00:00	0.99030	0.99647	0.96669	0.97144	0.98920	0.99624	0.96642	0.96993	
2013-03-23T06:00:00	0.98324	0.99789	0.97808	0.99030	0.98209	0.99764	0.97776	0.98920	
2013-03-16T06:00:00	0.97734	0.98980	0.97559	0.98324	0.97677	0.98954	0.97484	0.98209	
2013-03-09T07:00:00	0.97544	0.99032	0.97138	0.97734	0.97367	0.99010	0.97092	0.97677	
2013-03-02T07:00:00	0.96264	0.97760	0.95374	0.97544	0.96191	0.97734	0.95346	0.97367	
2013-02-23T07:00:00	0.95968	0.96574	0.94715	0.96264	0.95914	0.96551	0.94691	0.96191	
2013-02-16T07:00:00	0.95071	0.96318	0.94827	0.95968	0.94950	0.96296	0.94803	0.95914	
2013-02-09T07:00:00	0.94702	0.95701	0.93748	0.95071	0.94661	0.95681	0.93729	0.94950	
2013-02-02T07:00:00	0.94538	0.95243	0.93588	0.94702	0.94411	0.95144	0.93565	0.94661	
2013-01-26T07:00:00	0.96653	0.96862	0.93782	0.94538	0.96532	0.96840	0.93757	0.94411	
2013-01-19T07:00:00	0.98216	0.98478	0.96278	0.96653	0.98145	0.98454	0.96254	0.96532	
2013-01-12T07:00:00	0.96348	0.98782	0.96105	0.98216	0.96272	0.98752	0.96077	0.98145	
2013-01-05T07:00:00	0.96986	0.97834	0.96087	0.96348	0.96831	0.97810	0.96064	0.96272	
2012-12-29T07:00:00	0.94821	0.97189	0.94681	0.96986	0.94642	0.97165	0.94578	0.96831	
2012-12-22T07:00:00	0.95379	0.95438	0.94352	0.94821	0.95291	0.95413	0.94318	0.94642	
2012-12-15T07:00:00	0.97052	0.97052	0.95143	0.95379	0.96951	0.96955	0.95117	0.95291	
2012-12-08T07:00:00	0.98036	0.98339	0.96929	0.97052	0.97923	0.98316	0.96894	0.96951	
2012-12-01T07:00:00	0.96839	0.98237	0.96258	0.98036	0.96703	0.98213	0.96235	0.97923	
2012-11-24T07:00:00	0.97176	0.97553	0.96447	0.96839	0.96997	0.97526	0.96421	0.96703	
2012-11-17T07:00:00	0.97797	0.98217	0.96957	0.97176	0.97736	0.98185	0.96930	0.96997	
2012-11-10T07:00:00	0.98513	0.99067	0.97101	0.97797	0.98444	0.99046	0.97074	0.97736	
2012-11-03T06:00:00	0.97255	0.98890	0.97255	0.98513	0.97204	0.98866	0.97204	0.98444	
2012-10-27T06:00:00	0.97023	0.98185	0.96327	0.97255	0.96945	0.97826	0.96299	0.97204	
2012-10-20T06:00:00	0.95977	0.97063	0.95474	0.97023	0.95886	0.97033	0.95448	0.96945	
2012-10-13T06:00:00	0.95518	0.96051	0.94949	0.95977	0.95461	0.96031	0.94896	0.95886	
2012-10-06T06:00:00	0.94654	0.96631	0.94484	0.95518	0.94603	0.96608	0.94367	0.95461	
2012-09-29T06:00:00	0.97607	0.97748	0.94460	0.94654	0.97548	0.97715	0.94429	0.94603	
2012-09-22T06:00:00	0.97578	0.98046	0.97098	0.97607	0.97526	0.98021	0.97069	0.97548	
2012-09-15T06:00:00	0.97859	0.97998	0.96418	0.97578	0.97808	0.97981	0.96391	0.97526	
2012-09-08T06:00:00	0.98109	0.98917	0.97456	0.97859	0.97992	0.98884	0.97426	0.97808	
2012-09-01T06:00:00	0.98622	0.99037	0.97138	0.98109	0.98514	0.99013	0.97113	0.97992	
