日時	AUD/JPY(始値, 買い)	AUD/JPY(高値, 買い)	AUD/JPY(安値, 買い)	AUD/JPY(終値, 買い)	AUD/JPY(始値, 売り)	AUD/JPY(高値, 売り)	AUD/JPY(安値, 売り)	AUD/JPY(終値, 売り)	
2014-02-01T07:00:00	89.369	90.907	88.249	90.461	89.293	90.896	88.235	90.448	
2014-01-25T07:00:00	88.898	91.123	88.491	89.369	88.761	91.110	88.439	89.293	
2014-01-18T07:00:00	91.657	92.700	88.545	88.898	91.534	92.695	88.532	88.761	
2014-01-11T07:00:00	93.731	93.865	91.414	91.657	93.670	93.852	91.402	91.534	
2014-01-04T07:00:00	93.870	94.081	92.939	93.731	93.732	94.069	92.927	93.670	
2013-12-28T07:00:00	93.271	94.079	92.906	93.870	93.212	94.068	92.893	93.732	
2013-12-21T07:00:00	92.915	93.556	92.788	93.271	92.785	93.542	92.755	93.212	
2013-12-14T07:00:00	92.634	93.024	91.077	92.915	92.523	93.010	91.049	92.785	
2013-12-07T07:00:00	93.713	94.234	91.797	92.634	93.655	94.223	91.784	92.523	
2013-11-30T07:00:00	93.324	94.033	91.795	93.713	93.167	94.019	91.782	93.655	
2013-11-23T07:00:00	92.928	93.585	92.258	93.324	92.836	93.574	92.245	93.167	
2013-11-16T07:00:00	93.909	94.614	92.546	92.928	93.818	94.608	92.534	92.836	
2013-11-09T07:00:00	93.038	94.013	92.316	93.909	92.926	94.001	92.307	93.818	
2013-11-02T06:00:00	93.182	94.173	92.348	93.038	93.115	94.161	92.340	92.926	
2013-10-26T06:00:00	93.393	93.986	92.675	93.182	93.299	93.973	92.662	93.115	
2013-10-19T06:00:00	94.657	95.692	93.004	93.393	94.575	95.682	92.993	93.299	
2013-10-12T06:00:00	93.317	94.679	92.458	94.657	93.281	94.675	92.388	94.575	
2013-10-05T06:00:00	91.943	93.448	90.997	93.317	91.924	93.438	90.988	93.281	
2013-09-28T06:00:00	91.596	92.403	90.747	91.943	91.531	92.390	90.726	91.924	
2013-09-21T06:00:00	93.443	93.585	91.389	91.596	93.338	93.573	91.379	91.531	
2013-09-14T06:00:00	91.885	94.494	91.734	93.443	91.826	94.444	91.630	93.338	
