日時	AUD/NZD(始値, 買い)	AUD/NZD(高値, 買い)	AUD/NZD(安値, 買い)	AUD/NZD(終値, 買い)	AUD/NZD(始値, 売り)	AUD/NZD(高値, 売り)	AUD/NZD(安値, 売り)	AUD/NZD(終値, 売り)	
2014-02-01T07:00:00	1.08387	1.09491	1.07748	1.08514	1.08084	1.09467	1.07728	1.08487	
2014-01-25T07:00:00	1.05583	1.08387	1.05514	1.08387	1.05380	1.08298	1.05380	1.08084	
2014-01-18T07:00:00	1.06394	1.07083	1.04941	1.05583	1.06228	1.07047	1.04913	1.05380	
2014-01-11T07:00:00	1.08433	1.08639	1.05442	1.06394	1.08246	1.08609	1.05415	1.06228	
2014-01-04T07:00:00	1.08209	1.08625	1.07368	1.08433	1.08022	1.08596	1.07343	1.08246	
2013-12-28T07:00:00	1.08896	1.09087	1.08048	1.08209	1.08609	1.09054	1.08012	1.08022	
2013-12-21T07:00:00	1.08968	1.09267	1.08577	1.08896	1.08474	1.09142	1.08462	1.08609	
2013-12-14T07:00:00	1.08544	1.09029	1.07356	1.08968	1.08373	1.08981	1.07295	1.08474	
2013-12-07T07:00:00	1.09984	1.10501	1.08201	1.08544	1.09799	1.10481	1.08169	1.08373	
2013-11-30T07:00:00	1.11955	1.12001	1.09664	1.09984	1.11589	1.11885	1.09643	1.09799	
2013-11-23T07:00:00	1.12044	1.12285	1.11165	1.11955	1.11820	1.12255	1.11140	1.11589	
2013-11-16T07:00:00	1.12474	1.13166	1.11717	1.12044	1.12253	1.13120	1.11695	1.11820	
2013-11-09T07:00:00	1.13885	1.13700	1.12213	1.12474	1.13631	1.13675	1.12175	1.12253	
2013-11-02T06:00:00	1.14343	1.15014	1.13119	1.13885	1.14127	1.14910	1.13059	1.13631	
2013-10-26T06:00:00	1.15821	1.15986	1.14219	1.14343	1.15655	1.15793	1.14067	1.14127	
2013-10-19T06:00:00	1.13837	1.15821	1.13638	1.15821	1.13610	1.15751	1.13614	1.15655	
2013-10-12T06:00:00	1.13781	1.13989	1.13007	1.13837	1.13570	1.13960	1.12975	1.13610	
2013-10-05T06:00:00	1.13480	1.14429	1.13281	1.13781	1.13242	1.14397	1.13232	1.13570	
2013-09-28T06:00:00	1.12533	1.14300	1.12169	1.13480	1.12445	1.14259	1.12139	1.13242	
