日時	AUD/USD(始値, 買い)	AUD/USD(高値, 買い)	AUD/USD(安値, 買い)	AUD/USD(終値, 買い)	AUD/USD(始値, 売り)	AUD/USD(高値, 売り)	AUD/USD(安値, 売り)	AUD/USD(終値, 売り)	
2014-02-01T07:00:00	0.87578	0.89425	0.87310	0.89110	0.87471	0.89409	0.87295	0.89089	
2014-01-25T07:00:00	0.86878	0.88267	0.86786	0.87578	0.86781	0.88250	0.86766	0.87471	
2014-01-18T07:00:00	0.87848	0.88886	0.86613	0.86878	0.87781	0.88870	0.86592	0.86781	
2014-01-11T07:00:00	0.89954	0.90868	0.87645	0.87848	0.89931	0.90852	0.87624	0.87781	
2014-01-04T07:00:00	0.89498	0.90059	0.88655	0.89954	0.89401	0.90043	0.88641	0.89931	
2013-12-28T07:00:00	0.88707	0.90055	0.88345	0.89498	0.88662	0.90039	0.88327	0.89401	
2013-12-21T07:00:00	0.89263	0.89591	0.88631	0.88707	0.89171	0.89573	0.88612	0.88662	
2013-12-14T07:00:00	0.89680	0.89707	0.88227	0.89263	0.89636	0.89690	0.88200	0.89171	
2013-12-07T07:00:00	0.91053	0.91679	0.89103	0.89680	0.91002	0.91660	0.89086	0.89636	
2013-11-30T07:00:00	0.91097	0.91692	0.89912	0.91053	0.90989	0.91673	0.89884	0.91002	
2013-11-23T07:00:00	0.91745	0.92052	0.90568	0.91097	0.91661	0.92035	0.90549	0.90989	
2013-11-16T07:00:00	0.93759	0.94487	0.91445	0.91745	0.93625	0.94470	0.91424	0.91661	
2013-11-09T07:00:00	0.93868	0.93908	0.92702	0.93759	0.93838	0.93897	0.92681	0.93625	
2013-11-02T06:00:00	0.94399	0.95437	0.93527	0.93868	0.94346	0.95427	0.93517	0.93838	
2013-10-26T06:00:00	0.95887	0.96235	0.94225	0.94399	0.95800	0.96216	0.94208	0.94346	
2013-10-19T06:00:00	0.96788	0.97587	0.95730	0.95887	0.96720	0.97571	0.95712	0.95800	
2013-10-12T06:00:00	0.94670	0.96789	0.94211	0.96788	0.94622	0.96765	0.94158	0.96720	
2013-10-05T06:00:00	0.94357	0.94855	0.93893	0.94670	0.94298	0.94839	0.93874	0.94622	
2013-09-28T06:00:00	0.93173	0.94598	0.92825	0.94357	0.93147	0.94578	0.92797	0.94298	
2013-09-21T06:00:00	0.94012	0.94582	0.92984	0.93173	0.93932	0.94563	0.92966	0.93147	
2013-09-14T06:00:00	0.92482	0.95295	0.92666	0.94012	0.92424	0.95276	0.92583	0.93932	
2013-09-07T06:00:00	0.91862	0.93557	0.91681	0.92482	0.91797	0.93533	0.91666	0.92424	
2013-08-31T06:00:00	0.89128	0.92182	0.89256	0.91862	0.88993	0.92161	0.89224	0.91797	
2013-08-24T06:00:00	0.90335	0.90712	0.88933	0.89128	0.90198	0.90689	0.88914	0.88993	
2013-08-17T06:00:00	0.91871	0.92339	0.89329	0.90335	0.91775	0.92326	0.89311	0.90198	
2013-08-10T06:00:00	0.92024	0.92221	0.90596	0.91871	0.91880	0.92203	0.90581	0.91775	
2013-08-03T06:00:00	0.89071	0.92156	0.88488	0.92024	0.89012	0.92138	0.88470	0.91880	
2013-07-27T06:00:00	0.92706	0.92880	0.88722	0.89071	0.92628	0.92861	0.88695	0.89012	
2013-07-20T06:00:00	0.91837	0.93198	0.91298	0.92706	0.91717	0.93174	0.91277	0.92628	
2013-07-13T06:00:00	0.90559	0.92931	0.90368	0.91837	0.90437	0.92913	0.90350	0.91717	
2013-07-06T06:00:00	0.90728	0.93066	0.89997	0.90559	0.90550	0.93045	0.89974	0.90437	
2013-06-29T06:00:00	0.91436	0.92542	0.90375	0.90728	0.91322	0.92523	0.90350	0.90550	
2013-06-22T06:00:00	0.92219	0.93458	0.91144	0.91436	0.92135	0.93438	0.91124	0.91322	
2013-06-15T06:00:00	0.95741	0.96424	0.91644	0.92219	0.95675	0.96405	0.91624	0.92135	
2013-06-08T06:00:00	0.94998	0.96671	0.93269	0.95741	0.94941	0.96653	0.93248	0.95675	
2013-06-01T06:00:00	0.95764	0.97927	0.94296	0.94998	0.95700	0.97910	0.94270	0.94941	
2013-05-25T06:00:00	0.96524	0.96983	0.95290	0.95764	0.96418	0.96967	0.95274	0.95700	
2013-05-18T06:00:00	0.97378	0.98435	0.95945	0.96524	0.97335	0.98417	0.95929	0.96418	
2013-05-11T06:00:00	1.00274	1.00274	0.97122	0.97378	1.00189	1.00189	0.97105	0.97335	
2013-05-04T06:00:00	1.03185	1.03185	0.99621	1.00274	1.03138	1.03138	0.99602	1.00189	
2013-04-27T06:00:00	1.02852	1.03855	1.02229	1.03185	1.02816	1.03843	1.02214	1.03138	
2013-04-20T06:00:00	1.02788	1.03403	1.02220	1.02852	1.02740	1.03386	1.02202	1.02816	
2013-04-13T06:00:00	1.05104	1.05289	1.02700	1.02788	1.05016	1.05231	1.02681	1.02740	
2013-04-06T06:00:00	1.03899	1.05830	1.03488	1.05104	1.03878	1.05815	1.03476	1.05016	
2013-03-30T06:00:00	1.04231	1.04984	1.03560	1.03899	1.04164	1.04965	1.03541	1.03878	
2013-03-23T06:00:00	1.04489	1.04980	1.03978	1.04231	1.04433	1.04961	1.03960	1.04164	
2013-03-16T06:00:00	1.04103	1.04611	1.03453	1.04489	1.04073	1.04592	1.03417	1.04433	
2013-03-09T07:00:00	1.02361	1.04152	1.02051	1.04103	1.02302	1.04133	1.01992	1.04073	
2013-03-02T07:00:00	1.02063	1.03020	1.01163	1.02361	1.02016	1.03006	1.01143	1.02302	
2013-02-23T07:00:00	1.03238	1.03360	1.01832	1.02063	1.03176	1.03312	1.01816	1.02016	
2013-02-16T07:00:00	1.03083	1.03685	1.02222	1.03238	1.03044	1.03671	1.02203	1.03176	
2013-02-09T07:00:00	1.03225	1.03756	1.02281	1.03083	1.03141	1.03742	1.02264	1.03044	
