日時	CAD/CHF(始値, 買い)	CAD/CHF(高値, 買い)	CAD/CHF(安値, 買い)	CAD/CHF(終値, 買い)	CAD/CHF(始値, 売り)	CAD/CHF(高値, 売り)	CAD/CHF(安値, 売り)	CAD/CHF(終値, 売り)	
2014-02-01T07:00:00	0.81442	0.81995	0.81037	0.81786	0.81317	0.81964	0.80928	0.81754	
2014-01-25T07:00:00	0.80722	0.81669	0.79987	0.81442	0.80621	0.81630	0.79954	0.81317	
2014-01-18T07:00:00	0.83102	0.83413	0.80370	0.80722	0.82946	0.83381	0.80334	0.80621	
2014-01-11T07:00:00	0.82910	0.83251	0.82325	0.83102	0.82668	0.83219	0.82294	0.82946	
2014-01-04T07:00:00	0.85201	0.85399	0.82502	0.82910	0.85065	0.85367	0.82465	0.82668	
2013-12-28T07:00:00	0.83387	0.85330	0.82996	0.85201	0.83143	0.85297	0.82964	0.85065	
2013-12-21T07:00:00	0.84355	0.84576	0.82532	0.83387	0.84110	0.84537	0.82489	0.83143	
2013-12-14T07:00:00	0.84105	0.84384	0.83139	0.84355	0.83862	0.84300	0.83103	0.84110	
2013-12-07T07:00:00	0.83882	0.84141	0.83360	0.84105	0.83637	0.84107	0.83328	0.83862	
2013-11-30T07:00:00	0.85472	0.85667	0.83665	0.83882	0.85260	0.85635	0.83631	0.83637	
2013-11-23T07:00:00	0.86365	0.86598	0.85146	0.85472	0.86121	0.86526	0.85111	0.85260	
2013-11-16T07:00:00	0.87705	0.87999	0.86045	0.86365	0.87566	0.87949	0.86014	0.86121	
2013-11-09T07:00:00	0.88022	0.88110	0.87060	0.87705	0.87867	0.88079	0.87028	0.87566	
2013-11-02T06:00:00	0.87560	0.88591	0.87167	0.88022	0.87424	0.88561	0.87134	0.87867	
2013-10-26T06:00:00	0.85464	0.87599	0.85411	0.87560	0.85333	0.87566	0.85309	0.87424	
2013-10-19T06:00:00	0.87645	0.87860	0.85294	0.85464	0.87584	0.87828	0.85262	0.85333	
2013-10-12T06:00:00	0.88165	0.88684	0.87516	0.87645	0.88033	0.88654	0.87485	0.87584	
2013-10-05T06:00:00	0.88156	0.88215	0.87067	0.88165	0.88041	0.88117	0.87032	0.88033	
2013-09-28T06:00:00	0.87893	0.88200	0.86888	0.88156	0.87841	0.88160	0.86857	0.88041	
2013-09-21T06:00:00	0.88390	0.88881	0.87455	0.87893	0.88295	0.88834	0.87423	0.87841	
2013-09-14T06:00:00	0.89805	0.90276	0.88320	0.88390	0.89689	0.90242	0.88277	0.88295	
2013-09-07T06:00:00	0.90075	0.90664	0.89737	0.89805	0.89929	0.90636	0.89689	0.89689	
2013-08-31T06:00:00	0.88356	0.90677	0.88415	0.90075	0.88118	0.90649	0.88321	0.89929	
2013-08-24T06:00:00	0.87854	0.88728	0.87238	0.88356	0.87716	0.88696	0.87209	0.88118	
2013-08-17T06:00:00	0.89681	0.89872	0.87337	0.87854	0.89524	0.89841	0.87304	0.87716	
2013-08-10T06:00:00	0.89778	0.90856	0.89175	0.89681	0.89539	0.90827	0.89145	0.89524	
