日時	CAD/JPY(始値, 買い)	CAD/JPY(高値, 買い)	CAD/JPY(安値, 買い)	CAD/JPY(終値, 買い)	CAD/JPY(始値, 売り)	CAD/JPY(高値, 売り)	CAD/JPY(安値, 売り)	CAD/JPY(終値, 売り)	
2014-02-01T07:00:00	91.715	92.230	90.826	91.603	91.607	92.210	90.787	91.578	
2014-01-25T07:00:00	92.329	93.245	91.085	91.715	92.211	93.222	91.061	91.607	
2014-01-18T07:00:00	95.175	95.598	92.043	92.329	95.066	95.572	92.020	92.211	
2014-01-11T07:00:00	95.613	95.915	94.591	95.175	95.546	95.893	94.567	95.066	
2014-01-04T07:00:00	98.622	98.709	95.114	95.613	98.530	98.688	95.091	95.546	
2013-12-28T07:00:00	98.295	99.162	97.729	98.622	98.173	99.136	97.700	98.530	
2013-12-21T07:00:00	97.897	98.701	97.604	98.295	97.808	98.677	97.577	98.173	
2013-12-14T07:00:00	97.591	98.016	96.558	97.897	97.419	97.991	96.415	97.808	
2013-12-07T07:00:00	96.782	97.624	96.323	97.591	96.707	97.602	96.290	97.419	
2013-11-30T07:00:00	96.561	97.108	95.190	96.782	96.390	97.086	95.165	96.707	
2013-11-23T07:00:00	96.321	96.865	95.916	96.561	96.246	96.843	95.891	96.390	
2013-11-16T07:00:00	96.025	96.467	95.432	96.321	95.909	96.447	95.410	96.246	
2013-11-09T07:00:00	94.617	96.041	94.423	96.025	94.478	96.012	94.399	95.909	
2013-11-02T06:00:00	94.712	95.230	93.472	94.617	94.656	95.208	93.451	94.478	
2013-10-26T06:00:00	93.230	94.769	93.264	94.712	93.134	94.743	93.238	94.656	
2013-10-19T06:00:00	95.072	95.751	92.909	93.230	95.004	95.727	92.885	93.134	
2013-10-12T06:00:00	95.228	95.872	94.454	95.072	95.181	95.844	94.399	95.004	
2013-10-05T06:00:00	94.708	95.253	93.332	95.228	94.643	95.224	93.311	95.181	
2013-09-28T06:00:00	95.398	95.658	93.872	94.708	95.337	95.632	93.850	94.643	
2013-09-21T06:00:00	96.450	96.476	95.181	95.398	96.389	96.451	95.159	95.337	
2013-09-14T06:00:00	95.972	97.508	95.517	96.450	95.949	97.449	95.384	96.389	
2013-09-07T06:00:00	95.241	97.208	95.522	95.972	95.170	97.183	95.498	95.949	
2013-08-31T06:00:00	93.204	95.871	93.249	95.241	93.066	95.772	93.190	95.170	
2013-08-24T06:00:00	94.050	94.110	92.292	93.204	93.965	94.083	92.258	93.066	
2013-08-17T06:00:00	94.398	95.022	93.142	94.050	94.311	94.997	93.102	93.965	
2013-08-10T06:00:00	93.599	95.280	93.302	94.398	93.482	95.255	93.264	94.311	
2013-08-03T06:00:00	95.249	95.374	92.329	93.599	95.158	95.347	92.302	93.482	
2013-07-27T06:00:00	95.662	96.341	94.725	95.249	95.572	96.313	94.699	95.158	
2013-07-20T06:00:00	97.116	97.674	95.291	95.662	97.043	97.651	95.265	95.572	
2013-07-13T06:00:00	95.401	97.120	95.227	97.116	95.367	97.083	95.117	97.043	
2013-07-06T06:00:00	95.817	96.219	94.455	95.401	95.626	96.176	94.368	95.367	
2013-06-29T06:00:00	94.344	95.819	94.220	95.817	94.167	95.766	94.127	95.626	
2013-06-22T06:00:00	93.649	94.603	92.190	94.344	93.504	94.582	92.164	94.167	
2013-06-15T06:00:00	92.540	95.136	92.542	93.649	92.413	95.107	92.448	93.504	
2013-06-08T06:00:00	95.719	97.420	91.809	92.540	95.604	97.398	91.786	92.413	
2013-06-01T06:00:00	96.928	97.376	92.966	95.719	96.867	97.353	92.943	95.604	
2013-05-25T06:00:00	98.223	99.051	96.801	96.928	98.159	99.004	96.758	96.867	
