日時	CHF/JPY(始値, 買い)	CHF/JPY(高値, 買い)	CHF/JPY(安値, 買い)	CHF/JPY(終値, 買い)	CHF/JPY(始値, 売り)	CHF/JPY(高値, 売り)	CHF/JPY(安値, 売り)	CHF/JPY(終値, 売り)	
2014-02-01T07:00:00	112.681	112.923	111.707	112.362	112.576	112.910	111.686	112.343	
2014-01-25T07:00:00	114.441	115.147	112.558	112.681	114.270	115.026	112.533	112.576	
2014-01-18T07:00:00	114.677	115.658	113.814	114.441	114.502	115.642	113.792	114.270	
2014-01-11T07:00:00	115.418	115.589	113.981	114.677	115.335	115.579	113.966	114.502	
2014-01-04T07:00:00	115.843	115.990	114.861	115.418	115.751	115.968	114.850	115.335	
2013-12-28T07:00:00	118.005	118.550	115.398	115.843	117.831	118.533	115.378	115.751	
2013-12-21T07:00:00	116.238	119.206	115.918	118.005	116.094	119.182	115.902	117.831	
2013-12-14T07:00:00	116.184	116.842	115.540	116.238	116.033	116.822	115.525	116.094	
2013-12-07T07:00:00	115.409	116.734	115.270	116.184	115.315	116.713	115.252	116.033	
2013-11-30T07:00:00	113.159	115.424	112.863	115.409	112.984	115.410	112.847	115.315	
2013-11-23T07:00:00	111.706	113.408	111.229	113.159	111.596	113.393	111.214	112.984	
2013-11-16T07:00:00	109.570	111.726	108.889	111.706	109.441	111.712	108.873	111.596	
2013-11-09T07:00:00	107.585	109.678	107.287	109.570	107.430	109.668	107.271	109.441	
2013-11-02T06:00:00	108.263	108.510	106.778	107.585	108.173	108.501	106.773	107.430	
2013-10-26T06:00:00	109.116	109.715	107.686	108.263	109.075	109.699	107.673	108.173	
2013-10-19T06:00:00	108.494	109.756	108.415	109.116	108.369	109.742	108.372	109.075	
2013-10-12T06:00:00	108.104	108.722	107.428	108.494	108.065	108.706	107.414	108.369	
2013-10-05T06:00:00	107.472	108.447	106.669	108.104	107.412	108.433	106.656	108.065	
