日時	EUR/AUD(始値, 買い)	EUR/AUD(高値, 買い)	EUR/AUD(安値, 買い)	EUR/AUD(終値, 買い)	EUR/AUD(始値, 売り)	EUR/AUD(高値, 売り)	EUR/AUD(安値, 売り)	EUR/AUD(終値, 売り)	
2014-02-01T07:00:00	1.54150	1.54844	1.51136	1.51774	1.54033	1.54824	1.51110	1.51744	
2014-01-25T07:00:00	1.57587	1.57742	1.53629	1.54150	1.57420	1.57713	1.53605	1.54033	
2014-01-18T07:00:00	1.54250	1.58338	1.52381	1.57587	1.54090	1.58309	1.52359	1.57420	
2014-01-11T07:00:00	1.52025	1.55091	1.50318	1.54250	1.51865	1.55070	1.50293	1.54090	
2014-01-04T07:00:00	1.51986	1.53569	1.51297	1.52025	1.51795	1.53544	1.51270	1.51865	
2013-12-28T07:00:00	1.55069	1.55598	1.51179	1.51986	1.54889	1.55561	1.51149	1.51795	
2013-12-21T07:00:00	1.53338	1.56000	1.52884	1.55069	1.53147	1.55962	1.52856	1.54889	
2013-12-14T07:00:00	1.53353	1.55830	1.53081	1.53338	1.53168	1.55762	1.53039	1.53147	
2013-12-07T07:00:00	1.50629	1.54338	1.50175	1.53353	1.50469	1.54316	1.50157	1.53168	
2013-11-30T07:00:00	1.49361	1.51657	1.48011	1.50629	1.49181	1.51618	1.47991	1.50469	
2013-11-23T07:00:00	1.47899	1.50332	1.47110	1.49361	1.47728	1.50305	1.47081	1.49181	
2013-11-16T07:00:00	1.44121	1.48084	1.43192	1.47899	1.43976	1.48061	1.43176	1.47728	
2013-11-09T07:00:00	1.42474	1.44879	1.42308	1.44121	1.42341	1.44840	1.42256	1.43976	
2013-11-02T06:00:00	1.43006	1.42990	1.40518	1.42474	1.42890	1.42856	1.40492	1.42341	
2013-10-26T06:00:00	1.44053	1.45317	1.42528	1.43006	1.43948	1.45300	1.42509	1.42890	
2013-10-19T06:00:00	1.41506	1.44228	1.41258	1.44053	1.41385	1.44193	1.41230	1.43948	
2013-10-12T06:00:00	1.43101	1.44091	1.41351	1.41506	1.42991	1.43962	1.41326	1.41385	
2013-10-05T06:00:00	1.43778	1.44678	1.42730	1.43101	1.43628	1.44654	1.42707	1.42991	
2013-09-28T06:00:00	1.45200	1.45558	1.43377	1.43778	1.45026	1.45507	1.43347	1.43628	
2013-09-21T06:00:00	1.43996	1.45620	1.42744	1.45200	1.43872	1.45594	1.42721	1.45026	
2013-09-14T06:00:00	1.43842	1.44014	1.41952	1.43996	1.43779	1.43968	1.41912	1.43872	
2013-09-07T06:00:00	1.43516	1.44028	1.42380	1.43842	1.43431	1.44010	1.42349	1.43779	
2013-08-31T06:00:00	1.48541	1.48077	1.42625	1.43516	1.48403	1.48039	1.42597	1.43431	
2013-08-24T06:00:00	1.48258	1.50322	1.47627	1.48541	1.48112	1.50297	1.47586	1.48403	
2013-08-17T06:00:00	1.45199	1.49320	1.44448	1.48258	1.45117	1.49282	1.44422	1.48112	
2013-08-10T06:00:00	1.45162	1.46302	1.44518	1.45199	1.44991	1.46278	1.44489	1.45117	
2013-08-03T06:00:00	1.49172	1.49960	1.44804	1.45162	1.49093	1.49936	1.44776	1.44991	
2013-07-27T06:00:00	1.43332	1.49415	1.43128	1.49172	1.43245	1.49385	1.43100	1.49093	
2013-07-20T06:00:00	1.43189	1.44572	1.41868	1.43332	1.43075	1.44551	1.41843	1.43245	
2013-07-13T06:00:00	1.44464	1.44408	1.41674	1.43189	1.44282	1.44228	1.41651	1.43075	
2013-07-06T06:00:00	1.41607	1.44801	1.38642	1.44464	1.41469	1.44767	1.38605	1.44282	
2013-06-29T06:00:00	1.42463	1.44006	1.40293	1.41607	1.42281	1.43963	1.40265	1.41469	
2013-06-22T06:00:00	1.42411	1.43180	1.39392	1.42463	1.42269	1.43139	1.39362	1.42281	
2013-06-15T06:00:00	1.39449	1.44180	1.38266	1.42411	1.39340	1.44151	1.38241	1.42269	
2013-06-08T06:00:00	1.39210	1.42384	1.38129	1.39449	1.39049	1.42364	1.38107	1.39340	
2013-06-01T06:00:00	1.35808	1.40212	1.33721	1.39210	1.35678	1.40175	1.33693	1.39049	
2013-05-25T06:00:00	1.34141	1.35926	1.33294	1.35808	1.33985	1.35908	1.33269	1.35678	
