日時	EUR/CAD(始値, 買い)	EUR/CAD(高値, 買い)	EUR/CAD(安値, 買い)	EUR/CAD(終値, 買い)	EUR/CAD(始値, 売り)	EUR/CAD(高値, 売り)	EUR/CAD(安値, 売り)	EUR/CAD(終値, 売り)	
2014-02-01T07:00:00	1.50215	1.50475	1.49088	1.49887	1.50120	1.50392	1.49065	1.49858	
2014-01-25T07:00:00	1.51667	1.53084	1.49688	1.50215	1.51567	1.53060	1.49654	1.50120	
2014-01-18T07:00:00	1.48506	1.52765	1.47887	1.51667	1.48396	1.52743	1.47857	1.51567	
2014-01-11T07:00:00	1.49035	1.49924	1.48234	1.48506	1.48914	1.49901	1.48210	1.48396	
2014-01-04T07:00:00	1.44598	1.49541	1.44112	1.49035	1.44429	1.49516	1.44085	1.48914	
2013-12-28T07:00:00	1.47255	1.47743	1.44218	1.44598	1.47072	1.47722	1.44192	1.44429	
2013-12-21T07:00:00	1.45503	1.48199	1.44969	1.47255	1.45365	1.48169	1.44936	1.47072	
2013-12-14T07:00:00	1.45548	1.47051	1.45344	1.45503	1.45386	1.47020	1.45315	1.45365	
2013-12-07T07:00:00	1.45842	1.46651	1.45342	1.45548	1.45751	1.46630	1.45314	1.45386	
2013-11-30T07:00:00	1.44369	1.46128	1.43855	1.45842	1.44198	1.46108	1.43830	1.45751	
2013-11-23T07:00:00	1.42636	1.44570	1.42301	1.44369	1.42537	1.44544	1.42279	1.44198	
2013-11-16T07:00:00	1.40935	1.42884	1.40182	1.42636	1.40837	1.42859	1.40139	1.42537	
2013-11-09T07:00:00	1.40153	1.41680	1.39918	1.40935	1.40070	1.41657	1.39892	1.40837	
2013-11-02T06:00:00	1.40667	1.41392	1.38881	1.40153	1.40577	1.41375	1.38860	1.40070	
2013-10-26T06:00:00	1.44331	1.44359	1.40556	1.40667	1.44206	1.44296	1.40537	1.40577	
2013-10-19T06:00:00	1.40844	1.44422	1.40605	1.44331	1.40763	1.44399	1.40580	1.44206	
2013-10-12T06:00:00	1.40202	1.41018	1.39445	1.40844	1.40152	1.40992	1.39426	1.40763	
2013-10-05T06:00:00	1.39585	1.41203	1.39613	1.40202	1.39496	1.41127	1.39466	1.40152	
2013-09-28T06:00:00	1.39389	1.40867	1.38964	1.39585	1.39297	1.40842	1.38936	1.39496	
2013-09-21T06:00:00	1.39414	1.39963	1.38368	1.39389	1.39374	1.39940	1.38308	1.39297	
2013-09-14T06:00:00	1.37722	1.39502	1.37155	1.39414	1.37689	1.39478	1.37128	1.39374	
2013-09-07T06:00:00	1.37261	1.37732	1.36729	1.37722	1.37149	1.37706	1.36703	1.37689	
2013-08-31T06:00:00	1.39402	1.39430	1.36498	1.37261	1.39244	1.39365	1.36474	1.37149	
2013-08-24T06:00:00	1.40482	1.40978	1.38798	1.39402	1.40411	1.40919	1.38768	1.39244	
2013-08-17T06:00:00	1.37871	1.41285	1.37538	1.40482	1.37794	1.41262	1.37512	1.40411	
2013-08-10T06:00:00	1.37296	1.38345	1.36666	1.37871	1.37207	1.38320	1.36642	1.37794	
2013-08-03T06:00:00	1.38029	1.39225	1.37113	1.37296	1.37958	1.39201	1.37086	1.37207	
2013-07-27T06:00:00	1.36483	1.38103	1.35946	1.38029	1.36430	1.38073	1.35920	1.37958	
2013-07-20T06:00:00	1.36224	1.36833	1.35740	1.36483	1.36153	1.36794	1.35714	1.36430	
2013-07-13T06:00:00	1.35874	1.37216	1.35512	1.36224	1.35839	1.37154	1.35488	1.36153	
2013-07-06T06:00:00	1.35743	1.37235	1.34321	1.35874	1.35621	1.37133	1.34294	1.35839	
2013-06-29T06:00:00	1.36851	1.37705	1.35180	1.35743	1.36791	1.37685	1.35150	1.35621	
2013-06-22T06:00:00	1.37306	1.38185	1.35894	1.36851	1.37192	1.38158	1.35864	1.36791	
2013-06-15T06:00:00	1.35807	1.38066	1.35287	1.37306	1.35720	1.38042	1.35260	1.37192	
2013-06-08T06:00:00	1.34727	1.36768	1.34374	1.35807	1.34656	1.36738	1.34352	1.35720	
