日時	EUR/CHF(始値, 買い)	EUR/CHF(高値, 買い)	EUR/CHF(安値, 買い)	EUR/CHF(終値, 買い)	EUR/CHF(始値, 売り)	EUR/CHF(高値, 売り)	EUR/CHF(安値, 売り)	EUR/CHF(終値, 売り)	
2014-02-01T07:00:00	1.22272	1.22433	1.21858	1.22178	1.22189	1.22413	1.21837	1.22155	
2014-01-25T07:00:00	1.22353	1.22984	1.22117	1.22272	1.22291	1.22968	1.22102	1.22189	
2014-01-18T07:00:00	1.23300	1.23776	1.22272	1.22353	1.23204	1.23756	1.22251	1.22291	
2014-01-11T07:00:00	1.23453	1.23763	1.22911	1.23300	1.23357	1.23743	1.22884	1.23204	
2014-01-04T07:00:00	1.23089	1.23951	1.22982	1.23453	1.22999	1.23937	1.22940	1.23357	
2013-12-28T07:00:00	1.22603	1.23216	1.22423	1.23089	1.22507	1.23196	1.22402	1.22999	
2013-12-21T07:00:00	1.22568	1.22798	1.22267	1.22603	1.22472	1.22776	1.22247	1.22507	
2013-12-14T07:00:00	1.22243	1.22755	1.21680	1.22568	1.22141	1.22736	1.21657	1.22472	
2013-12-07T07:00:00	1.22308	1.22486	1.22014	1.22243	1.22191	1.22468	1.21994	1.22141	
2013-11-30T07:00:00	1.23208	1.23249	1.22160	1.22308	1.23107	1.23229	1.22141	1.22191	
2013-11-23T07:00:00	1.22995	1.23335	1.22876	1.23208	1.22899	1.23318	1.22851	1.23107	
2013-11-16T07:00:00	1.23495	1.23484	1.22864	1.22995	1.23442	1.23447	1.22845	1.22899	
2013-11-09T07:00:00	1.23201	1.23525	1.23141	1.23495	1.23098	1.23504	1.23123	1.23442	
2013-11-02T06:00:00	1.23075	1.23410	1.22843	1.23201	1.23023	1.23375	1.22822	1.23098	
2013-10-26T06:00:00	1.23251	1.23725	1.22992	1.23075	1.23172	1.23708	1.22974	1.23023	
2013-10-19T06:00:00	1.23416	1.23653	1.22837	1.23251	1.23382	1.23635	1.22816	1.23172	
2013-10-12T06:00:00	1.23521	1.23764	1.23118	1.23416	1.23449	1.23746	1.23101	1.23382	
2013-10-05T06:00:00	1.22992	1.23545	1.22540	1.23521	1.22914	1.23526	1.22522	1.23449	
2013-09-28T06:00:00	1.22545	1.23013	1.22160	1.22992	1.22453	1.22995	1.22141	1.22914	
2013-09-21T06:00:00	1.23185	1.23365	1.22377	1.22545	1.23124	1.23351	1.22356	1.22453	
2013-09-14T06:00:00	1.23630	1.23857	1.23038	1.23185	1.23559	1.23838	1.23021	1.23124	
2013-09-07T06:00:00	1.23622	1.24158	1.23365	1.23630	1.23525	1.24138	1.23346	1.23559	
2013-08-31T06:00:00	1.23006	1.24020	1.23036	1.23622	1.22900	1.24000	1.22979	1.23525	
2013-08-24T06:00:00	1.23336	1.23574	1.22787	1.23006	1.23268	1.23557	1.22766	1.22900	
2013-08-17T06:00:00	1.23519	1.23715	1.22860	1.23336	1.23451	1.23701	1.22848	1.23268	
2013-08-10T06:00:00	1.23115	1.24355	1.22972	1.23519	1.22993	1.24343	1.22949	1.23451	
2013-08-03T06:00:00	1.23461	1.23593	1.22686	1.23115	1.23396	1.23577	1.22665	1.22993	
2013-07-27T06:00:00	1.23335	1.23986	1.23058	1.23461	1.23248	1.23969	1.23040	1.23396	
2013-07-20T06:00:00	1.23710	1.24043	1.23145	1.23335	1.23627	1.24024	1.23127	1.23248	
2013-07-13T06:00:00	1.23659	1.24048	1.23266	1.23710	1.23565	1.24030	1.23253	1.23627	
2013-07-06T06:00:00	1.23723	1.24679	1.23496	1.23659	1.23605	1.24653	1.23467	1.23565	
2013-06-29T06:00:00	1.23001	1.23833	1.22788	1.23723	1.22840	1.23816	1.22754	1.23605	
2013-06-22T06:00:00	1.22699	1.23556	1.22200	1.23001	1.22529	1.23539	1.22182	1.22840	
2013-06-15T06:00:00	1.22971	1.23658	1.22432	1.22699	1.22846	1.23638	1.22415	1.22529	
2013-06-08T06:00:00	1.23743	1.24199	1.22243	1.22971	1.23651	1.24180	1.22215	1.22846	
2013-06-01T06:00:00	1.24251	1.24877	1.22707	1.23743	1.24177	1.24859	1.22688	1.23651	
2013-05-25T06:00:00	1.24356	1.25739	1.23808	1.24251	1.24261	1.25720	1.23788	1.24177	
2013-05-18T06:00:00	1.24834	1.26507	1.24072	1.24356	1.24777	1.26490	1.24059	1.24261	
2013-05-11T06:00:00	1.24381	1.25259	1.23844	1.24834	1.24309	1.25246	1.23825	1.24777	
2013-05-04T06:00:00	1.22722	1.24611	1.22563	1.24381	1.22659	1.24601	1.22543	1.24309	
2013-04-27T06:00:00	1.22873	1.23084	1.21978	1.22722	1.22808	1.23065	1.21955	1.22659	
2013-04-20T06:00:00	1.21937	1.23497	1.21811	1.22873	1.21872	1.23478	1.21709	1.22808	
2013-04-13T06:00:00	1.21623	1.21937	1.21387	1.21937	1.21560	1.21912	1.21347	1.21872	
2013-04-06T06:00:00	1.21488	1.22133	1.21316	1.21623	1.21415	1.22114	1.21248	1.21560	
2013-03-30T06:00:00	1.21726	1.21842	1.21329	1.21488	1.21632	1.21824	1.21308	1.21415	
2013-03-23T06:00:00	1.22235	1.22556	1.21577	1.21726	1.22142	1.22533	1.21558	1.21632	
2013-03-16T06:00:00	1.22780	1.22914	1.21701	1.22235	1.22710	1.22877	1.21622	1.22142	
2013-03-09T07:00:00	1.23755	1.23821	1.22582	1.22780	1.23744	1.23804	1.22565	1.22710	
2013-03-02T07:00:00	1.22801	1.23917	1.22398	1.23755	1.22742	1.23896	1.22377	1.23744	
2013-02-23T07:00:00	1.22650	1.23261	1.21194	1.22801	1.22586	1.23241	1.21181	1.22742	
2013-02-16T07:00:00	1.23215	1.23610	1.22599	1.22650	1.23128	1.23591	1.22562	1.22586	
