日時	EUR/GBP(始値, 買い)	EUR/GBP(高値, 買い)	EUR/GBP(安値, 買い)	EUR/GBP(終値, 買い)	EUR/GBP(始値, 売り)	EUR/GBP(高値, 売り)	EUR/GBP(安値, 売り)	EUR/GBP(終値, 売り)	
2014-02-01T07:00:00	0.82081	0.83275	0.82034	0.82767	0.82016	0.83256	0.81982	0.82748	
2014-01-25T07:00:00	0.83004	0.83070	0.81890	0.82081	0.82941	0.83052	0.81875	0.82016	
2014-01-18T07:00:00	0.82482	0.83017	0.81691	0.83004	0.82430	0.83001	0.81673	0.82941	
2014-01-11T07:00:00	0.82948	0.83497	0.82350	0.82482	0.82882	0.83480	0.82331	0.82430	
2014-01-04T07:00:00	0.82806	0.83325	0.82314	0.82948	0.82751	0.83307	0.82298	0.82882	
2013-12-28T07:00:00	0.83424	0.83748	0.82714	0.82806	0.83356	0.83724	0.82695	0.82751	
2013-12-21T07:00:00	0.83738	0.83939	0.83306	0.83424	0.83671	0.83919	0.83288	0.83356	
2013-12-14T07:00:00	0.84358	0.84675	0.83318	0.83738	0.84286	0.84661	0.83296	0.83671	
2013-12-07T07:00:00	0.83860	0.84415	0.83515	0.84358	0.83797	0.84396	0.83497	0.84286	
2013-11-30T07:00:00	0.83058	0.83901	0.82534	0.83860	0.82979	0.83882	0.82517	0.83797	
2013-11-23T07:00:00	0.83586	0.83919	0.82985	0.83058	0.83523	0.83900	0.82967	0.82979	
2013-11-16T07:00:00	0.83756	0.84157	0.83173	0.83586	0.83693	0.84138	0.83159	0.83523	
2013-11-09T07:00:00	0.83469	0.84643	0.83402	0.83756	0.83432	0.84628	0.83381	0.83693	
2013-11-02T06:00:00	0.84741	0.84784	0.83015	0.83469	0.84693	0.84761	0.82995	0.83432	
2013-10-26T06:00:00	0.85423	0.85861	0.84455	0.84741	0.85360	0.85845	0.84438	0.84693	
2013-10-19T06:00:00	0.84678	0.85562	0.84517	0.85423	0.84611	0.85543	0.84498	0.85360	
2013-10-12T06:00:00	0.84907	0.84991	0.84319	0.84678	0.84863	0.84955	0.84266	0.84611	
2013-10-05T06:00:00	0.84697	0.85104	0.84258	0.84907	0.84631	0.85086	0.84243	0.84863	
2013-09-28T06:00:00	0.83814	0.84768	0.83338	0.84697	0.83755	0.84751	0.83317	0.84631	
2013-09-21T06:00:00	0.84528	0.84769	0.83624	0.83814	0.84486	0.84720	0.83593	0.83755	
2013-09-14T06:00:00	0.83760	0.84607	0.83535	0.84528	0.83732	0.84590	0.83517	0.84486	
2013-09-07T06:00:00	0.84355	0.84546	0.83575	0.83760	0.84280	0.84528	0.83557	0.83732	
2013-08-31T06:00:00	0.85358	0.85347	0.83930	0.84355	0.85207	0.85272	0.83909	0.84280	
2013-08-24T06:00:00	0.85954	0.86534	0.85203	0.85358	0.85921	0.86511	0.85186	0.85207	
2013-08-17T06:00:00	0.85349	0.86043	0.85107	0.85954	0.85235	0.86025	0.85080	0.85921	
2013-08-10T06:00:00	0.86065	0.86108	0.85057	0.85349	0.85998	0.86091	0.85042	0.85235	
2013-08-03T06:00:00	0.86898	0.87322	0.85796	0.86065	0.86842	0.87298	0.85779	0.85998	
2013-07-27T06:00:00	0.86344	0.87709	0.86223	0.86898	0.86278	0.87685	0.86206	0.86842	
2013-07-20T06:00:00	0.86088	0.86446	0.85828	0.86344	0.86007	0.86433	0.85804	0.86278	
2013-07-13T06:00:00	0.86532	0.87147	0.85907	0.86088	0.86473	0.87101	0.85891	0.86007	
2013-07-06T06:00:00	0.86237	0.86959	0.85759	0.86532	0.86108	0.86928	0.85741	0.86473	
2013-06-29T06:00:00	0.85575	0.86337	0.84831	0.86237	0.85505	0.86324	0.84813	0.86108	
2013-06-22T06:00:00	0.85134	0.85910	0.84700	0.85575	0.85042	0.85897	0.84682	0.85505	
2013-06-15T06:00:00	0.85011	0.85929	0.84761	0.85134	0.84948	0.85900	0.84744	0.85042	
2013-06-08T06:00:00	0.84976	0.85518	0.84698	0.85011	0.84921	0.85501	0.84676	0.84948	
2013-06-01T06:00:00	0.85551	0.85595	0.84778	0.84976	0.85477	0.85581	0.84756	0.84921	
2013-05-25T06:00:00	0.85559	0.85996	0.85295	0.85551	0.85483	0.85977	0.85277	0.85477	
2013-05-18T06:00:00	0.84626	0.85982	0.84418	0.85559	0.84598	0.85970	0.84386	0.85483	
2013-05-11T06:00:00	0.84562	0.85176	0.84215	0.84626	0.84524	0.85157	0.84201	0.84598	
2013-05-04T06:00:00	0.84277	0.84897	0.84019	0.84562	0.84238	0.84879	0.83998	0.84524	
2013-04-27T06:00:00	0.84214	0.84985	0.84056	0.84277	0.84168	0.84967	0.84037	0.84238	
2013-04-20T06:00:00	0.85720	0.85940	0.83989	0.84214	0.85681	0.85893	0.83971	0.84168	
2013-04-13T06:00:00	0.85458	0.86378	0.85046	0.85720	0.85418	0.86361	0.85026	0.85681	
2013-04-06T06:00:00	0.84730	0.85613	0.84644	0.85458	0.84698	0.85594	0.84622	0.85418	
2013-03-30T06:00:00	0.84352	0.85222	0.84121	0.84730	0.84269	0.85204	0.84100	0.84698	
2013-03-23T06:00:00	0.85306	0.85622	0.84166	0.84352	0.85271	0.85602	0.84146	0.84269	
2013-03-16T06:00:00	0.86522	0.86522	0.84855	0.85306	0.86496	0.86496	0.84835	0.85271	
2013-03-09T07:00:00	0.87175	0.87944	0.86034	0.86522	0.87132	0.87929	0.86016	0.86496	
2013-03-02T07:00:00	0.86585	0.87440	0.85892	0.87175	0.86555	0.87422	0.85877	0.87132	
2013-02-23T07:00:00	0.86917	0.88156	0.85773	0.86585	0.86918	0.88142	0.85754	0.86555	
2013-02-16T07:00:00	0.86150	0.87655	0.86016	0.86917	0.86103	0.87638	0.85950	0.86918	
2013-02-09T07:00:00	0.84610	0.86851	0.84550	0.86150	0.84558	0.86833	0.84450	0.86103	
2013-02-02T07:00:00	0.86913	0.87086	0.84474	0.84610	0.86876	0.87018	0.84459	0.84558	
2013-01-26T07:00:00	0.85164	0.87179	0.85164	0.86913	0.85141	0.87163	0.85141	0.86876	
2013-01-19T07:00:00	0.83923	0.85375	0.83650	0.85164	0.83919	0.85358	0.83635	0.85141	
2013-01-12T07:00:00	0.82743	0.83976	0.82668	0.83923	0.82698	0.83958	0.82648	0.83919	
2013-01-05T07:00:00	0.81340	0.82883	0.81059	0.82743	0.81309	0.82867	0.81044	0.82698	
2012-12-29T07:00:00	0.81764	0.81881	0.80865	0.81340	0.81733	0.81859	0.80847	0.81309	
2012-12-22T07:00:00	0.81545	0.82258	0.81504	0.81764	0.81510	0.82242	0.81474	0.81733	
2012-12-15T07:00:00	0.81425	0.81692	0.81134	0.81545	0.81384	0.81675	0.81115	0.81510	
2012-12-08T07:00:00	0.80602	0.81461	0.80365	0.81425	0.80571	0.81443	0.80347	0.81384	
2012-12-01T07:00:00	0.81132	0.81483	0.80461	0.80602	0.81091	0.81465	0.80443	0.80571	
2012-11-24T07:00:00	0.80982	0.81333	0.80608	0.81132	0.80911	0.81317	0.80590	0.81091	
2012-11-17T07:00:00	0.80238	0.81095	0.80070	0.80982	0.80210	0.81079	0.80051	0.80911	
2012-11-10T07:00:00	0.79993	0.80657	0.79711	0.80238	0.79936	0.80641	0.79692	0.80210	
2012-11-03T06:00:00	0.80144	0.80319	0.79615	0.79993	0.80104	0.80300	0.79597	0.79936	
2012-10-27T06:00:00	0.80383	0.80763	0.79974	0.80144	0.80352	0.80746	0.79957	0.80104	
2012-10-20T06:00:00	0.81379	0.81652	0.80031	0.80383	0.81340	0.81637	0.80014	0.80352	
2012-10-13T06:00:00	0.80641	0.81478	0.80411	0.81379	0.80601	0.81459	0.80393	0.81340	
