日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	
2014-02-01T07:00:00	137.715	138.116	136.235	137.239	137.646	138.101	136.224	137.223	
2014-01-25T07:00:00	139.990	141.312	137.508	137.715	139.865	141.254	137.506	137.646	
2014-01-18T07:00:00	141.269	142.424	139.765	139.990	141.146	142.415	139.756	139.865	
2014-01-11T07:00:00	142.426	142.920	140.505	141.269	142.354	142.905	140.496	141.146	
2014-01-04T07:00:00	142.539	143.174	141.507	142.426	142.441	143.163	141.495	142.354	
2013-12-28T07:00:00	144.619	145.175	141.975	142.539	144.466	145.167	141.960	142.441	
2013-12-21T07:00:00	142.367	145.701	142.104	144.619	142.296	145.684	142.093	144.466	
2013-12-14T07:00:00	141.966	142.907	140.973	142.367	141.832	142.895	140.979	142.296	
2013-12-07T07:00:00	141.075	142.833	140.928	141.966	141.000	142.821	140.913	141.832	
2013-11-30T07:00:00	139.281	141.078	138.433	141.075	139.120	141.042	138.424	141.000	
2013-11-23T07:00:00	137.324	139.716	137.028	139.281	137.226	139.702	137.015	139.120	
2013-11-16T07:00:00	135.302	137.355	134.114	137.324	135.124	137.332	134.102	137.226	
2013-11-09T07:00:00	132.505	135.328	132.212	135.302	132.345	135.303	132.206	135.124	
2013-11-02T06:00:00	133.200	133.736	131.219	132.505	133.122	133.725	131.206	132.345	
2013-10-26T06:00:00	134.460	135.455	132.617	133.200	134.409	135.448	132.602	133.122	
2013-10-19T06:00:00	133.878	135.514	133.609	134.460	133.786	135.503	133.599	134.409	
2013-10-12T06:00:00	133.485	134.193	132.652	133.878	133.451	134.182	132.608	133.786	
2013-10-05T06:00:00	132.139	133.609	131.163	133.485	132.078	133.609	131.133	133.451	
2013-09-28T06:00:00	132.912	133.491	131.415	132.139	132.861	133.477	131.416	132.078	
2013-09-21T06:00:00	134.408	134.632	132.637	132.912	134.407	134.535	132.622	132.861	
2013-09-14T06:00:00	132.156	134.951	131.618	134.408	132.101	134.942	131.546	134.407	
2013-09-07T06:00:00	130.656	133.384	130.991	132.156	130.595	133.370	130.978	132.101	
2013-08-31T06:00:00	129.841	132.154	129.803	130.656	129.672	132.143	129.780	130.595	
2013-08-24T06:00:00	132.164	132.315	129.311	129.841	132.029	132.309	129.302	129.672	
2013-08-17T06:00:00	130.058	132.432	129.299	132.164	129.915	132.424	129.285	132.029	
2013-08-10T06:00:00	128.441	130.736	127.989	130.058	128.335	130.724	127.965	129.915	
2013-08-03T06:00:00	131.460	131.638	128.226	128.441	131.344	131.558	128.212	128.335	
2013-07-27T06:00:00	130.577	132.013	129.345	131.460	130.444	131.958	129.329	131.344	
2013-07-20T06:00:00	132.333	132.745	130.081	130.577	132.155	132.746	130.078	130.444	
2013-07-13T06:00:00	129.789	132.333	129.412	132.333	129.606	132.229	129.368	132.155	
2013-07-06T06:00:00	129.906	130.569	128.026	129.789	129.746	130.557	128.001	129.606	
2013-06-29T06:00:00	129.045	131.126	128.589	129.906	128.957	131.116	128.576	129.746	
2013-06-22T06:00:00	128.537	129.656	126.573	129.045	128.449	129.652	126.568	128.957	
2013-06-15T06:00:00	125.614	129.919	125.660	128.537	125.463	129.899	125.578	128.449	
2013-06-08T06:00:00	128.909	131.303	124.963	125.614	128.800	131.292	124.955	125.463	
2013-06-01T06:00:00	130.577	131.416	126.187	128.909	130.525	131.410	126.147	128.800	
2013-05-25T06:00:00	131.050	132.187	130.201	130.577	130.953	132.144	130.191	130.525	
2013-05-18T06:00:00	132.528	133.819	129.970	131.050	132.481	133.815	129.956	130.953	
2013-05-11T06:00:00	132.068	132.785	131.193	132.528	131.982	132.771	131.179	132.481	
2013-05-04T06:00:00	129.920	132.263	128.991	132.068	129.841	132.254	128.984	131.982	
2013-04-27T06:00:00	127.864	130.346	127.064	129.920	127.770	130.337	127.049	129.841	
2013-04-20T06:00:00	129.999	130.717	127.151	127.864	129.868	130.663	127.138	127.770	
2013-04-13T06:00:00	129.042	130.260	124.983	129.999	128.970	130.249	124.957	129.868	
2013-04-06T06:00:00	126.786	131.132	126.786	129.042	126.764	131.117	126.764	128.970	
2013-03-30T06:00:00	120.808	127.300	119.121	126.786	120.746	127.285	119.108	126.764	
2013-03-23T06:00:00	122.816	123.861	119.756	120.808	122.731	123.849	119.741	120.746	
2013-03-16T06:00:00	124.604	124.604	121.477	122.816	124.557	124.557	121.429	122.731	
2013-03-09T07:00:00	124.902	126.044	124.061	124.604	124.841	126.033	124.046	124.557	
2013-03-02T07:00:00	121.860	125.989	121.135	124.902	121.817	125.994	121.119	124.841	
2013-02-23T07:00:00	123.177	125.403	118.740	121.860	123.160	125.313	118.714	121.817	
2013-02-16T07:00:00	125.029	125.906	122.268	123.177	124.951	125.895	122.252	123.160	
2013-02-09T07:00:00	123.932	126.953	122.909	125.029	123.866	126.941	122.889	124.951	
2013-02-02T07:00:00	126.684	127.714	123.433	123.932	126.615	127.704	123.422	123.866	
2013-01-26T07:00:00	122.273	126.977	121.227	126.684	122.219	126.964	121.214	126.615	
2013-01-19T07:00:00	119.986	122.782	117.063	122.273	119.924	122.769	117.047	122.219	
2013-01-12T07:00:00	119.073	120.731	116.476	119.986	118.985	120.708	116.464	119.924	
2013-01-05T07:00:00	115.262	119.359	113.557	119.073	115.162	119.341	113.541	118.985	
2012-12-29T07:00:00	113.685	115.985	113.281	115.262	113.639	115.961	113.111	115.162	
2012-12-22T07:00:00	111.101	114.710	111.101	113.685	111.048	114.691	111.019	113.639	
2012-12-15T07:00:00	109.919	112.505	109.919	111.101	109.866	112.497	109.866	111.048	
2012-12-08T07:00:00	106.673	109.988	105.984	109.919	106.645	109.979	105.972	109.866	
2012-12-01T07:00:00	107.105	107.968	106.130	106.673	107.077	107.958	106.117	106.645	
2012-11-24T07:00:00	107.003	107.678	105.288	107.105	106.887	107.667	105.277	107.077	
2012-11-17T07:00:00	103.631	107.003	103.524	107.003	103.596	106.974	103.512	106.887	
2012-11-10T07:00:00	101.050	103.995	100.335	103.631	101.024	103.987	100.321	103.596	
2012-11-03T06:00:00	103.342	103.423	100.434	101.050	103.318	103.412	100.423	101.024	
2012-10-27T06:00:00	103.086	104.002	102.183	103.342	103.061	103.993	102.171	103.318	
2012-10-20T06:00:00	103.318	104.600	102.694	103.086	103.284	104.589	102.681	103.061	
2012-10-13T06:00:00	101.612	104.152	101.042	103.318	101.586	104.142	101.030	103.284	
