日時	EUR/NZD(始値, 買い)	EUR/NZD(高値, 買い)	EUR/NZD(安値, 買い)	EUR/NZD(終値, 買い)	EUR/NZD(始値, 売り)	EUR/NZD(高値, 売り)	EUR/NZD(安値, 売り)	EUR/NZD(終値, 売り)	
2014-02-01T07:00:00	1.66989	1.67900	1.63720	1.64718	1.66762	1.67867	1.63590	1.64691	
2014-01-25T07:00:00	1.66226	1.67500	1.64291	1.66989	1.66130	1.67472	1.64256	1.66762	
2014-01-18T07:00:00	1.64070	1.66916	1.62407	1.66226	1.63831	1.66883	1.62371	1.66130	
2014-01-11T07:00:00	1.64708	1.65061	1.62243	1.64070	1.64526	1.64944	1.62138	1.63831	
2014-01-04T07:00:00	1.64353	1.65793	1.63540	1.64708	1.64139	1.65751	1.63509	1.64526	
2013-12-28T07:00:00	1.68686	1.69291	1.63687	1.64353	1.68447	1.69240	1.63653	1.64139	
2013-12-21T07:00:00	1.66832	1.69998	1.66510	1.68686	1.66704	1.69954	1.66341	1.68447	
2013-12-14T07:00:00	1.66343	1.68174	1.65721	1.66832	1.66101	1.68085	1.65563	1.66704	
2013-12-07T07:00:00	1.65555	1.68033	1.64740	1.66343	1.65311	1.67978	1.64701	1.66101	
2013-11-30T07:00:00	1.67228	1.67540	1.64458	1.65555	1.66992	1.67495	1.64422	1.65311	
2013-11-23T07:00:00	1.65569	1.68449	1.63821	1.67228	1.65348	1.68427	1.63784	1.66992	
2013-11-16T07:00:00	1.61976	1.66392	1.60622	1.65569	1.61894	1.66360	1.60498	1.65348	
2013-11-09T07:00:00	1.62170	1.64355	1.61178	1.61976	1.61945	1.64343	1.61141	1.61894	
2013-11-02T06:00:00	1.63409	1.63621	1.59157	1.62170	1.63171	1.63531	1.59134	1.61945	
2013-10-26T06:00:00	1.66778	1.67278	1.63228	1.63409	1.66641	1.67263	1.63078	1.63171	
2013-10-19T06:00:00	1.61064	1.66868	1.60838	1.66778	1.60830	1.66847	1.60803	1.66641	
2013-10-12T06:00:00	1.62751	1.63712	1.60209	1.61064	1.62515	1.63561	1.60167	1.60830	
2013-10-05T06:00:00	1.63007	1.64281	1.62308	1.62751	1.62796	1.64248	1.62262	1.62515	
2013-09-28T06:00:00	1.63407	1.65184	1.62421	1.63007	1.63204	1.65147	1.62385	1.62796	
2013-09-21T06:00:00	1.61639	1.64396	1.60969	1.63407	1.61521	1.64365	1.60939	1.63204	
2013-09-14T06:00:00	1.63610	1.63779	1.60743	1.61639	1.63417	1.63556	1.60707	1.61521	
2013-09-07T06:00:00	1.64924	1.65676	1.62456	1.63610	1.64723	1.65641	1.62413	1.63417	
2013-08-31T06:00:00	1.71207	1.70789	1.63894	1.64924	1.70965	1.70751	1.63845	1.64723	
2013-08-24T06:00:00	1.71455	1.72816	1.69663	1.71207	1.71265	1.72740	1.69607	1.70965	
2013-08-17T06:00:00	1.64600	1.72005	1.63285	1.71455	1.64380	1.71976	1.63248	1.71265	
2013-08-10T06:00:00	1.66077	1.66932	1.63956	1.64600	1.65963	1.66897	1.63915	1.64380	
2013-08-03T06:00:00	1.69494	1.72273	1.65592	1.66077	1.69385	1.72058	1.65536	1.65963	
2013-07-27T06:00:00	1.64358	1.69883	1.64122	1.69494	1.64197	1.69845	1.64084	1.69385	
2013-07-20T06:00:00	1.65823	1.66899	1.63980	1.64358	1.65590	1.66866	1.63929	1.64197	
2013-07-13T06:00:00	1.68135	1.68226	1.64299	1.65823	1.67894	1.68175	1.64250	1.65590	
2013-07-06T06:00:00	1.66566	1.68153	1.62302	1.68135	1.66351	1.68050	1.62248	1.67894	
2013-06-29T06:00:00	1.68169	1.68774	1.64176	1.66566	1.67971	1.68586	1.64122	1.66351	
2013-06-22T06:00:00	1.69197	1.70426	1.65853	1.68169	1.68966	1.70387	1.65800	1.67971	
2013-06-15T06:00:00	1.65983	1.71167	1.64586	1.69197	1.65782	1.71127	1.64551	1.68966	
2013-06-08T06:00:00	1.67734	1.71123	1.63915	1.65983	1.67588	1.71086	1.63879	1.65782	
2013-06-01T06:00:00	1.63724	1.68117	1.61266	1.67734	1.63491	1.68074	1.61234	1.67588	
2013-05-25T06:00:00	1.59984	1.63775	1.58807	1.63724	1.59749	1.63603	1.58615	1.63491	
2013-05-18T06:00:00	1.59186	1.60559	1.57048	1.59984	1.59028	1.60527	1.57017	1.59749	
2013-05-11T06:00:00	1.56488	1.59268	1.55799	1.59186	1.56381	1.59238	1.55765	1.59028	
2013-05-04T06:00:00	1.53760	1.57188	1.53386	1.56488	1.53626	1.57156	1.53351	1.56381	
2013-04-27T06:00:00	1.53709	1.55792	1.52545	1.53760	1.53552	1.55752	1.52510	1.53626	
2013-04-20T06:00:00	1.55143	1.56173	1.52386	1.53709	1.54977	1.56102	1.52353	1.53552	
2013-04-13T06:00:00	1.52705	1.55793	1.52668	1.55143	1.52578	1.55765	1.52578	1.54977	
2013-04-06T06:00:00	1.54135	1.54666	1.50822	1.52705	1.54039	1.54610	1.50798	1.52578	
2013-03-30T06:00:00	1.53287	1.55229	1.51828	1.54135	1.53064	1.55208	1.51793	1.54039	
2013-03-23T06:00:00	1.55508	1.56295	1.52301	1.53287	1.55353	1.56266	1.52271	1.53064	
2013-03-16T06:00:00	1.58046	1.58046	1.54558	1.55508	1.57966	1.57966	1.54540	1.55353	
2013-03-09T07:00:00	1.58317	1.59209	1.56681	1.58046	1.58177	1.59181	1.56545	1.57966	
2013-03-02T07:00:00	1.57882	1.58867	1.55998	1.58317	1.57765	1.58831	1.55962	1.58177	
2013-02-23T07:00:00	1.57478	1.59375	1.55974	1.57882	1.57382	1.59337	1.55927	1.57765	
2013-02-16T07:00:00	1.58369	1.60262	1.56883	1.57478	1.58108	1.60234	1.56848	1.57382	
2013-02-09T07:00:00	1.59878	1.61368	1.56436	1.58369	1.59771	1.61333	1.56401	1.58108	
2013-02-02T07:00:00	1.61488	1.62554	1.59518	1.59878	1.61361	1.62525	1.59485	1.59771	
2013-01-26T07:00:00	1.60672	1.63615	1.60459	1.61488	1.60600	1.63591	1.60429	1.61361	
2013-01-19T07:00:00	1.59292	1.61109	1.57519	1.60672	1.59170	1.61079	1.57491	1.60600	
2013-01-12T07:00:00	1.59500	1.60612	1.57820	1.59292	1.59398	1.60501	1.57800	1.59170	
2013-01-05T07:00:00	1.57178	1.59627	1.55098	1.59500	1.57041	1.59594	1.55064	1.59398	
2012-12-29T07:00:00	1.61298	1.61298	1.56935	1.57178	1.61172	1.61172	1.56900	1.57041	
2012-12-22T07:00:00	1.60258	1.62230	1.59771	1.61298	1.60091	1.62192	1.59664	1.61172	
2012-12-15T07:00:00	1.55582	1.60636	1.55477	1.60258	1.55473	1.60595	1.55448	1.60091	
2012-12-08T07:00:00	1.55263	1.55814	1.54478	1.55582	1.55187	1.55785	1.54451	1.55473	
2012-12-01T07:00:00	1.58409	1.59299	1.54835	1.55263	1.58280	1.59271	1.54800	1.55187	
2012-11-24T07:00:00	1.57649	1.58878	1.56825	1.58409	1.57428	1.58851	1.56789	1.58280	
2012-11-17T07:00:00	1.56867	1.58198	1.55890	1.57649	1.56779	1.58169	1.55847	1.57428	
2012-11-10T07:00:00	1.56217	1.58095	1.54726	1.56867	1.56016	1.58063	1.54682	1.56779	
2012-11-03T06:00:00	1.55625	1.56758	1.53938	1.56217	1.55531	1.56721	1.53905	1.56016	
2012-10-27T06:00:00	1.57386	1.58388	1.55100	1.55625	1.57139	1.58359	1.55061	1.55531	
2012-10-20T06:00:00	1.59688	1.60133	1.56963	1.57386	1.59555	1.60095	1.56926	1.57139	
2012-10-13T06:00:00	1.58763	1.60660	1.57925	1.59688	1.58652	1.60588	1.57881	1.59555	
2012-10-06T06:00:00	1.59508	1.59604	1.57048	1.58763	1.59404	1.59410	1.57006	1.58652	
2012-09-29T06:00:00	1.55022	1.59711	1.54698	1.59508	1.54881	1.59658	1.54650	1.59404	
2012-09-22T06:00:00	1.56771	1.57771	1.54711	1.55022	1.56641	1.57731	1.54611	1.54881	
2012-09-15T06:00:00	1.58408	1.59035	1.55718	1.56771	1.58271	1.58985	1.55691	1.56641	
2012-09-08T06:00:00	1.57854	1.58569	1.55808	1.58408	1.57729	1.58524	1.55771	1.58271	
2012-09-01T06:00:00	1.56629	1.59075	1.56629	1.57854	1.56380	1.59042	1.56380	1.57729	
2012-08-25T06:00:00	1.54382	1.57418	1.54003	1.56629	1.54107	1.57388	1.53863	1.56380	
