日時	EUR/TRY(始値, 買い)	EUR/TRY(高値, 買い)	EUR/TRY(安値, 買い)	EUR/TRY(終値, 買い)	EUR/TRY(始値, 売り)	EUR/TRY(高値, 売り)	EUR/TRY(安値, 売り)	EUR/TRY(終値, 売り)	
2014-02-01T07:00:00	3.05182	3.09903	3.01878	3.03183	3.03876	3.09286	3.01677	3.02790	
2014-01-25T07:00:00	3.20050	3.27414	2.95638	3.05182	3.18734	3.27272	2.95284	3.03876	
2014-01-18T07:00:00	3.03221	3.21653	3.01603	3.20050	3.01889	3.20715	3.00338	3.18734	
2014-01-11T07:00:00	2.96386	3.03268	2.95766	3.03221	2.95351	3.02511	2.95296	3.01889	
2014-01-04T07:00:00	2.96655	2.98768	2.93844	2.96386	2.94977	2.98656	2.93721	2.95351	
2013-12-28T07:00:00	2.97143	2.99862	2.91439	2.96655	2.95175	2.99713	2.90826	2.94977	
2013-12-21T07:00:00	2.86881	3.02013	2.83914	2.97143	2.85043	3.01462	2.83716	2.95175	
2013-12-14T07:00:00	2.81017	2.86901	2.78621	2.86881	2.79369	2.86756	2.78348	2.85043	
2013-12-07T07:00:00	2.78369	2.82279	2.77232	2.81017	2.76978	2.82121	2.76633	2.79369	
2013-11-30T07:00:00	2.74848	2.80293	2.74562	2.78369	2.74166	2.80088	2.74205	2.76978	
2013-11-23T07:00:00	2.72575	2.75643	2.69600	2.74848	2.71121	2.75554	2.69511	2.74166	
2013-11-16T07:00:00	2.74259	2.75163	2.69511	2.72575	2.73646	2.74621	2.69048	2.71121	
2013-11-09T07:00:00	2.73340	2.76946	2.72014	2.74259	2.71470	2.76777	2.71725	2.73646	
2013-11-02T06:00:00	2.72558	2.76028	2.70133	2.73340	2.71841	2.75924	2.70026	2.71470	
2013-10-26T06:00:00	2.74306	2.74835	2.70247	2.72558	2.73451	2.74710	2.70177	2.71841	
2013-10-19T06:00:00	2.69907	2.74811	2.69226	2.74306	2.68761	2.74730	2.68952	2.73451	
2013-10-12T06:00:00	2.68704	2.70790	2.66308	2.69907	2.67756	2.70675	2.66171	2.68761	
2013-10-05T06:00:00	2.69648	2.72037	2.67228	2.68704	2.69071	2.71968	2.66636	2.67756	
2013-09-28T06:00:00	2.75122	2.75909	2.69387	2.69648	2.74083	2.75801	2.68861	2.69071	
2013-09-21T06:00:00	2.68457	2.76163	2.67430	2.75122	2.67588	2.76041	2.67081	2.74083	
2013-09-14T06:00:00	2.70340	2.71553	2.62073	2.68457	2.69481	2.70035	2.61581	2.67588	
2013-09-07T06:00:00	2.70908	2.70933	2.65997	2.70340	2.69951	2.70691	2.65915	2.69481	
2013-08-31T06:00:00	2.69992	2.75077	2.65675	2.70908	2.68962	2.74941	2.65577	2.69951	
2013-08-24T06:00:00	2.66400	2.77313	2.65892	2.69992	2.65469	2.76901	2.65254	2.68962	
2013-08-17T06:00:00	2.59689	2.67398	2.58448	2.66400	2.58741	2.67321	2.57900	2.65469	
2013-08-10T06:00:00	2.56841	2.59689	2.54905	2.59689	2.55526	2.59511	2.54823	2.58741	
2013-08-03T06:00:00	2.56135	2.58247	2.55406	2.56841	2.55404	2.57698	2.55235	2.55526	
2013-07-27T06:00:00	2.56188	2.59132	2.54769	2.56135	2.55513	2.58376	2.53719	2.55404	
2013-07-20T06:00:00	2.52404	2.56333	2.51033	2.56188	2.51443	2.56062	2.50707	2.55513	
2013-07-13T06:00:00	2.56058	2.56379	2.50528	2.52404	2.54474	2.55318	2.50266	2.51443	
2013-07-06T06:00:00	2.52869	2.56648	2.47773	2.56058	2.52118	2.56492	2.47581	2.54474	
2013-06-29T06:00:00	2.51038	2.54836	2.50251	2.52869	2.50741	2.54695	2.49805	2.52118	
2013-06-22T06:00:00	2.54848	2.56579	2.50072	2.51038	2.54054	2.56457	2.49807	2.50741	
2013-06-15T06:00:00	2.48426	2.57922	2.48614	2.54848	2.47826	2.57741	2.48510	2.54054	
2013-06-08T06:00:00	2.48806	2.53341	2.46600	2.48426	2.47147	2.53260	2.46506	2.47826	
2013-06-01T06:00:00	2.44088	2.52136	2.44088	2.48806	2.43664	2.52002	2.43664	2.47147	
2013-05-25T06:00:00	2.39200	2.46056	2.37956	2.44088	2.38612	2.45980	2.37723	2.43664	
2013-05-18T06:00:00	2.36759	2.39637	2.35850	2.39200	2.36116	2.39585	2.35631	2.38612	
2013-05-11T06:00:00	2.34130	2.37474	2.33748	2.36759	2.33881	2.37334	2.33614	2.36116	
2013-05-04T06:00:00	2.35388	2.36378	2.33533	2.34130	2.35161	2.36321	2.33426	2.33881	
2013-04-27T06:00:00	2.34418	2.37328	2.34058	2.35388	2.34221	2.37181	2.33560	2.35161	
2013-04-20T06:00:00	2.35358	2.36418	2.33831	2.34418	2.34791	2.36032	2.33424	2.34221	
2013-04-13T06:00:00	2.34798	2.36255	2.33666	2.35358	2.34031	2.36189	2.33455	2.34791	
2013-04-06T06:00:00	2.33167	2.35116	2.32228	2.34798	2.33034	2.34985	2.32106	2.34031	
2013-03-30T06:00:00	2.32408	2.34385	2.30668	2.33167	2.31461	2.34310	2.30620	2.33034	
2013-03-23T06:00:00	2.35888	2.36798	2.31523	2.32408	2.35381	2.36411	2.31421	2.31461	
2013-03-16T06:00:00	2.36328	2.36348	2.34102	2.35888	2.36071	2.36255	2.32561	2.35381	
2013-03-09T07:00:00	2.35228	2.37038	2.34231	2.36328	2.34300	2.36901	2.33891	2.36071	
2013-03-02T07:00:00	2.34188	2.36552	2.33192	2.35228	2.33951	2.35751	2.33061	2.34300	
2013-02-23T07:00:00	2.37818	2.39579	2.33718	2.34188	2.37221	2.39062	2.33615	2.33951	
2013-02-16T07:00:00	2.36558	2.38695	2.35658	2.37818	2.35791	2.38639	2.35105	2.37221	
2013-02-09T07:00:00	2.36738	2.38826	2.35450	2.36558	2.36591	2.38781	2.35380	2.35791	
2013-02-02T07:00:00	2.38668	2.40213	2.36546	2.36738	2.38521	2.40151	2.36401	2.36591	
2013-01-26T07:00:00	2.37888	2.40496	2.37152	2.38668	2.37711	2.40393	2.37090	2.38521	
2013-01-19T07:00:00	2.34583	2.38168	2.34180	2.37888	2.34110	2.38045	2.33964	2.37711	
2013-01-12T07:00:00	2.36573	2.37178	2.34124	2.34583	2.35978	2.37061	2.34025	2.34110	
2013-01-05T07:00:00	2.33076	2.36821	2.31748	2.36573	2.32787	2.36731	2.31600	2.35978	
2012-12-29T07:00:00	2.36562	2.37178	2.32586	2.33076	2.36387	2.36772	2.31613	2.32787	
2012-12-22T07:00:00	2.37151	2.38206	2.35834	2.36562	2.36802	2.38122	2.35741	2.36387	
2012-12-15T07:00:00	2.34228	2.37692	2.33855	2.37151	2.33887	2.37601	2.32470	2.36802	
2012-12-08T07:00:00	2.31318	2.34278	2.30538	2.34228	2.31239	2.34157	2.29336	2.33887	
2012-12-01T07:00:00	2.32246	2.34318	2.30669	2.31318	2.31937	2.34253	2.30017	2.31239	
2012-11-24T07:00:00	2.32964	2.33810	2.30951	2.32246	2.32754	2.33516	2.30893	2.31937	
2012-11-17T07:00:00	2.29493	2.33408	2.28994	2.32964	2.29206	2.33031	2.28761	2.32754	
2012-11-10T07:00:00	2.27748	2.30583	2.27214	2.29493	2.27561	2.30494	2.27153	2.29206	
