日時	EUR/USD(始値, 買い)	EUR/USD(高値, 買い)	EUR/USD(安値, 買い)	EUR/USD(終値, 買い)	EUR/USD(始値, 売り)	EUR/USD(高値, 売り)	EUR/USD(安値, 売り)	EUR/USD(終値, 売り)	
2014-02-01T07:00:00	1.34900	1.35393	1.34774	1.35169	1.34881	1.35385	1.34768	1.35161	
2014-01-25T07:00:00	1.36813	1.37169	1.34795	1.34900	1.36746	1.37163	1.34789	1.34881	
2014-01-18T07:00:00	1.35407	1.37395	1.35080	1.36813	1.35366	1.37390	1.35073	1.36746	
2014-01-11T07:00:00	1.36707	1.36995	1.35176	1.35407	1.36671	1.36991	1.35169	1.35366	
2014-01-04T07:00:00	1.35918	1.36875	1.35488	1.36707	1.35846	1.36871	1.35482	1.36671	
2013-12-28T07:00:00	1.37493	1.38191	1.35829	1.35918	1.37432	1.38188	1.35819	1.35846	
2013-12-21T07:00:00	1.36770	1.38939	1.36556	1.37493	1.36696	1.38932	1.36548	1.37432	
2013-12-14T07:00:00	1.37449	1.38115	1.36253	1.36770	1.37366	1.38113	1.36249	1.36696	
2013-12-07T07:00:00	1.37063	1.38110	1.36945	1.37449	1.37025	1.38104	1.36939	1.37366	
2013-11-30T07:00:00	1.35943	1.37068	1.35248	1.37063	1.35886	1.37060	1.35240	1.37025	
2013-11-23T07:00:00	1.35582	1.36220	1.34906	1.35943	1.35539	1.36214	1.34899	1.35886	
2013-11-16T07:00:00	1.34969	1.35797	1.33997	1.35582	1.34948	1.35796	1.33991	1.35539	
2013-11-09T07:00:00	1.33704	1.35058	1.33452	1.34969	1.33707	1.35051	1.33445	1.34948	
2013-11-02T06:00:00	1.34923	1.35478	1.32956	1.33704	1.34884	1.35473	1.32955	1.33707	
2013-10-26T06:00:00	1.38049	1.38181	1.34802	1.34923	1.38017	1.38175	1.34798	1.34884	
2013-10-19T06:00:00	1.36876	1.38326	1.36514	1.38049	1.36826	1.38322	1.36508	1.38017	
2013-10-12T06:00:00	1.35414	1.37041	1.34732	1.36876	1.35391	1.37037	1.34730	1.36826	
2013-10-05T06:00:00	1.35549	1.36076	1.34865	1.35414	1.35516	1.36069	1.34854	1.35391	
2013-09-28T06:00:00	1.35235	1.36465	1.34780	1.35549	1.35199	1.36460	1.34688	1.35516	
2013-09-21T06:00:00	1.35242	1.35647	1.34622	1.35235	1.35248	1.35642	1.34616	1.35199	
2013-09-14T06:00:00	1.32985	1.35689	1.33025	1.35242	1.32968	1.35683	1.32974	1.35248	
2013-09-07T06:00:00	1.31821	1.33251	1.31608	1.32985	1.31762	1.33245	1.31535	1.32968	
2013-08-31T06:00:00	1.32253	1.32409	1.31052	1.31821	1.32208	1.32329	1.31045	1.31762	
2013-08-24T06:00:00	1.33790	1.34019	1.31737	1.32253	1.33756	1.33986	1.31729	1.32208	
2013-08-17T06:00:00	1.33296	1.34523	1.32986	1.33790	1.33261	1.34517	1.32979	1.33756	
2013-08-10T06:00:00	1.33439	1.33805	1.32057	1.33296	1.33395	1.33800	1.32051	1.33261	
2013-08-03T06:00:00	1.32835	1.34008	1.32331	1.33439	1.32801	1.34005	1.32324	1.33395	
2013-07-27T06:00:00	1.32793	1.33453	1.31899	1.32835	1.32770	1.33444	1.31875	1.32801	
2013-07-20T06:00:00	1.31389	1.32972	1.31368	1.32793	1.31351	1.32968	1.31264	1.32770	
2013-07-13T06:00:00	1.30680	1.31789	1.29936	1.31389	1.30665	1.31780	1.29931	1.31351	
2013-07-06T06:00:00	1.28334	1.32062	1.27558	1.30680	1.28295	1.32064	1.27549	1.30665	
2013-06-29T06:00:00	1.30121	1.30784	1.28064	1.28334	1.30100	1.30780	1.28057	1.28295	
2013-06-22T06:00:00	1.31229	1.31510	1.29849	1.30121	1.31195	1.31505	1.29847	1.30100	
2013-06-15T06:00:00	1.33451	1.34206	1.30989	1.31229	1.33424	1.34164	1.30983	1.31195	
2013-06-08T06:00:00	1.32159	1.33907	1.31780	1.33451	1.32125	1.33900	1.31772	1.33424	
2013-06-01T06:00:00	1.29982	1.33068	1.29557	1.32159	1.29953	1.33058	1.29552	1.32125	
2013-05-25T06:00:00	1.29380	1.30618	1.28382	1.29982	1.29340	1.30611	1.28375	1.29953	
2013-05-18T06:00:00	1.28369	1.29984	1.28198	1.29380	1.28343	1.29979	1.28102	1.29340	
2013-05-11T06:00:00	1.29938	1.30293	1.27967	1.28369	1.29907	1.30290	1.27961	1.28343	
2013-05-04T06:00:00	1.31171	1.31946	1.29357	1.29938	1.31138	1.31942	1.29350	1.29907	
2013-04-27T06:00:00	1.30275	1.32429	1.30275	1.31171	1.30280	1.32426	1.30186	1.31138	
2013-04-20T06:00:00	1.30531	1.30938	1.29550	1.30275	1.30524	1.30932	1.29539	1.30280	
2013-04-13T06:00:00	1.31097	1.32020	1.30015	1.30531	1.31075	1.32013	1.30009	1.30524	
2013-04-06T06:00:00	1.29979	1.31386	1.29649	1.31097	1.29969	1.31380	1.29638	1.31075	
2013-03-30T06:00:00	1.28194	1.30400	1.27455	1.29979	1.28152	1.30395	1.27446	1.29969	
2013-03-23T06:00:00	1.29909	1.30500	1.27509	1.28194	1.29889	1.30479	1.27505	1.28152	
