日時	GBP/AUD(始値, 買い)	GBP/AUD(高値, 買い)	GBP/AUD(安値, 買い)	GBP/AUD(終値, 買い)	GBP/AUD(始値, 売り)	GBP/AUD(高値, 売り)	GBP/AUD(安値, 売り)	GBP/AUD(終値, 売り)	
2014-02-01T07:00:00	1.87982	1.87986	1.82426	1.83408	1.87774	1.87952	1.82397	1.83378	
2014-01-25T07:00:00	1.89911	1.90146	1.86942	1.87982	1.89720	1.90117	1.86907	1.87774	
2014-01-18T07:00:00	1.87084	1.91879	1.85164	1.89911	1.86901	1.91847	1.85136	1.89720	
2014-01-11T07:00:00	1.83298	1.87528	1.80178	1.87084	1.83108	1.87511	1.80149	1.86901	
2014-01-04T07:00:00	1.83584	1.85937	1.82308	1.83298	1.83419	1.85906	1.82274	1.83108	
2013-12-28T07:00:00	1.85936	1.86994	1.82314	1.83584	1.85731	1.86960	1.82284	1.83419	
2013-12-21T07:00:00	1.83148	1.86087	1.82716	1.85936	1.82941	1.86057	1.82684	1.85731	
2013-12-14T07:00:00	1.81874	1.85633	1.81767	1.83148	1.81661	1.85546	1.81727	1.82941	
2013-12-07T07:00:00	1.79651	1.83428	1.78957	1.81874	1.79487	1.83407	1.78927	1.81661	
2013-11-30T07:00:00	1.79785	1.81952	1.79003	1.79651	1.79574	1.81920	1.78973	1.79487	
2013-11-23T07:00:00	1.76960	1.80630	1.75669	1.79785	1.76797	1.80601	1.75644	1.79574	
2013-11-16T07:00:00	1.72135	1.77278	1.70579	1.76960	1.71931	1.77247	1.70547	1.76797	
2013-11-09T07:00:00	1.70757	1.73042	1.69966	1.72135	1.70548	1.73003	1.69937	1.71931	
2013-11-02T06:00:00	1.68838	1.71041	1.67636	1.70757	1.68691	1.70999	1.67608	1.70548	
2013-10-26T06:00:00	1.68704	1.69859	1.68254	1.68838	1.68585	1.69829	1.68228	1.68691	
2013-10-19T06:00:00	1.67148	1.69379	1.66468	1.68704	1.67021	1.69339	1.66435	1.68585	
2013-10-12T06:00:00	1.68602	1.69735	1.66704	1.67148	1.68531	1.69578	1.66619	1.67021	
2013-10-05T06:00:00	1.69795	1.71126	1.68136	1.68602	1.69699	1.71100	1.68107	1.68531	
2013-09-28T06:00:00	1.73250	1.74249	1.69709	1.69795	1.73054	1.74192	1.69646	1.69699	
2013-09-21T06:00:00	1.70372	1.73354	1.69599	1.73250	1.70224	1.73321	1.69569	1.73054	
2013-09-14T06:00:00	1.71743	1.71527	1.68753	1.70372	1.71629	1.71369	1.68723	1.70224	
2013-09-07T06:00:00	1.70220	1.71880	1.68804	1.71743	1.70093	1.71821	1.68777	1.71629	
2013-08-31T06:00:00	1.74236	1.73925	1.69598	1.70220	1.74046	1.73870	1.69556	1.70093	
2013-08-24T06:00:00	1.72530	1.74556	1.72033	1.74236	1.72388	1.74524	1.71910	1.74046	
2013-08-17T06:00:00	1.70265	1.74863	1.69345	1.72530	1.70073	1.74825	1.69317	1.72388	
2013-08-10T06:00:00	1.68719	1.71503	1.68038	1.70265	1.68579	1.71457	1.68011	1.70073	
2013-08-03T06:00:00	1.71748	1.73448	1.68351	1.68719	1.71603	1.73412	1.68318	1.68579	
2013-07-27T06:00:00	1.66092	1.71986	1.65855	1.71748	1.65882	1.71941	1.65816	1.71603	
2013-07-20T06:00:00	1.66448	1.68175	1.65029	1.66092	1.66244	1.68151	1.64999	1.65882	
2013-07-13T06:00:00	1.67003	1.66826	1.63368	1.66448	1.66839	1.66799	1.63174	1.66244	
2013-07-06T06:00:00	1.64323	1.67749	1.61444	1.67003	1.64131	1.67708	1.61421	1.66839	
2013-06-29T06:00:00	1.66545	1.69226	1.62765	1.64323	1.66408	1.69162	1.62707	1.64131	
2013-06-22T06:00:00	1.67369	1.67867	1.63484	1.66545	1.67213	1.67823	1.63448	1.66408	
2013-06-15T06:00:00	1.64148	1.68791	1.62798	1.67369	1.63941	1.68761	1.62773	1.67213	
2013-06-08T06:00:00	1.63884	1.66778	1.62368	1.64148	1.63693	1.66741	1.62337	1.63941	
2013-06-01T06:00:00	1.58813	1.64850	1.56736	1.63884	1.58670	1.64808	1.56690	1.63693	
2013-05-25T06:00:00	1.56758	1.58913	1.55895	1.58813	1.56562	1.58891	1.55868	1.58670	
2013-05-18T06:00:00	1.55862	1.56929	1.54168	1.56758	1.55795	1.56894	1.54135	1.56562	
