日時	GBP/CAD(始値, 買い)	GBP/CAD(高値, 買い)	GBP/CAD(安値, 買い)	GBP/CAD(終値, 買い)	GBP/CAD(始値, 売り)	GBP/CAD(高値, 売り)	GBP/CAD(安値, 売り)	GBP/CAD(終値, 売り)	
2014-02-01T07:00:00	1.83125	1.83125	1.79862	1.81104	1.82915	1.82935	1.79831	1.81073	
2014-01-25T07:00:00	1.82814	1.85643	1.82283	1.83125	1.82664	1.85616	1.82256	1.82915	
2014-01-18T07:00:00	1.80164	1.85592	1.79443	1.82814	1.79959	1.85567	1.79406	1.82664	
2014-01-11T07:00:00	1.79750	1.80536	1.77699	1.80164	1.79566	1.80515	1.77681	1.79959	
2014-01-04T07:00:00	1.74706	1.80390	1.73581	1.79750	1.74496	1.80355	1.73549	1.79566	
2013-12-28T07:00:00	1.76581	1.76836	1.73848	1.74706	1.76341	1.76799	1.73811	1.74496	
2013-12-21T07:00:00	1.73838	1.76748	1.72981	1.76581	1.73615	1.76719	1.72953	1.76341	
2013-12-14T07:00:00	1.72592	1.75744	1.71956	1.73838	1.72450	1.75715	1.71923	1.73615	
2013-12-07T07:00:00	1.74000	1.75123	1.72427	1.72592	1.73866	1.75094	1.72383	1.72450	
2013-11-30T07:00:00	1.73916	1.75498	1.73295	1.74000	1.73671	1.75470	1.73256	1.73866	
2013-11-23T07:00:00	1.70712	1.73979	1.69891	1.73916	1.70563	1.73962	1.69866	1.73671	
2013-11-16T07:00:00	1.68353	1.71208	1.67677	1.70712	1.68160	1.71182	1.67655	1.70563	
2013-11-09T07:00:00	1.67962	1.69246	1.66358	1.68353	1.67719	1.69221	1.66333	1.68160	
2013-11-02T06:00:00	1.66070	1.68471	1.65811	1.67962	1.65947	1.68420	1.65781	1.67719	
2013-10-26T06:00:00	1.69009	1.69287	1.65987	1.66070	1.68885	1.69256	1.65860	1.65947	
2013-10-19T06:00:00	1.66418	1.69644	1.65962	1.69009	1.66284	1.69614	1.65934	1.68885	
2013-10-12T06:00:00	1.65199	1.66912	1.64471	1.66418	1.65116	1.66883	1.64441	1.66284	
2013-10-05T06:00:00	1.64897	1.67013	1.64901	1.65199	1.64780	1.66969	1.64780	1.65116	
2013-09-28T06:00:00	1.66362	1.68112	1.64758	1.64897	1.66307	1.68081	1.64724	1.64780	
2013-09-21T06:00:00	1.65005	1.66459	1.63978	1.66362	1.64903	1.66437	1.63892	1.66307	
2013-09-14T06:00:00	1.64430	1.65335	1.63382	1.65005	1.64420	1.65227	1.63351	1.64903	
2013-09-07T06:00:00	1.62789	1.64466	1.62094	1.64430	1.62635	1.64420	1.62067	1.64420	
2013-08-31T06:00:00	1.63453	1.64546	1.62189	1.62789	1.63232	1.64456	1.62167	1.62635	
2013-08-24T06:00:00	1.63536	1.64100	1.61757	1.63453	1.63349	1.64061	1.61709	1.63232	
2013-08-17T06:00:00	1.61681	1.65135	1.61290	1.63536	1.61495	1.65106	1.61266	1.63349	
2013-08-10T06:00:00	1.59665	1.61925	1.59259	1.61681	1.59422	1.61892	1.59212	1.61495	
2013-08-03T06:00:00	1.58934	1.61842	1.58587	1.59665	1.58754	1.61811	1.58532	1.59422	
2013-07-27T06:00:00	1.58161	1.59118	1.55766	1.58934	1.58016	1.59061	1.55741	1.58754	
2013-07-20T06:00:00	1.58351	1.59257	1.57295	1.58161	1.58192	1.59211	1.57253	1.58016	
2013-07-13T06:00:00	1.57076	1.58957	1.56583	1.58351	1.57031	1.58852	1.56552	1.58192	
2013-07-06T06:00:00	1.57551	1.58149	1.56103	1.57076	1.57344	1.58120	1.56073	1.57031	
2013-06-29T06:00:00	1.60138	1.61241	1.56995	1.57551	1.59917	1.61150	1.56889	1.57344	
2013-06-22T06:00:00	1.61356	1.62722	1.59293	1.60138	1.61230	1.62694	1.59260	1.59917	
2013-06-15T06:00:00	1.59830	1.61900	1.58788	1.61356	1.59690	1.61867	1.58757	1.61230	
2013-06-08T06:00:00	1.58679	1.60445	1.57896	1.59830	1.58478	1.60417	1.57866	1.59690	
2013-06-01T06:00:00	1.57630	1.60604	1.57411	1.58679	1.57519	1.60573	1.57312	1.58478	
2013-05-25T06:00:00	1.56098	1.57733	1.55794	1.57630	1.55976	1.57631	1.55761	1.57519	
2013-05-18T06:00:00	1.55945	1.56678	1.55026	1.56098	1.55879	1.56655	1.54998	1.55976	
2013-05-11T06:00:00	1.55352	1.56815	1.54400	1.55945	1.55282	1.56780	1.54372	1.55879	
2013-05-04T06:00:00	1.56991	1.57176	1.54909	1.55352	1.56893	1.57144	1.54879	1.55282	
2013-04-27T06:00:00	1.57500	1.57752	1.56223	1.56991	1.57374	1.57726	1.56195	1.56893	
2013-04-20T06:00:00	1.56432	1.58250	1.56006	1.57500	1.56326	1.58216	1.55978	1.57374	
2013-04-13T06:00:00	1.55567	1.57522	1.55549	1.56432	1.55432	1.57491	1.55432	1.56326	
2013-04-06T06:00:00	1.56159	1.56320	1.55096	1.55567	1.56054	1.56293	1.54998	1.55432	
2013-03-30T06:00:00	1.54771	1.56835	1.52706	1.56159	1.54675	1.56812	1.52679	1.56054	
2013-03-23T06:00:00	1.55892	1.56071	1.53358	1.54771	1.55761	1.56011	1.53328	1.54675	
2013-03-16T06:00:00	1.54146	1.56022	1.54146	1.55892	1.54073	1.55999	1.54073	1.55761	
2013-03-09T07:00:00	1.53452	1.54870	1.52461	1.54146	1.53370	1.54841	1.52431	1.54073	
2013-03-02T07:00:00	1.54498	1.55975	1.52495	1.53452	1.54388	1.55949	1.52448	1.53370	
2013-02-23T07:00:00	1.54866	1.56537	1.54127	1.54498	1.54777	1.56514	1.53977	1.54388	
2013-02-16T07:00:00	1.56236	1.56921	1.54173	1.54866	1.56124	1.56894	1.54122	1.54777	
2013-02-09T07:00:00	1.58492	1.58850	1.54964	1.56236	1.58354	1.58823	1.54940	1.56124	
2013-02-02T07:00:00	1.56526	1.58814	1.55720	1.58492	1.56422	1.58786	1.55690	1.58354	
2013-01-26T07:00:00	1.59054	1.59068	1.56417	1.56526	1.58925	1.59043	1.56338	1.56422	
2013-01-19T07:00:00	1.57463	1.59666	1.56669	1.59054	1.57376	1.59639	1.56638	1.58925	
2013-01-12T07:00:00	1.58907	1.58943	1.57222	1.57463	1.58852	1.58917	1.57195	1.57376	
2013-01-05T07:00:00	1.58720	1.59286	1.57756	1.58907	1.58653	1.59260	1.57726	1.58852	
2012-12-29T07:00:00	1.61241	1.62166	1.58024	1.58720	1.61174	1.62121	1.57993	1.58653	
2012-12-22T07:00:00	1.60720	1.61295	1.59691	1.61241	1.60641	1.61207	1.59650	1.61174	
2012-12-15T07:00:00	1.59443	1.61172	1.59321	1.60720	1.59394	1.61147	1.59272	1.60641	
2012-12-08T07:00:00	1.58703	1.59548	1.58130	1.59443	1.58658	1.59520	1.58080	1.59394	
2012-12-01T07:00:00	1.59205	1.60471	1.58153	1.58703	1.59150	1.60444	1.58124	1.58658	
2012-11-24T07:00:00	1.59207	1.59547	1.58747	1.59205	1.59094	1.59519	1.58718	1.59150	
2012-11-17T07:00:00	1.59057	1.59294	1.58401	1.59207	1.58990	1.59264	1.58367	1.59094	
2012-11-10T07:00:00	1.59293	1.59438	1.58554	1.59057	1.59200	1.59409	1.58495	1.58990	
2012-11-03T06:00:00	1.59557	1.60060	1.58185	1.59293	1.59508	1.60034	1.58154	1.59200	
2012-10-27T06:00:00	1.60602	1.61818	1.59212	1.59557	1.60550	1.61792	1.59183	1.59508	
2012-10-20T06:00:00	1.59009	1.60841	1.57990	1.60602	1.58942	1.60815	1.57958	1.60550	
2012-10-13T06:00:00	1.57471	1.59483	1.56937	1.59009	1.57423	1.59452	1.56905	1.58942	
2012-10-06T06:00:00	1.57908	1.57946	1.56176	1.57471	1.57827	1.57921	1.56145	1.57423	
2012-09-29T06:00:00	1.58923	1.59254	1.57833	1.57908	1.58911	1.59218	1.57799	1.57827	
2012-09-22T06:00:00	1.58539	1.59908	1.58494	1.58923	1.58484	1.59877	1.58450	1.58911	
2012-09-15T06:00:00	1.57641	1.58892	1.57299	1.58539	1.57580	1.58865	1.57263	1.58484	
2012-09-08T06:00:00	1.56711	1.57758	1.55674	1.57641	1.56613	1.57727	1.55640	1.57580	
2012-09-01T06:00:00	1.56578	1.57963	1.56209	1.56711	1.56407	1.57931	1.56180	1.56613	
2012-08-25T06:00:00	1.56974	1.57361	1.55650	1.56578	1.56871	1.57331	1.55621	1.56407	
2012-08-18T06:00:00	1.55378	1.57837	1.54971	1.56974	1.55106	1.57799	1.54933	1.56871	
2012-08-11T06:00:00	1.55495	1.56074	1.54700	1.55378	1.55399	1.56047	1.54662	1.55106	
2012-08-04T06:00:00	1.56763	1.56763	1.54822	1.55495	1.56534	1.56658	1.54783	1.55399	
2012-07-28T06:00:00	1.58057	1.58260	1.55386	1.56763	1.57812	1.58131	1.55341	1.56534	
2012-07-21T06:00:00	1.58313	1.58731	1.56968	1.58057	1.58070	1.58690	1.56933	1.57812	
2012-07-14T06:00:00	1.58027	1.58915	1.57571	1.58313	1.57768	1.58879	1.57534	1.58070	
2012-07-07T06:00:00	1.57942	1.58864	1.56864	1.58027	1.57836	1.58828	1.56845	1.57768	
2012-06-30T06:00:00	1.59770	1.60049	1.57175	1.57942	1.59521	1.60011	1.57133	1.57836	
2012-06-23T06:00:00	1.59852	1.60680	1.59373	1.59770	1.59605	1.60628	1.59325	1.59521	
2012-06-16T06:00:00	1.60713	1.60844	1.59545	1.59852	1.60474	1.60811	1.59404	1.59605	
2012-06-09T06:00:00	1.59005	1.60895	1.58498	1.60713	1.58761	1.60795	1.58400	1.60474	
2012-06-02T06:00:00	1.60084	1.60495	1.58763	1.59005	1.59843	1.60454	1.58726	1.58761	
2012-05-26T06:00:00	1.61275	1.61275	1.58679	1.60084	1.61044	1.61062	1.58649	1.59843	
2012-05-19T06:00:00	1.61845	1.61845	1.60310	1.61275	1.61605	1.61771	1.60268	1.61044	
2012-05-12T06:00:00	1.60907	1.61856	1.60054	1.61845	1.60643	1.61737	1.60018	1.61605	
2012-05-05T06:00:00	1.60902	1.62083	1.60175	1.60907	1.60651	1.62031	1.60136	1.60643	
2012-04-28T06:00:00	1.59609	1.60915	1.59020	1.60902	1.59368	1.60869	1.58983	1.60651	
2012-04-21T06:00:00	1.60104	1.60671	1.58412	1.59609	1.59873	1.60636	1.58375	1.59368	
2012-04-14T06:00:00	1.58520	1.60270	1.57246	1.60104	1.58293	1.60217	1.57200	1.59873	
2012-04-07T06:00:00	1.58362	1.59835	1.57826	1.58520	1.58133	1.59785	1.57742	1.58293	
2012-03-31T06:00:00	1.59960	1.60336	1.56915	1.58362	1.59694	1.60305	1.56871	1.58133	
2012-03-24T06:00:00	1.58448	1.59988	1.57824	1.59960	1.58249	1.59948	1.57797	1.59694	
2012-03-17T06:00:00	1.57235	1.59033	1.56695	1.58448	1.57005	1.58994	1.56649	1.58249	
2012-03-10T07:00:00	1.55387	1.57400	1.54661	1.57235	1.55152	1.57377	1.54626	1.57005	
2012-03-03T07:00:00	1.56765	1.58050	1.54952	1.55387	1.56525	1.58017	1.54913	1.55152	
2012-02-25T07:00:00	1.58775	1.59444	1.56390	1.56765	1.58664	1.59403	1.56358	1.56525	
2012-02-18T07:00:00	1.57881	1.58978	1.56350	1.58775	1.57718	1.58930	1.56307	1.58664	
2012-02-11T07:00:00	1.57830	1.58151	1.55939	1.57881	1.57751	1.58087	1.55897	1.57718	
2012-02-04T07:00:00	1.57231	1.58440	1.56902	1.57830	1.56991	1.58403	1.56815	1.57751	
2012-01-28T07:00:00	1.57645	1.58703	1.56885	1.57231	1.57565	1.58674	1.56843	1.56991	
2012-01-21T07:00:00	1.57931	1.58147	1.56644	1.57645	1.57758	1.58104	1.56604	1.57565	
2012-01-14T07:00:00	1.56764	1.57954	1.55488	1.57931	1.56654	1.57844	1.55375	1.57758	
2012-01-07T07:00:00	1.58723	1.59150	1.55693	1.56764	1.58572	1.59109	1.55649	1.56654	
2011-12-31T07:00:00	1.59008	1.59008	1.57327	1.58723	1.58500	1.58744	1.57289	1.58572	
2011-12-24T07:00:00	1.59244	1.60354	1.57027	1.59008	1.58987	1.60237	1.56952	1.58500	
2011-12-17T07:00:00	1.61490	1.61726	1.58926	1.59244	1.61422	1.61680	1.58809	1.58987	
2011-12-10T07:00:00	1.59455	1.61581	1.59255	1.61490	1.59354	1.61490	1.59192	1.61422	
2011-12-03T07:00:00	1.58921	1.60845	1.57275	1.59455	1.58878	1.60805	1.57231	1.59354	
2011-11-26T07:00:00	1.62206	1.62206	1.58216	1.58921	1.62152	1.62152	1.58168	1.58878	
2011-11-19T07:00:00	1.62209	1.63098	1.61673	1.62206	1.62161	1.63037	1.61637	1.62152	
2011-11-12T07:00:00	1.62761	1.63248	1.60631	1.62209	1.62764	1.63203	1.60591	1.62161	
2011-11-05T06:00:00	1.62921	1.63571	1.61923	1.62761	1.62895	1.63530	1.61885	1.62764	
2011-10-29T06:00:00	1.60052	1.63524	1.59450	1.62921	1.60004	1.63460	1.59318	1.62895	
2011-10-22T06:00:00	1.61093	1.63231	1.58978	1.60052	1.61041	1.63186	1.58911	1.60004	
2011-10-15T06:00:00	1.59802	1.61665	1.58790	1.61093	1.59755	1.61568	1.58749	1.61041	
2011-10-08T06:00:00	1.61552	1.61762	1.59622	1.59802	1.61475	1.61648	1.59584	1.59755	
2011-10-01T06:00:00	1.63476	1.63925	1.59091	1.61552	1.63437	1.63893	1.59036	1.61475	
