日時	GBP/CHF(始値, 買い)	GBP/CHF(高値, 買い)	GBP/CHF(安値, 買い)	GBP/CHF(終値, 買い)	GBP/CHF(始値, 売り)	GBP/CHF(高値, 売り)	GBP/CHF(安値, 売り)	GBP/CHF(終値, 売り)	
2014-02-01T07:00:00	1.49083	1.49194	1.46495	1.47639	1.48873	1.49162	1.46461	1.47606	
2014-01-25T07:00:00	1.47547	1.49328	1.47227	1.49083	1.47362	1.49301	1.47196	1.48873	
2014-01-18T07:00:00	1.49550	1.51257	1.47470	1.47547	1.49360	1.51225	1.47317	1.47362	
2014-01-11T07:00:00	1.48910	1.49785	1.47286	1.49550	1.48706	1.49758	1.47243	1.49360	
2014-01-04T07:00:00	1.48753	1.50276	1.47751	1.48910	1.48549	1.50248	1.47722	1.48706	
2013-12-28T07:00:00	1.47084	1.48792	1.46256	1.48753	1.46873	1.48754	1.46227	1.48549	
2013-12-21T07:00:00	1.46439	1.47260	1.45687	1.47084	1.46235	1.47225	1.45643	1.46873	
2013-12-14T07:00:00	1.45041	1.47168	1.43808	1.46439	1.44836	1.47123	1.43778	1.46235	
2013-12-07T07:00:00	1.45946	1.46482	1.44818	1.45041	1.45742	1.46454	1.44788	1.44836	
2013-11-30T07:00:00	1.48416	1.49252	1.45702	1.45946	1.48214	1.49224	1.45674	1.45742	
2013-11-23T07:00:00	1.47240	1.48490	1.46789	1.48416	1.47032	1.48421	1.46764	1.48214	
2013-11-16T07:00:00	1.47548	1.48138	1.46544	1.47240	1.47365	1.48109	1.46475	1.47032	
2013-11-09T07:00:00	1.47673	1.47791	1.45674	1.47548	1.47497	1.47760	1.45642	1.47365	
2013-11-02T06:00:00	1.45346	1.48232	1.45164	1.47673	1.45176	1.48209	1.45140	1.47497	
2013-10-26T06:00:00	1.44391	1.45834	1.43855	1.45346	1.44211	1.45809	1.43750	1.45176	
2013-10-19T06:00:00	1.45909	1.46195	1.43768	1.44391	1.45717	1.46169	1.43738	1.44211	
2013-10-12T06:00:00	1.45540	1.46509	1.45112	1.45909	1.45433	1.46362	1.45089	1.45717	
2013-10-05T06:00:00	1.45333	1.45870	1.44892	1.45540	1.45181	1.45844	1.44866	1.45433	
2013-09-28T06:00:00	1.46284	1.47013	1.44753	1.45333	1.46109	1.46977	1.44724	1.45181	
2013-09-21T06:00:00	1.45789	1.46714	1.45374	1.46284	1.45634	1.46672	1.45215	1.46109	
2013-09-14T06:00:00	1.47624	1.48067	1.45616	1.45789	1.47412	1.48040	1.45587	1.45634	
2013-09-07T06:00:00	1.46649	1.48137	1.46227	1.47624	1.46484	1.48113	1.46188	1.47412	
2013-08-31T06:00:00	1.44230	1.47433	1.44453	1.46649	1.44042	1.47402	1.44242	1.46484	
2013-08-24T06:00:00	1.43543	1.44630	1.42013	1.44230	1.43429	1.44604	1.41976	1.44042	
2013-08-17T06:00:00	1.44891	1.45169	1.43308	1.43543	1.44682	1.45145	1.43281	1.43429	
2013-08-10T06:00:00	1.43161	1.45957	1.42978	1.44891	1.42950	1.45908	1.42865	1.44682	
2013-08-03T06:00:00	1.42086	1.43444	1.41187	1.43161	1.42039	1.43413	1.41130	1.42950	
2013-07-27T06:00:00	1.42915	1.43105	1.40474	1.42086	1.42762	1.43079	1.40435	1.42039	
2013-07-20T06:00:00	1.43762	1.44310	1.42652	1.42915	1.43632	1.44285	1.42622	1.42762	
2013-07-13T06:00:00	1.43042	1.43987	1.41963	1.43762	1.42946	1.43963	1.41849	1.43632	
2013-07-06T06:00:00	1.43596	1.44947	1.42729	1.43042	1.43384	1.44919	1.42672	1.42946	
2013-06-29T06:00:00	1.43816	1.45076	1.42837	1.43596	1.43680	1.45052	1.42797	1.43384	
2013-06-22T06:00:00	1.44181	1.45144	1.43374	1.43816	1.44002	1.45115	1.43344	1.43680	
2013-06-15T06:00:00	1.44713	1.45603	1.43246	1.44181	1.44505	1.45580	1.43201	1.44002	
2013-06-08T06:00:00	1.45686	1.46074	1.43129	1.44713	1.45503	1.46047	1.43095	1.44505	
2013-06-01T06:00:00	1.45333	1.46676	1.44092	1.45686	1.45181	1.46652	1.44033	1.45503	
2013-05-25T06:00:00	1.45437	1.47085	1.44588	1.45333	1.45362	1.47037	1.44571	1.45181	
2013-05-18T06:00:00	1.47531	1.47891	1.45064	1.45437	1.47488	1.47833	1.45030	1.45362	
2013-05-11T06:00:00	1.47056	1.48219	1.45837	1.47531	1.47011	1.48198	1.45806	1.47488	
2013-05-04T06:00:00	1.45676	1.47725	1.45117	1.47056	1.45613	1.47696	1.45089	1.47011	
2013-04-27T06:00:00	1.45963	1.46221	1.44129	1.45676	1.45867	1.46191	1.44107	1.45613	
2013-04-20T06:00:00	1.42267	1.46472	1.41883	1.45963	1.42139	1.46447	1.41701	1.45867	
2013-04-13T06:00:00	1.42346	1.43171	1.40752	1.42267	1.42219	1.43146	1.40728	1.42139	
2013-04-06T06:00:00	1.43417	1.43425	1.42161	1.42346	1.43299	1.43400	1.42126	1.42219	
2013-03-30T06:00:00	1.44470	1.44664	1.42560	1.43417	1.44261	1.44634	1.42447	1.43299	
2013-03-23T06:00:00	1.43352	1.44767	1.42678	1.44470	1.43183	1.44742	1.42621	1.44261	
2013-03-16T06:00:00	1.41918	1.43906	1.41918	1.43352	1.41852	1.43881	1.41852	1.43183	
2013-03-09T07:00:00	1.42089	1.43202	1.40315	1.41918	1.41968	1.43175	1.40289	1.41852	
2013-03-02T07:00:00	1.41876	1.42906	1.41480	1.42089	1.41793	1.42880	1.41437	1.41968	
2013-02-23T07:00:00	1.41053	1.42276	1.39680	1.41876	1.41005	1.42250	1.39650	1.41793	
2013-02-16T07:00:00	1.43155	1.43361	1.40687	1.41053	1.42974	1.43334	1.40637	1.41005	
2013-02-09T07:00:00	1.45008	1.45527	1.42342	1.43155	1.44898	1.45380	1.42314	1.42974	
2013-02-02T07:00:00	1.42623	1.45385	1.41825	1.45008	1.42461	1.45361	1.41811	1.44898	
2013-01-26T07:00:00	1.46506	1.46533	1.41971	1.42623	1.46371	1.46501	1.41936	1.42461	
2013-01-19T07:00:00	1.48367	1.48367	1.45528	1.46506	1.48180	1.48327	1.45503	1.46371	
2013-01-12T07:00:00	1.47407	1.50067	1.47191	1.48367	1.47344	1.50031	1.47118	1.48180	
2013-01-05T07:00:00	1.48643	1.49134	1.46925	1.47407	1.48502	1.49107	1.46897	1.47344	
2012-12-29T07:00:00	1.47757	1.49560	1.47470	1.48643	1.47662	1.49533	1.47405	1.48502	
2012-12-22T07:00:00	1.48217	1.48249	1.46953	1.47757	1.48122	1.48209	1.46924	1.47662	
2012-12-15T07:00:00	1.48483	1.48901	1.47998	1.48217	1.48394	1.48880	1.47970	1.48122	
2012-12-08T07:00:00	1.49938	1.50688	1.48184	1.48483	1.49829	1.50658	1.48159	1.48394	
2012-12-01T07:00:00	1.48624	1.50208	1.48330	1.49938	1.48563	1.50191	1.48295	1.49829	
2012-11-24T07:00:00	1.48870	1.49422	1.48237	1.48624	1.48669	1.49398	1.48217	1.48563	
2012-11-17T07:00:00	1.50210	1.50500	1.48602	1.48870	1.50129	1.50463	1.48582	1.48669	
2012-11-10T07:00:00	1.50836	1.51147	1.49271	1.50210	1.50698	1.51118	1.49241	1.50129	
2012-11-03T06:00:00	1.50705	1.51498	1.50375	1.50836	1.50644	1.51475	1.50345	1.50698	
2012-10-27T06:00:00	1.50568	1.52051	1.49563	1.50705	1.50493	1.51550	1.49536	1.50644	
2012-10-20T06:00:00	1.48652	1.51155	1.48232	1.50568	1.48545	1.51121	1.48196	1.50493	
2012-10-13T06:00:00	1.50063	1.50298	1.48342	1.48652	1.49915	1.50259	1.48285	1.48545	
2012-10-06T06:00:00	1.49958	1.50753	1.49524	1.50063	1.49823	1.50716	1.49455	1.49915	
2012-09-29T06:00:00	1.51922	1.52147	1.49955	1.49958	1.51824	1.52114	1.49823	1.49823	
2012-09-22T06:00:00	1.51480	1.52505	1.51370	1.51922	1.51379	1.52471	1.51335	1.51824	
2012-09-15T06:00:00	1.50405	1.51831	1.50108	1.51480	1.50328	1.51794	1.50064	1.51379	
2012-09-08T06:00:00	1.51163	1.51793	1.49944	1.50405	1.51027	1.51759	1.49902	1.50328	
2012-09-01T06:00:00	1.51588	1.52981	1.51146	1.51163	1.51465	1.52964	1.51027	1.51027	
2012-08-25T06:00:00	1.51775	1.52059	1.50941	1.51588	1.51684	1.51978	1.50906	1.51465	
2012-08-18T06:00:00	1.52939	1.53317	1.51374	1.51775	1.52726	1.53298	1.51339	1.51684	
2012-08-11T06:00:00	1.53363	1.53742	1.52341	1.52939	1.53280	1.53714	1.52279	1.52726	
2012-08-04T06:00:00	1.51832	1.53414	1.50862	1.53363	1.51667	1.53380	1.50823	1.53280	
2012-07-28T06:00:00	1.53585	1.54186	1.51635	1.51832	1.53393	1.54150	1.51597	1.51667	
2012-07-21T06:00:00	1.54337	1.54913	1.52536	1.53585	1.54230	1.54761	1.52502	1.53393	
2012-07-14T06:00:00	1.52809	1.54539	1.52516	1.54337	1.52604	1.54510	1.52374	1.54230	
2012-07-07T06:00:00	1.51454	1.52883	1.51126	1.52809	1.51351	1.52845	1.51092	1.52604	
2012-06-30T06:00:00	1.49100	1.51545	1.48723	1.51454	1.48975	1.51517	1.48644	1.51351	
2012-06-23T06:00:00	1.49050	1.50506	1.48447	1.49100	1.48838	1.50408	1.48408	1.48975	
2012-06-16T06:00:00	1.49331	1.49722	1.48151	1.49050	1.49188	1.49680	1.48047	1.48838	
2012-06-09T06:00:00	1.48547	1.49905	1.47304	1.49331	1.48422	1.49874	1.47181	1.49188	
2012-06-02T06:00:00	1.48495	1.49170	1.47565	1.48547	1.48311	1.49135	1.47521	1.48422	
2012-05-26T06:00:00	1.50312	1.50670	1.48399	1.48495	1.50196	1.50633	1.48285	1.48311	
2012-05-19T06:00:00	1.48745	1.50573	1.48255	1.50312	1.48622	1.50533	1.48216	1.50196	
2012-05-12T06:00:00	1.49489	1.51095	1.48686	1.48745	1.49361	1.51059	1.48577	1.48622	
2012-05-05T06:00:00	1.48343	1.50210	1.48343	1.49489	1.48206	1.50180	1.48206	1.49361	
2012-04-28T06:00:00	1.47584	1.48448	1.46547	1.48343	1.47492	1.48382	1.46502	1.48206	
2012-04-21T06:00:00	1.46643	1.47756	1.46186	1.47584	1.46542	1.47722	1.46145	1.47492	
2012-04-14T06:00:00	1.45795	1.47275	1.45332	1.46643	1.45648	1.47240	1.45297	1.46542	
2012-04-07T06:00:00	1.45668	1.46153	1.45290	1.45795	1.45455	1.46115	1.45249	1.45648	
2012-03-31T06:00:00	1.44540	1.45999	1.44029	1.45668	1.44429	1.45941	1.43982	1.45455	
2012-03-24T06:00:00	1.44189	1.44717	1.43660	1.44540	1.44021	1.44679	1.43621	1.44429	
2012-03-17T06:00:00	1.45125	1.45693	1.44062	1.44189	1.45014	1.45655	1.44020	1.44021	
2012-03-10T07:00:00	1.44086	1.46233	1.43153	1.45125	1.43957	1.46204	1.43109	1.45014	
2012-03-03T07:00:00	1.44851	1.44977	1.43491	1.44086	1.44651	1.44903	1.43455	1.43957	
2012-02-25T07:00:00	1.42319	1.45025	1.41955	1.44851	1.42190	1.44993	1.41920	1.44651	
2012-02-18T07:00:00	1.45587	1.45631	1.41793	1.42319	1.45444	1.45444	1.41762	1.42190	
2012-02-11T07:00:00	1.44466	1.45893	1.43762	1.45587	1.44333	1.45860	1.43729	1.45444	
2012-02-04T07:00:00	1.45332	1.45991	1.43943	1.44466	1.45137	1.45951	1.43899	1.44333	
2012-01-28T07:00:00	1.43602	1.45621	1.43521	1.45332	1.43510	1.45589	1.43398	1.45137	
2012-01-21T07:00:00	1.45611	1.45979	1.43432	1.43602	1.45481	1.45876	1.43364	1.43510	
2012-01-14T07:00:00	1.45886	1.46654	1.44233	1.45611	1.45757	1.46577	1.44184	1.45481	
2012-01-07T07:00:00	1.47390	1.47892	1.44444	1.45886	1.47285	1.47824	1.44409	1.45757	
2011-12-31T07:00:00	1.46041	1.48030	1.44942	1.47390	1.45911	1.47992	1.44816	1.47285	
2011-12-24T07:00:00	1.46136	1.47110	1.44768	1.46041	1.45924	1.47039	1.44712	1.45911	
2011-12-17T07:00:00	1.45614	1.47386	1.44830	1.46136	1.45432	1.47332	1.44790	1.45924	
2011-12-10T07:00:00	1.44720	1.47642	1.44242	1.45614	1.44527	1.47582	1.44203	1.45432	
2011-12-03T07:00:00	1.43603	1.45547	1.43603	1.44720	1.43560	1.45520	1.43542	1.44527	
2011-11-26T07:00:00	1.43859	1.44270	1.42632	1.43603	1.43797	1.44211	1.42596	1.43560	
2011-11-19T07:00:00	1.44903	1.45073	1.42273	1.43859	1.44844	1.44942	1.42241	1.43797	
2011-11-12T07:00:00	1.44954	1.45634	1.43789	1.44903	1.44862	1.45600	1.43751	1.44844	
2011-11-05T06:00:00	1.41952	1.45743	1.41952	1.44954	1.41951	1.45694	1.41951	1.44862	
2011-10-29T06:00:00	1.39048	1.42747	1.38928	1.41952	1.39005	1.42698	1.38821	1.41951	
2011-10-22T06:00:00	1.40783	1.41489	1.38108	1.39048	1.40728	1.41447	1.38062	1.39005	
2011-10-15T06:00:00	1.41130	1.42795	1.39987	1.40783	1.41068	1.42733	1.39921	1.40728	
2011-10-08T06:00:00	1.44202	1.44419	1.40581	1.41130	1.44080	1.44240	1.40533	1.41068	
2011-10-01T06:00:00	1.41369	1.44344	1.40891	1.44202	1.41309	1.44301	1.40803	1.44080	
2011-09-24T06:00:00	1.40058	1.41725	1.39750	1.41369	1.39926	1.41678	1.39701	1.41309	
2011-09-17T06:00:00	1.38592	1.41533	1.38269	1.40058	1.38492	1.41504	1.38221	1.39926	
2011-09-10T06:00:00	1.40335	1.41375	1.37112	1.38592	1.40266	1.41286	1.37066	1.38492	
2011-09-03T06:00:00	1.28154	1.40777	1.25815	1.40335	1.28111	1.40735	1.25752	1.40266	
2011-08-27T06:00:00	1.31972	1.35399	1.25246	1.28154	1.31897	1.35342	1.25153	1.28111	
2011-08-20T06:00:00	1.29481	1.32433	1.28740	1.31972	1.29428	1.32376	1.28686	1.31897	
2011-08-13T06:00:00	1.26632	1.32190	1.26632	1.29481	1.26419	1.32147	1.26419	1.29428	
2011-08-06T06:00:00	1.25497	1.26792	1.14701	1.26632	1.25441	1.26746	1.14616	1.26419	
2011-07-30T06:00:00	1.29310	1.30991	1.23668	1.25497	1.29205	1.30881	1.23595	1.25441	
2011-07-23T06:00:00	1.33400	1.33400	1.29010	1.29310	1.33341	1.33341	1.28966	1.29205	
2011-07-16T06:00:00	1.31138	1.34431	1.30408	1.33400	1.31061	1.34395	1.30261	1.33341	
2011-07-09T06:00:00	1.34263	1.34449	1.30608	1.31138	1.34206	1.34401	1.30481	1.31061	
2011-07-02T06:00:00	1.36374	1.37019	1.33608	1.34263	1.36328	1.36977	1.33572	1.34206	
2011-06-25T06:00:00	1.33764	1.36596	1.32654	1.36374	1.33640	1.36551	1.32617	1.36328	
2011-06-18T06:00:00	1.37383	1.37438	1.33553	1.33764	1.37306	1.37380	1.33505	1.33640	
2011-06-11T06:00:00	1.36820	1.39084	1.36163	1.37383	1.36760	1.39051	1.36131	1.37306	
2011-06-04T06:00:00	1.37323	1.38251	1.36412	1.36820	1.37156	1.38202	1.36281	1.36760	
2011-05-28T06:00:00	1.40582	1.41228	1.36186	1.37323	1.40506	1.41177	1.36151	1.37156	
2011-05-21T06:00:00	1.42852	1.43012	1.40328	1.40582	1.42775	1.42954	1.40270	1.40506	
2011-05-14T06:00:00	1.44544	1.45013	1.41760	1.42852	1.44462	1.44816	1.41726	1.42775	
2011-05-07T06:00:00	1.43832	1.45542	1.42704	1.44544	1.43785	1.45506	1.42659	1.44462	
2011-04-30T06:00:00	1.44544	1.45134	1.41124	1.43832	1.44485	1.45094	1.40962	1.43785	
2011-04-23T06:00:00	1.46408	1.46743	1.43095	1.44544	1.46171	1.46385	1.42988	1.44485	
2011-04-16T06:00:00	1.45467	1.47213	1.45206	1.46408	1.45422	1.47101	1.45169	1.46171	
2011-04-09T06:00:00	1.48481	1.49542	1.45395	1.45467	1.48371	1.49509	1.45344	1.45422	
2011-04-02T06:00:00	1.49029	1.51858	1.48382	1.48481	1.48974	1.51821	1.48316	1.48371	
2011-03-26T06:00:00	1.47479	1.49496	1.46274	1.49029	1.47438	1.49467	1.46241	1.48974	
2011-03-19T06:00:00	1.46440	1.48284	1.45902	1.47479	1.46397	1.48251	1.45869	1.47438	
2011-03-12T07:00:00	1.49518	1.49818	1.43150	1.46440	1.49475	1.49785	1.42736	1.46397	
2011-03-05T07:00:00	1.50688	1.51475	1.48554	1.49518	1.50636	1.51438	1.48521	1.49475	
2011-02-26T07:00:00	1.49605	1.52045	1.49096	1.50688	1.49551	1.52008	1.49043	1.50636	
2011-02-19T07:00:00	1.53560	1.54022	1.48930	1.49605	1.53479	1.53988	1.48803	1.49551	
2011-02-12T07:00:00	1.55753	1.56946	1.53235	1.53560	1.55697	1.56913	1.53207	1.53479	
2011-02-05T07:00:00	1.53779	1.56240	1.53326	1.55753	1.53730	1.56211	1.53291	1.55697	
2011-01-29T07:00:00	1.49490	1.54142	1.49009	1.53779	1.49409	1.54111	1.48941	1.53730	
2011-01-22T07:00:00	1.53419	1.53695	1.48628	1.49490	1.53370	1.53650	1.48586	1.49409	
2011-01-15T07:00:00	1.53115	1.54304	1.51954	1.53419	1.53056	1.54267	1.51906	1.53370	
2011-01-08T07:00:00	1.50386	1.53745	1.49306	1.53115	1.50325	1.53690	1.49274	1.53056	
2011-01-01T07:00:00	1.45747	1.50602	1.44427	1.50386	1.45677	1.50568	1.44382	1.50325	
2010-12-25T07:00:00	1.48598	1.48979	1.44031	1.45754	1.48514	1.48942	1.43983	1.45676	
2010-12-18T07:00:00	1.50576	1.50728	1.46221	1.48598	1.50511	1.50631	1.46178	1.48514	
2010-12-11T07:00:00	1.54993	1.55618	1.49190	1.50576	1.54936	1.55463	1.49147	1.50511	
2010-12-04T07:00:00	1.53877	1.56246	1.53234	1.54993	1.53826	1.56207	1.53196	1.54936	
2010-11-27T07:00:00	1.56403	1.57398	1.53211	1.53877	1.56291	1.57371	1.53171	1.53826	
2010-11-20T07:00:00	1.58628	1.59255	1.56316	1.56403	1.58564	1.59206	1.56210	1.56291	
2010-11-13T07:00:00	1.58118	1.60088	1.57234	1.58628	1.58001	1.60050	1.57143	1.58564	
2010-11-06T06:00:00	1.55757	1.58360	1.54216	1.58179	1.55676	1.58304	1.54185	1.58127	
2010-10-30T06:00:00	1.57739	1.59688	1.54600	1.55757	1.57651	1.59667	1.54573	1.55676	
2010-10-23T06:00:00	1.53645	1.58184	1.52271	1.57739	1.53581	1.57951	1.52230	1.57651	
2010-10-16T06:00:00	1.53128	1.53689	1.51300	1.53645	1.53049	1.53648	1.51277	1.53581	
2010-10-09T06:00:00	1.53833	1.54236	1.50953	1.53128	1.53748	1.54201	1.50906	1.53049	
2010-10-02T06:00:00	1.54440	1.54699	1.51881	1.53833	1.54384	1.54661	1.51859	1.53748	
2010-09-25T06:00:00	1.55945	1.56630	1.53601	1.54440	1.55871	1.56586	1.53569	1.54384	
2010-09-18T06:00:00	1.57778	1.58601	1.53687	1.55945	1.57722	1.58556	1.53656	1.55871	
2010-09-11T06:00:00	1.56592	1.60082	1.53789	1.57778	1.56522	1.60037	1.53751	1.57722	
2010-09-04T06:00:00	1.57288	1.58608	1.54283	1.56592	1.57220	1.58570	1.54248	1.56522	
2010-08-28T06:00:00	1.59780	1.60331	1.55162	1.57288	1.59711	1.60285	1.55116	1.57220	
2010-08-21T06:00:00	1.60867	1.61675	1.58321	1.59780	1.60811	1.61632	1.58284	1.59711	
2010-08-14T06:00:00	1.64145	1.64168	1.60168	1.60867	1.64076	1.64076	1.60122	1.60811	
2010-08-07T06:00:00	1.65698	1.67109	1.63068	1.64145	1.65641	1.67060	1.63023	1.64076	
2010-07-31T06:00:00	1.63423	1.67627	1.63329	1.65698	1.63358	1.67571	1.63241	1.65641	
2010-07-24T06:00:00	1.62584	1.65661	1.61839	1.63423	1.62517	1.65627	1.61793	1.63358	
2010-07-17T06:00:00	1.60885	1.62753	1.58542	1.62584	1.60826	1.62722	1.58510	1.62517	
2010-07-10T06:00:00	1.59068	1.61682	1.58348	1.60885	1.59001	1.61648	1.58308	1.60826	
2010-07-03T06:00:00	1.61868	1.61916	1.58858	1.59068	1.61811	1.61831	1.58806	1.59001	
2010-06-26T06:00:00	1.64788	1.65068	1.59505	1.61868	1.64731	1.64731	1.59463	1.61811	
2010-06-19T06:00:00	1.64308	1.65875	1.63026	1.64788	1.64313	1.65832	1.62981	1.64731	
2010-06-12T06:00:00	1.67086	1.69242	1.63941	1.64308	1.67091	1.69247	1.63946	1.64313	
2010-06-05T06:00:00	1.68116	1.69140	1.65263	1.67086	1.68121	1.69145	1.65268	1.67091	
2010-05-29T06:00:00	1.67628	1.70766	1.67018	1.68116	1.67517	1.70771	1.66841	1.68121	
2010-05-22T06:00:00	1.66489	1.68440	1.65893	1.67628	1.66427	1.68373	1.65856	1.67517	
2010-05-15T06:00:00	1.64497	1.66691	1.62988	1.66489	1.64441	1.66601	1.62947	1.66427	
2010-05-08T06:00:00	1.64305	1.66965	1.62651	1.64497	1.64258	1.66930	1.62616	1.64441	
2010-05-01T06:00:00	1.64675	1.69198	1.60956	1.64305	1.64635	1.69168	1.60921	1.64258	
2010-04-24T06:00:00	1.65108	1.66682	1.64238	1.64675	1.65041	1.66631	1.64195	1.64635	
2010-04-17T06:00:00	1.63288	1.66476	1.62122	1.65108	1.63221	1.66431	1.62071	1.65041	
2010-04-10T06:00:00	1.63928	1.63968	1.61868	1.63288	1.63873	1.63921	1.61822	1.63221	
2010-04-03T06:00:00	1.61498	1.65185	1.61498	1.63928	1.61420	1.65130	1.61420	1.63873	
2010-03-27T06:00:00	1.58796	1.62248	1.58027	1.61498	1.58744	1.62210	1.57860	1.61420	
2010-03-20T06:00:00	1.59278	1.60736	1.58308	1.58796	1.59226	1.60561	1.58256	1.58744	
2010-03-13T07:00:00	1.60762	1.62238	1.59057	1.59278	1.60710	1.62201	1.59008	1.59226	
2010-03-06T07:00:00	1.62738	1.62738	1.60065	1.60762	1.62660	1.62660	1.60021	1.60710	
2010-02-27T07:00:00	1.63852	1.63852	1.59950	1.62738	1.63791	1.63791	1.59885	1.62660	
2010-02-20T07:00:00	1.66466	1.67398	1.63156	1.63852	1.66401	1.67352	1.63111	1.63791	
2010-02-13T07:00:00	1.68770	1.69342	1.66456	1.66466	1.68718	1.69290	1.66396	1.66401	
2010-02-06T07:00:00	1.67719	1.69536	1.65950	1.68770	1.67671	1.69484	1.65901	1.68718	
2010-01-30T07:00:00	1.69568	1.70328	1.67578	1.67719	1.69511	1.70081	1.67497	1.67671	
2010-01-23T07:00:00	1.67637	1.71155	1.67358	1.69568	1.67580	1.71107	1.67293	1.69511	
2010-01-16T07:00:00	1.66948	1.70398	1.66948	1.67987	1.66891	1.70355	1.66891	1.67912	
2010-01-09T07:00:00	1.64054	1.67598	1.63186	1.66948	1.63981	1.67531	1.63131	1.66891	
2010-01-02T07:00:00	1.67484	1.67868	1.63757	1.64054	1.67415	1.67794	1.63700	1.63981	
2009-12-26T07:00:00	1.65338	1.67538	1.64352	1.67484	1.65273	1.67469	1.64301	1.67415	
2009-12-19T07:00:00	1.68348	1.68934	1.65037	1.65338	1.68274	1.68897	1.64975	1.65273	
2009-12-12T07:00:00	1.67991	1.70286	1.67025	1.68348	1.67936	1.70205	1.66951	1.68274	
2009-12-05T07:00:00	1.67288	1.68403	1.66139	1.67991	1.67221	1.68346	1.66090	1.67936	
2009-11-28T07:00:00	1.65641	1.67828	1.64706	1.67288	1.65596	1.67784	1.64659	1.67221	
2009-11-21T07:00:00	1.68043	1.68228	1.64835	1.65641	1.67981	1.68094	1.64741	1.65596	
2009-11-14T07:00:00	1.68968	1.71168	1.67751	1.68043	1.68896	1.71120	1.67686	1.67981	
2009-11-07T07:00:00	1.69035	1.69777	1.66598	1.68968	1.68954	1.69721	1.66541	1.68896	
2009-10-31T06:00:00	1.68448	1.69448	1.66679	1.69035	1.68376	1.69404	1.66626	1.68954	
2009-10-24T06:00:00	1.64644	1.69558	1.63858	1.68448	1.64566	1.69501	1.63786	1.68376	
2009-10-17T06:00:00	1.66656	1.68290	1.64200	1.64644	1.66571	1.68093	1.64143	1.64566	
