日時	GBP/JPY(始値, 買い)	GBP/JPY(高値, 買い)	GBP/JPY(安値, 買い)	GBP/JPY(終値, 買い)	GBP/JPY(始値, 売り)	GBP/JPY(高値, 売り)	GBP/JPY(安値, 売り)	GBP/JPY(終値, 売り)	
2014-02-01T07:00:00	167.852	168.237	163.900	165.826	167.671	168.216	163.872	165.804	
2014-01-25T07:00:00	168.649	171.481	167.596	167.852	168.460	171.452	167.575	167.671	
2014-01-18T07:00:00	171.393	173.669	168.579	168.649	171.223	173.640	168.460	168.460	
2014-01-11T07:00:00	171.773	171.890	168.365	171.393	171.629	171.866	168.334	171.223	
2014-01-04T07:00:00	172.215	173.152	170.427	171.773	172.063	173.120	170.398	171.629	
2013-12-28T07:00:00	173.445	174.854	171.072	172.215	173.260	174.828	171.033	172.063	
2013-12-21T07:00:00	170.055	173.972	169.791	173.445	169.943	173.939	169.759	173.260	
2013-12-14T07:00:00	168.322	171.216	166.594	170.055	168.151	171.177	166.570	169.943	
2013-12-07T07:00:00	168.269	170.076	167.530	168.322	168.189	170.049	167.516	168.151	
2013-11-30T07:00:00	167.804	169.156	165.891	168.269	167.617	169.131	165.862	168.189	
2013-11-23T07:00:00	164.364	167.914	163.697	167.804	164.219	167.885	163.667	167.617	
2013-11-16T07:00:00	161.542	164.405	160.426	164.364	161.405	164.363	160.398	164.219	
2013-11-09T07:00:00	158.760	161.669	158.002	161.542	158.618	161.642	157.967	161.405	
2013-11-02T06:00:00	157.250	159.295	156.649	158.760	157.150	159.267	156.620	158.618	
2013-10-26T06:00:00	157.478	158.325	156.780	157.250	157.413	158.298	156.740	157.150	
2013-10-19T06:00:00	158.140	159.547	156.880	157.478	158.027	159.524	156.857	157.413	
2013-10-12T06:00:00	157.294	158.693	156.754	158.140	157.198	158.670	156.643	158.027	
2013-10-05T06:00:00	156.128	157.541	154.736	157.294	155.992	157.515	154.711	157.198	
2013-09-28T06:00:00	158.662	159.983	155.744	156.128	158.520	159.939	155.714	155.992	
2013-09-21T06:00:00	159.098	159.288	157.357	158.662	158.998	159.258	157.335	158.520	
2013-09-14T06:00:00	157.777	160.014	156.923	159.098	157.741	159.966	156.763	158.998	
2013-09-07T06:00:00	155.002	158.574	155.530	157.777	154.851	158.530	155.479	157.741	
2013-08-31T06:00:00	152.264	156.459	152.433	155.002	152.075	156.422	152.375	154.851	
2013-08-24T06:00:00	153.679	153.994	150.496	152.264	153.593	153.964	150.450	152.075	
2013-08-17T06:00:00	152.532	154.715	151.755	153.679	152.416	154.660	151.725	153.593	
2013-08-10T06:00:00	149.299	153.258	148.898	152.532	149.179	153.232	148.844	152.416	
2013-08-03T06:00:00	151.299	151.592	147.643	149.299	151.193	151.490	147.589	149.179	
2013-07-27T06:00:00	151.243	151.618	148.277	151.299	151.129	151.559	148.242	151.193	
2013-07-20T06:00:00	153.706	154.067	150.737	151.243	153.594	154.037	150.712	151.129	
2013-07-13T06:00:00	149.846	153.723	149.720	153.706	149.777	153.659	149.654	153.594	
