日時	GBP/NZD(始値, 買い)	GBP/NZD(高値, 買い)	GBP/NZD(安値, 買い)	GBP/NZD(終値, 買い)	GBP/NZD(始値, 売り)	GBP/NZD(高値, 売り)	GBP/NZD(安値, 売り)	GBP/NZD(終値, 売り)	
2014-02-01T07:00:00	2.03419	2.03419	1.97770	1.99019	2.03222	2.03222	1.97611	1.98974	
2014-01-25T07:00:00	2.00451	2.04362	1.99614	2.03419	2.00421	2.04322	1.99532	2.03222	
2014-01-18T07:00:00	1.98953	2.02172	1.96838	2.00451	1.98723	2.02135	1.96795	2.00421	
2014-01-11T07:00:00	1.98628	1.99336	1.94618	1.98953	1.98411	1.99294	1.94545	1.98723	
2014-01-04T07:00:00	1.98484	2.00309	1.97595	1.98628	1.98325	2.00263	1.97552	1.98411	
2013-12-28T07:00:00	2.02301	2.03166	1.97474	1.98484	2.02075	2.03108	1.97434	1.98325	
2013-12-21T07:00:00	1.99277	2.02822	1.98846	2.02301	1.99053	2.02777	1.98766	2.02075	
2013-12-14T07:00:00	1.97208	2.00731	1.96373	1.99277	1.96971	2.00695	1.96364	1.99053	
2013-12-07T07:00:00	1.97435	1.99659	1.96356	1.97208	1.97196	1.99453	1.96311	1.96971	
2013-11-30T07:00:00	2.01322	2.01526	1.97004	1.97435	2.01235	2.01469	1.96961	1.97196	
2013-11-23T07:00:00	1.98279	2.02420	1.95574	2.01322	1.98056	2.02388	1.95529	2.01235	
2013-11-16T07:00:00	1.93488	1.99291	1.91905	1.98279	1.93253	1.99257	1.91769	1.98056	
2013-11-09T07:00:00	1.94151	1.94995	1.92178	1.93488	1.94139	1.94958	1.92096	1.93253	
2013-11-02T06:00:00	1.92738	1.94654	1.91105	1.94151	1.92496	1.94557	1.91070	1.94139	
2013-10-26T06:00:00	1.95348	1.95397	1.92738	1.92738	1.95171	1.95304	1.92496	1.92496	
2013-10-19T06:00:00	1.90235	1.95573	1.89747	1.95348	1.90020	1.95543	1.89710	1.95171	
2013-10-12T06:00:00	1.91786	1.92774	1.88726	1.90235	1.91544	1.92659	1.88685	1.90020	
2013-10-05T06:00:00	1.92558	1.94501	1.91098	1.91786	1.92352	1.94471	1.91054	1.91544	
2013-09-28T06:00:00	1.95042	1.97443	1.92356	1.92558	1.94818	1.97408	1.92238	1.92352	
2013-09-21T06:00:00	1.91458	1.95468	1.91234	1.95042	1.91269	1.95432	1.91191	1.94818	
2013-09-14T06:00:00	1.95261	1.94948	1.90512	1.91458	1.95201	1.94911	1.90470	1.91269	
2013-09-07T06:00:00	1.95498	1.96526	1.93820	1.95261	1.95375	1.96488	1.93776	1.95201	
2013-08-31T06:00:00	2.00849	2.00569	1.94863	1.95498	2.00625	2.00521	1.94803	1.95375	
2013-08-24T06:00:00	1.99516	2.00907	1.97886	2.00849	1.99378	2.00712	1.97846	2.00625	
2013-08-17T06:00:00	1.92892	2.00790	1.91586	1.99516	1.92789	2.00750	1.91542	1.99378	
2013-08-10T06:00:00	1.93065	1.94975	1.92085	1.92892	1.92918	1.94895	1.92042	1.92789	
2013-08-03T06:00:00	1.95118	1.98054	1.92559	1.93065	1.94982	1.98019	1.92489	1.92918	
2013-07-27T06:00:00	1.90438	1.95492	1.89975	1.95118	1.90244	1.95436	1.89940	1.94982	
2013-07-20T06:00:00	1.92664	1.93893	1.89973	1.90438	1.92432	1.93856	1.89932	1.90244	
2013-07-13T06:00:00	1.94196	1.94701	1.91121	1.92664	1.94081	1.94555	1.91064	1.92432	
2013-07-06T06:00:00	1.93228	1.94831	1.88649	1.94196	1.93026	1.94768	1.88600	1.94081	
2013-06-29T06:00:00	1.96620	1.97559	1.90527	1.93228	1.96384	1.97516	1.90398	1.93026	
